time,open,high,low,close,volume,ticker
2020-12-23,20272,20272,20272,20272,200,NJC
2020-12-24,20272,20272,20272,20272,0,NJC
2020-12-25,20272,20272,20272,20272,0,NJC
2020-12-28,20272,20272,20272,20272,0,NJC
2020-12-29,20272,20272,20272,20272,0,NJC
2020-12-30,20272,20272,20272,20272,0,NJC
2020-12-31,20272,20272,20272,20272,0,NJC
2021-01-04,20272,20272,20272,20272,0,NJC
2021-01-05,20272,20272,20272,20272,0,NJC
2021-01-06,20272,20272,20272,20272,0,NJC
2021-01-07,20272,20272,20272,20272,0,NJC
2021-01-08,20272,20272,20272,20272,0,NJC
2021-01-11,20272,20272,20272,20272,0,NJC
2021-01-12,20272,20272,20272,20272,0,NJC
2021-01-13,20272,20272,20272,20272,0,NJC
2021-01-14,20272,20272,20272,20272,0,NJC
2021-01-15,20272,20272,20272,20272,0,NJC
2021-01-18,20272,20272,20272,20272,0,NJC
2021-01-19,20272,20272,20272,20272,0,NJC
2021-01-20,20272,20272,20272,20272,0,NJC
2021-01-21,20272,20272,20272,20272,0,NJC
2021-01-22,20272,20272,20272,20272,0,NJC
2021-01-25,20272,20272,20272,20272,0,NJC
2021-01-26,20272,20272,20272,20272,0,NJC
2021-01-27,20272,20272,20272,20272,0,NJC
2021-01-28,20272,20272,20272,20272,0,NJC
2021-01-29,20272,20272,20272,20272,0,NJC
2021-02-01,20272,20272,20272,20272,0,NJC
2021-02-02,20272,20272,20272,20272,0,NJC
2021-02-03,20272,20272,20272,20272,0,NJC
2021-02-04,20272,20272,20272,20272,0,NJC
2021-02-05,20272,20272,20272,20272,0,NJC
2021-02-08,20272,20272,20272,20272,0,NJC
2021-02-09,20272,20272,20272,20272,0,NJC
2021-02-17,20272,20272,20272,20272,0,NJC
2021-02-18,20272,20272,20272,20272,0,NJC
2021-02-19,20272,20272,20272,20272,0,NJC
2021-02-22,20272,20272,20272,20272,0,NJC
2021-02-23,20272,20272,20272,20272,0,NJC
2021-02-24,20272,20272,20272,20272,0,NJC
2021-02-25,20272,20272,20272,20272,0,NJC
2021-02-26,20272,20272,20272,20272,0,NJC
2021-03-01,20272,20272,20272,20272,0,NJC
2021-03-02,20272,20272,20272,20272,0,NJC
2021-03-03,20272,20272,20272,20272,0,NJC
2021-03-04,18583,18583,18583,18583,100,NJC
2021-03-05,18583,18583,18583,18583,0,NJC
2021-03-08,18583,18583,18583,18583,0,NJC
2021-03-09,18583,18583,18583,18583,0,NJC
2021-03-10,18583,18583,18583,18583,0,NJC
2021-03-11,18583,18583,18583,18583,0,NJC
2021-03-12,18583,18583,18583,18583,0,NJC
2021-03-15,18583,18583,18583,18583,0,NJC
2021-03-16,18583,18583,18583,18583,0,NJC
2021-03-17,18583,18583,18583,18583,0,NJC
2021-03-18,18583,18583,18583,18583,0,NJC
2021-03-19,18583,18583,18583,18583,0,NJC
2021-03-22,18583,18583,18583,18583,0,NJC
2021-03-23,18583,18583,18583,18583,0,NJC
2021-03-24,18583,18583,18583,18583,0,NJC
2021-03-25,18583,18583,18583,18583,0,NJC
2021-03-26,18583,18583,18583,18583,0,NJC
2021-03-29,18583,18583,18583,18583,0,NJC
