time,open,high,low,close,volume,ticker
2018-06-15,10998,10998,10998,10998,0,NQN
2018-06-18,10998,10998,10998,10998,0,NQN
2018-06-19,10998,10998,10998,10998,0,NQN
2018-06-20,10998,10998,10998,10998,0,NQN
2018-06-21,15333,15333,15333,15333,500,NQN
2018-06-22,17580,17580,17580,17580,400,NQN
2018-06-25,17580,17580,17580,17580,0,NQN
2018-06-26,20149,20149,20149,20149,100,NQN
2018-06-27,17179,17179,17179,17179,200,NQN
2018-06-28,14610,14610,14610,14610,100,NQN
2018-06-29,14610,14610,14610,14610,0,NQN
2018-07-02,16697,16697,12443,12443,400,NQN
2018-07-03,11479,11479,11479,11479,100,NQN
2018-07-04,9793,9793,9793,9793,100,NQN
2018-07-05,8348,8348,8348,8348,200,NQN
2018-07-06,7144,7144,7144,7144,600,NQN
2018-07-09,6101,8188,6101,8188,300,NQN
2018-07-10,8509,8509,8509,8509,100,NQN
2018-07-11,7305,7305,7305,7305,10000,NQN
2018-07-12,6261,8348,6261,7626,1300,NQN
2018-07-13,8509,8509,6582,6582,9800,NQN
2018-07-16,6663,6663,6663,6663,0,NQN
2018-07-17,6663,6663,6663,6663,0,NQN
2018-07-18,6663,6663,6663,6663,0,NQN
2018-07-19,6020,6020,6020,6020,100,NQN
2018-07-20,6020,6020,6020,6020,0,NQN
2018-07-23,6020,6020,6020,6020,0,NQN
2018-07-24,6903,6903,6903,6903,100,NQN
2018-07-25,6903,6903,6903,6903,0,NQN
2018-07-26,6903,6903,6903,6903,0,NQN
2018-07-27,6903,6903,6903,6903,0,NQN
2018-07-30,6903,6903,6903,6903,0,NQN
2018-07-31,6101,6101,6101,6101,200,NQN
2018-08-01,6101,6101,6101,6101,0,NQN
2018-08-02,6101,6101,6101,6101,0,NQN
2018-08-03,6101,6101,6101,6101,0,NQN
2018-08-06,6101,6101,6101,6101,0,NQN
2018-08-07,6984,6984,6984,6984,500,NQN
2018-08-08,6984,8027,5940,8027,5300,NQN
2018-08-09,7144,7144,7144,7144,100,NQN
2018-08-10,7144,7144,7144,7144,0,NQN
2018-08-13,6101,8188,6101,8188,400,NQN
2018-08-14,6101,6101,6101,6101,500,NQN
2018-08-15,5218,6984,5218,6984,600,NQN
2018-08-16,4977,4977,4977,4977,200,NQN
2018-08-17,4977,4977,4977,4977,0,NQN
2018-08-20,5699,5699,5699,5699,100,NQN
2018-08-21,6502,6502,6502,6502,100,NQN
2018-08-22,7465,7465,7465,7465,100,NQN
2018-08-23,8509,8509,8509,8509,900,NQN
2018-08-24,7305,9713,7305,9713,1200,NQN
2018-08-27,8188,10917,8188,10917,2300,NQN
2018-08-28,10516,10516,8108,10516,4500,NQN
2018-08-29,10837,10837,8509,10837,8100,NQN
2018-08-30,10757,10757,10757,10757,300,NQN
2018-08-31,9151,12362,9151,12362,5200,NQN
2018-09-04,8589,11238,8589,11238,2700,NQN
2018-09-05,9553,9553,9553,9553,0,NQN
2018-09-06,9553,9553,9553,9553,0,NQN
2018-09-07,8589,8589,8589,8589,1000,NQN
2018-09-10,8589,8589,8589,8589,0,NQN
2018-09-11,8589,8589,8589,8589,0,NQN
2018-09-12,8589,8589,8589,8589,0,NQN
2018-09-13,7385,7385,7385,7385,100,NQN
2018-09-14,6422,6422,6422,6422,100,NQN
2018-09-17,6422,6422,6422,6422,100,NQN
2018-09-18,7385,7385,6502,6502,500,NQN
2018-09-19,7626,7626,7626,7626,100,NQN
2018-09-20,7626,7626,7626,7626,0,NQN
2018-09-21,7626,7626,7626,7626,0,NQN
2018-09-24,7706,7706,7706,7706,2700,NQN
