time,open,high,low,close,volume,ticker
2010-05-17,37728,37728,33057,33237,634390,NTB
2010-05-18,31620,32338,31620,31620,555920,NTB
2010-05-19,30093,30093,30093,30093,288140,NTB
2010-05-20,28655,28655,28655,28655,614900,NTB
2010-05-21,27308,27308,27308,27308,11100,NTB
2010-05-24,25961,27847,25961,27038,1366080,NTB
2010-05-25,27398,27398,25781,25781,562350,NTB
2010-05-26,26499,27038,25781,27038,1031040,NTB
2010-05-27,28386,28386,28296,28386,744230,NTB
2010-05-28,29733,29733,29733,29733,63580,NTB
2010-05-31,31081,31171,30093,30542,2562970,NTB
2010-06-01,29733,30991,29284,30003,722620,NTB
2010-06-02,29464,30093,29015,30003,592510,NTB
2010-06-03,30452,30452,29374,29554,593700,NTB
2010-06-04,29194,29644,28566,28566,541500,NTB
2010-06-07,27398,27757,27218,27218,924280,NTB
2010-06-08,27218,27577,26499,27218,451590,NTB
2010-06-09,27398,27488,26769,26769,326570,NTB
2010-06-10,26499,28027,26410,28027,1303930,NTB
2010-06-11,28296,28566,27847,27847,545310,NTB
2010-06-14,27847,28476,27847,27847,626550,NTB
2010-06-15,27847,27847,27398,27757,308670,NTB
2010-06-16,27847,29105,27667,29105,3068110,NTB
2010-06-17,28745,30183,28745,29464,1224710,NTB
2010-06-18,28925,29644,28476,28476,390290,NTB
2010-06-21,28476,28745,28296,28296,487530,NTB
2010-06-22,28027,28206,27398,27398,979630,NTB
2010-06-23,26949,27847,26949,27398,606650,NTB
2010-06-24,27667,27667,26769,26949,737460,NTB
2010-06-25,26859,26949,25961,26050,604220,NTB
2010-06-28,26320,26949,26230,26499,305060,NTB
2010-06-29,26859,26859,26050,26140,467660,NTB
2010-06-30,25422,25781,25422,25601,544170,NTB
2010-07-01,25601,25781,24972,25152,892200,NTB
2010-07-02,25332,25511,25062,25152,457550,NTB
2010-07-05,25152,25332,24703,24793,469270,NTB
2010-07-06,24613,24703,23984,24164,727580,NTB
2010-07-07,24254,24793,24164,24164,618360,NTB
2010-07-08,25152,25152,24254,24433,742610,NTB
2010-07-09,24703,25601,24613,25601,1331340,NTB
2010-07-12,25601,25781,25422,25601,398230,NTB
2010-07-13,25781,26320,25511,25871,446730,NTB
2010-07-14,25871,26050,25152,25152,517620,NTB
2010-07-15,25242,26050,24972,25961,1341830,NTB
2010-07-16,25961,27218,25601,26050,2107800,NTB
2010-07-19,26320,26320,25871,25871,440720,NTB
2010-07-20,25871,25871,25332,25332,465910,NTB
2010-07-21,25332,26230,25332,25601,991450,NTB
2010-07-22,25601,25601,25062,25062,701290,NTB
2010-07-23,25152,25242,24793,24793,519320,NTB
2010-07-26,24703,25332,24523,24523,305330,NTB
2010-07-27,24523,24703,24074,24074,546770,NTB
2010-07-28,23894,24074,22996,23086,470280,NTB
2010-07-29,22816,23176,22277,22637,761370,NTB
2010-07-30,22727,23715,22547,23086,495070,NTB
2010-08-02,23266,23266,22727,23086,186540,NTB
2010-08-03,23355,23355,22816,22816,460240,NTB
2010-08-04,22457,22457,21738,21918,553240,NTB
2010-08-05,21918,22727,21738,21738,545210,NTB
2010-08-06,21828,22008,21289,21289,343710,NTB
2010-08-09,20930,21289,20301,20301,702060,NTB
2010-08-10,20301,20301,19313,19313,882670,NTB
2010-08-11,19313,20122,19133,19493,620770,NTB
2010-08-12,18864,18864,18594,18594,696960,NTB
2010-08-13,18145,19044,17876,19044,518760,NTB
2010-08-16,19313,19852,19044,19762,471160,NTB
2010-08-17,19044,19583,18774,18954,518770,NTB
2010-08-18,19223,19852,18954,19223,870660,NTB
2010-08-19,19133,19313,18505,18684,340330,NTB
2010-08-20,18684,18864,18145,18864,262420,NTB
2010-08-23,19493,19493,18235,18325,278750,NTB
2010-08-24,17696,17696,17427,17427,761920,NTB
2010-08-25,16977,16977,16618,16618,428350,NTB
2010-08-26,16618,16708,15810,16079,702720,NTB
2010-08-27,15630,16079,15361,15450,601340,NTB
2010-08-30,16169,16169,15720,16169,299380,NTB
2010-08-31,16618,16977,16169,16977,536630,NTB
2010-09-01,17516,17786,17247,17786,815380,NTB
2010-09-06,18594,18594,18505,18594,378720,NTB
2010-09-07,19403,19493,18684,19493,888340,NTB
2010-09-08,18594,19583,18594,19044,1083670,NTB
2010-09-09,19672,19942,19133,19942,1352440,NTB
2010-09-10,19762,20301,18954,18954,919440,NTB
2010-09-13,18505,18864,18055,18055,831760,NTB
2010-09-14,18325,18864,17966,18864,819370,NTB
2010-09-15,19044,19044,18145,18145,550210,NTB
2010-09-16,18055,18325,17966,18235,457480,NTB
2010-09-17,18684,19133,18594,19133,1028130,NTB
2010-09-20,19942,20032,19493,19852,1503150,NTB
2010-09-21,19583,20301,19583,19852,637050,NTB
2010-09-22,19583,20032,19403,19583,307200,NTB
2010-09-23,19583,19583,18684,18954,1133290,NTB
2010-09-24,18954,19313,18505,19044,706700,NTB
2010-09-27,19044,19313,18684,18864,387260,NTB
2010-09-28,19493,19583,18864,18864,346440,NTB
2010-09-29,19133,19133,18415,18415,372580,NTB
2010-09-30,18415,18415,18145,18415,486190,NTB
2010-10-01,18684,18954,18415,18415,752640,NTB
2010-10-04,18864,18864,17516,17516,829650,NTB
2010-10-05,17067,17966,17067,17966,318390,NTB
2010-10-06,17966,18594,17876,18235,437230,NTB
2010-10-07,18505,18505,17606,17606,321350,NTB
2010-10-08,17427,17696,17157,17247,376390,NTB
2010-10-11,17157,17427,17157,17247,281040,NTB
2010-10-12,17247,17247,16708,16708,409330,NTB
2010-10-13,16528,16798,16528,16798,248460,NTB
2010-10-14,16798,17157,16708,16798,137880,NTB
2010-10-15,17067,17067,16618,16618,119780,NTB
2010-10-18,16528,16708,16349,16528,194280,NTB
2010-10-19,16708,16708,15810,15899,425670,NTB
2010-10-20,15540,15630,15181,15181,710140,NTB
2010-10-21,15271,15630,15001,15271,385520,NTB
2010-10-22,15271,15450,15001,15091,230850,NTB
2010-10-25,14822,15361,14642,15361,153640,NTB
2010-10-26,15630,16079,15540,16079,528950,NTB
2010-10-27,16169,16259,15540,15630,355410,NTB
2010-10-28,15630,15810,15181,15271,268790,NTB
2010-10-29,15181,15540,15091,15271,255810,NTB
2010-11-01,15271,15271,14822,15001,218180,NTB
2010-11-02,15091,15091,14462,14462,332790,NTB
2010-11-03,14552,14552,13923,14013,460430,NTB
2010-11-04,14013,14372,14013,14193,271040,NTB
2010-11-05,14552,14732,14372,14642,420690,NTB
2010-11-08,14642,14642,14103,14193,301620,NTB
2010-11-09,13923,14103,13654,13654,404100,NTB
2010-11-10,13654,13744,13474,13564,167790,NTB
2010-11-11,13564,13564,12935,12935,593050,NTB
2010-11-12,12755,12755,12306,12396,685490,NTB
2010-11-15,12666,12666,12127,12127,295540,NTB
2010-11-16,12127,12127,11677,12037,308810,NTB
2010-11-17,11767,12486,11767,12216,310710,NTB
2010-11-18,12306,12755,12306,12755,816030,NTB
2010-11-19,13025,13025,12576,12755,695870,NTB
2010-11-22,12216,12396,12127,12306,469190,NTB
2010-11-23,12486,12755,12396,12576,295240,NTB
2010-11-24,12396,13025,12396,12666,452350,NTB
2010-11-25,12666,13294,12666,13294,1228140,NTB
2010-11-26,13294,13384,12845,13294,758720,NTB
2010-11-29,12845,13923,12845,13923,657010,NTB
2010-11-30,14372,14552,14283,14372,1312040,NTB
2010-12-01,13923,14552,13744,13744,617130,NTB
2010-12-02,13744,14372,13205,14372,978650,NTB
2010-12-03,15091,15091,14911,15091,1507760,NTB
2010-12-06,15540,15810,14822,15540,1582580,NTB
2010-12-07,15271,15810,14911,14911,930500,NTB
2010-12-08,14822,15091,14193,14193,1313370,NTB
2010-12-09,14193,14732,13564,13923,940600,NTB
2010-12-10,14283,14552,13923,14552,1537400,NTB
2010-12-13,15271,15271,15271,15271,1751480,NTB
2010-12-14,15989,15989,15181,15810,4851660,NTB
2010-12-15,15899,16528,15899,16169,2848380,NTB
2010-12-16,15630,16079,15361,15361,1054670,NTB
2010-12-17,15720,16079,15271,16079,1693530,NTB
2010-12-20,16259,16528,15450,15450,1498430,NTB
2010-12-21,15271,15630,14732,15271,994820,NTB
2010-12-22,15450,15271,14822,14822,877390,NTB
2010-12-23,14642,15001,14462,14642,1469830,NTB
2010-12-24,14732,15091,14462,14552,536050,NTB
2010-12-27,14552,14822,14462,14552,348230,NTB
2010-12-28,14552,15271,14552,15271,973770,NTB
2010-12-29,15899,15899,15271,15271,1535690,NTB
2010-12-30,15271,15630,15181,15181,668900,NTB
2010-12-31,15181,15450,15181,15450,691110,NTB
2011-01-04,15720,16169,15540,16169,1892920,NTB
2011-01-05,16169,16169,15720,15720,1678250,NTB
2011-01-06,15720,15720,15540,15720,574080,NTB
2011-01-07,15720,16079,15450,15540,512720,NTB
2011-01-10,15361,15450,14911,15001,963810,NTB
2011-01-11,14642,14911,14462,14911,949440,NTB
2011-01-12,15091,15271,14822,14911,396540,NTB
2011-01-13,14911,15450,14822,15271,712990,NTB
2011-01-14,15361,15630,15091,15450,734450,NTB
2011-01-17,15271,15989,15271,15450,651970,NTB
2011-01-18,15450,15540,15271,15271,1064130,NTB
2011-01-19,15361,15630,15271,15450,1066390,NTB
2011-01-20,15450,15630,15271,15271,236700,NTB
2011-01-21,15181,15450,15091,15091,870640,NTB
2011-01-24,15271,15271,14822,15001,523880,NTB
2011-01-25,14822,15091,14822,14911,535000,NTB
2011-01-26,14822,15540,14822,15271,626470,NTB
2011-01-27,15271,15450,15271,15271,126770,NTB
2011-01-28,15450,15989,15361,15630,1301580,NTB
2011-02-08,15630,15810,15630,15810,363180,NTB
2011-02-09,15720,15899,15271,15271,294870,NTB
2011-02-10,15540,15540,15271,15361,459080,NTB
2011-02-11,15271,15450,15181,15271,189850,NTB
2011-02-14,15181,15271,15091,15091,341350,NTB
2011-02-15,15001,15181,14911,15091,238750,NTB
2011-02-16,15001,15181,14822,14822,144880,NTB
2011-02-17,14732,14732,14372,14462,224840,NTB
2011-02-18,14283,14462,13833,13923,472520,NTB
2011-02-21,13474,13474,13294,13294,266800,NTB
2011-02-22,12666,13205,12666,13025,477590,NTB
2011-02-23,12845,13384,12845,13205,252730,NTB
2011-02-24,13025,13025,12576,12755,374860,NTB
2011-02-25,12755,12845,12576,12935,141550,NTB
2011-02-28,12935,13025,12396,12396,182460,NTB
2011-03-01,12127,12396,12037,12306,119410,NTB
2011-03-02,12306,12306,11767,11767,348630,NTB
2011-03-03,11767,11767,11228,11228,261240,NTB
2011-03-04,10869,11049,10689,10779,1487050,NTB
2011-03-07,10869,10959,10510,10779,263560,NTB
2011-03-08,10599,10779,10510,10689,347780,NTB
2011-03-09,10689,11049,10240,10869,648930,NTB
2011-03-10,10599,11408,10599,11408,996540,NTB
2011-03-11,11677,11947,11677,11947,1597570,NTB
2011-03-14,11677,11677,11408,11408,470570,NTB
2011-03-15,10959,11498,10869,10959,356230,NTB
2011-03-16,10779,11318,10779,11138,486550,NTB
2011-03-17,11228,11408,10869,11138,379600,NTB
2011-03-18,11138,11408,10869,11318,317390,NTB
2011-03-21,11498,11677,11228,11498,858700,NTB
2011-03-22,11498,11498,11049,11049,213410,NTB
2011-03-23,10869,11498,11049,11498,546070,NTB
2011-03-24,11498,11498,11138,11138,140680,NTB
2011-03-25,11138,11228,10959,10959,194390,NTB
2011-03-28,11049,11138,10869,11138,208850,NTB
2011-03-29,10869,10959,10599,10779,242000,NTB
2011-03-30,10420,10779,10420,10510,219850,NTB
2011-03-31,10779,10779,10420,10779,353470,NTB
2011-04-01,10420,10599,10330,10420,502360,NTB
2011-04-04,10510,10510,10150,10330,326180,NTB
2011-04-05,10330,10330,10150,10330,132890,NTB
2011-04-06,10240,10599,10240,10599,199900,NTB
2011-04-07,10599,10599,10240,10240,197240,NTB
2011-04-08,10061,10240,10061,10240,141700,NTB
2011-04-13,10150,10240,9881,9881,141650,NTB
2011-04-14,9881,9881,9522,9522,259090,NTB
2011-04-15,9342,9522,9072,9072,777900,NTB
2011-04-18,8983,9072,8623,8713,38397,NTB
2011-04-19,8713,8893,8623,8623,272480,NTB
2011-04-20,8354,8623,8354,8444,169100,NTB
2011-04-21,8623,8623,8174,8264,218000,NTB
2011-04-22,8354,8354,8084,8354,615650,NTB
2011-04-25,8354,8713,8354,8713,470860,NTB
2011-04-26,8713,9072,8444,8893,625220,NTB
2011-04-27,8623,8983,8623,8893,378880,NTB
2011-04-28,8713,8983,8713,8893,309810,NTB
2011-04-29,8713,8893,8713,8713,459870,NTB
2011-05-04,8713,9072,8713,8893,443710,NTB
2011-05-05,8713,8893,8623,8623,152250,NTB
2011-05-06,8623,8983,8623,8983,573620,NTB
2011-05-09,8983,9072,8893,9072,267740,NTB
2011-05-10,9162,9162,9072,9162,554900,NTB
2011-05-11,8983,8983,8713,8713,125060,NTB
2011-05-12,8533,8893,8533,8713,393190,NTB
2011-05-13,8713,8983,8444,8983,479700,NTB
2011-05-16,8983,8983,8623,8713,52870,NTB
2011-05-17,8533,8623,8354,8354,123580,NTB
2011-05-18,8174,8444,8084,8444,484240,NTB
2011-05-19,8444,8444,8084,8084,226950,NTB
2011-05-20,8174,8174,7815,7815,534880,NTB
2011-05-23,7725,7994,7455,7994,597050,NTB
2011-05-24,7815,7815,7635,7635,354620,NTB
2011-05-25,7276,7276,7276,7276,38060,NTB
2011-05-26,6916,7635,6916,7366,898710,NTB
2011-05-27,7366,7366,7006,7276,503910,NTB
2011-05-30,7096,7186,6916,6916,144050,NTB
2011-05-31,6737,6827,6647,6647,361290,NTB
2011-06-01,6467,6916,6377,6916,439350,NTB
2011-06-02,7006,7186,7006,7186,196520,NTB
2011-06-03,7545,7545,6916,7006,202590,NTB
2011-06-06,6827,7006,6737,6737,306560,NTB
2011-06-07,7006,7006,6647,7006,421720,NTB
2011-06-08,7096,7186,6916,7006,158980,NTB
2011-06-09,7006,7276,6916,7276,679570,NTB
2011-06-10,7635,7635,7635,7635,284970,NTB
2011-06-13,7994,7994,7994,7994,154610,NTB
2011-06-14,8264,8354,7994,8354,1688280,NTB
2011-06-15,8084,8354,7994,7994,435390,NTB
2011-06-16,7815,8354,7635,8084,799370,NTB
2011-06-17,7905,8084,7725,8084,472370,NTB
2011-06-20,8084,8264,7725,8084,799220,NTB
2011-06-21,7905,8444,7905,8444,581030,NTB
2011-06-22,8444,8444,8084,8264,618120,NTB
2011-06-23,7994,8264,7905,8174,718630,NTB
2011-06-24,8174,8174,7905,7905,76900,NTB
2011-06-27,7994,7994,7545,7545,385590,NTB
2011-06-28,7366,7635,7186,7276,443980,NTB
2011-06-29,7276,7635,7186,7635,118610,NTB
2011-06-30,7366,7905,7366,7905,173790,NTB
2011-07-01,7635,7725,7545,7545,47620,NTB
2011-07-04,7276,7366,7186,7186,104120,NTB
2011-07-05,7455,7545,7366,7545,138560,NTB
2011-07-06,7635,7635,7186,7186,153630,NTB
