time,open,high,low,close,volume,ticker
2017-02-20,5726,5726,5726,5726,0,NUE
2017-02-21,5726,5726,5726,5726,0,NUE
2017-02-22,5726,5726,5726,5726,0,NUE
2017-02-23,5726,5726,5726,5726,0,NUE
2017-02-24,5726,5726,5726,5726,0,NUE
2017-02-27,5726,5726,5726,5726,0,NUE
2017-02-28,5726,5726,5726,5726,0,NUE
2017-03-01,5726,5726,5726,5726,0,NUE
2017-03-02,5726,5726,5726,5726,0,NUE
2017-03-03,5726,5726,5726,5726,0,NUE
2017-03-06,5726,5726,5726,5726,0,NUE
2017-03-07,5726,5726,5726,5726,0,NUE
2017-03-08,5726,5726,5726,5726,0,NUE
2017-03-09,5726,5726,5726,5726,0,NUE
2017-03-10,5726,5726,5726,5726,0,NUE
2017-03-13,5726,5726,5726,5726,0,NUE
2017-03-14,5726,5726,5726,5726,0,NUE
2017-03-15,5726,5726,5726,5726,0,NUE
2017-03-16,3435,3435,3435,3435,400,NUE
2017-03-17,3435,3435,3435,3435,0,NUE
2017-03-20,3435,3435,3435,3435,0,NUE
2017-03-21,3435,3435,3435,3435,0,NUE
2017-03-22,3544,3544,3544,3544,400,NUE
2017-03-23,3544,3544,3544,3544,0,NUE
2017-03-24,3544,3544,3544,3544,0,NUE
2017-03-27,3544,3544,3544,3544,0,NUE
2017-03-28,3544,3544,3544,3544,0,NUE
2017-03-29,3544,3544,3544,3544,0,NUE
2017-03-30,3544,3544,3544,3544,0,NUE
2017-03-31,3544,3544,3544,3544,0,NUE
2017-04-03,3544,3544,3544,3544,0,NUE
2017-04-04,3544,3544,3544,3544,0,NUE
2017-04-05,3544,3544,3544,3544,0,NUE
2017-04-07,3544,3544,3544,3544,0,NUE
2017-04-10,3544,3544,3544,3544,0,NUE
2017-04-11,3544,3544,3544,3544,0,NUE
2017-04-12,3544,3544,3544,3544,0,NUE
2017-04-13,3544,3544,3544,3544,0,NUE
2017-04-14,3544,3544,3544,3544,0,NUE
2017-04-17,3544,3544,3544,3544,0,NUE
2017-04-18,3544,3544,3544,3544,0,NUE
