time,open,high,low,close,volume,ticker
2006-12-12,4192,4192,4192,4192,70840,PAC
2006-12-13,4402,4402,4402,4402,83780,PAC
2006-12-14,4402,4622,4402,4622,14140,PAC
2006-12-15,4852,4852,4852,4852,8000,PAC
2006-12-18,5094,5094,5094,5094,34250,PAC
2006-12-19,5345,5345,5345,5345,41800,PAC
2006-12-20,5607,5607,5607,5607,108950,PAC
2006-12-21,5869,5869,5450,5450,116940,PAC
2006-12-22,5450,5450,5177,5177,12270,PAC
2006-12-25,5177,5177,4926,4926,5680,PAC
2006-12-26,4685,5167,4685,5167,83400,PAC
2006-12-27,5293,5293,5293,5293,46270,PAC
2006-12-28,5293,5293,5240,5240,36400,PAC
2006-12-29,5240,5240,5240,5240,36120,PAC
2007-01-02,4999,5031,4999,5031,36830,PAC
2007-01-03,4978,5031,4978,5031,20330,PAC
2007-01-04,5031,5240,5031,5240,125140,PAC
2007-01-05,5240,5240,5240,5240,137190,PAC
2007-01-08,5293,5293,5188,5188,68960,PAC
2007-01-09,5188,5219,5188,5219,56880,PAC
2007-01-10,5240,5240,5240,5240,89200,PAC
2007-01-11,5031,5031,4978,4978,55530,PAC
2007-01-12,4978,5083,4978,5083,64900,PAC
2007-01-15,5135,5135,5135,5135,51970,PAC
2007-01-16,5135,5135,5031,5031,23540,PAC
2007-01-17,4936,4936,4926,4926,32960,PAC
2007-01-18,4716,4716,4716,4716,62010,PAC
2007-01-19,4926,4926,4926,4926,67070,PAC
2007-01-22,4905,4905,4821,4821,35150,PAC
2007-01-23,4926,4999,4926,4999,46780,PAC
2007-01-24,4978,4978,4978,4978,36360,PAC
2007-01-25,4978,4978,4926,4926,13750,PAC
2007-01-26,4926,4926,4821,4821,22400,PAC
2007-01-29,4926,4926,4926,4926,34240,PAC
2007-01-30,5135,5167,5135,5167,47890,PAC
2007-01-31,5293,5398,5293,5398,79740,PAC
2007-02-01,5450,5450,5398,5398,48750,PAC
2007-02-02,5398,5398,5398,5398,58080,PAC
2007-02-05,5660,5660,5660,5660,95960,PAC
2007-02-06,5922,5922,5922,5922,50930,PAC
2007-02-07,6184,6184,6184,6184,123380,PAC
2007-02-08,6184,6184,5922,5922,57580,PAC
2007-02-09,5922,5922,5660,5660,6050,PAC
2007-02-12,5398,5502,5398,5502,61130,PAC
2007-02-13,5598,5652,5598,5652,7860,PAC
2007-02-14,5652,5652,5652,5652,19990,PAC
2007-02-15,5652,5652,5652,5652,13900,PAC
2007-02-26,5652,5652,5652,5652,16990,PAC
2007-02-27,5652,5705,5652,5705,49800,PAC
2007-02-28,5758,5758,5758,5758,38230,PAC
2007-03-01,5652,5652,5545,5545,16950,PAC
2007-03-02,5545,5545,5545,5545,13830,PAC
2007-03-05,5545,5545,5545,5545,28290,PAC
2007-03-06,5652,5758,5652,5758,62210,PAC
2007-03-07,6025,6025,6025,6025,54360,PAC
2007-03-08,6291,6291,6291,6291,111180,PAC
2007-03-09,6558,6558,6505,6505,159280,PAC
2007-03-12,6505,6505,6291,6291,52870,PAC
2007-03-13,6291,6291,6078,6078,44190,PAC
2007-03-14,5865,5972,5865,5972,39950,PAC
2007-03-15,5758,5758,5705,5705,31020,PAC
2007-03-16,5705,5972,5705,5972,23460,PAC
2007-03-19,5972,5972,5865,5865,42850,PAC
2007-03-20,5865,5865,5758,5758,35510,PAC
2007-03-21,6025,6025,5652,5652,30070,PAC
2007-03-22,5652,5652,5652,5652,25030,PAC
2007-03-23,5598,5652,5598,5652,19850,PAC
2007-03-26,5652,5652,5385,5385,22500,PAC
2007-03-27,5118,5118,5118,5118,18910,PAC
2007-03-28,4862,4862,4862,4862,22060,PAC
2007-03-29,4692,5097,4692,5097,39350,PAC
2007-03-30,5332,5332,5332,5332,34170,PAC
