time,open,high,low,close,volume,ticker
2019-11-26,14867,14960,14867,14960,1200,PBC
2019-11-27,17190,17190,12730,17190,925,PBC
2019-11-28,19699,19699,19699,19699,100,PBC
2019-11-29,22580,22580,16819,16819,4700,PBC
2019-12-02,19142,19142,18956,18956,800,PBC
2019-12-03,16354,16354,16168,16168,1220,PBC
2019-12-04,16261,16261,16168,16168,1000,PBC
2019-12-05,16261,16261,16261,15332,1600,PBC
2019-12-06,15146,15146,15146,15146,200,PBC
2019-12-09,15797,15797,15797,15797,105,PBC
2019-12-10,15797,15797,15797,15797,0,PBC
2019-12-11,15889,15889,15889,15889,2000,PBC
2019-12-12,18213,18213,18213,18213,400,PBC
2019-12-13,16447,16447,16447,16447,800,PBC
2019-12-16,16447,16447,16447,16447,0,PBC
2019-12-17,16447,16447,16447,14217,1000,PBC
2019-12-18,13009,16261,13009,13473,2710,PBC
2019-12-19,15889,15889,15889,13566,100,PBC
2019-12-20,13566,13566,13566,13566,0,PBC
2019-12-23,15518,15518,15518,15518,300,PBC
2019-12-24,17841,17841,17841,17841,111,PBC
2019-12-25,16726,16726,16726,16726,1710,PBC
2019-12-26,16726,16726,16726,16726,1,PBC
2019-12-27,19142,19235,17005,17005,400,PBC
2019-12-30,18120,18120,18120,18956,200,PBC
2019-12-31,18863,18863,18863,18863,0,PBC
2020-01-02,18863,18863,18863,18863,0,PBC
2020-01-03,18863,18863,18863,18863,0,PBC
2020-01-06,18863,18863,18863,18863,0,PBC
2020-01-07,18863,18863,18863,21651,1000,PBC
2020-01-08,21651,21651,21651,21651,0,PBC
2020-01-09,21651,21651,21651,21651,0,PBC
2020-01-10,21651,21651,21651,21651,0,PBC
2020-01-13,21651,21651,21651,21651,1000,PBC
2020-01-14,18491,18491,18491,18491,100,PBC
2020-01-15,21186,21186,21186,21186,506,PBC
2020-01-16,21186,21186,21186,21186,1000,PBC
2020-01-17,21186,21186,21186,21186,100,PBC
2020-01-20,21186,21186,21186,21186,0,PBC
2020-01-21,21372,21372,21186,21186,3000,PBC
2020-01-22,21279,21279,21279,21279,0,PBC
2020-01-30,18120,18120,18120,18120,200,PBC
2020-01-31,18120,18120,18120,18120,0,PBC
2020-02-03,18120,18120,18120,18120,0,PBC
2020-02-04,18120,18120,18120,18120,0,PBC
2020-02-05,20814,20814,20814,20814,8794,PBC
2020-02-06,20814,20814,20814,20814,0,PBC
2020-02-07,18213,18213,18213,18213,100,PBC
2020-02-10,20907,20907,20907,20907,500,PBC
2020-02-11,23974,23974,23974,23974,300,PBC
2020-02-12,23974,23974,23974,23974,5,PBC
2020-02-13,20536,20536,20536,20536,100,PBC
2020-02-14,23602,23602,23602,23602,103,PBC
2020-02-17,23602,23602,23602,23602,0,PBC
2020-02-18,23602,23602,23602,23602,20,PBC
2020-02-19,23602,23602,23602,23602,0,PBC
2020-02-20,23602,23602,23602,23602,0,PBC
2020-02-21,23602,23602,23602,23602,3000,PBC
2020-02-24,23602,23602,23602,23602,0,PBC
2020-02-25,23602,23602,23602,23602,0,PBC
2020-02-26,23602,23602,23602,23602,0,PBC
2020-02-27,23602,23602,23602,23602,0,PBC
2020-02-28,23602,23602,23602,23602,0,PBC
2020-03-02,20257,20257,20257,20257,2000,PBC
2020-03-03,20257,20257,20257,20257,0,PBC
2020-03-04,20257,20257,20257,20257,0,PBC
2020-03-05,20257,20257,20257,20257,0,PBC
2020-03-06,20257,20257,20257,20257,100,PBC
2020-03-09,18584,18584,18584,18584,100,PBC
2020-03-10,17655,17655,16726,17655,900,PBC
2020-03-11,19513,19513,19513,19513,100,PBC
2020-03-12,16726,16726,16726,16726,300,PBC
2020-03-13,14217,16633,14217,16633,400,PBC
2020-03-16,14867,14867,14867,14867,0,PBC
2020-03-17,13009,13009,12637,12637,1500,PBC
2020-03-18,14496,14496,14496,14496,2202,PBC
2020-03-19,14496,14496,14496,14496,0,PBC
2020-03-20,14496,14496,14496,14496,600,PBC
2020-03-23,16633,16633,16633,16633,1500,PBC
2020-03-24,16633,16633,16633,16633,0,PBC
2020-03-25,18120,18120,18120,18120,500,PBC
2020-03-26,18120,18120,18120,18120,1000,PBC
2020-03-27,18120,18120,18120,18120,0,PBC
2020-03-30,18120,18120,18120,18120,0,PBC
2020-03-31,15425,15425,15425,15425,1100,PBC
2020-04-01,15425,15425,15425,15425,0,PBC
2020-04-03,13195,17655,13195,17655,1100,PBC
2020-04-06,13566,13566,13566,13566,0,PBC
2020-04-07,13566,13566,13566,13566,0,PBC
2020-04-08,13566,13566,13566,13566,0,PBC
2020-04-09,13566,13566,13566,13566,0,PBC
2020-04-10,15425,15425,15425,15425,400,PBC
2020-04-13,17655,17655,17655,17655,600,PBC
2020-04-14,17655,17655,17655,17655,0,PBC
2020-04-15,17655,17655,17655,17655,0,PBC
2020-04-16,17655,17655,17655,17655,0,PBC
2020-04-17,17655,17655,17655,17655,0,PBC
2020-04-20,17655,17655,17655,17655,0,PBC
2020-04-21,17655,17655,17655,17655,0,PBC
2020-04-22,17655,17655,17655,17655,0,PBC
2020-04-23,17655,17655,17655,17655,0,PBC
2020-04-24,17655,17655,17655,17655,0,PBC
2020-04-27,17655,17655,17655,17655,0,PBC
2020-04-28,17655,17655,17655,17655,0,PBC
2020-04-29,15053,15053,15053,15053,100,PBC
2020-05-04,15053,15053,15053,15053,0,PBC
2020-05-05,12823,12823,12823,12823,103,PBC
2020-05-06,13938,14403,13938,14403,2800,PBC
2020-05-07,14310,14310,14310,14310,0,PBC
2020-05-08,14310,14310,14310,14310,0,PBC
2020-05-11,14310,14310,14310,14310,0,PBC
2020-05-12,14310,14310,14310,14310,0,PBC
2020-05-13,14310,14310,14310,14310,0,PBC
2020-05-14,14310,14310,14310,14310,0,PBC
2020-05-15,14867,14867,14867,14867,800,PBC
2020-05-18,12823,12823,12823,12823,100,PBC
2020-05-19,12823,12823,12823,12823,0,PBC
2020-05-20,12823,12823,12823,12823,0,PBC
2020-05-21,12823,12823,12823,12823,800,PBC
2020-05-22,12823,12823,12823,12823,0,PBC
2020-05-25,12823,12823,12823,12823,0,PBC
2020-05-26,14681,14681,14681,14681,200,PBC
2020-05-27,14681,14681,14681,14681,0,PBC
2020-05-28,14681,14681,14681,14681,0,PBC
2020-05-29,16819,16819,16819,16819,100,PBC
2020-06-01,19328,19328,19328,19328,1100,PBC
2020-06-02,19328,19328,19328,19328,0,PBC
2020-06-03,19328,19328,19328,19328,100,PBC
2020-06-04,19328,19328,19328,19328,0,PBC
2020-06-05,19049,19049,19049,19049,1700,PBC
2020-06-08,18956,18956,18956,18956,100,PBC
2020-06-09,18956,18956,18956,18956,0,PBC
2020-06-10,18584,18584,18584,18584,200,PBC
2020-06-11,15797,15797,15797,15797,100,PBC
2020-06-12,15797,15797,15797,15797,0,PBC
2020-06-15,15797,15797,15797,15797,0,PBC
2020-06-16,15797,15797,15797,15797,0,PBC
2020-06-17,15797,15797,15797,15797,0,PBC
2020-06-18,18120,18120,18120,18120,200,PBC
2020-06-19,18120,18120,18120,18120,0,PBC
2020-06-22,18120,18120,18120,18120,0,PBC
2020-06-23,18120,18120,18120,18120,0,PBC
2020-06-24,18120,18120,18120,18120,0,PBC
2020-06-25,15518,15518,15518,15518,100,PBC
2020-06-26,15518,15518,15518,15518,0,PBC
2020-06-29,17841,17841,17841,17841,100,PBC
2020-06-30,15518,20443,15518,20443,3800,PBC
2020-07-01,20907,20907,20907,20907,100,PBC
2020-07-02,23230,23230,23230,23230,1500,PBC
2020-07-03,26669,26669,25089,25089,600,PBC
2020-07-06,25275,25275,25275,25275,100,PBC
2020-07-07,25275,25275,25275,25275,0,PBC
2020-07-08,25275,25275,25275,25275,0,PBC
2020-07-09,25275,25275,25275,25275,0,PBC
2020-07-10,25275,25275,25275,25275,0,PBC
2020-07-13,25275,25275,25275,25275,0,PBC
2020-07-14,25275,25275,25275,25275,0,PBC
2020-07-15,25275,25275,25275,25275,0,PBC
2020-07-16,25275,25275,25275,25275,0,PBC
2020-07-17,25275,25275,25275,25275,0,PBC
2020-07-20,25275,25275,25275,25275,0,PBC
2020-07-21,21558,21558,21558,21558,100,PBC
2020-07-22,21558,21558,21558,21558,0,PBC
2020-07-23,18491,18491,18491,18491,100,PBC
2020-07-24,18491,18491,18491,18491,2,PBC
2020-07-27,15797,15797,15797,15797,100,PBC
2020-07-28,15797,15797,15797,15797,2000,PBC
2020-07-29,15797,15797,15797,15797,0,PBC
2020-07-30,15797,15797,15797,15797,2,PBC
2020-07-31,16261,16261,16261,16261,100,PBC
2020-08-03,16261,16261,16261,16261,0,PBC
2020-08-04,16261,16261,16261,16261,0,PBC
2020-08-05,16261,16261,16261,16261,0,PBC
2020-08-06,14031,14031,14031,14031,100,PBC
2020-08-07,14031,14031,14031,14031,0,PBC
2020-08-10,14031,14031,14031,14031,0,PBC
2020-08-11,14031,14031,14031,14031,0,PBC
2020-08-12,14031,14031,14031,14031,0,PBC
2020-08-13,14124,14124,14124,14124,102,PBC
2020-08-14,14124,14124,14124,14124,0,PBC
2020-08-17,14124,14124,14124,14124,0,PBC
2020-08-18,14124,14124,12080,12265,1300,PBC
2020-08-19,11150,14310,10593,10593,17700,PBC
2020-08-20,11057,11057,11057,11057,0,PBC
2020-08-21,12637,12637,12637,12637,300,PBC
2020-08-24,14496,14496,14496,14496,600,PBC
2020-08-25,14496,14496,14496,14496,0,PBC
2020-08-26,14496,14496,14496,14496,0,PBC
2020-08-27,16633,16633,16633,16633,100,PBC
2020-08-28,19049,19049,19049,19049,102,PBC
2020-08-31,19421,21837,19421,21837,500,PBC
2020-09-01,24438,24438,24438,24438,100,PBC
2020-09-03,24438,24438,24438,24438,0,PBC
2020-09-04,24438,24438,24438,24438,0,PBC
2020-09-07,24438,24438,24438,24438,0,PBC
2020-09-08,24438,24438,24438,24438,0,PBC
2020-09-09,24438,24438,24438,24438,0,PBC
2020-09-10,24438,24438,24438,24438,0,PBC
2020-09-11,24438,24438,24438,24438,0,PBC
2020-09-14,24438,24438,24438,24438,0,PBC
2020-09-15,24438,24438,24438,24438,0,PBC
2020-09-16,24438,24438,24438,24438,0,PBC
2020-09-17,24438,24438,24438,24438,0,PBC
2020-09-18,20814,20814,20814,20814,200,PBC
2020-09-21,17748,17748,17748,17748,100,PBC
2020-09-22,15239,15239,15146,15146,700,PBC
2020-09-23,15332,15332,15332,15332,500,PBC
2020-09-24,15332,15332,15332,15332,500,PBC
2020-09-25,13938,13938,13473,13473,2350,PBC
2020-09-28,13102,13102,13102,13102,300,PBC
2020-09-29,13102,13473,13102,13473,400,PBC
2020-09-30,13288,13288,13288,13288,100,PBC
2020-10-01,13288,13288,13288,13288,0,PBC
2020-10-02,11801,11801,11801,11801,140,PBC
