time,open,high,low,close,volume,ticker
2015-01-27,8565,8565,8565,8565,273600,PBP
2015-01-28,9406,9406,9326,9406,22900,PBP
2015-01-29,10326,10326,9326,9526,149500,PBP
2015-01-30,8645,8925,8605,8605,191000,PBP
2015-02-02,8605,8605,7765,7765,29800,PBP
2015-02-03,7765,8245,7404,8245,36100,PBP
2015-02-04,7965,8245,7604,8245,19800,PBP
2015-02-05,7604,7965,7444,7444,13800,PBP
2015-02-06,7444,7524,7364,7404,22000,PBP
2015-02-09,7124,7164,6844,7164,32900,PBP
2015-02-10,6844,7124,6804,6884,28300,PBP
2015-02-11,7204,7564,7204,7404,99700,PBP
2015-02-12,7404,7484,7244,7484,30000,PBP
2015-02-13,7404,7404,7284,7324,8500,PBP
2015-02-24,7364,7364,7124,7204,11613,PBP
2015-02-25,7124,7204,7004,7164,55500,PBP
2015-02-26,6924,7004,6924,6964,17900,PBP
2015-02-27,6964,7604,6924,7604,17400,PBP
2015-03-02,7204,7204,7044,7084,25400,PBP
2015-03-03,7044,7244,7044,7244,18100,PBP
2015-03-04,7244,7284,7084,7284,20900,PBP
2015-03-05,7124,7244,7124,7204,16500,PBP
2015-03-06,7124,7925,6924,7925,92000,PBP
2015-03-09,7925,8645,7845,8405,78200,PBP
2015-03-10,8245,8405,8005,8085,22400,PBP
2015-03-11,7805,7805,7645,7765,16700,PBP
2015-03-12,7604,7805,7524,7805,9800,PBP
2015-03-13,7805,7845,7604,7685,1800,PBP
2015-03-16,7604,7725,7604,7604,21100,PBP
2015-03-17,7524,7845,7524,7845,25400,PBP
2015-03-18,7685,7845,7685,7685,8200,PBP
2015-03-19,7604,7604,7604,7604,400,PBP
2015-03-20,7524,7805,7524,7765,5700,PBP
2015-03-23,7204,7645,7204,7444,1900,PBP
2015-03-24,7444,7444,7284,7404,24800,PBP
2015-03-25,7284,7284,7244,7244,5300,PBP
2015-03-26,7284,7645,7244,7645,14000,PBP
2015-03-27,7685,7685,7404,7564,1400,PBP
2015-03-30,7685,7685,7244,7244,8100,PBP
2015-03-31,7364,7444,7244,7444,8800,PBP
2015-04-01,7244,7284,7044,7124,15800,PBP
2015-04-02,7084,7404,7084,7244,5100,PBP
2015-04-03,7324,7324,7244,7244,21600,PBP
2015-04-06,7404,7444,7284,7444,2500,PBP
2015-04-07,7444,7444,7444,7444,5000,PBP
2015-04-08,7404,7404,7404,7404,1000,PBP
2015-04-09,7444,7444,7444,7444,2400,PBP
2015-04-10,7484,7484,7284,7404,13113,PBP
2015-04-13,7324,7364,7204,7364,70300,PBP
2015-04-14,7364,7364,7364,7364,3000,PBP
2015-04-15,7244,7364,7244,7324,1700,PBP
2015-04-16,7204,7284,7164,7244,45400,PBP
2015-04-17,7244,7244,7084,7244,23700,PBP
2015-04-20,7084,7164,7084,7164,17200,PBP
2015-04-21,7284,7324,7244,7284,5000,PBP
2015-04-22,7284,7284,7164,7204,14800,PBP
2015-04-23,7324,7324,7204,7324,15400,PBP
2015-04-24,7324,7404,7324,7404,8500,PBP
2015-04-27,7404,7604,7404,7524,10600,PBP
2015-05-04,7364,7364,7124,7124,43200,PBP
2015-05-05,7124,7324,7124,7324,8700,PBP
2015-05-06,7324,7524,7324,7524,4100,PBP
2015-05-07,7484,7484,7484,7484,100,PBP
2015-05-08,7404,7404,7244,7244,4800,PBP
2015-05-11,7324,7324,7284,7324,20000,PBP
2015-05-12,7324,7324,7284,7284,11000,PBP
2015-05-13,7284,7284,7244,7244,5600,PBP
2015-05-14,7284,7284,7244,7244,5500,PBP
2015-05-15,7019,7019,7019,7019,2600,PBP
2015-05-18,6884,6884,6839,6884,5100,PBP
2015-05-19,7109,7109,7109,7109,1900,PBP
2015-05-20,7109,7244,7109,7244,5300,PBP
2015-05-21,7244,7244,7109,7244,11800,PBP
2015-05-22,7109,7154,7064,7154,12400,PBP
2015-05-25,7154,7154,7064,7064,23800,PBP
2015-05-26,7064,7199,6884,7154,36300,PBP
2015-05-27,7154,7154,6929,7154,7800,PBP
2015-05-28,7064,7154,7064,7154,8100,PBP
2015-05-29,7199,7199,6974,6974,24000,PBP
2015-06-01,7109,7109,7109,7109,100,PBP
2015-06-02,7109,7154,7109,7109,3100,PBP
2015-06-03,7109,7109,7109,7109,3500,PBP
2015-06-04,7154,7154,7154,7154,100,PBP
2015-06-05,7154,7604,7154,7604,8100,PBP
2015-06-08,7199,7379,7199,7199,9500,PBP
2015-06-09,7379,7379,7019,7199,5900,PBP
2015-06-10,7199,7289,7199,7289,5400,PBP
2015-06-11,7199,7199,7199,7199,1600,PBP
2015-06-12,7199,7199,7199,7199,1500,PBP
2015-06-15,7199,7199,7199,7199,3500,PBP
2015-06-16,7199,7199,7199,7199,1200,PBP
2015-06-17,7199,7289,7109,7289,9000,PBP
2015-06-18,7199,7199,7199,7199,2300,PBP
2015-06-19,7199,7289,7199,7244,10500,PBP
2015-06-22,7199,7244,7199,7244,5900,PBP
2015-06-23,7244,7244,7199,7244,14400,PBP
2015-06-24,7199,7244,7199,7244,4900,PBP
2015-06-25,7199,7199,7199,7199,2800,PBP
2015-06-26,7199,7199,7199,7199,6000,PBP
2015-06-29,7154,7154,7154,7154,600,PBP
2015-06-30,7199,7199,7109,7109,800,PBP
2015-07-01,7109,7109,7109,7109,0,PBP
2015-07-02,7154,7154,7154,7199,6000,PBP
2015-07-03,7154,7154,7154,7154,200,PBP
2015-07-06,7154,7154,7154,7154,5200,PBP
2015-07-07,7064,7109,6884,7109,6600,PBP
2015-07-08,7154,7154,7154,7154,200,PBP
2015-07-09,7109,7109,7064,7109,4900,PBP
2015-07-10,7154,7154,7154,7154,13800,PBP
2015-07-13,7019,7154,7019,7109,4900,PBP
2015-07-14,7109,7109,7109,7109,0,PBP
2015-07-15,7019,7064,6974,7064,3600,PBP
2015-07-16,7019,7154,6974,7154,800,PBP
2015-07-17,7109,7109,7109,7109,200,PBP
2015-07-20,7154,7199,7154,7154,13400,PBP
2015-07-21,7199,7199,7154,7154,16500,PBP
2015-07-22,7154,7154,7154,7154,1200,PBP
2015-07-23,7199,7199,7109,7109,10200,PBP
2015-07-24,7109,7109,7064,7109,7100,PBP
2015-07-27,7244,7559,7199,7424,45800,PBP
2015-07-28,7424,7514,7379,7379,25300,PBP
2015-07-29,7424,7424,7244,7334,6400,PBP
2015-07-30,7334,7334,7199,7199,19900,PBP
2015-07-31,7244,7334,7244,7334,2200,PBP
2015-08-03,7289,7289,7289,7289,1000,PBP
2015-08-04,7019,7244,7019,7244,300,PBP
2015-08-05,7244,7289,7199,7244,16500,PBP
2015-08-06,7199,7289,7199,7289,1500,PBP
2015-08-07,7244,7514,7199,7514,8200,PBP
2015-08-10,7424,7424,7334,7334,4200,PBP
2015-08-11,7469,7469,7424,7424,8500,PBP
2015-08-12,7379,7379,7379,7379,400,PBP
2015-08-13,7244,7244,7199,7199,1300,PBP
2015-08-14,7199,7199,7109,7109,1500,PBP
2015-08-17,7199,7199,7199,7199,1500,PBP
2015-08-18,7199,7199,7154,7154,14800,PBP
2015-08-19,7199,7199,7154,7199,8900,PBP
2015-08-20,7199,7199,7154,7154,1100,PBP
2015-08-21,7109,7289,7109,7199,17000,PBP
2015-08-24,7109,7154,6569,6569,4000,PBP
2015-08-25,6569,7154,6569,7064,9300,PBP
2015-08-26,7199,7244,7199,7199,500,PBP
2015-08-27,7649,7649,7649,7649,100,PBP
2015-08-28,7199,7199,7199,7199,1500,PBP
2015-08-31,7199,7199,7109,7154,4400,PBP
2015-09-01,7199,7199,7154,7154,7700,PBP
2015-09-03,7109,7244,7109,7109,5100,PBP
2015-09-04,7244,7244,7154,7154,2100,PBP
2015-09-07,7154,7154,7154,7154,0,PBP
2015-09-08,7244,7244,7244,7244,100,PBP
2015-09-09,7154,7154,7109,7109,1200,PBP
2015-09-10,7109,7109,7109,7109,1000,PBP
2015-09-11,7289,7289,6929,7109,1200,PBP
2015-09-14,7109,7109,7109,7109,0,PBP
2015-09-15,7154,7154,7154,7154,500,PBP
2015-09-16,7064,7154,7064,7154,1100,PBP
2015-09-17,7289,7289,7289,7289,100,PBP
2015-09-18,7199,7199,7109,7109,4000,PBP
2015-09-21,6524,7289,6524,7109,1400,PBP
2015-09-22,7109,7109,7109,7109,200,PBP
2015-09-23,7109,7109,7019,7109,9300,PBP
2015-09-24,7154,7154,7109,7109,2100,PBP
2015-09-25,7109,7109,7109,7109,500,PBP
2015-09-28,7064,7064,7064,7064,2200,PBP
2015-09-29,7064,7064,7064,7064,1000,PBP
2015-09-30,7109,7244,7109,7244,6500,PBP
2015-10-01,7109,7154,7109,7154,1800,PBP
2015-10-02,7199,7199,7154,7154,4200,PBP
2015-10-05,7154,7154,7109,7109,2000,PBP
2015-10-06,7424,7424,7424,7424,100,PBP
2015-10-07,7199,7199,7199,7199,1000,PBP
2015-10-08,7199,7199,7199,7199,0,PBP
2015-10-09,7064,7289,7064,7289,27600,PBP
2015-10-12,7199,7289,7199,7289,11000,PBP
2015-10-13,7199,7289,7199,7199,2100,PBP
2015-10-14,7199,7199,7199,7199,6400,PBP
2015-10-15,7244,7649,7244,7514,48300,PBP
2015-10-16,7514,7514,7424,7469,17600,PBP
2015-10-19,7424,7469,7424,7469,18900,PBP
2015-10-20,7469,7739,7469,7739,64000,PBP
2015-10-21,7649,8144,7649,7964,110400,PBP
2015-10-22,8009,8729,8009,8459,107600,PBP
2015-10-23,8504,8504,7874,7964,84600,PBP
