time,open,high,low,close,volume,ticker
2022-07-28,14300,14300,11000,14300,793900,PCH
2022-07-29,15700,15700,14100,15700,1401600,PCH
2022-08-01,17200,17200,14200,16500,1532500,PCH
2022-08-02,16500,16800,14900,15900,787300,PCH
2022-08-03,15900,16000,14400,14700,698800,PCH
2022-08-04,14700,14700,13300,13300,425300,PCH
2022-08-05,12200,12700,12000,12000,515500,PCH
2022-08-08,11700,12800,11300,12100,158800,PCH
2022-08-09,12000,12300,11900,12000,81000,PCH
2022-08-10,12000,12000,11600,11600,96800,PCH
2022-08-11,11700,11900,11400,11400,79300,PCH
2022-08-12,11400,11400,11200,11400,78900,PCH
2022-08-15,11400,11400,11200,11300,58700,PCH
2022-08-16,11300,11300,10900,10900,138000,PCH
2022-08-17,10900,10900,10300,10600,126900,PCH
2022-08-18,10600,10600,9600,9800,119500,PCH
2022-08-19,9800,10700,9500,10700,1337900,PCH
2022-08-22,10700,11700,10500,11700,202200,PCH
2022-08-23,11000,11700,11000,11100,89200,PCH
2022-08-24,10500,10900,10200,10500,140100,PCH
2022-08-25,10200,10700,10200,10500,67200,PCH
2022-08-26,10400,10500,10000,10100,113700,PCH
2022-08-29,10000,10000,9400,9600,111600,PCH
2022-08-30,9800,10200,9500,9700,25700,PCH
2022-08-31,9700,9700,9400,9400,86200,PCH
2022-09-05,9500,9700,9100,9500,92900,PCH
2022-09-06,9300,9500,9300,9400,68600,PCH
2022-09-07,9300,9300,8900,8900,185600,PCH
2022-09-08,8600,8800,8500,8500,53200,PCH
2022-09-09,8500,8700,8000,8100,129300,PCH
2022-09-12,8100,8900,8100,8500,34300,PCH
2022-09-13,8800,8800,8200,8800,26300,PCH
2022-09-14,8300,8600,8300,8600,35000,PCH
2022-09-15,8300,8700,8000,8400,67100,PCH
2022-09-16,8300,8300,8000,8100,56600,PCH
2022-09-19,8500,8500,7300,7400,105700,PCH
2022-09-20,7500,7500,6900,7000,76600,PCH
2022-09-21,7000,7300,6900,7200,28800,PCH
2022-09-22,7000,7300,7000,7200,33900,PCH
2022-09-23,7000,7300,7000,7100,40200,PCH
2022-09-26,7100,7100,6400,6800,55900,PCH
2022-09-27,6600,7000,6400,6800,50700,PCH
2022-09-28,6500,6700,6300,6600,28700,PCH
2022-09-29,6800,6900,6300,6300,20000,PCH
2022-09-30,6200,6200,5700,6000,58700,PCH
2022-10-03,5900,5900,5400,5400,55200,PCH
2022-10-04,5800,5800,5400,5400,25800,PCH
2022-10-05,5600,5600,5400,5600,23200,PCH
2022-10-06,5500,5600,5100,5600,39800,PCH
2022-10-07,5400,5800,5300,5500,53900,PCH
2022-10-10,5800,5800,5400,5700,7200,PCH
2022-10-11,5400,5500,5300,5300,14200,PCH
2022-10-12,5000,5600,5000,5400,19900,PCH
2022-10-13,5400,5600,5300,5400,33500,PCH
2022-10-14,5400,5800,5400,5800,37000,PCH
2022-10-17,5800,6300,5800,6200,88600,PCH
2022-10-18,6000,6500,6000,6500,21500,PCH
2022-10-19,6400,6600,6000,6300,13000,PCH
2022-10-20,6100,6200,5700,5700,95100,PCH
2022-10-21,6000,6000,5200,5600,38200,PCH
2022-10-24,5600,5600,5100,5100,62300,PCH
2022-10-25,5100,5500,5000,5400,10800,PCH
2022-10-26,5300,5500,5200,5200,9200,PCH
2022-10-27,5200,5500,5200,5400,4800,PCH
2022-10-28,5800,5800,5000,5400,30700,PCH
2022-10-31,5300,5400,4900,5400,62200,PCH
2022-11-01,5800,5800,5000,5400,31000,PCH
2022-11-02,5400,5400,5100,5300,15900,PCH
2022-11-03,5200,5200,5000,5100,19900,PCH
2022-11-04,4800,4900,4700,4800,21300,PCH
2022-11-07,4800,4800,4400,4500,20800,PCH
2022-11-08,4600,4600,4300,4500,2100,PCH
2022-11-09,4100,4700,4100,4600,1800,PCH
2022-11-10,4500,4500,4200,4200,23000,PCH
2022-11-11,4400,4400,4200,4300,4500,PCH
2022-11-14,4000,4000,3900,3900,34200,PCH
2022-11-15,3900,3900,3600,3700,37100,PCH
2022-11-16,3600,4000,3600,3900,15400,PCH
2022-11-17,3600,4000,3600,3900,7900,PCH
2022-11-18,3700,4000,3600,3800,9300,PCH
2022-11-21,3900,4000,3900,3900,13300,PCH
2022-11-22,4000,4200,4000,4100,64300,PCH
2022-11-23,4100,4200,4000,4000,12600,PCH
2022-11-24,4300,4300,3900,4000,3200,PCH
2022-11-25,3900,4000,3800,4000,30600,PCH
2022-11-28,4000,4300,3800,4000,65900,PCH
2022-11-29,4000,4100,3800,4100,56600,PCH
2022-11-30,4000,4300,4000,4300,37700,PCH
2022-12-01,4300,4700,4300,4700,123200,PCH
2022-12-02,5100,5100,4900,5100,172400,PCH
2022-12-05,5600,5600,5400,5500,223100,PCH
2022-12-06,5600,5600,5100,5100,130800,PCH
2022-12-07,4800,5300,4700,4800,46700,PCH
2022-12-08,4700,5200,4700,5100,46400,PCH
2022-12-09,5000,5400,4800,5100,17200,PCH
2022-12-12,4900,5100,4800,4800,8200,PCH
2022-12-13,4800,4800,4600,4700,27700,PCH
2022-12-14,4900,5000,4700,4900,8700,PCH
2022-12-15,4700,5100,4700,5100,9200,PCH
2022-12-16,5000,5300,4900,5000,9100,PCH
2022-12-19,5100,5200,5000,5100,20200,PCH
2022-12-20,5000,5100,4800,4900,17800,PCH
2022-12-21,4900,4900,4800,4900,24700,PCH
2022-12-22,4900,5000,4900,5000,2200,PCH
2022-12-23,4900,5000,4900,5000,15400,PCH
2022-12-26,4900,4900,4800,4800,29100,PCH
2022-12-27,4900,5000,4900,5000,200,PCH
2022-12-28,5500,5500,4900,5000,2200,PCH
2022-12-29,5000,5100,5000,5000,7100,PCH
2022-12-30,5000,5100,5000,5100,1100,PCH
2023-01-03,5100,5200,5100,5200,10400,PCH
2023-01-04,5400,5400,5000,5200,6600,PCH
2023-01-05,5100,5300,5000,5300,13000,PCH
2023-01-06,5300,5500,5100,5300,3500,PCH
2023-01-09,5300,5400,5100,5200,26600,PCH
2023-01-10,5200,5200,5000,5200,6800,PCH
2023-01-11,5000,5200,5000,5200,8300,PCH
2023-01-12,5200,5200,5100,5200,11400,PCH
2023-01-13,5200,5300,5100,5200,2700,PCH
2023-01-16,5100,5100,5000,5000,7500,PCH
2023-01-17,5500,5500,5000,5100,11900,PCH
2023-01-18,5300,5300,4900,5000,12100,PCH
2023-01-19,4900,5200,4800,5200,18400,PCH
2023-01-27,5000,5200,5000,5100,9800,PCH
2023-01-30,5100,5200,5100,5200,16700,PCH
2023-01-31,5300,5300,5100,5100,4200,PCH
2023-02-01,5100,5300,5100,5100,33700,PCH
2023-02-02,5000,5000,5000,5000,1400,PCH
2023-02-03,5100,5100,4800,4900,40200,PCH
2023-02-06,5000,5000,5000,5000,13300,PCH
2023-02-07,5100,5100,4900,4900,5500,PCH
2023-02-08,5100,5100,4800,4800,4700,PCH
2023-02-09,4800,4900,4800,4900,8900,PCH
2023-02-10,4900,4900,4800,4800,19000,PCH
2023-02-13,4700,5000,4600,5000,28400,PCH
2023-02-14,5000,5000,5000,5000,0,PCH
2023-02-15,5100,5100,4900,5100,10200,PCH
2023-02-16,4900,5100,4900,5000,4600,PCH
2023-02-17,5100,5100,4900,5000,10800,PCH
2023-02-20,5000,5100,4900,5100,21200,PCH
2023-02-21,5100,5500,4900,5200,10900,PCH
2023-02-22,5000,5200,5000,5200,5500,PCH
2023-02-23,5100,5100,5100,5100,100,PCH
2023-02-24,5000,5000,5000,5000,2000,PCH
2023-02-27,4900,5000,4900,5000,12100,PCH
2023-02-28,5000,5000,4900,5000,2500,PCH
2023-03-01,5000,5000,4900,5000,9200,PCH
2023-03-02,5000,5000,5000,5000,6400,PCH
2023-03-03,5000,5000,5000,5000,100,PCH
2023-03-06,5200,5200,5000,5000,1600,PCH
2023-03-07,5000,5000,4900,5000,4200,PCH
2023-03-08,4900,5000,4900,4900,3800,PCH
2023-03-09,5000,5000,4800,4900,13500,PCH
2023-03-10,5200,5200,5100,5100,200,PCH
2023-03-13,5100,5100,4900,4900,7500,PCH
2023-03-14,4800,5000,4800,5000,9700,PCH
2023-03-15,4900,5100,4900,5100,8700,PCH
2023-03-16,5000,5000,4900,5000,3200,PCH
2023-03-17,4900,5100,4900,5100,9500,PCH
2023-03-20,5100,5500,4900,5500,11900,PCH
2023-03-21,5300,5600,5000,5600,17300,PCH
2023-03-22,5100,5700,5100,5700,20900,PCH
2023-03-23,5200,5200,5200,5200,48000,PCH
2023-03-24,4800,5100,4700,5100,294900,PCH
2023-03-27,4600,4900,4600,4800,146500,PCH
2023-03-28,4600,4700,4400,4700,347000,PCH
2023-03-29,4500,4600,4300,4300,267600,PCH
2023-03-30,4300,4700,3900,4200,530000,PCH
2023-03-31,4200,4400,4100,4100,36400,PCH
2023-04-03,4300,4300,4100,4300,82400,PCH
2023-04-04,4400,4400,4100,4200,58600,PCH
2023-04-05,4300,4300,4100,4300,97200,PCH
2023-04-06,4300,4500,4300,4400,142500,PCH
2023-04-07,4300,4500,4200,4300,65400,PCH
2023-04-10,4400,4400,4200,4300,35300,PCH
2023-04-11,4300,4300,4200,4300,5200,PCH
2023-04-12,4300,4300,4200,4200,52500,PCH
2023-04-13,4300,4300,4200,4300,34400,PCH
2023-04-14,4300,4400,4100,4300,83200,PCH
2023-04-17,4200,4300,4100,4300,17200,PCH
2023-04-18,4300,4300,4100,4200,8300,PCH
