time,open,high,low,close,volume,ticker
2010-07-14,3721,3721,3308,3308,2200,PDN
2010-07-15,3498,3498,3498,3498,0,PDN
2010-07-16,3498,3498,3498,3498,0,PDN
2010-07-19,3308,3308,3308,3308,2000,PDN
2010-07-20,3308,3308,3308,3308,2000,PDN
2010-07-21,3308,3308,3308,3308,0,PDN
2010-07-22,3308,3308,3308,3308,1100,PDN
2010-07-23,3308,3308,3308,3308,0,PDN
2010-07-26,3308,3308,3308,3308,0,PDN
2010-07-27,3308,3308,3308,3308,0,PDN
2010-07-28,3308,3308,3308,3308,0,PDN
2010-07-29,3308,3308,3308,3308,0,PDN
2010-07-30,3308,3308,3308,3308,0,PDN
2010-08-02,3308,3308,3308,3308,0,PDN
2010-08-03,3308,3308,3308,3308,0,PDN
2010-08-04,3308,3308,3308,3308,0,PDN
2010-08-05,2977,2977,2977,2977,200,PDN
2010-08-06,2977,2977,2977,2977,0,PDN
2010-08-09,2977,2977,2977,2977,0,PDN
2010-08-10,2977,2977,2977,2977,100,PDN
2010-08-11,2679,2679,2679,2679,200,PDN
2010-08-12,2679,2679,2679,2679,0,PDN
2010-08-13,2679,2679,2679,2679,0,PDN
2010-08-16,2621,2621,2621,2621,0,PDN
2010-08-17,2621,2621,2621,2621,0,PDN
2010-08-18,2621,2621,2621,2621,0,PDN
2010-08-19,2878,2878,2878,2878,100,PDN
2010-08-20,2878,2878,2878,2878,0,PDN
2010-08-23,2878,2878,2878,2878,0,PDN
2010-08-24,2878,2878,2878,2878,0,PDN
2010-08-25,2878,2878,2878,2878,0,PDN
2010-08-26,2878,2878,2878,2878,0,PDN
2010-08-27,2878,2878,2878,2878,0,PDN
2010-08-30,2878,2878,2878,2878,0,PDN
2010-08-31,2878,2878,2878,2878,0,PDN
2010-09-01,2878,2878,2878,2878,0,PDN
2010-09-06,2878,2878,2878,2878,0,PDN
2010-09-07,2878,2878,2878,2878,0,PDN
2010-09-08,2878,2878,2878,2878,0,PDN
2010-09-09,2878,2878,2878,2878,0,PDN
2010-09-10,2878,2878,2878,2878,0,PDN
2010-09-13,2878,2878,2878,2878,0,PDN
2010-09-14,2878,2878,2878,2878,0,PDN
2010-09-15,2878,2878,2878,2878,0,PDN
