time,open,high,low,close,volume,ticker
2016-01-18,4096,4096,4096,4096,0,PEQ
2016-01-19,4096,4096,4096,4096,0,PEQ
2016-01-20,4096,4096,4096,4096,0,PEQ
2016-01-21,4096,4096,4096,4096,0,PEQ
2016-01-22,4096,4096,4096,4096,0,PEQ
2016-01-25,4096,4096,4096,4096,0,PEQ
2016-01-26,4096,4096,4096,4096,0,PEQ
2016-01-27,4096,4096,4096,4096,0,PEQ
2016-01-28,4096,4096,4096,4096,0,PEQ
2016-01-29,4096,4096,4096,4096,0,PEQ
2016-02-01,4096,4096,4096,4096,0,PEQ
2016-02-02,4096,4096,4096,4096,0,PEQ
2016-02-03,4096,4096,4096,4096,0,PEQ
2016-02-04,4096,4096,4096,4096,0,PEQ
2016-02-05,4096,4096,4096,4096,0,PEQ
2016-02-15,4096,4096,4096,4096,0,PEQ
2016-02-16,4096,4096,4096,4096,0,PEQ
2016-02-17,2491,2491,2491,2491,5000,PEQ
2016-02-18,2768,2851,2768,2851,2000,PEQ
2016-02-19,2823,2823,2823,2823,0,PEQ
2016-02-22,2823,2823,2823,2823,0,PEQ
2016-02-23,2851,2851,2851,2851,1000,PEQ
2016-02-24,2851,2851,2851,2851,0,PEQ
2016-02-25,2851,2851,2851,2851,0,PEQ
2016-02-26,3044,3044,3044,3044,200,PEQ
2016-02-29,2906,2906,2906,2906,3800,PEQ
2016-03-01,2906,2906,2906,2906,0,PEQ
2016-03-02,2906,2906,2906,2906,0,PEQ
2016-03-03,2906,2906,2906,2906,0,PEQ
2016-03-04,3044,3044,3044,3044,2000,PEQ
2016-03-07,3321,3321,3321,3321,1000,PEQ
2016-03-08,3321,3321,3321,3321,0,PEQ
2016-03-09,3321,3321,3321,3321,0,PEQ
2016-03-10,3321,3321,3321,3321,0,PEQ
2016-03-11,3321,3321,3321,3321,0,PEQ
2016-03-14,3321,3321,3321,3321,0,PEQ
2016-03-15,3321,3321,3321,3321,0,PEQ
2016-03-16,3460,3460,3460,3460,100,PEQ
2016-03-17,3460,3460,3460,3460,0,PEQ
2016-03-18,3460,3460,3460,3460,0,PEQ
2016-03-21,3543,3598,3543,3598,1000,PEQ
2016-03-22,3598,3598,3598,3598,0,PEQ
2016-03-23,3072,3072,3072,3072,100,PEQ
2016-03-24,2934,2934,2934,2934,100,PEQ
2016-03-25,2934,2934,2934,2934,0,PEQ
2016-03-28,2934,2934,2934,2934,0,PEQ
2016-03-29,3349,3349,2768,2768,5100,PEQ
2016-03-30,3847,3847,2878,2878,4100,PEQ
2016-03-31,3736,3736,3598,3598,2000,PEQ
2016-04-01,4207,4207,4207,4207,2900,PEQ
2016-04-04,4207,4207,4207,4207,0,PEQ
2016-04-05,4207,4207,4207,4207,0,PEQ
2016-04-06,4207,4207,4207,4207,0,PEQ
2016-04-07,4207,4207,4207,4207,500,PEQ
2016-04-08,4207,4207,4207,4207,0,PEQ
2016-04-11,3598,3598,3598,3598,100,PEQ
2016-04-12,3598,3598,3598,3598,200,PEQ
2016-04-13,3072,3072,3072,3072,100,PEQ
2016-04-14,3072,3072,3072,3072,0,PEQ
2016-04-15,3072,3072,3072,3072,0,PEQ
2016-04-19,2657,2657,2657,2657,100,PEQ
2016-04-20,2657,2657,2657,2657,0,PEQ
2016-04-21,2657,2657,2657,2657,0,PEQ
2016-04-22,2657,2657,2657,2657,0,PEQ
2016-04-25,2657,2657,2657,2657,0,PEQ
2016-04-26,2657,2657,2657,2657,0,PEQ
2016-04-27,2657,2657,2657,2657,0,PEQ
2016-04-28,2657,2657,2657,2657,0,PEQ
2016-04-29,2657,2657,2657,2657,0,PEQ
2016-05-04,2657,2657,2657,2657,0,PEQ
2016-05-05,2657,2657,2657,2657,0,PEQ
2016-05-06,2657,2657,2657,2657,0,PEQ
2016-05-09,2657,2657,2657,2657,0,PEQ
2016-05-10,2657,2657,2657,2657,0,PEQ
2016-05-11,2657,2657,2657,2657,0,PEQ
2016-05-12,2657,2657,2657,2657,0,PEQ
2016-05-13,2657,2657,2657,2657,0,PEQ
2016-05-16,2277,3037,2277,3037,200,PEQ
2016-05-17,2657,2657,2657,2657,0,PEQ
2016-05-18,2657,2657,2657,2657,0,PEQ
2016-05-19,2657,2657,2657,2657,0,PEQ
2016-05-20,2277,2277,2277,2277,100,PEQ
2016-05-23,2277,2277,2277,2277,0,PEQ
2016-05-24,2277,2277,2277,2277,0,PEQ
2016-05-25,2277,2277,2277,2277,0,PEQ
2016-05-26,2277,2277,2277,2277,0,PEQ
2016-05-27,2277,2277,2277,2277,0,PEQ
2016-05-30,2277,2277,2277,2277,0,PEQ
2016-05-31,2277,2277,2277,2277,0,PEQ
2016-06-01,2277,2277,2277,2277,0,PEQ
2016-06-02,2277,2277,2277,2277,0,PEQ
2016-06-03,2277,2277,2277,2277,0,PEQ
2016-06-06,2277,2277,2277,2277,0,PEQ
2016-06-07,2277,2277,2277,2277,0,PEQ
2016-06-08,2277,2277,2277,2277,0,PEQ
2016-06-09,2277,2277,2277,2277,0,PEQ
2016-06-10,2277,2277,2277,2277,0,PEQ
2016-06-13,2277,2277,2277,2277,0,PEQ
2016-06-14,2277,2277,2277,2277,0,PEQ
2016-06-15,2277,2277,2277,2277,0,PEQ
2016-06-16,2277,2277,2277,2277,40,PEQ
2016-06-17,2277,2277,2277,2277,0,PEQ
2016-06-20,2594,2594,2594,2594,100,PEQ
2016-06-21,2594,2594,2594,2594,0,PEQ
2016-06-22,2594,2594,2594,2594,0,PEQ
2016-06-23,2594,2594,2594,2594,0,PEQ
2016-06-24,2594,2594,2594,2594,0,PEQ
2016-06-27,2625,2625,2625,2625,100,PEQ
2016-06-28,2625,2625,2625,2625,0,PEQ
2016-06-29,2625,2625,2625,2625,0,PEQ
2016-06-30,2625,2625,2625,2625,0,PEQ
2016-07-01,2625,2625,2625,2625,0,PEQ
2016-07-04,2625,2625,2625,2625,0,PEQ
2016-07-05,2625,2625,2625,2625,0,PEQ
2016-07-06,2625,2625,2625,2625,0,PEQ
2016-07-07,2625,2625,2625,2625,0,PEQ
2016-07-08,2625,2625,2625,2625,0,PEQ
2016-07-11,2625,2625,2625,2625,0,PEQ
2016-07-12,2625,2625,2625,2625,0,PEQ
2016-07-13,2625,2625,2625,2625,0,PEQ
2016-07-14,2625,2625,2625,2625,0,PEQ
2016-07-15,2625,2625,2625,2625,0,PEQ
2016-07-18,2625,2625,2625,2625,0,PEQ
2016-07-19,2625,2625,2625,2625,0,PEQ
2016-07-20,3005,3005,3005,3005,100,PEQ
2016-07-21,3448,3448,3448,3448,100,PEQ
2016-07-22,3954,3954,3954,3954,200,PEQ
2016-07-25,3954,3954,3954,3954,0,PEQ
2016-07-26,3385,4523,3385,4523,2300,PEQ
2016-07-27,3005,3005,3005,3005,2000,PEQ
2016-07-28,3005,3005,3005,3005,0,PEQ
2016-07-29,3005,3005,3005,3005,0,PEQ
2016-08-01,3448,3448,3448,3448,100,PEQ
2016-08-02,3954,3954,3954,3954,100,PEQ
2016-08-03,3954,3954,3954,3954,0,PEQ
2016-08-04,3385,4523,3385,4523,600,PEQ
2016-08-05,3764,3764,3764,3764,0,PEQ
2016-08-08,3764,3764,3764,3764,0,PEQ
2016-08-09,3764,3764,3764,3764,0,PEQ
2016-08-10,3764,3764,3764,3764,0,PEQ
2016-08-11,3764,3764,3764,3764,0,PEQ
2016-08-12,3764,3764,3764,3764,0,PEQ
2016-08-15,3764,3764,3764,3764,0,PEQ
2016-08-16,3764,3764,3764,3764,0,PEQ
