time,open,high,low,close,volume,ticker
2010-11-17,9962,9962,7663,8353,574100,PFL
2010-11-18,8429,8583,8429,8583,254100,PFL
2010-11-19,9119,9119,9042,9119,77600,PFL
2010-11-22,9732,9732,8583,9272,271500,PFL
2010-11-23,9272,9425,8966,9272,166700,PFL
2010-11-24,9349,9349,8889,9042,189600,PFL
2010-11-25,9196,9655,9042,9272,192200,PFL
2010-11-26,9119,9349,9042,9196,170600,PFL
2010-11-29,8966,9809,8659,9809,311100,PFL
2010-11-30,9962,10115,9962,10115,652800,PFL
2010-12-01,10345,10805,9962,10575,1035600,PFL
2010-12-02,10958,11341,10728,11341,583100,PFL
2010-12-03,11571,11954,11571,11954,468400,PFL
2010-12-06,12721,12721,11341,11495,774800,PFL
2010-12-07,11265,11801,11188,11188,487800,PFL
2010-12-08,10498,11265,10498,10498,388700,PFL
2010-12-09,10575,10805,9962,10192,491100,PFL
2010-12-10,10958,11035,10728,11035,498700,PFL
2010-12-13,11801,11801,11725,11801,531400,PFL
2010-12-14,12414,12414,11035,11035,1027600,PFL
2010-12-15,11265,11495,10575,10728,423000,PFL
2010-12-16,10345,10728,10268,10422,298100,PFL
2010-12-17,10422,11111,10422,11111,303400,PFL
2010-12-20,11495,11571,11035,11188,581900,PFL
2010-12-21,11111,11418,10728,11188,226000,PFL
2010-12-22,11265,11341,10728,10728,272500,PFL
2010-12-23,10728,11035,10345,10498,173900,PFL
2010-12-24,10652,10882,10422,10652,155700,PFL
2010-12-27,10958,10958,10345,10575,201200,PFL
2010-12-28,10805,11035,10575,11035,211700,PFL
2010-12-29,11188,11188,10575,10728,194500,PFL
2010-12-30,10805,10805,10422,10498,114900,PFL
2010-12-31,10805,10805,10422,10498,121200,PFL
2011-01-04,10958,11035,10422,10422,149100,PFL
2011-01-05,10652,10652,10039,10192,203900,PFL
2011-01-06,10345,10498,10115,10115,111000,PFL
2011-01-07,10422,10498,9962,10115,177200,PFL
2011-01-10,10115,10115,9579,9579,122500,PFL
2011-01-11,9579,9579,9119,9196,167700,PFL
2011-01-12,9655,9655,9272,9349,197300,PFL
2011-01-13,9579,9885,9425,9579,161600,PFL
2011-01-14,9579,9732,9425,9579,224600,PFL
2011-01-17,9962,9962,9579,9655,248700,PFL
2011-01-18,9579,9732,9502,9579,219900,PFL
2011-01-19,9579,9655,9349,9425,107300,PFL
2011-01-20,9579,9655,9425,9502,151200,PFL
2011-01-21,9579,9732,9502,9579,171500,PFL
2011-01-24,9732,9732,9196,9196,145000,PFL
2011-01-25,9425,9425,8889,9042,133200,PFL
2011-01-26,9349,9425,9042,9196,46900,PFL
2011-01-27,9196,9349,9196,9349,92800,PFL
2011-01-28,9425,9425,9196,9272,153100,PFL
2011-02-08,9655,9655,9196,9349,40000,PFL
2011-02-09,9579,9962,9502,9732,314900,PFL
2011-02-10,9809,9809,9425,9502,93500,PFL
2011-02-11,9579,9655,9349,9425,78000,PFL
2011-02-14,9502,9579,9349,9425,101700,PFL
2011-02-15,9425,9425,9119,9272,233400,PFL
2011-02-16,9272,9425,9119,9119,99100,PFL
2011-02-17,9042,9042,8583,8736,247400,PFL
2011-02-18,8812,8889,8429,8583,179700,PFL
2011-02-21,8429,8429,8046,8046,242300,PFL
2011-02-22,7663,8123,7586,7816,218200,PFL
2011-02-23,8123,8199,7816,8199,152800,PFL
2011-02-24,8583,8583,7663,7893,292100,PFL
2011-02-25,8199,8199,7969,8199,158800,PFL
2011-02-28,8199,8199,7740,7816,183900,PFL
2011-03-01,7816,7969,7663,7740,90100,PFL
2011-03-02,7663,7663,7280,7280,270100,PFL
2011-03-03,7433,7433,6897,6973,268000,PFL
2011-03-04,7126,7203,7050,7203,149900,PFL
2011-03-07,7050,7203,6973,7050,93200,PFL
2011-03-08,7050,7280,6897,6897,86000,PFL
2011-03-09,6820,6820,6513,6513,211200,PFL
2011-03-10,6820,7050,6820,7050,160700,PFL
2011-03-11,7433,7510,7433,7510,108500,PFL
2011-03-14,7740,7740,7050,7050,192200,PFL
2011-03-15,7050,7126,6820,7050,253000,PFL
2011-03-16,7050,7203,6743,7050,59900,PFL
2011-03-17,7050,7203,6897,7050,119200,PFL
2011-03-18,7126,7510,6973,7510,213200,PFL
2011-03-21,7510,7740,7510,7740,463400,PFL
2011-03-22,7663,7740,7203,7203,133600,PFL
2011-03-23,7356,7510,7280,7510,90000,PFL
2011-03-24,7433,7433,7280,7280,102600,PFL
2011-03-25,7203,7356,7126,7203,90100,PFL
2011-03-28,7280,7356,7126,7126,44500,PFL
2011-03-29,7203,7203,6897,7050,77800,PFL
2011-03-30,7050,7050,6897,6973,27000,PFL
2011-03-31,7203,7203,6743,6820,139900,PFL
2011-04-01,6897,6897,6667,6743,89900,PFL
2011-04-04,6897,6973,6743,6973,128200,PFL
2011-04-05,7126,7126,6820,6973,72200,PFL
2011-04-06,7126,7280,6973,7050,68900,PFL
2011-04-07,7050,7126,6897,6897,22200,PFL
2011-04-08,6897,6897,6820,6820,59400,PFL
2011-04-13,6820,6820,6667,6743,146200,PFL
2011-04-14,6820,6820,6743,6820,161300,PFL
2011-04-15,6743,6820,6590,6590,70300,PFL
2011-04-18,6897,6897,6283,6360,57100,PFL
2011-04-19,6283,6437,6130,6207,122100,PFL
2011-04-20,6360,6437,6130,6130,56700,PFL
2011-04-21,6360,6360,6054,6130,52400,PFL
2011-04-22,6130,6130,5824,5977,162900,PFL
2011-04-25,6207,6283,5977,6283,79100,PFL
2011-04-26,6283,6283,5900,6054,154300,PFL
2011-04-27,5977,5977,5824,5977,62500,PFL
2011-04-28,5977,5977,5900,5977,32300,PFL
2011-04-29,5977,6130,5977,5977,34000,PFL
2011-05-04,5977,6130,5977,6054,66800,PFL
2011-05-05,6054,6054,5900,5977,141000,PFL
2011-05-06,5977,6054,5977,6054,17900,PFL
2011-05-09,6207,6437,6130,6360,213900,PFL
2011-05-10,6513,6513,6283,6360,129000,PFL
2011-05-11,6513,6513,6207,6207,74000,PFL
2011-05-12,6283,6283,6130,6207,62900,PFL
2011-05-13,6207,6207,6054,6054,27200,PFL
2011-05-16,5747,6130,5747,5977,97600,PFL
2011-05-17,5977,5977,5670,5670,97500,PFL
2011-05-18,5670,5670,5441,5517,93500,PFL
2011-05-19,5517,5517,5364,5441,53300,PFL
2011-05-20,5364,5441,5211,5287,61900,PFL
2011-05-23,5364,5364,4981,4981,105700,PFL
2011-05-24,4674,4751,4674,4674,128200,PFL
2011-05-25,4368,4444,4368,4368,209200,PFL
2011-05-26,4138,4598,4138,4521,177000,PFL
2011-05-27,4521,4521,4521,4521,71900,PFL
2011-05-30,4751,4827,4444,4444,149400,PFL
2011-05-31,4521,4674,4368,4521,94000,PFL
2011-06-01,4521,4827,4521,4827,130800,PFL
2011-06-02,4904,5134,4904,5134,122800,PFL
2011-06-03,5441,5441,4904,5134,370500,PFL
2011-06-06,5211,5211,4904,4981,143300,PFL
2011-06-07,5287,5287,5134,5287,134000,PFL
2011-06-08,5517,5517,5057,5517,415400,PFL
2011-06-09,5670,5747,5517,5747,192500,PFL
2011-06-10,6054,6054,6054,6054,12600,PFL
2011-06-13,6437,6437,6437,6437,685300,PFL
2011-06-14,6820,6820,6437,6743,1292700,PFL
2011-06-15,6437,6743,6360,6360,897200,PFL
2011-06-16,6054,6743,6054,6667,318100,PFL
