time,open,high,low,close,volume,ticker
2009-11-05,2534,2710,2041,2506,152500,PHC
2009-11-06,2675,2675,2499,2619,44700,PHC
2009-11-09,2802,2802,2471,2570,43200,PHC
2009-11-10,2710,2710,2394,2555,43700,PHC
2009-11-11,2555,2555,2379,2408,30100,PHC
2009-11-12,2246,2408,2246,2253,11200,PHC
2009-11-13,2098,2253,2098,2126,57900,PHC
2009-11-16,2246,2274,2246,2274,20100,PHC
2009-11-17,2323,2429,2323,2386,21500,PHC
2009-11-18,2408,2408,2225,2260,12000,PHC
2009-11-19,2119,2189,2105,2119,27400,PHC
2009-11-20,2182,2182,1992,2063,11600,PHC
2009-11-23,2203,2203,2013,2049,2800,PHC
2009-11-24,2006,2112,2006,2070,12000,PHC
2009-11-25,2112,2182,1929,1992,24800,PHC
2009-11-26,1901,1901,1858,1865,18400,PHC
2009-11-27,1739,1901,1739,1802,19100,PHC
2009-11-30,1901,1922,1809,1908,10700,PHC
2009-12-01,1936,2034,1936,2020,26400,PHC
2009-12-02,2041,2112,1971,2056,6200,PHC
2009-12-03,1915,1915,1915,1915,9500,PHC
2009-12-04,2006,2006,1901,1957,2100,PHC
2009-12-07,1971,1971,1957,1964,3200,PHC
2009-12-08,2006,2006,1837,1880,6400,PHC
2009-12-09,1795,1795,1753,1760,24600,PHC
2009-12-10,1746,1746,1654,1682,11400,PHC
2009-12-11,1619,1633,1570,1598,25400,PHC
2009-12-14,1675,1675,1619,1647,20900,PHC
2009-12-15,1647,1654,1640,1654,6500,PHC
2009-12-16,1654,1696,1654,1661,22000,PHC
2009-12-17,1619,1654,1591,1619,7000,PHC
2009-12-18,1725,1732,1725,1725,10800,PHC
2009-12-21,1725,1844,1725,1823,6000,PHC
2009-12-22,1844,1844,1830,1837,20200,PHC
2009-12-23,1753,1894,1753,1830,4200,PHC
2009-12-24,1837,1872,1837,1858,16900,PHC
2009-12-25,1858,1901,1858,1887,12000,PHC
2009-12-28,1901,1922,1901,1922,10500,PHC
2009-12-29,1922,1922,1887,1915,20500,PHC
2009-12-30,1922,2027,1922,1943,4800,PHC
2009-12-31,1971,1985,1971,1971,10300,PHC
2010-01-04,2006,2105,2006,2098,16300,PHC
2010-01-05,2239,2239,2232,2239,16400,PHC
2010-01-06,2182,2253,2182,2239,24500,PHC
2010-01-07,2239,2239,2217,2225,19200,PHC
2010-01-08,2232,2232,2077,2210,9300,PHC
2010-01-11,2182,2189,2119,2175,15500,PHC
2010-01-12,2253,2253,2168,2182,8000,PHC
2010-01-13,2112,2147,2077,2126,15700,PHC
