time,open,high,low,close,volume,ticker
2017-08-21,7164,7164,7164,7164,100,PLP
2017-08-22,7164,7662,7164,7662,200,PLP
2017-08-23,8184,8184,8184,8184,100,PLP
2017-08-24,8757,8757,8757,8757,100,PLP
2017-08-25,9354,9354,9354,9354,100,PLP
2017-08-28,10001,10001,10001,10001,100,PLP
2017-08-29,10697,10697,10697,10697,100,PLP
2017-08-30,11444,11444,11444,11444,61100,PLP
2017-08-31,12240,12240,12240,12240,225000,PLP
2017-09-01,13086,13086,13086,13086,287000,PLP
2017-09-05,13882,13882,13434,13832,261750,PLP
2017-09-06,13832,13832,12886,12886,226390,PLP
2017-09-07,12513,13583,12513,12886,119130,PLP
2017-09-08,12936,12936,12414,12414,62960,PLP
2017-09-11,12090,12414,11643,11842,114260,PLP
2017-09-12,11941,12663,11941,12663,102460,PLP
2017-09-13,13334,13384,12936,13384,104250,PLP
2017-09-14,13683,13683,12936,13334,204600,PLP
2017-09-15,13036,14255,13036,14180,414520,PLP
2017-09-18,14180,15150,14180,15126,446470,PLP
2017-09-19,15424,15922,14827,14827,281420,PLP
2017-09-20,14727,15374,14528,15126,277560,PLP
2017-09-21,15424,15424,14827,15076,106390,PLP
2017-09-22,14976,15175,14927,14927,123210,PLP
2017-09-25,14827,14902,13882,13931,243320,PLP
2017-09-26,13484,13931,13459,13931,120910,PLP
2017-09-27,13931,14628,13683,14429,154080,PLP
2017-09-28,14429,14528,14031,14031,72850,PLP
2017-09-29,14031,14230,13633,13683,74490,PLP
2017-10-02,13583,14031,13583,13857,144400,PLP
2017-10-03,13757,13857,13334,13384,57930,PLP
2017-10-04,13384,13658,13384,13658,116390,PLP
2017-10-05,13683,14130,13658,13707,169210,PLP
2017-10-06,13707,14006,13707,13832,58340,PLP
2017-10-09,13882,14130,13832,14106,320440,PLP
2017-10-10,14106,14927,14081,14927,369460,PLP
2017-10-11,14927,15175,14479,14578,201250,PLP
2017-10-12,14628,14752,14280,14479,158240,PLP
2017-10-13,14479,14528,14280,14429,70730,PLP
2017-10-16,14528,14703,14429,14479,106960,PLP
2017-10-17,14578,14727,14528,14553,157710,PLP
2017-10-18,14528,14578,14280,14280,157290,PLP
2017-10-19,14280,14329,14155,14230,197650,PLP
2017-10-20,14230,14429,14230,14429,192850,PLP
2017-10-23,14528,14578,13434,13434,143450,PLP
2017-10-24,13683,14081,13633,13732,100020,PLP
2017-10-25,13732,13732,13434,13633,121080,PLP
2017-10-26,12687,13732,12687,13732,292780,PLP
2017-10-27,13185,14130,13185,13882,209700,PLP
2017-10-30,13981,13981,13185,13185,28700,PLP
2017-10-31,13185,13185,12538,12886,86460,PLP
2017-11-01,13086,13086,12837,12886,45600,PLP
2017-11-02,13309,13309,12538,12538,37190,PLP
2017-11-03,12439,12687,11667,11667,297970,PLP
2017-11-06,11667,12464,11667,12464,165330,PLP
2017-11-07,12513,12687,12339,12538,18180,PLP
2017-11-08,12439,12439,11792,12090,51050,PLP
2017-11-09,12090,12090,11817,11891,90300,PLP
2017-11-10,11941,12339,11891,12140,43710,PLP
2017-11-13,11991,12289,11991,12289,40260,PLP
2017-11-14,12090,12339,12090,12289,30210,PLP
2017-11-15,12289,12289,12140,12190,25640,PLP
2017-11-16,12190,12588,12190,12439,126070,PLP
2017-11-17,12439,12588,12190,12190,59600,PLP
2017-11-20,12190,12240,12165,12190,25110,PLP
2017-11-21,12339,12339,12140,12240,66310,PLP
2017-11-22,12240,12389,12065,12215,40710,PLP
2017-11-23,12215,12439,12140,12439,36930,PLP
2017-11-24,12240,12513,12140,12140,89030,PLP
2017-11-27,12190,12240,11966,11966,100390,PLP
2017-11-28,12190,12339,11991,12190,31350,PLP
2017-11-29,12190,13036,12190,13036,175370,PLP
2017-11-30,13583,13583,12986,12986,59430,PLP
2017-12-01,12961,13036,12687,12886,42450,PLP
2017-12-04,12936,12936,12389,12389,88690,PLP
2017-12-05,12687,12687,12289,12588,38830,PLP
2017-12-06,12289,12638,12140,12289,55950,PLP
2017-12-07,12389,12414,12140,12190,40260,PLP
2017-12-08,12190,12389,11941,12240,108210,PLP
2017-12-11,12339,12339,11842,12041,97570,PLP
2017-12-12,11941,12041,11220,11792,112800,PLP
2017-12-13,11842,11842,11444,11692,94200,PLP
2017-12-14,11692,11842,11344,11792,79960,PLP
2017-12-15,11792,11792,11444,11444,94010,PLP
2017-12-18,11692,11692,11294,11294,136610,PLP
2017-12-19,11195,11294,10946,11045,117740,PLP
2017-12-20,11045,11444,10996,11170,56690,PLP
2017-12-21,11294,11294,10672,10672,143090,PLP
2017-12-22,10672,10697,9926,9926,232530,PLP
2017-12-25,10150,10200,9926,10200,74460,PLP
2017-12-26,10548,10697,10374,10697,77530,PLP
2017-12-27,10747,10747,10349,10448,51800,PLP
2017-12-28,10150,10498,10150,10498,46760,PLP
2017-12-29,10498,10498,10100,10299,52040,PLP
2018-01-02,10299,10349,9951,10200,39510,PLP
2018-01-03,10175,10175,9901,10100,90350,PLP
2018-01-04,10100,10100,9851,10050,72370,PLP
2018-01-05,10050,10050,9951,9951,32020,PLP
2018-01-08,9702,10050,9702,10050,26240,PLP
2018-01-09,10050,10598,9951,10498,126970,PLP
2018-01-10,10498,10598,10075,10399,35800,PLP
2018-01-11,10050,10349,10050,10249,29390,PLP
2018-01-12,10001,10299,9951,10001,54890,PLP
2018-01-15,10001,10349,10001,10150,36980,PLP
2018-01-16,10150,10374,10100,10150,18680,PLP
2018-01-17,10150,10349,10100,10150,19770,PLP
2018-01-18,10249,10249,9951,10150,55700,PLP
2018-01-19,10349,10349,10150,10225,39460,PLP
2018-01-22,10249,10249,10001,10100,31300,PLP
2018-01-25,10100,10100,9404,9802,70320,PLP
2018-01-26,9851,9851,9329,9453,96710,PLP
2018-01-29,9453,9453,9105,9204,70440,PLP
2018-01-30,9404,9404,8956,8956,62760,PLP
2018-01-31,9005,9453,9005,9279,43230,PLP
2018-02-01,9354,9926,9279,9926,142060,PLP
2018-02-02,10200,10249,9901,10050,41090,PLP
2018-02-05,9951,9951,9354,9354,24790,PLP
2018-02-06,9005,9005,8707,8956,90590,PLP
2018-02-07,9453,9553,9105,9204,30420,PLP
2018-02-08,9503,9503,9105,9180,19810,PLP
2018-02-09,8782,9404,8782,9329,13480,PLP
2018-02-12,9404,9851,9404,9752,40690,PLP
2018-02-13,9951,10424,9702,10424,55080,PLP
2018-02-21,10448,11145,10448,11145,111560,PLP
2018-02-22,11543,11916,11419,11643,236770,PLP
2018-02-23,11792,12439,11195,11916,100830,PLP
2018-02-26,12314,12314,11643,11891,111210,PLP
2018-02-27,11742,11941,11394,11444,75010,PLP
2018-02-28,11444,11493,11045,11045,73480,PLP
2018-03-01,10946,11692,10548,11095,38130,PLP
2018-03-02,11145,11543,11145,11493,38910,PLP
2018-03-05,11444,11543,11344,11344,48330,PLP
2018-03-06,11294,11444,11195,11444,27280,PLP
2018-03-07,11444,11468,11095,11344,28550,PLP
2018-03-08,11245,11344,10996,11319,27200,PLP
2018-03-09,11245,11344,11095,11245,10340,PLP
2018-03-12,11095,11294,10996,11095,25980,PLP
2018-03-13,11095,11195,11095,11195,4660,PLP
2018-03-14,11294,11692,11145,11444,35900,PLP
2018-03-15,11394,11444,11045,11344,8740,PLP
2018-03-16,11369,11369,10996,11344,11870,PLP
2018-03-19,11245,11444,10971,10971,26260,PLP
2018-03-20,11319,11319,10299,11070,8700,PLP
2018-03-21,11269,11269,10747,11145,11230,PLP
2018-03-22,11220,11220,10672,10672,5090,PLP
2018-03-23,9951,10448,9926,10299,86060,PLP
2018-03-26,9826,10448,9702,10001,14490,PLP
2018-03-27,10374,10374,10001,10100,12910,PLP
2018-03-28,10274,10274,9951,10175,18950,PLP
2018-03-29,10175,10175,10001,10150,5160,PLP
2018-03-30,9826,10299,9826,10299,8230,PLP
2018-04-02,10424,10424,10050,10150,36000,PLP
2018-04-03,10001,10200,10001,10100,16230,PLP
2018-04-04,10249,10797,10125,10797,86370,PLP
2018-04-05,11419,11419,10498,10946,35560,PLP
2018-04-06,10797,10797,10498,10697,15120,PLP
2018-04-09,10498,10647,10274,10448,32310,PLP
2018-04-10,10150,10448,10050,10299,28580,PLP
2018-04-11,10100,10299,10025,10175,27290,PLP
2018-04-12,10150,10249,9976,10175,9250,PLP
2018-04-13,10175,10175,9951,10100,13150,PLP
2018-04-16,10175,10175,10075,10100,12400,PLP
2018-04-17,10299,10299,9826,9901,44580,PLP
2018-04-18,10399,10399,9752,9802,21770,PLP
2018-04-19,9652,9851,9603,9777,21190,PLP
2018-04-20,9752,9851,9453,9752,12840,PLP
2018-04-23,9802,9802,9080,9080,89320,PLP
2018-04-24,8458,8458,8458,8458,16410,PLP
2018-04-26,7886,7886,7886,7886,4350,PLP
2018-04-27,7339,8408,7339,7662,229980,PLP
2018-05-02,7164,7861,7140,7140,26730,PLP
2018-05-03,6642,6642,6642,6642,58170,PLP
2018-05-04,6567,6717,6194,6319,108400,PLP
2018-05-07,6368,6567,6368,6567,22370,PLP
2018-05-08,6891,7015,6667,7015,53310,PLP
2018-05-09,7065,7065,6766,6766,36490,PLP
2018-05-10,6916,6990,6717,6941,29860,PLP
2018-05-11,6717,7065,6667,6965,64110,PLP
2018-05-14,6965,7040,6941,7015,47590,PLP
2018-05-15,6965,7015,6866,6965,35020,PLP
2018-05-16,6965,6965,6866,6965,31460,PLP
2018-05-17,6965,6965,6841,6941,13990,PLP
2018-05-18,6941,6941,6692,6916,20860,PLP
2018-05-21,6941,6941,6617,6816,19450,PLP
2018-05-22,6816,6816,6468,6766,33260,PLP
2018-05-23,6319,6692,6294,6518,51180,PLP
2018-05-24,6742,6742,6518,6617,33780,PLP
2018-05-25,6692,6742,6418,6642,45190,PLP
2018-05-28,6617,6692,6194,6294,60220,PLP
2018-05-29,6468,6567,6319,6567,57400,PLP
2018-05-30,6567,6567,6368,6567,17840,PLP
2018-05-31,6617,6617,6468,6468,40700,PLP
2018-06-01,6567,6567,6418,6518,60400,PLP
2018-06-04,6518,6717,6368,6717,189120,PLP
2018-06-05,6816,7164,6567,7164,108810,PLP
2018-06-06,7662,7662,7463,7662,93080,PLP
2018-06-07,8184,8184,7961,7961,150780,PLP
2018-06-08,7961,7961,7413,7413,109530,PLP
2018-06-11,6965,7413,6965,7115,76510,PLP
2018-06-12,7314,7314,6916,7164,33420,PLP
2018-06-13,6965,7314,6916,7214,44370,PLP
