time,open,high,low,close,volume,ticker
2009-10-09,20039,30058,20039,28388,9700,PMC
2009-10-12,27420,27420,25048,26050,15300,PMC
2009-10-13,25382,25716,24313,24313,7100,PMC
2009-10-14,22877,22877,22877,22877,3700,PMC
2009-10-15,21308,21308,21308,21308,25700,PMC
2009-10-16,19838,19838,19838,19838,15000,PMC
2009-10-19,18469,18469,18469,18469,6600,PMC
2009-10-20,17200,19738,17200,19738,200400,PMC
2009-10-21,19070,19070,19070,19070,27500,PMC
2009-10-22,20372,20372,20105,20372,63500,PMC
2009-10-23,21708,21775,19037,19538,26300,PMC
2009-10-26,19604,19604,19604,19604,8700,PMC
2009-10-27,18235,18235,18235,18235,1900,PMC
2009-10-28,16966,17868,16966,17333,52000,PMC
2009-10-29,16699,17333,16365,17300,18700,PMC
2009-10-30,17367,17667,17033,17033,31800,PMC
2009-11-02,17367,17367,16264,16264,10500,PMC
2009-11-03,16198,16198,15396,15396,16000,PMC
2009-11-04,14862,15430,14561,14895,10800,PMC
2009-11-05,15697,15697,15029,15697,7400,PMC
2009-11-06,16198,16198,15363,15430,4900,PMC
2009-11-09,14762,14762,14428,14628,6600,PMC
2009-11-10,14428,14461,13526,13526,13800,PMC
2009-11-11,13359,13359,12824,13359,9900,PMC
2009-11-12,13125,13693,13125,13125,12000,PMC
2009-11-13,13693,13893,13025,13025,15000,PMC
2009-11-16,14027,14027,13359,13359,1600,PMC
2009-11-17,13025,13025,12858,12858,1200,PMC
2009-11-18,13025,13025,12357,12657,11000,PMC
2009-11-19,12524,12524,12357,12390,11900,PMC
2009-11-20,12357,12424,12357,12390,4800,PMC
2009-11-23,12190,12190,11823,11856,2600,PMC
2009-11-24,11689,11889,11689,11689,8400,PMC
2009-11-25,11489,11489,10954,10954,12200,PMC
2009-11-26,10687,10687,10487,10487,500,PMC
2009-11-27,9785,11021,9785,10019,5900,PMC
2009-11-30,10687,10754,10353,10754,10100,PMC
2009-12-01,11021,11322,11021,11322,10000,PMC
2009-12-02,11188,11722,11021,11255,5000,PMC
2009-12-03,10687,10754,10520,10520,3200,PMC
2009-12-04,10654,10654,10654,10654,900,PMC
2009-12-07,10654,10754,10520,10654,0,PMC
2009-12-08,10353,10520,10019,10520,5500,PMC
2009-12-09,9919,9919,9485,9485,14600,PMC
2009-12-10,9518,9518,9084,9184,4500,PMC
2009-12-11,9518,9518,8850,8850,600,PMC
2009-12-14,9017,9184,9017,9184,3400,PMC
2009-12-15,9184,9184,9184,9184,1600,PMC
2009-12-16,9017,9184,8549,8683,2800,PMC
2009-12-17,8783,8817,8783,8817,1500,PMC
2009-12-18,8683,9418,8683,9418,11700,PMC
2009-12-21,9351,9986,9050,9986,7100,PMC
2009-12-22,9384,9384,9084,9117,4000,PMC
2009-12-23,9351,9852,9351,9852,2000,PMC
2009-12-24,9117,9518,9084,9518,11100,PMC
2009-12-25,9685,9685,9184,9618,3800,PMC
2009-12-28,9017,9184,9017,9084,2200,PMC
2009-12-29,9017,9050,9017,9017,6300,PMC
