time,open,high,low,close,volume,ticker
2017-01-12,5763,6051,4610,4610,13200,PNT
2017-01-13,5071,5071,5071,5071,0,PNT
2017-01-16,5071,5071,5071,5071,200,PNT
2017-01-17,5071,5071,5071,5071,0,PNT
2017-01-18,5071,5071,5071,5071,0,PNT
2017-01-19,5705,5705,5705,5705,100,PNT
2017-01-20,5705,5705,5705,5705,0,PNT
2017-01-23,5705,5705,5705,5705,0,PNT
2017-01-24,6339,6339,4899,4899,2700,PNT
2017-01-25,5763,5763,5763,5763,1800,PNT
2017-02-02,6282,6282,6282,6282,1800,PNT
2017-02-03,5705,5705,5360,5705,1900,PNT
2017-02-06,5705,5763,4783,5648,7000,PNT
2017-02-07,5533,5533,5533,5533,1500,PNT
2017-02-08,5533,5533,5533,5533,0,PNT
2017-02-09,5705,5705,4726,4726,1100,PNT
2017-02-10,5475,5475,5475,5475,1000,PNT
2017-02-13,5014,5014,4899,4899,4000,PNT
2017-02-14,5014,5014,5014,5014,2200,PNT
2017-02-15,5014,5014,5014,5014,0,PNT
2017-02-16,5014,5014,5014,5014,0,PNT
2017-02-17,4265,4265,4265,4265,1100,PNT
2017-02-20,4899,4899,4899,4899,12600,PNT
2017-02-21,5417,5417,4207,4207,400,PNT
2017-02-22,5129,5129,5129,5129,100,PNT
2017-02-23,5129,5129,5129,5129,0,PNT
2017-02-24,5360,5360,5014,5014,2100,PNT
2017-02-27,5014,5014,5014,5014,0,PNT
2017-02-28,4610,4610,4610,4610,2000,PNT
2017-03-01,4610,4610,4610,4610,0,PNT
2017-03-02,4899,4899,4899,4899,100,PNT
2017-03-03,4899,4899,4899,4899,0,PNT
2017-03-06,4899,4899,4899,4899,0,PNT
2017-03-07,4899,4899,4899,4899,0,PNT
2017-03-08,4899,4899,4899,4899,0,PNT
2017-03-09,4899,4899,4899,4899,0,PNT
2017-03-10,4610,4610,4610,4610,100,PNT
2017-03-13,4610,4610,4610,4610,0,PNT
2017-03-14,4899,4899,4899,4899,100,PNT
2017-03-15,4899,4899,4899,4899,0,PNT
2017-03-16,5590,5590,5590,5590,100,PNT
2017-03-17,5590,5590,5590,5590,0,PNT
2017-03-20,4899,4899,4899,4899,100,PNT
2017-03-21,4899,4899,4899,4899,0,PNT
2017-03-22,4899,4899,4899,4899,400,PNT
2017-03-23,4610,4610,4610,4610,100,PNT
2017-03-24,4610,4610,4610,4610,0,PNT
2017-03-27,4610,4610,4610,4610,0,PNT
2017-03-28,4265,4265,4265,4265,1000,PNT
2017-03-29,4265,4265,4265,4265,0,PNT
2017-03-30,4265,4265,4265,4265,0,PNT
2017-03-31,4610,4610,4610,4610,100,PNT
2017-04-03,4610,4610,4610,4610,0,PNT
2017-04-04,3919,5187,3919,5187,12800,PNT
2017-04-05,4610,4610,4610,4610,100,PNT
2017-04-07,4610,4610,4610,4610,0,PNT
2017-04-10,4610,4610,4610,4610,0,PNT
2017-04-11,4610,4610,4610,4610,0,PNT
2017-04-12,4610,4610,4610,4610,0,PNT
2017-04-13,4610,4610,4610,4610,0,PNT
2017-04-14,4610,4610,4610,4610,0,PNT
2017-04-17,4610,4610,4610,4610,0,PNT
2017-04-18,4610,4610,4610,4610,0,PNT
2017-04-19,4322,4322,4322,4322,100,PNT
2017-04-20,4322,4322,4322,4322,0,PNT
2017-04-21,4610,4610,4610,4610,100,PNT
2017-04-24,4034,4034,4034,4034,500,PNT
2017-04-25,4610,4610,3919,3919,1200,PNT
2017-04-26,4553,4553,4495,4495,200,PNT
2017-04-27,4553,4553,4553,4553,0,PNT
2017-04-28,4553,4553,4553,4553,100,PNT
2017-05-03,4553,4553,4553,4553,100,PNT
2017-05-04,4553,4553,4553,4553,0,PNT
2017-05-05,4553,4553,4553,4553,0,PNT
2017-05-08,4553,4553,4322,4322,560,PNT
2017-05-09,4034,4034,3919,3919,4000,PNT
2017-05-10,4034,4034,4034,4034,0,PNT
2017-05-11,4034,4034,4034,4034,0,PNT
2017-05-12,4034,4034,4034,4034,0,PNT
2017-05-15,4495,4495,4495,4495,100,PNT
2017-05-16,4495,4495,4495,4495,0,PNT
2017-05-17,4495,4495,4495,4495,0,PNT
2017-05-18,4495,4495,4495,4495,300,PNT
2017-05-19,4437,4437,4437,4437,100,PNT
2017-05-22,4437,4956,4437,4956,4537,PNT
2017-05-23,4437,4437,4437,4437,250,PNT
2017-05-24,5014,5014,5014,5014,100,PNT
2017-05-25,5014,5014,5014,5014,0,PNT
2017-05-26,5014,5014,5014,5014,0,PNT
2017-05-29,5014,5014,5014,5014,0,PNT
2017-05-30,5014,5014,5014,5014,0,PNT
2017-05-31,5014,5014,5014,5014,0,PNT
2017-06-01,5014,5014,5014,5014,0,PNT
