time,open,high,low,close,volume,ticker
2006-12-20,24376,24376,20894,21521,8600,POT
2006-12-21,21242,21242,19396,19396,7000,POT
2006-12-22,17934,17934,17934,17934,6900,POT
2006-12-25,16158,16193,16158,16193,24000,POT
2006-12-26,15148,17760,15148,16994,53400,POT
2006-12-27,18456,18665,18456,18561,43500,POT
2006-12-28,19153,19849,18804,19431,46800,POT
2006-12-29,19849,19849,18456,18456,33400,POT
2007-01-02,19327,20128,19327,19327,22900,POT
2007-01-03,18978,19153,17551,18317,17500,POT
2007-01-04,18108,19153,17586,19118,20000,POT
2007-01-05,19570,19640,18630,19187,8700,POT
2007-01-08,19510,19510,18794,19152,8600,POT
2007-01-09,18257,19152,18078,18257,55600,POT
2007-01-10,18364,18364,18078,18078,44700,POT
2007-01-11,18615,18615,17720,17899,30100,POT
2007-01-12,16145,18615,16145,18615,43000,POT
2007-01-15,19868,19868,17899,18901,41100,POT
2007-01-16,20369,20369,18257,18257,51600,POT
2007-01-17,18794,18794,17899,18078,40600,POT
2007-01-18,18078,18257,17863,18257,42300,POT
2007-01-19,18221,18328,17899,18328,56200,POT
2007-01-22,18257,18257,17720,18257,42900,POT
2007-01-23,18257,18436,16252,18257,90700,POT
2007-01-24,18436,19868,18078,19868,143300,POT
2007-01-25,20870,20870,18973,19581,94400,POT
2007-01-26,19331,19868,18973,19689,22500,POT
2007-01-29,19438,19868,19438,19760,38600,POT
2007-01-30,19689,20226,19689,19832,44800,POT
2007-01-31,21872,21872,20763,21872,95500,POT
2007-02-01,24020,24020,23268,23913,165300,POT
2007-02-02,23984,25416,23984,25237,156800,POT
2007-02-05,26848,27170,25058,25774,144700,POT
2007-02-06,26132,26419,24521,25058,55800,POT
2007-02-07,24521,25416,24378,25237,170300,POT
2007-02-08,24700,27707,24342,24700,30600,POT
2007-02-09,23268,24700,23268,23483,21300,POT
2007-02-12,23268,23805,22731,23447,47300,POT
2007-02-13,25738,25738,23626,24700,25400,POT
2007-02-14,25058,25058,24342,25058,31200,POT
2007-02-15,25202,26848,25202,26132,67400,POT
2007-02-26,29068,29068,27206,29068,79200,POT
2007-02-27,31896,31896,30070,30786,90900,POT
2007-02-28,31144,31860,29891,29891,61300,POT
2007-03-01,28960,29712,27385,28280,16800,POT
2007-03-02,27564,27779,25202,27779,54300,POT
2007-03-05,29175,29605,27922,29605,53500,POT
2007-03-06,30786,32325,30070,30428,105800,POT
2007-03-07,31860,31860,28638,30607,53400,POT
2007-03-08,28817,31144,28817,30070,54600,POT
2007-03-09,30428,30428,30070,30428,80500,POT
2007-03-12,30356,32218,30356,30428,86800,POT
2007-03-13,30786,30786,30177,30714,69600,POT
2007-03-14,30965,30965,28638,28638,43500,POT
2007-03-15,28638,28638,27206,27385,27100,POT
2007-03-16,29891,30607,27851,30607,66600,POT
2007-03-19,32397,32934,26991,26991,114300,POT
2007-03-20,30070,32218,29712,30249,33800,POT
2007-03-21,30786,30786,28996,29354,20100,POT
2007-03-22,28638,29354,27564,28280,24900,POT
2007-03-23,28280,28388,27206,28101,39700,POT
2007-03-26,28638,28638,25416,25774,17000,POT
2007-03-27,25058,25058,23841,23841,14600,POT
2007-03-28,23268,26311,21586,25774,33400,POT
2007-03-29,25774,25774,23447,25774,145600,POT
2007-03-30,27385,27743,25774,26311,52700,POT
2007-04-02,26848,27027,24342,25058,23600,POT
2007-04-03,24521,24700,23268,24342,14100,POT
2007-04-04,24342,26454,24342,26132,31800,POT
2007-04-05,26132,26132,24342,25345,29300,POT
2007-04-06,24879,25058,24700,25058,15600,POT
2007-04-09,25058,25774,23268,25237,12500,POT
2007-04-10,26490,26490,24951,25166,11600,POT
2007-04-11,24414,25416,24414,25237,14000,POT
2007-04-12,25058,25058,24521,24700,13400,POT
2007-04-13,24879,24879,23805,23841,17000,POT
2007-04-16,23268,23268,21657,21657,25600,POT
2007-04-17,20047,20405,19724,20405,28100,POT
2007-04-18,21121,21980,20047,21980,28100,POT
2007-04-19,24056,24056,21872,22015,64900,POT
2007-04-20,22373,22373,21478,21478,15600,POT
2007-04-23,21228,21228,20405,21121,20900,POT
2007-04-24,19689,21121,19689,20763,29900,POT
2007-04-25,21085,21657,20763,21121,26100,POT
2007-05-02,21836,21980,19689,21121,18600,POT
2007-05-03,21836,21836,21121,21121,33600,POT
2007-05-04,21478,21622,21300,21622,25400,POT
2007-05-07,21836,23519,21478,23519,43800,POT
2007-05-08,23268,23447,22194,22910,49200,POT
2007-05-09,23268,23447,22767,22767,38700,POT
2007-05-10,22731,22910,22194,22338,10100,POT
2007-05-11,22373,22731,22373,22731,24700,POT
2007-05-14,22910,23268,22731,23197,40600,POT
2007-05-15,22910,23626,22910,23089,49800,POT
2007-05-16,22910,23268,22767,22910,27800,POT
2007-05-17,22624,22839,22373,22731,52500,POT
2007-05-18,22910,22910,22373,22552,22100,POT
2007-05-21,22445,22731,22409,22731,23900,POT
2007-05-22,22731,22731,22481,22660,106500,POT
2007-05-23,23268,24879,23089,23376,131100,POT
2007-05-24,23626,23626,22409,22803,25700,POT
2007-05-25,22373,23089,22051,23089,120700,POT
2007-05-28,22731,23268,22552,22946,72100,POT
2007-05-29,22910,23089,22481,22552,26100,POT
2007-05-30,22696,22696,21121,22051,57400,POT
2007-05-31,21836,22373,21836,22373,41800,POT
2007-06-01,22194,22194,21872,21872,21700,POT
2007-06-04,21836,22087,21836,21836,9300,POT
2007-06-05,21657,21657,21121,21371,44900,POT
2007-06-06,22266,22266,21121,21657,35100,POT
2007-06-07,21657,21836,21478,21514,28800,POT
2007-06-08,21550,21657,21335,21335,11600,POT
2007-06-11,21836,21836,20763,21121,6000,POT
2007-06-12,21121,21121,20763,21121,13100,POT
2007-06-13,20977,21121,20870,20870,14300,POT
2007-06-14,21121,21121,20691,20763,14600,POT
2007-06-15,20834,20942,20691,20763,16500,POT
2007-06-18,20834,20834,20405,20727,9500,POT
2007-06-19,20226,20584,18901,20226,24800,POT
2007-06-20,19689,20047,19689,19724,33900,POT
2007-06-21,19689,20047,19689,19724,32500,POT
2007-06-22,19868,20047,19868,19939,27000,POT
2007-06-25,19510,19939,19510,19760,18100,POT
2007-06-26,19689,19689,19331,19510,17400,POT
2007-06-27,19331,19689,18507,18973,30800,POT
2007-06-28,18973,18973,18257,18400,15700,POT
2007-06-29,18257,18579,18078,18579,21400,POT
2007-07-02,18257,18257,16646,16646,19200,POT
2007-07-03,16109,16503,15822,16324,26000,POT
2007-07-04,16467,17755,16467,17755,26900,POT
2007-07-05,16109,18579,16109,16861,18500,POT
2007-07-06,17004,17183,16789,17111,27000,POT
2007-07-09,16896,17505,16753,17469,23000,POT
2007-07-10,17362,18615,17362,18364,34600,POT
2007-07-11,18973,19474,18794,18973,29300,POT
2007-07-12,19187,19187,17899,18078,17600,POT
2007-07-13,17863,18471,17863,18257,23500,POT
2007-07-16,17970,18257,17720,17934,13400,POT
2007-07-17,17899,18185,17899,18185,11900,POT
2007-07-18,18042,18078,17899,18042,8300,POT
2007-07-19,17934,18006,17720,17970,20000,POT
2007-07-20,18078,18973,18078,18471,22500,POT
2007-07-23,18615,18615,16825,17899,10100,POT
2007-07-24,17899,18078,17612,17612,6500,POT
2007-07-25,16037,17791,16037,17684,11200,POT
2007-07-26,17827,17899,17254,17362,16900,POT
2007-07-27,17541,17541,16825,17075,14200,POT
2007-07-30,16825,16825,16109,16467,23400,POT
2007-07-31,16467,16825,16252,16324,23900,POT
2007-08-01,16467,17004,16467,17004,25900,POT
2007-08-02,17397,17397,16503,16503,10800,POT
2007-08-03,16109,16288,15321,16037,17800,POT
2007-08-06,15751,15751,15393,15643,14400,POT
2007-08-07,15572,15751,15214,15715,20900,POT
2007-08-08,16577,16770,15999,16500,19200,POT
2007-08-09,16384,17348,16384,16885,26500,POT
2007-08-10,17541,17541,15806,16577,12700,POT
2007-08-13,16577,16577,16384,16384,7700,POT
2007-08-14,16461,16500,16307,16423,10300,POT
2007-08-15,16577,16577,16346,16384,3000,POT
2007-08-16,16307,16384,16191,16384,2700,POT
2007-08-17,16384,16384,16114,16114,6700,POT
2007-08-20,15806,15806,15613,15729,10400,POT
2007-08-21,15652,15652,15536,15575,15900,POT
2007-08-22,15497,15729,14649,15382,13400,POT
