time,open,high,low,close,volume,ticker
2006-05-19,10723,10866,10008,10380,221300,PPC
2006-05-22,10437,10866,10151,10351,273300,PPC
2006-05-24,10237,10237,9379,9579,179700,PPC
2006-05-26,9637,9637,9150,9293,117500,PPC
2006-05-29,9293,9293,8378,8493,191300,PPC
2006-05-31,8350,8350,7721,7864,350300,PPC
2006-06-01,7349,8636,7292,8464,226600,PPC
2006-06-02,9150,9293,9150,9293,276300,PPC
2006-06-05,10208,10208,9322,9608,246900,PPC
2006-06-06,9236,9865,8836,9036,165300,PPC
2006-06-07,8922,8922,8493,8607,84700,PPC
2006-06-08,8578,8922,8578,8836,79300,PPC
2006-06-09,8864,8979,8578,8779,152200,PPC
2006-06-12,8607,8607,8149,8264,247400,PPC
2006-06-13,8380,8380,8206,8293,202500,PPC
2006-06-14,8497,8613,8438,8584,155200,PPC
2006-06-15,8613,8642,8438,8555,101600,PPC
2006-06-16,8584,8584,8206,8322,84400,PPC
2006-06-19,8293,8293,8147,8206,82500,PPC
2006-06-20,8235,8235,8031,8118,66100,PPC
2006-06-21,8002,8002,7420,7624,135900,PPC
2006-06-22,7711,8322,6867,8089,126700,PPC
2006-06-23,8584,8584,8002,8264,131100,PPC
2006-06-26,8002,8293,7798,7886,88700,PPC
2006-06-27,7827,7827,7740,7769,92100,PPC
2006-06-28,8147,8147,7798,7827,82300,PPC
2006-06-29,7856,7886,7798,7827,78700,PPC
2006-06-30,7944,8002,7856,7915,45200,PPC
2006-07-03,7973,7973,7856,7915,85600,PPC
2006-07-04,7915,7915,7711,7769,58000,PPC
2006-07-05,7711,7711,7624,7653,70100,PPC
2006-07-06,7653,7856,7565,7682,58600,PPC
2006-07-07,7740,7827,7711,7740,53500,PPC
2006-07-10,7827,7827,7682,7711,19300,PPC
2006-07-11,7711,7711,7653,7682,41300,PPC
2006-07-12,7653,7711,7565,7624,54500,PPC
2006-07-13,7682,7769,7624,7711,44000,PPC
2006-07-14,7740,7856,7624,7740,124800,PPC
2006-07-17,7915,8089,6983,7944,167800,PPC
2006-07-18,7798,7856,7769,7827,69300,PPC
2006-07-19,7798,7798,7624,7653,64500,PPC
2006-07-20,7565,7740,7565,7682,102100,PPC
2006-07-21,8147,8147,7711,7769,120300,PPC
2006-07-24,7769,7769,7653,7711,154400,PPC
2006-07-25,7565,7565,7129,7362,145900,PPC
2006-07-26,6663,7274,6663,7042,201800,PPC
2006-07-27,7129,7595,7071,7362,288400,PPC
2006-07-28,7565,7682,7449,7565,142200,PPC
2006-07-31,7420,7507,7216,7362,171800,PPC
2006-08-01,7216,7449,7129,7304,196700,PPC
2006-08-02,7274,7478,7129,7362,297700,PPC
2006-08-03,7565,7595,7478,7565,266600,PPC
2006-08-04,7565,7827,7565,7740,214600,PPC
2006-08-07,7740,7856,7595,7711,206900,PPC
2006-08-08,7711,7740,7624,7682,135600,PPC
2006-08-09,7711,7769,7682,7711,117000,PPC
2006-08-10,7711,7740,7624,7711,109100,PPC
2006-08-11,7682,7798,7653,7769,218900,PPC
2006-08-14,7856,8147,7798,7973,254900,PPC
2006-08-15,8147,8147,7944,8002,305700,PPC
2006-08-16,8147,8206,8089,8147,198400,PPC
2006-08-17,8293,8613,8293,8438,499400,PPC
2006-08-18,8438,8613,8293,8555,517400,PPC
2006-08-21,8584,8671,8497,8555,138300,PPC
2006-08-22,8293,8322,8147,8235,225000,PPC
2006-08-23,8206,8438,8147,8293,292500,PPC
2006-08-24,8409,8438,8293,8380,96100,PPC
2006-08-25,8380,8438,8322,8409,108600,PPC
2006-08-28,8409,8438,8380,8409,118600,PPC
2006-08-29,8438,8468,8380,8438,169700,PPC
2006-08-30,8438,8468,8409,8438,203000,PPC
2006-08-31,8438,8438,8409,8438,200900,PPC
2006-09-01,8438,8584,8409,8438,152300,PPC
2006-09-05,8526,8584,8497,8584,174500,PPC
2006-09-06,8584,8642,8497,8584,85300,PPC
2006-09-07,8584,8584,8438,8468,77200,PPC
2006-09-08,8497,8584,8380,8526,190100,PPC
2006-09-11,8438,8613,8438,8584,234000,PPC
2006-09-12,8497,8555,8438,8526,161800,PPC
2006-09-13,8438,8584,8438,8555,178400,PPC
2006-09-14,8147,8555,8147,8526,104900,PPC
2006-09-15,8526,8555,8438,8497,102100,PPC
2006-09-18,8497,8555,8438,8497,89200,PPC
2006-09-19,8438,8526,8438,8497,133600,PPC
2006-09-20,8497,8555,8438,8497,124100,PPC
2006-09-21,8584,8584,8438,8497,75900,PPC
2006-09-22,8468,8468,8409,8438,38200,PPC
2006-09-25,8409,8438,8409,8409,163400,PPC
2006-09-26,8438,8468,8409,8438,209300,PPC
2006-09-27,8438,8497,8438,8468,147900,PPC
2006-09-28,8497,8497,8438,8468,119500,PPC
2006-09-29,8497,8497,8438,8468,113600,PPC
2006-10-02,8497,8526,8468,8497,88200,PPC
2006-10-03,8497,8497,8438,8468,81200,PPC
2006-10-04,8468,8526,8438,8468,125900,PPC
2006-10-05,8497,8497,8468,8497,261100,PPC
2006-10-06,8526,8526,8468,8497,115600,PPC
2006-10-09,8526,8526,8438,8497,135300,PPC
2006-10-10,8497,8497,8438,8468,92400,PPC
2006-10-11,8438,8468,8438,8468,107100,PPC
2006-10-12,8468,8497,8438,8468,91100,PPC
2006-10-13,8468,8497,7624,8351,113600,PPC
2006-10-16,8526,8526,8438,8468,148700,PPC
2006-10-17,8438,8468,8438,8438,46300,PPC
2006-10-18,8438,8468,8322,8438,68000,PPC
2006-10-19,8468,8468,8409,8468,106700,PPC
2006-10-20,8438,8468,8438,8468,39300,PPC
2006-10-23,8438,8468,8438,8468,90600,PPC
2006-10-24,8438,8468,8438,8468,34100,PPC
2006-10-25,8468,8468,8438,8438,32100,PPC
2006-10-26,8438,8468,8409,8438,45300,PPC
2006-10-27,8438,8468,8438,8468,72500,PPC
2006-10-30,8438,8497,8438,8468,169200,PPC
2006-10-31,8468,8468,8438,8438,63600,PPC
2006-11-01,9282,9282,8438,8468,105600,PPC
2006-11-02,8438,8526,8438,8497,47700,PPC
2006-11-03,8497,8526,8497,8497,37000,PPC
2006-11-06,8555,8584,8497,8555,57900,PPC
2006-11-07,8613,8700,8584,8642,93700,PPC
2006-11-08,8729,8962,8729,8875,88800,PPC
2006-11-09,9020,9079,8962,9020,99500,PPC
2006-11-10,9050,9079,8497,8875,58800,PPC
2006-11-13,8671,8817,8642,8700,56000,PPC
2006-11-14,8729,8729,8642,8671,72600,PPC
2006-11-15,8729,8729,8584,8613,41600,PPC
2006-11-16,8642,8642,8497,8526,66600,PPC
2006-11-17,8468,8700,8438,8613,127400,PPC
2006-11-20,8671,8729,8642,8671,136600,PPC
2006-11-21,8759,9079,8759,8991,121300,PPC
2006-11-22,9020,9864,9020,9748,239600,PPC
2006-11-23,10708,10708,10708,10708,259600,PPC
2006-11-24,11756,11756,11203,11639,455400,PPC
2006-11-27,12221,12803,10737,11174,130400,PPC
2006-11-28,10912,11057,10068,10737,277900,PPC
2006-11-29,11057,11348,10475,10825,344800,PPC
2006-11-30,11057,11203,10912,11057,151800,PPC
2006-12-01,11203,11348,11145,11261,168100,PPC
2006-12-04,11348,11639,11348,11436,139400,PPC
2006-12-05,11698,11698,11319,11494,174000,PPC
2006-12-06,11523,11523,11057,11261,89900,PPC
2006-12-07,11203,11348,10155,11261,184100,PPC
2006-12-08,11203,11581,11203,11407,176400,PPC
2006-12-11,11581,12512,11436,11843,427800,PPC
2006-12-12,12803,13007,11872,12280,297700,PPC
2006-12-13,12367,12658,12221,12454,351400,PPC
2006-12-14,12512,13531,12512,13094,429900,PPC
2006-12-15,14258,14404,13415,13967,506100,PPC
2006-12-18,14549,14840,13531,13851,297000,PPC
2006-12-19,14258,14549,13531,13735,459900,PPC
2006-12-20,13676,14404,13647,13764,346100,PPC
2006-12-21,13880,13880,12512,13327,338000,PPC
2006-12-22,12221,12396,12018,12134,154600,PPC
2006-12-25,10941,12512,10941,11727,208500,PPC
2006-12-26,12891,12891,12512,12891,100300,PPC
2006-12-27,14171,14171,13094,13560,172700,PPC
2006-12-28,14113,14113,12949,13298,169700,PPC
2006-12-29,13094,13647,12891,13327,180200,PPC
2007-01-03,13676,13822,13385,13502,206000,PPC
2007-01-04,13618,14258,13531,13938,272900,PPC
2007-01-05,14549,14840,14200,14608,663200,PPC
2007-01-08,14317,15422,13967,14549,551500,PPC
2007-01-09,14404,16004,14404,15801,1145600,PPC
2007-01-10,17372,17372,17314,17372,783000,PPC
2007-01-11,19089,19089,15655,19031,1950500,PPC
2007-01-26,30554,30554,30554,30554,0,PPC
2007-01-29,29099,29099,29099,29099,0,PPC
2007-01-30,27644,27644,27644,27644,0,PPC
2007-01-31,26335,26335,26335,26335,0,PPC
2007-02-01,27644,27644,27644,27644,0,PPC
2007-02-02,28954,28954,28954,28954,0,PPC
2007-02-05,30263,30263,29099,29099,0,PPC
2007-02-06,27644,30554,27644,30554,0,PPC
2007-02-07,29099,29099,29099,29099,0,PPC
2007-02-08,27644,27644,27644,27644,0,PPC
2007-02-09,26335,28954,26335,28954,0,PPC
2007-02-12,27644,27644,27644,27644,0,PPC
2007-02-13,28226,28226,27935,27935,0,PPC
2007-02-14,27935,27935,27644,27644,0,PPC
2007-02-15,27644,27644,27644,27644,0,PPC
2007-02-26,27644,28226,27644,28226,0,PPC
2007-02-27,28226,28226,28226,28226,0,PPC
2007-02-28,27644,27644,27644,27644,0,PPC
2007-03-01,27644,27644,26771,26771,0,PPC
2007-03-02,26771,27644,26771,27644,0,PPC
2007-03-05,27644,28226,27644,28226,0,PPC
2007-03-06,26917,26917,26917,26917,0,PPC
2007-03-07,26917,26917,26917,26917,0,PPC
2007-03-08,26917,26917,26771,26771,0,PPC
2007-03-09,26189,26189,26189,26189,0,PPC
2007-03-12,25607,25607,25171,25171,0,PPC
2007-03-13,25025,25025,24734,24734,0,PPC
2007-03-14,23570,23570,23570,23570,0,PPC
2007-03-15,22406,22406,22406,22406,0,PPC
2007-03-16,23438,23438,23438,23438,0,PPC
2007-03-19,24470,24470,23881,23881,0,PPC
2007-03-20,23881,23881,23291,23291,0,PPC
2007-03-21,23291,23291,22701,22701,0,PPC
2007-03-22,22996,22996,22406,22406,0,PPC
2007-03-23,22701,22701,22112,22112,0,PPC
2007-03-26,22996,22996,21817,21817,0,PPC
2007-03-27,22112,22112,20932,20932,0,PPC
2007-03-28,20343,20343,20048,20048,0,PPC
2007-03-29,20932,20932,20932,20932,0,PPC
2007-03-30,21964,21964,21964,21964,0,PPC
2007-04-02,22996,22996,22996,22996,0,PPC
