time,open,high,low,close,volume,ticker
2011-01-07,2948,2948,2737,2737,240000,PPS
2011-01-10,2758,2822,2653,2695,93000,PPS
2011-01-11,2695,2695,2590,2611,91800,PPS
2011-01-12,2590,2632,2506,2548,53300,PPS
2011-01-13,2569,2569,2506,2527,130000,PPS
2011-01-14,2527,2527,2506,2527,115300,PPS
2011-01-17,2506,2527,2485,2527,62100,PPS
2011-01-18,2527,2527,2443,2506,95500,PPS
2011-01-19,2443,2464,2421,2443,72600,PPS
2011-01-20,2485,2611,2421,2443,108500,PPS
2011-01-21,2421,2464,2358,2358,88400,PPS
2011-01-24,2379,2379,2253,2253,86800,PPS
2011-01-25,2253,2316,2253,2316,70200,PPS
2011-01-26,2253,2337,2253,2316,30600,PPS
2011-01-27,2274,2421,2274,2421,38200,PPS
2011-01-28,2485,2485,2358,2485,53400,PPS
2011-02-08,2337,2421,2337,2337,8400,PPS
2011-02-09,2337,2400,2337,2337,41800,PPS
2011-02-10,2316,2316,2295,2295,21100,PPS
2011-02-11,2253,2274,2253,2274,23800,PPS
2011-02-14,2274,2400,2274,2274,14800,PPS
2011-02-15,2232,2274,2211,2253,28800,PPS
2011-02-16,2190,2295,2190,2295,23000,PPS
2011-02-17,2211,2232,2211,2211,17800,PPS
2011-02-18,2148,2295,2148,2211,31700,PPS
2011-02-21,2106,2127,2063,2063,51300,PPS
2011-02-22,2000,2106,1979,2021,35000,PPS
2011-02-23,1979,2063,1979,2042,21400,PPS
2011-02-24,1958,2000,1958,1979,15200,PPS
2011-02-25,1937,2106,1937,2106,75300,PPS
2011-02-28,2106,2169,2106,2169,46700,PPS
2011-03-01,2295,2295,2295,2295,121600,PPS
2011-03-02,2400,2443,2148,2148,178200,PPS
2011-03-03,2169,2232,2169,2232,88800,PPS
2011-03-04,2148,2190,2148,2148,58200,PPS
2011-03-07,2042,2295,2042,2190,69900,PPS
2011-03-08,2084,2169,2084,2127,45100,PPS
2011-03-09,2106,2127,2021,2127,64600,PPS
2011-03-10,2021,2211,2021,2169,88800,PPS
2011-03-11,2211,2253,2190,2253,156400,PPS
2011-03-14,2316,2316,2127,2148,47000,PPS
2011-03-15,2084,2106,2084,2106,27900,PPS
2011-03-16,2084,2106,2084,2106,19300,PPS
2011-03-17,2190,2190,2190,2190,6300,PPS
2011-03-18,2127,2211,2084,2190,30000,PPS
2011-03-21,2211,2274,2127,2127,54300,PPS
2011-03-22,2211,2211,2169,2169,11000,PPS
2011-03-23,2190,2274,2190,2253,75500,PPS
2011-03-24,2316,2316,2190,2253,19200,PPS
2011-03-25,2253,2253,2190,2190,15100,PPS
2011-03-28,2274,2274,2211,2211,15900,PPS
2011-03-29,2232,2232,2169,2169,39400,PPS
2011-03-30,2253,2253,2148,2190,33600,PPS
2011-03-31,2211,2274,2211,2274,101700,PPS
2011-04-01,2295,2379,2295,2379,119500,PPS
2011-04-04,2506,2527,2506,2527,125200,PPS
2011-04-05,2653,2674,2443,2527,286200,PPS
2011-04-06,2421,2527,2400,2506,93800,PPS
2011-04-07,2421,2421,2316,2316,159800,PPS
2011-04-08,2379,2527,2337,2443,109100,PPS
2011-04-13,2400,2548,2400,2443,83000,PPS
2011-04-14,2443,2506,2443,2443,46100,PPS
2011-04-15,2443,2485,2316,2337,82100,PPS
2011-04-18,2316,2316,2232,2274,71200,PPS
2011-04-19,2169,2211,2148,2169,38300,PPS
2011-04-20,2148,2337,2148,2316,80900,PPS
2011-04-21,2274,2316,2190,2190,72300,PPS
2011-04-22,2148,2211,2148,2211,38900,PPS
2011-04-25,2169,2295,2169,2253,47900,PPS
2011-04-26,2253,2253,2127,2127,43400,PPS
2011-04-27,2106,2211,2106,2169,51600,PPS
2011-04-28,2127,2148,2084,2084,34100,PPS
2011-04-29,2084,2127,2084,2127,76200,PPS
2011-05-04,2021,2063,1979,1979,65100,PPS
2011-05-05,1958,2000,1937,1979,18100,PPS
2011-05-06,1979,2042,1958,1958,30500,PPS
2011-05-09,1958,2021,1958,2021,10100,PPS
2011-05-10,2000,2084,2000,2063,24200,PPS
2011-05-11,1979,2021,1979,2000,25300,PPS
2011-05-12,2000,2021,2000,2021,6800,PPS
2011-05-13,1958,2042,1958,2000,30500,PPS
2011-05-16,1958,2063,1958,1979,29500,PPS
2011-05-17,2000,2000,1979,1979,14600,PPS
2011-05-18,2000,2063,1979,2000,23700,PPS
2011-05-19,2000,2042,1937,1937,41700,PPS
2011-05-20,2000,2021,1958,1958,22700,PPS
2011-05-23,1937,1979,1874,1937,86600,PPS
2011-05-24,1853,1874,1790,1790,111300,PPS
2011-05-25,1726,1769,1684,1705,88500,PPS
2011-05-26,1642,1811,1621,1769,49800,PPS
2011-05-27,1748,1790,1748,1790,14800,PPS
2011-05-30,1811,1874,1811,1874,14300,PPS
2011-05-31,1811,1958,1811,1958,25300,PPS
2011-06-01,1903,1903,1778,1878,20200,PPS
2011-06-02,1828,1978,1828,1978,39100,PPS
2011-06-03,2003,2078,1953,2003,27300,PPS
2011-06-06,1928,1928,1878,1903,75000,PPS
2011-06-07,1778,1978,1778,1953,30600,PPS
2011-06-08,1878,2003,1878,1928,131700,PPS
2011-06-09,1828,1928,1828,1928,131200,PPS
2011-06-10,1803,2003,1803,2003,111600,PPS
2011-06-13,2103,2103,2028,2103,54300,PPS
2011-06-14,2228,2228,2128,2228,333800,PPS
2011-06-15,2254,2379,2203,2379,217300,PPS
2011-06-16,2304,2454,2304,2454,120300,PPS
2011-06-17,2454,2454,2279,2279,150400,PPS
2011-06-20,2178,2228,2178,2228,141400,PPS
2011-06-21,2178,2304,2178,2304,18500,PPS
2011-06-22,2304,2329,2254,2254,79000,PPS
2011-06-23,2178,2228,2178,2228,24600,PPS
2011-06-24,2178,2279,2178,2203,16000,PPS
2011-06-27,2103,2153,2103,2128,22800,PPS
2011-06-28,2078,2128,2078,2128,15000,PPS
2011-06-29,2103,2128,2103,2128,17400,PPS
2011-06-30,2103,2178,2103,2153,17100,PPS
2011-07-01,2078,2128,2078,2078,23000,PPS
2011-07-04,2028,2128,2028,2103,22800,PPS
2011-07-05,2053,2203,2053,2153,24600,PPS
2011-07-06,2053,2153,2053,2103,18600,PPS
2011-07-07,2028,2128,2028,2128,20400,PPS
2011-07-08,1978,2103,1978,2053,22500,PPS
2011-07-11,2028,2103,2003,2053,36300,PPS
2011-07-12,1978,2103,1978,2103,26500,PPS
2011-07-13,1953,2128,1953,2078,22100,PPS
2011-07-14,1978,2128,1978,2103,19800,PPS
2011-07-15,2003,2078,2003,2078,20000,PPS
2011-07-18,1978,2128,1978,2128,17400,PPS
2011-07-19,2003,2128,2003,2128,24600,PPS
2011-07-20,2078,2203,2078,2203,75800,PPS
2011-07-21,2178,2203,2178,2178,20000,PPS
2011-07-22,2178,2178,2128,2128,22000,PPS
2011-07-25,2003,2103,2003,2103,21700,PPS
2011-07-26,1903,2028,1878,2028,26400,PPS
2011-07-27,1953,2028,1953,2028,8300,PPS
2011-07-28,2003,2103,2003,2078,15100,PPS
