time,open,high,low,close,volume,ticker
2020-12-24,20302,20302,15539,15539,307200,PRE
2020-12-25,15617,15617,15383,15539,41900,PRE
2020-12-28,15617,15617,15461,15617,6430,PRE
2020-12-29,15617,15929,15539,15617,196500,PRE
2020-12-30,15617,16320,15617,16086,53400,PRE
2020-12-31,16164,16867,15617,15617,81630,PRE
2021-01-04,16353,16353,15535,15862,125200,PRE
2021-01-05,15944,15944,15699,15862,53400,PRE
2021-01-06,15944,16271,15617,15699,35100,PRE
2021-01-07,15617,15617,15045,15372,48500,PRE
2021-01-08,15454,15535,15372,15454,33200,PRE
2021-01-11,15535,15617,15290,15454,21200,PRE
2021-01-12,15372,15372,14881,15045,39900,PRE
2021-01-13,14963,15127,14963,15045,21900,PRE
2021-01-14,14963,15535,14963,15372,46500,PRE
2021-01-15,15290,15290,15127,15290,16000,PRE
2021-01-18,15290,15372,15208,15290,15900,PRE
2021-01-19,15290,15454,14636,14881,41300,PRE
2021-01-20,14881,14881,14309,14718,21400,PRE
2021-01-21,14963,14963,14554,14799,10700,PRE
2021-01-22,14963,15454,14718,14799,6200,PRE
2021-01-25,14718,14718,14636,14718,16900,PRE
2021-01-26,14636,14636,14309,14309,11700,PRE
2021-01-27,14227,14309,13900,14064,11100,PRE
2021-01-28,13818,13818,12673,12673,30000,PRE
2021-01-29,12673,13900,12673,13818,11000,PRE
2021-02-01,13900,13900,13736,13736,1900,PRE
2021-02-02,13491,13655,12755,12837,5800,PRE
2021-02-03,12755,13655,12755,13491,10000,PRE
2021-02-04,13246,13491,13246,13491,3600,PRE
2021-02-05,13491,13491,13491,13491,3800,PRE
2021-02-08,13409,13491,12919,13409,17100,PRE
2021-02-09,13491,13818,13491,13818,2500,PRE
2021-02-17,13818,13818,13082,13736,7000,PRE
2021-02-18,13736,13900,13736,13818,4200,PRE
2021-02-19,13818,13818,13655,13818,7200,PRE
2021-02-22,13818,13900,13736,13736,14600,PRE
2021-02-23,13818,13818,13655,13818,4000,PRE
2021-02-24,13818,13818,13573,13573,7800,PRE
2021-02-25,13736,13736,13491,13491,5900,PRE
2021-02-26,13164,13491,13164,13491,2700,PRE
2021-03-01,13491,13736,13491,13736,4700,PRE
2021-03-02,13736,13736,13573,13655,2500,PRE
2021-03-03,13655,13736,13573,13573,10000,PRE
2021-03-04,13573,13736,13573,13655,7000,PRE
2021-03-05,13736,13736,13573,13573,4300,PRE
2021-03-08,13655,13818,13573,13573,8447,PRE
2021-03-09,13655,13982,13655,13818,17700,PRE
2021-03-10,14636,14718,13982,14227,10900,PRE
2021-03-11,14145,14391,14064,14391,6710,PRE
2021-03-12,14718,14718,14227,14227,17900,PRE
2021-03-15,14391,14391,14064,14309,9526,PRE
2021-03-16,14145,14227,14145,14227,4800,PRE
2021-03-17,14227,14227,14227,14227,700,PRE
2021-03-18,14227,14227,13818,13982,8000,PRE
2021-03-19,13818,13900,13736,13900,11900,PRE
2021-03-22,13736,13818,13736,13818,4600,PRE
2021-03-23,13900,14554,13736,13900,3700,PRE
2021-03-24,13900,13900,13491,13491,6369,PRE
2021-03-25,13491,13655,13491,13655,6100,PRE
2021-03-26,13655,13655,13409,13409,1800,PRE
2021-03-29,13491,13491,13491,13491,7700,PRE
2021-03-30,13409,13818,13409,13818,2005,PRE
2021-03-31,13736,13736,13491,13736,4300,PRE
2021-04-01,13736,13982,13573,13736,11050,PRE
2021-04-02,13736,13736,13409,13573,17009,PRE
2021-04-05,13573,13655,13573,13573,7800,PRE
2021-04-06,13655,13655,13491,13491,12900,PRE
2021-04-07,13573,13573,13491,13573,2909,PRE
2021-04-08,13573,13573,13491,13491,12800,PRE
2021-04-09,13491,13491,13409,13409,5000,PRE
2021-04-12,13491,13491,13246,13491,23900,PRE
2021-04-13,13491,13736,13491,13573,19900,PRE
2021-04-14,13573,13736,13491,13736,22200,PRE
2021-04-15,13736,13818,13655,13655,15900,PRE
2021-04-16,13573,13573,13409,13573,18500,PRE
2021-04-19,13573,13573,13409,13491,16500,PRE
2021-04-20,13491,13573,13491,13491,10200,PRE
2021-04-22,13491,13655,13491,13491,18500,PRE
2021-04-23,13573,13573,13409,13491,10800,PRE
2021-04-26,13491,13573,13246,13491,19700,PRE
2021-04-27,13246,13328,13246,13328,3100,PRE
2021-04-28,13328,13491,13328,13491,2100,PRE
2021-04-29,13328,13409,13246,13409,3800,PRE
2021-05-04,13328,13328,13082,13328,16600,PRE
2021-05-05,13164,13328,13164,13246,11100,PRE
2021-05-06,13246,13328,13164,13328,5709,PRE
2021-05-07,13082,13246,13082,13082,9000,PRE
2021-05-10,12919,13164,12919,13164,15500,PRE
2021-05-11,12919,13164,12919,13164,1704,PRE
2021-05-12,13246,13328,13246,13328,10100,PRE
2021-05-13,13246,13246,13246,13246,1600,PRE
2021-05-14,13246,13246,13082,13246,4900,PRE
2021-05-17,13164,13246,13082,13246,4600,PRE
2021-05-18,13246,13409,13082,13246,4509,PRE
2021-05-19,13164,13164,13001,13164,4500,PRE
2021-05-20,13082,13082,13001,13082,3300,PRE
2021-05-21,13082,13164,13082,13164,2800,PRE
2021-05-24,13164,13818,13164,13818,44800,PRE
2021-05-25,13818,13818,13491,13818,18400,PRE
2021-05-26,13736,13818,13736,13736,4700,PRE
2021-05-27,13736,13900,13736,13736,15600,PRE
2021-05-28,13736,13818,13736,13736,13000,PRE
2021-05-31,13655,13655,13409,13409,2500,PRE
2021-06-01,13409,13491,13409,13409,19600,PRE
2021-06-02,13491,13818,13491,13818,3400,PRE
2021-06-03,13655,14309,13655,14227,22300,PRE
2021-06-04,14145,14309,13900,14309,13000,PRE
2021-06-07,14309,14554,14064,14472,43700,PRE
2021-06-08,14472,14718,14391,14636,52800,PRE
2021-06-09,14554,14718,14472,14718,48000,PRE
2021-06-10,14718,14718,14472,14554,43500,PRE
2021-06-11,14718,14718,14554,14718,15505,PRE
2021-06-14,14718,14881,14718,14718,20400,PRE
2021-06-15,14881,15045,14799,14799,5700,PRE
2021-06-16,14799,14881,14799,14881,4600,PRE
2021-06-17,14799,14881,14391,14799,10800,PRE
2021-06-18,14799,14881,14636,14881,13200,PRE
2021-06-21,14881,14881,14636,14881,6000,PRE
2021-06-22,14799,14799,14636,14636,3900,PRE
2021-06-23,14718,14718,14554,14554,6100,PRE
2021-06-24,14554,14636,14391,14554,29400,PRE
2021-06-25,14391,14718,14391,14554,6700,PRE
2021-06-28,14718,14963,14718,14799,28800,PRE
