time,open,high,low,close,volume,ticker
2010-06-03,415,424,395,395,9385,PSB
2010-06-04,374,415,374,415,4451,PSB
2010-06-07,399,436,395,395,3340,PSB
2010-06-08,415,461,378,415,11080,PSB
2010-06-09,386,465,386,399,9586,PSB
2010-06-10,432,432,391,391,2410,PSB
2010-06-11,403,436,395,395,7597,PSB
2010-06-14,411,415,395,407,11290,PSB
2010-06-15,445,445,374,403,11128,PSB
2010-06-16,395,399,378,399,12630,PSB
2010-06-17,424,424,386,395,7853,PSB
2010-06-18,395,399,395,399,1975,PSB
2010-06-21,395,407,374,382,17620,PSB
2010-06-22,395,428,374,407,24580,PSB
2010-06-23,378,445,378,403,20320,PSB
2010-06-24,395,420,399,411,63481,PSB
2010-06-25,445,445,395,415,25825,PSB
2010-06-28,395,424,395,411,34075,PSB
2010-06-29,415,415,374,415,52360,PSB
2010-06-30,415,420,374,415,23980,PSB
2010-07-01,415,420,374,420,47281,PSB
2010-07-02,424,457,415,457,73283,PSB
2010-07-05,457,490,457,490,39945,PSB
2010-07-06,532,532,532,532,43511,PSB
2010-07-07,582,582,532,540,373449,PSB
2010-07-08,582,582,515,519,182189,PSB
2010-07-09,515,565,499,540,83177,PSB
2010-07-12,578,578,519,574,188786,PSB
2010-07-13,582,603,540,594,190187,PSB
2010-07-14,590,636,540,586,122801,PSB
2010-07-15,565,632,540,619,262254,PSB
2010-07-16,590,648,582,648,357844,PSB
2010-07-19,686,690,599,599,187700,PSB
2010-07-20,623,623,574,574,81200,PSB
2010-07-21,565,565,528,549,145600,PSB
2010-07-22,549,549,524,540,53330,PSB
2010-07-23,540,544,532,540,38900,PSB
2010-07-26,569,569,490,519,71400,PSB
2010-07-27,482,511,482,499,26275,PSB
2010-07-28,486,499,478,478,54200,PSB
2010-07-29,470,511,470,511,33400,PSB
2010-07-30,495,511,495,511,29700,PSB
2010-08-02,478,499,478,490,26800,PSB
2010-08-03,486,499,470,470,34500,PSB
2010-08-04,457,457,445,453,40900,PSB
2010-08-05,424,461,415,461,57000,PSB
2010-08-06,440,461,440,461,16800,PSB
2010-08-09,457,457,411,428,40500,PSB
2010-08-10,424,440,415,420,78400,PSB
2010-08-11,436,445,432,445,33500,PSB
2010-08-12,424,424,395,415,47100,PSB
2010-08-13,399,436,395,436,27000,PSB
2010-08-16,415,465,415,465,56600,PSB
2010-08-17,424,449,424,436,16000,PSB
2010-08-18,445,445,415,436,6049200,PSB
2010-08-19,449,465,436,461,72475,PSB
2010-08-20,478,478,449,453,36600,PSB
2010-08-23,453,457,440,449,47800,PSB
2010-08-24,424,428,407,415,81900,PSB
2010-08-25,407,407,374,378,75700,PSB
2010-08-26,395,415,386,411,50875,PSB
2010-08-27,407,436,395,415,24200,PSB
2010-08-30,449,457,440,457,87200,PSB
2010-08-31,457,482,449,470,89500,PSB
2010-09-01,461,465,436,465,50000,PSB
