time,open,high,low,close,volume,ticker
2010-07-21,17598,20340,16803,17422,922900,PSI
2010-07-22,17598,18041,16626,16714,566900,PSI
2010-07-23,16979,16979,15918,16007,354300,PSI
2010-07-26,15918,17068,15918,16183,255100,PSI
2010-07-27,16183,16272,15211,15476,395100,PSI
2010-07-28,15122,15741,15034,15211,364100,PSI
2010-07-29,15034,15476,15034,15388,255200,PSI
2010-07-30,15653,15653,15122,15653,308000,PSI
2010-08-02,15564,16095,15388,15564,351700,PSI
2010-08-03,15918,15918,14945,15034,204800,PSI
2010-08-04,15299,15388,14503,14768,108200,PSI
2010-08-05,14768,14857,14149,14326,105200,PSI
2010-08-06,14149,14415,13619,13707,246900,PSI
2010-08-09,13973,13973,13000,13000,183100,PSI
2010-08-10,13265,13796,12115,12734,493200,PSI
2010-08-11,13000,13177,12469,12823,73100,PSI
2010-08-12,12469,12469,12027,12027,228000,PSI
2010-08-13,12115,12734,11585,12381,164800,PSI
2010-08-16,12646,13000,12381,13000,283100,PSI
2010-08-17,12911,13000,12292,12734,124100,PSI
2010-08-18,13000,13088,12027,12292,61000,PSI
2010-08-19,12204,12292,11939,12204,66500,PSI
2010-08-20,12027,12381,11850,12115,157500,PSI
2010-08-23,12115,12204,11850,11850,93700,PSI
2010-08-24,11673,11673,11231,11231,401100,PSI
2010-08-25,11673,11673,10612,10612,609600,PSI
2010-08-26,10700,11143,10435,10700,222200,PSI
2010-08-27,11054,11054,10612,10877,173500,PSI
2010-08-30,11143,11496,11143,11496,130600,PSI
2010-08-31,12292,12292,11850,12292,212100,PSI
2010-09-01,12911,13000,12558,13000,853300,PSI
2010-09-06,13884,13884,13884,13884,66300,PSI
2010-09-07,14768,14768,14592,14768,1189800,PSI
2010-09-08,15564,15653,14149,14768,1141100,PSI
2010-09-09,14857,15476,14238,14768,1002200,PSI
2010-09-10,14945,15034,13973,13973,701700,PSI
2010-09-13,14061,14592,13265,13265,377600,PSI
2010-09-14,13530,14061,12911,13265,485800,PSI
2010-09-15,12823,13265,12381,12469,716800,PSI
2010-09-16,12381,13177,12381,13177,449900,PSI
2010-09-17,13265,13796,13265,13796,1154000,PSI
2010-09-20,14592,14680,13796,13973,798500,PSI
2010-09-21,13707,14149,13354,13530,428300,PSI
2010-09-22,13619,13707,13265,13530,380500,PSI
2010-09-23,13442,13442,12823,13265,434000,PSI
2010-09-24,13177,13530,13088,13354,596600,PSI
2010-09-27,13442,13707,13177,13354,282900,PSI
2010-09-28,13707,13973,13354,13442,440700,PSI
2010-09-29,13265,13442,12734,12734,439000,PSI
2010-09-30,12911,13088,12558,12823,261900,PSI
