time,open,high,low,close,volume,ticker
2010-07-06,2672,2672,2672,2672,1000,PSL
2010-07-07,2672,2672,2672,2672,0,PSL
2010-07-08,2672,2672,2672,2672,0,PSL
2010-07-09,2672,2672,2672,2672,0,PSL
2010-07-12,2672,2672,2672,2672,0,PSL
2010-07-13,2672,2672,2672,2672,0,PSL
2010-07-14,2672,2672,2672,2672,0,PSL
2010-07-15,2672,2672,2672,2672,0,PSL
2010-07-16,2805,2805,2805,2805,1000,PSL
2010-07-19,2805,2805,2805,2805,0,PSL
2010-07-20,2805,2805,2805,2805,0,PSL
2010-07-21,2805,2805,2805,2805,0,PSL
2010-07-22,2805,2805,2805,2805,0,PSL
2010-07-23,2805,2805,2805,2805,0,PSL
2010-07-26,2805,2805,2805,2805,0,PSL
2010-07-27,2805,2805,2805,2805,0,PSL
2010-07-28,2805,2805,2805,2805,0,PSL
2010-07-29,2805,2805,2805,2805,0,PSL
2010-07-30,2805,2805,2805,2805,0,PSL
2010-08-02,2805,2805,2805,2805,0,PSL
2010-08-03,2805,2805,2805,2805,0,PSL
2010-08-04,2805,2805,2805,2805,0,PSL
2010-08-05,2805,2805,2805,2805,0,PSL
2010-08-06,2805,2805,2805,2805,0,PSL
2010-08-09,2805,2805,2805,2805,0,PSL
2010-08-10,2805,2805,2805,2805,0,PSL
2010-08-11,2805,2805,2805,2805,0,PSL
2010-08-12,2805,2805,2805,2805,0,PSL
2010-08-13,2805,2805,2805,2805,0,PSL
2010-08-16,2805,2805,2805,2805,0,PSL
2010-08-17,2805,2805,2805,2805,0,PSL
2010-08-18,2734,2734,2734,2734,0,PSL
2010-08-19,2494,2494,2494,2494,100,PSL
2010-08-20,2494,2494,2494,2494,0,PSL
2010-08-23,2494,2494,2494,2494,100,PSL
2010-08-24,2494,2494,2494,2494,0,PSL
2010-08-25,2494,2494,2494,2494,0,PSL
2010-08-26,2494,2494,2494,2494,0,PSL
2010-08-27,2494,2494,2494,2494,0,PSL
2010-08-30,2494,2494,2494,2494,0,PSL
2010-08-31,2494,2494,2494,2494,0,PSL
2010-09-01,2494,2494,2494,2494,0,PSL
2010-09-06,2494,2494,2494,2494,0,PSL
2010-09-07,2494,2494,2494,2494,0,PSL
2010-09-08,2244,2244,2244,2244,100,PSL
2010-09-09,2244,2244,2244,2244,0,PSL
2010-09-10,2244,2244,2244,2244,0,PSL
2010-09-13,2244,2244,2244,2244,0,PSL
2010-09-14,2048,2048,2048,2048,100,PSL
2010-09-15,1843,1843,1843,1843,100,PSL
2010-09-16,1843,1843,1843,1843,0,PSL
2010-09-17,1843,1843,1843,1843,0,PSL
2010-09-20,1843,1843,1843,1843,0,PSL
2010-09-21,1843,1843,1843,1843,0,PSL
2010-09-22,1843,1843,1843,1843,0,PSL
2010-09-23,1843,1843,1843,1843,0,PSL
2010-09-24,1843,1843,1843,1843,0,PSL
2010-09-27,1799,1799,1799,1799,200,PSL
2010-09-28,1799,1799,1799,1799,0,PSL
2010-09-29,1799,1799,1799,1799,0,PSL
2010-09-30,1799,1799,1799,1799,0,PSL
2010-10-01,1799,1799,1799,1799,0,PSL
2010-10-04,1799,1799,1799,1799,0,PSL
2010-10-05,1799,1772,1772,1772,100,PSL
2010-10-06,1772,1772,1772,1772,0,PSL
2010-10-07,1772,1772,1772,1772,0,PSL
2010-10-08,1772,1772,1772,1772,0,PSL
2010-10-11,1772,1772,1772,1772,100,PSL
2010-10-12,1772,1772,1772,1772,0,PSL
2010-10-13,1772,1772,1772,1772,0,PSL
2010-10-14,1772,1772,1772,1772,0,PSL
2010-10-15,1772,1772,1772,1772,0,PSL
2010-10-18,1772,1772,1772,1772,0,PSL
2010-10-19,1772,1772,1772,1772,0,PSL
2010-10-20,1772,1772,1772,1772,0,PSL
2010-10-21,1772,1772,1772,1772,0,PSL
2010-10-22,1772,1772,1772,1772,0,PSL
2010-10-25,1772,1772,1772,1772,0,PSL
2010-10-26,1772,1772,1772,1772,0,PSL
2010-10-27,1772,1772,1772,1772,0,PSL
2010-10-28,1772,1772,1772,1772,0,PSL
2010-10-29,1772,1772,1772,1772,0,PSL
2010-11-01,1772,1772,1772,1772,0,PSL
2010-11-02,1772,1772,1772,1772,0,PSL
2010-11-03,1603,1603,1603,1603,200,PSL
2010-11-04,1603,1603,1603,1603,0,PSL
2010-11-05,1603,1603,1603,1603,0,PSL
2010-11-08,1603,1603,1603,1603,0,PSL
2010-11-09,1603,1603,1603,1603,26500,PSL
2010-11-10,1603,1603,1603,1603,0,PSL
2010-11-11,1603,1603,1603,1603,0,PSL
2010-11-12,1603,1603,1603,1603,0,PSL
2010-11-15,1603,1603,1603,1603,0,PSL
2010-11-16,1603,1603,1603,1603,0,PSL
2010-11-17,1603,1603,1603,1603,0,PSL
2010-11-18,1603,1603,1603,1603,0,PSL
2010-11-19,1603,1603,1603,1603,200,PSL
2010-11-22,1603,1603,1603,1603,200,PSL
2010-11-23,1603,1603,1603,1603,0,PSL
2010-11-24,1603,1603,1603,1603,0,PSL
2010-11-25,1603,1603304,1603304,1603304,0,PSL
2010-11-26,1603,1603,1603,1603,0,PSL
2010-11-29,1603,1603,1603,1603,0,PSL
2010-11-30,1603,1603,1603,1603,0,PSL
2010-12-01,1603,1603,1603,1603,0,PSL
2010-12-02,1603,1603,1603,1603,0,PSL
2010-12-03,1603,1603,1603,1603,0,PSL
2010-12-06,1603,1603,1603,1603,0,PSL
2010-12-07,1603,1603,1603,1603,0,PSL
2010-12-08,1603,1603,1603,1603,0,PSL
2010-12-09,1603,1603,1603,1603,0,PSL
2010-12-10,1603,1603,1603,1603,0,PSL
2010-12-13,1603,1603,1603,1603,0,PSL
2010-12-14,1763,1763,1763,1763,100,PSL
2010-12-15,1763,1763,1763,1763,0,PSL
2010-12-16,1763,1763,1763,1763,0,PSL
2010-12-17,1763,1763,1763,1763,0,PSL
2010-12-20,1763,1763,1763,1763,0,PSL
2010-12-21,1763,1763,1763,1763,0,PSL
2010-12-22,1763,1763,1763,1763,0,PSL
2010-12-23,1763,1763,1763,1763,0,PSL
2010-12-24,1763,1763,1763,1763,0,PSL
2010-12-27,1763,1763,1763,1763,0,PSL
2010-12-28,1763,1763,1763,1763,0,PSL
2010-12-29,1763,1763,1763,1763,0,PSL
2010-12-30,1763,1763,1763,1763,0,PSL
2010-12-31,1763,1763,1763,1763,0,PSL
2011-01-04,1763,1763,1763,1763,0,PSL
2011-01-05,1763,1763,1763,1763,0,PSL
2011-01-06,1763,1763,1763,1763,0,PSL
2011-01-07,1763,1763,1763,1763,0,PSL
2011-01-10,1763,1763,1763,1763,0,PSL
2011-01-11,1763,1763,1763,1763,0,PSL
2011-01-12,1763,1763,1763,1763,0,PSL
2011-01-13,1763,1763,1763,1763,0,PSL
2011-01-14,1763,1763,1763,1763,0,PSL
2011-01-17,1763,1763,1763,1763,0,PSL
2011-01-18,1763,1763,1763,1763,0,PSL
2011-01-19,1763,1763,1763,1763,0,PSL
