time,open,high,low,close,volume,ticker
2011-07-22,2034,2034,2034,2034,44620,PTB
2011-07-25,1932,1932,1932,1932,5050,PTB
2011-07-26,1843,1843,1843,1843,94030,PTB
2011-07-27,1754,1843,1754,1843,119560,PTB
2011-07-28,1843,1907,1843,1869,51380,PTB
2011-07-29,1831,1869,1818,1869,7500,PTB
2011-08-01,1856,1856,1780,1780,79830,PTB
2011-08-02,1704,1716,1691,1691,55710,PTB
2011-08-03,1767,1767,1767,1767,410,PTB
2011-08-04,1831,1843,1780,1843,9540,PTB
2011-08-05,1805,1907,1805,1856,7880,PTB
2011-08-08,1780,1843,1780,1780,38540,PTB
2011-08-09,1716,1805,1716,1805,4030,PTB
2011-08-10,1729,1805,1729,1805,5430,PTB
2011-08-11,1805,1805,1805,1805,14370,PTB
2011-08-12,1894,1894,1805,1843,160,PTB
2011-08-15,1843,1882,1805,1882,16010,PTB
2011-08-16,1894,1894,1793,1793,1760,PTB
2011-08-17,1831,1856,1793,1856,6030,PTB
2011-08-18,1856,1894,1818,1894,1620,PTB
2011-08-19,1882,1882,1843,1843,14960,PTB
2011-08-22,1920,1920,1805,1869,10330,PTB
2011-08-23,1843,1843,1843,1843,4050,PTB
2011-08-24,1932,1932,1805,1843,10010,PTB
2011-08-25,1843,1869,1843,1869,3070,PTB
2011-08-26,1843,1843,1818,1843,9670,PTB
2011-08-29,1843,1869,1843,1843,40,PTB
2011-08-30,1843,1843,1843,1843,760,PTB
2011-08-31,1843,1843,1767,1780,5860,PTB
2011-09-01,1869,1869,1704,1716,2730,PTB
2011-09-05,1780,1780,1716,1780,2530,PTB
2011-09-06,1831,1831,1691,1818,2880,PTB
2011-09-07,1780,1805,1780,1805,2020,PTB
2011-09-08,1780,1793,1780,1780,10320,PTB
2011-09-09,1793,1869,1793,1869,24630,PTB
2011-09-12,1882,1882,1882,1882,5400,PTB
2011-09-13,1907,1958,1907,1958,26080,PTB
2011-09-14,2009,2034,1983,1996,10750,PTB
2011-09-15,1958,1958,1907,1907,12020,PTB
2011-09-16,1907,1907,1831,1831,7500,PTB
2011-09-19,1907,1920,1793,1920,9310,PTB
2011-09-20,1831,1907,1831,1907,20,PTB
2011-09-21,1843,1843,1831,1831,6960,PTB
2011-09-22,1894,1894,1869,1869,70,PTB
2011-09-23,1907,1907,1869,1894,3960,PTB
2011-09-26,1843,1907,1843,1907,5500,PTB
2011-09-27,1843,1843,1843,1843,10,PTB
2011-09-28,1843,1894,1843,1843,10500,PTB
2011-09-29,1856,1856,1843,1843,15000,PTB
2011-09-30,1805,1843,1805,1843,3300,PTB
2011-10-03,1843,1843,1843,1843,200,PTB
2011-10-04,1805,1843,1805,1843,1670,PTB
2011-10-05,1894,1894,1843,1843,960,PTB
2011-10-06,1843,1856,1843,1856,14790,PTB
2011-10-07,1856,1856,1843,1843,8740,PTB
2011-10-10,1818,1818,1818,1818,20,PTB
2011-10-11,1818,1818,1818,1818,10000,PTB
2011-10-12,1831,1882,1818,1818,57010,PTB
2011-10-13,1843,1843,1831,1831,4000,PTB
2011-10-14,1843,1843,1831,1843,13000,PTB
2011-10-17,1843,1843,1831,1843,52820,PTB
2011-10-18,1843,1843,1843,1843,11300,PTB
2011-10-19,1843,1843,1843,1843,0,PTB
2011-10-20,1843,1843,1843,1843,8480,PTB
2011-10-21,1843,1856,1843,1843,13590,PTB
2011-10-24,1843,1856,1843,1856,21000,PTB
2011-10-25,1843,1843,1793,1793,6630,PTB
2011-10-26,1818,1818,1704,1704,1110,PTB
2011-10-27,1665,1780,1665,1780,3020,PTB
2011-10-28,1716,1843,1716,1805,1030,PTB
2011-10-31,1831,1831,1818,1818,5500,PTB
2011-11-01,1818,1818,1818,1818,6000,PTB
2011-11-02,1818,1818,1818,1818,0,PTB
2011-11-03,1793,1805,1793,1805,6010,PTB
2011-11-04,1805,1805,1780,1780,6020,PTB
2011-11-07,1780,1780,1780,1780,1000,PTB
2011-11-08,1780,1780,1780,1780,0,PTB
2011-11-09,1729,1780,1729,1780,1030,PTB
2011-11-10,1754,1767,1754,1767,1160,PTB
2011-11-11,1767,1767,1767,1767,0,PTB
2011-11-14,1767,1767,1767,1767,200,PTB
2011-11-15,1767,1767,1767,1767,0,PTB
2011-11-16,1754,1767,1754,1767,1430,PTB
2011-11-17,1754,1754,1754,1754,2000,PTB
2011-11-18,1754,1754,1716,1754,2120,PTB
2011-11-21,1704,1704,1704,1704,390,PTB
2011-11-22,1716,1716,1716,1716,10000,PTB
2011-11-23,1716,1729,1716,1716,19000,PTB
2011-11-24,1716,1716,1716,1716,3000,PTB
2011-11-25,1729,1729,1729,1729,10,PTB
2011-11-28,1729,1729,1729,1729,10,PTB
2011-11-29,1729,1729,1729,1729,0,PTB
2011-11-30,1716,1716,1716,1716,20,PTB
2011-12-01,1716,1716,1716,1716,70,PTB
2011-12-02,1716,1767,1716,1767,2780,PTB
2011-12-05,1716,1716,1716,1716,2000,PTB
2011-12-06,1729,1729,1716,1716,2900,PTB
2011-12-07,1716,1716,1716,1716,6110,PTB
2011-12-08,1716,1716,1716,1716,0,PTB
2011-12-09,1716,1754,1716,1729,9530,PTB
2011-12-12,1691,1729,1691,1729,2120,PTB
2011-12-13,1742,1742,1742,1742,1000,PTB
2011-12-14,1729,1729,1716,1716,6480,PTB
2011-12-15,1793,1793,1665,1691,11110,PTB
2011-12-16,1678,1691,1678,1691,4010,PTB
2011-12-19,1691,1716,1678,1716,11850,PTB
2011-12-20,1767,1784,1767,1784,1020,PTB
2011-12-21,1784,1784,1784,1784,60,PTB
2011-12-22,1699,1784,1699,1784,30,PTB
2011-12-23,1784,1784,1784,1784,0,PTB
2011-12-26,1784,1784,1784,1784,0,PTB
2011-12-27,1801,1801,1801,1801,10,PTB
2011-12-28,1869,1869,1869,1869,10,PTB
2011-12-29,1954,1954,1954,1954,10,PTB
2011-12-30,1869,2039,1869,2039,30,PTB
2012-01-03,1937,1937,1937,1937,20,PTB
2012-01-04,2022,2022,2022,2022,10,PTB
2012-01-05,2022,2022,2022,2022,0,PTB
2012-01-06,2022,2022,2022,2022,0,PTB
2012-01-09,2022,2022,2022,2022,0,PTB
2012-01-10,1937,1937,1937,1937,190,PTB
2012-01-11,2005,2005,2005,2005,10,PTB
2012-01-12,2005,2005,2005,2005,0,PTB
2012-01-13,2005,2005,2005,2005,0,PTB
2012-01-16,2039,2039,2039,2039,10,PTB
2012-01-17,2141,2141,2141,2141,10,PTB
2012-01-18,2243,2243,2243,2243,10,PTB
2012-01-19,2141,2141,2141,2141,60,PTB
2012-01-20,2192,2192,2039,2039,20,PTB
2012-01-30,2141,2141,2141,2141,10,PTB
2012-01-31,2141,2141,2141,2141,0,PTB
2012-02-01,2141,2141,2141,2141,0,PTB
2012-02-02,2141,2141,2141,2141,0,PTB
2012-02-03,2226,2226,2124,2124,880,PTB
2012-02-06,2141,2141,2141,2141,70,PTB
2012-02-07,2243,2243,2243,2243,10,PTB
2012-02-08,2226,2328,2141,2192,12020,PTB
2012-02-09,2192,2192,2192,2192,0,PTB
2012-02-10,2090,2192,2090,2192,710,PTB
2012-02-13,2090,2192,2090,2192,60,PTB
2012-02-14,2090,2175,2090,2175,15990,PTB
2012-02-15,2175,2175,2175,2175,0,PTB
2012-02-16,2175,2175,2175,2175,0,PTB
2012-02-17,2175,2175,2090,2107,1010,PTB
2012-02-20,2107,2107,2090,2090,1100,PTB
2012-02-21,2090,2090,2090,2090,30,PTB
2012-02-22,2107,2107,2107,2107,2010,PTB
2012-02-23,2107,2141,2107,2141,14770,PTB
2012-02-24,2073,2124,2073,2124,2000,PTB
2012-02-27,2209,2209,2107,2141,22010,PTB
2012-02-28,2141,2141,2090,2090,1010,PTB
2012-02-29,2090,2107,2090,2090,17470,PTB
2012-03-01,2090,2090,2090,2090,2100,PTB
2012-03-02,2158,2158,2158,2158,10,PTB
2012-03-05,2158,2209,2141,2141,13470,PTB
2012-03-06,2192,2192,2039,2124,39310,PTB
2012-03-07,2124,2124,2073,2073,620,PTB
2012-03-08,2141,2141,2073,2124,3610,PTB
2012-03-09,2124,2192,2090,2192,7060,PTB
2012-03-12,2192,2192,2107,2192,6720,PTB
2012-03-13,2107,2141,2107,2141,260,PTB
2012-03-14,2141,2192,2141,2192,230,PTB
2012-03-15,2090,2175,2090,2175,30,PTB
2012-03-16,2073,2175,2073,2158,10320,PTB
2012-03-19,2073,2158,2073,2158,10220,PTB
2012-03-20,2158,2158,2141,2141,10010,PTB
2012-03-21,2141,2141,2039,2039,22540,PTB
2012-03-22,2056,2141,2056,2141,7780,PTB
2012-03-23,2141,2141,2141,2141,79030,PTB
2012-03-26,2141,2141,2141,2141,109670,PTB
2012-03-27,2141,2243,2141,2243,125330,PTB
2012-03-28,2345,2345,2345,2345,60750,PTB
2012-03-29,2447,2447,2396,2447,156440,PTB
2012-03-30,2549,2549,2430,2447,66780,PTB
2012-04-03,2379,2447,2328,2447,63300,PTB
2012-04-04,2447,2447,2362,2362,37290,PTB
2012-04-05,2345,2396,2345,2379,14140,PTB
2012-04-06,2379,2447,2379,2379,25410,PTB
2012-04-09,2447,2447,2379,2413,20100,PTB
2012-04-10,2453,2453,2334,2374,16890,PTB
2012-04-11,2413,2413,2275,2374,36810,PTB
2012-04-12,2295,2413,2295,2393,69270,PTB
2012-04-13,2413,2413,2354,2354,14710,PTB
2012-04-16,2374,2413,2334,2374,47060,PTB
2012-04-17,2374,2374,2334,2334,25630,PTB
2012-04-18,2334,2374,2334,2374,22670,PTB
2012-04-19,2374,2374,2334,2374,6350,PTB
2012-04-20,2374,2374,2314,2314,15520,PTB
2012-04-23,2334,2354,2334,2334,25810,PTB
2012-04-24,2295,2354,2295,2334,45190,PTB
2012-04-25,2354,2433,2354,2433,41390,PTB
2012-04-26,2374,2532,2374,2532,3570,PTB
2012-04-27,2532,2532,2473,2492,16620,PTB
2012-05-02,2492,2492,2453,2492,42870,PTB
2012-05-03,2473,2492,2433,2473,30030,PTB
2012-05-04,2492,2591,2492,2591,58900,PTB
2012-05-07,2710,2710,2710,2710,8560,PTB
2012-05-08,2829,2829,2750,2750,38420,PTB
2012-05-09,2809,2868,2750,2868,144250,PTB
2012-05-10,3007,3007,3007,3007,81330,PTB
2012-05-11,3106,3106,2868,3027,66320,PTB
2012-05-14,3027,3027,2888,2888,11110,PTB
2012-05-15,2789,3007,2750,2750,88420,PTB
2012-05-16,2750,2750,2651,2750,62790,PTB
2012-05-17,2651,2769,2631,2730,31030,PTB
2012-05-18,2651,2730,2631,2651,33570,PTB
2012-05-21,2750,2769,2670,2769,14400,PTB
2012-05-22,2848,2848,2710,2710,10010,PTB
2012-05-23,2789,2789,2631,2631,12530,PTB
2012-05-24,2750,2750,2571,2631,20870,PTB
2012-05-25,2730,2730,2670,2710,20630,PTB
2012-05-28,2730,2730,2670,2670,21340,PTB
2012-05-29,2670,2690,2651,2670,16290,PTB
2012-05-30,2690,2690,2631,2670,11190,PTB
2012-05-31,2651,2651,2591,2591,14200,PTB
2012-06-01,2690,2690,2690,2690,10,PTB
2012-06-04,2571,2611,2571,2571,30790,PTB
2012-06-05,2670,2670,2492,2611,19830,PTB
2012-06-06,2651,2670,2611,2670,1020,PTB
2012-06-07,2730,2769,2730,2769,9260,PTB
2012-06-08,2829,2829,2710,2710,2950,PTB
2012-06-11,2710,2769,2710,2769,3920,PTB
2012-06-12,2769,2769,2631,2690,21930,PTB
2012-06-13,2750,2750,2631,2710,5130,PTB
2012-06-14,2809,2809,2809,2809,20,PTB
2012-06-15,2670,2769,2670,2769,19430,PTB
2012-06-18,2789,2789,2769,2789,1500,PTB
2012-06-19,2651,2651,2651,2651,10,PTB
2012-06-20,2750,2750,2750,2750,20,PTB
2012-06-21,2670,2670,2670,2670,20,PTB
2012-06-22,2690,2690,2611,2611,4220,PTB
2012-06-25,2651,2651,2631,2631,560,PTB
2012-06-26,2611,2631,2532,2552,10350,PTB
2012-06-27,2571,2571,2532,2532,15520,PTB
2012-06-28,2591,2591,2571,2571,1050,PTB
2012-06-29,2631,2631,2492,2492,520,PTB
2012-07-02,2571,2571,2453,2453,5100,PTB
2012-07-03,2334,2374,2334,2354,790,PTB
2012-07-04,2354,2453,2314,2314,34340,PTB
2012-07-05,2413,2413,2374,2374,4460,PTB
2012-07-06,2492,2492,2492,2492,3310,PTB
2012-07-09,2611,2611,2374,2374,130,PTB
2012-07-10,2492,2492,2314,2314,260,PTB
2012-07-11,2413,2413,2334,2334,1520,PTB
2012-07-12,2433,2433,2295,2433,12480,PTB
2012-07-13,2473,2552,2473,2473,1010,PTB
2012-07-16,2571,2571,2473,2473,350,PTB
2012-07-17,2552,2552,2532,2532,60,PTB
2012-07-18,2571,2571,2473,2571,60,PTB
2012-07-19,2611,2611,2591,2611,1970,PTB
2012-07-20,2710,2710,2670,2670,5900,PTB
2012-07-23,2750,2750,2670,2710,1130,PTB
2012-07-24,2631,2710,2591,2710,2830,PTB
