time,open,high,low,close,volume,ticker
2006-12-25,11658,11658,10492,10912,5100,PTC
2006-12-26,10492,10912,10492,10702,7200,PTC
2006-12-27,11751,11751,10725,11495,5000,PTC
2006-12-28,11192,11775,11192,11332,9700,PTC
2006-12-29,11658,11658,10725,11192,11500,PTC
2007-01-02,10725,11075,10492,11075,3700,PTC
2007-01-03,10609,10842,10492,10632,9300,PTC
2007-01-04,10492,10492,10026,10376,33700,PTC
2007-01-05,10492,10819,10376,10585,15500,PTC
2007-01-08,10842,11192,10772,11028,10600,PTC
2007-01-09,11471,11471,10958,11168,8300,PTC
2007-01-10,11425,11425,11308,11402,2300,PTC
2007-01-11,11262,11425,11075,11262,14300,PTC
2007-01-12,11308,11308,11075,11145,19800,PTC
2007-01-15,11075,11192,10842,11052,25900,PTC
2007-01-16,10982,10982,10749,10819,3000,PTC
2007-01-17,10958,11192,10819,10912,7800,PTC
2007-01-18,11075,11192,10982,11168,7600,PTC
2007-01-19,10958,11378,10958,11098,10300,PTC
2007-01-22,10725,11075,10725,10889,6100,PTC
2007-01-23,10772,10772,10725,10725,2700,PTC
2007-01-24,10259,10725,10259,10515,6500,PTC
2007-01-25,10702,11425,10492,10842,17000,PTC
2007-01-26,10842,11075,10842,10889,9000,PTC
2007-01-29,10749,11005,10492,10749,5800,PTC
2007-01-30,11821,11821,11658,11821,41100,PTC
2007-01-31,12987,12987,12358,12964,15200,PTC
2007-02-01,14246,14246,14246,14246,22800,PTC
2007-02-02,15669,15669,15669,15669,24400,PTC
2007-02-05,17231,17231,17231,17231,58500,PTC
2007-02-06,18933,18933,17021,17884,72000,PTC
2007-02-07,17487,17720,16368,17091,19500,PTC
2007-02-08,16555,16555,15389,16298,12200,PTC
2007-02-09,14689,15855,14689,14806,31300,PTC
2007-02-12,15156,15855,14689,14969,14100,PTC
2007-02-13,16461,16461,15389,16275,9700,PTC
2007-02-14,17394,17884,16788,17557,31500,PTC
2007-02-15,17954,18653,17884,18187,27500,PTC
2007-02-26,20005,20005,19819,20005,13200,PTC
2007-02-27,21987,21987,21987,21987,12300,PTC
2007-02-28,21987,24179,21801,23153,41800,PTC
2007-03-01,24482,24482,20985,21544,28700,PTC
2007-03-02,20518,22151,20285,21335,33600,PTC
2007-03-05,20985,22850,20985,22337,22900,PTC
2007-03-06,23317,24552,23083,23829,41000,PTC
2007-03-07,26115,26208,21684,21684,24900,PTC
2007-03-08,22943,23083,21451,22617,15900,PTC
2007-03-09,23317,24016,22617,23177,40400,PTC
2007-03-12,25415,25485,22384,23923,55300,PTC
2007-03-13,24949,26115,24716,25298,42900,PTC
2007-03-14,27047,27047,23317,25485,41000,PTC
2007-03-15,22943,22943,22943,22943,9600,PTC
2007-03-16,22151,25228,21451,24273,17200,PTC
2007-03-19,26115,26697,26115,26674,36100,PTC
2007-03-20,27980,27980,25182,26301,29500,PTC
2007-03-21,26115,27047,24482,25182,26900,PTC
2007-03-22,25415,26651,24016,24902,25400,PTC
2007-03-23,23317,25182,23317,23946,15400,PTC
2007-03-26,23270,23783,22314,22897,12300,PTC
2007-03-27,21684,21684,20612,20938,7500,PTC
2007-03-28,18886,23013,18886,23013,26700,PTC
2007-03-29,21894,21894,21894,21894,16200,PTC
2007-03-30,23993,23993,20052,22361,22800,PTC
2007-04-02,21568,21894,20145,20588,11000,PTC
2007-04-03,20402,20985,19003,19516,22800,PTC
2007-04-04,20052,20635,19866,20239,17800,PTC
2007-04-05,20402,20985,19819,20122,15400,PTC
2007-04-06,19936,19936,18653,19353,11200,PTC
2007-04-09,19469,19469,19119,19283,11900,PTC
2007-04-10,19236,19236,18653,18886,12100,PTC
2007-04-11,18653,18770,18420,18630,14600,PTC
2007-04-12,18420,18537,18070,18187,8400,PTC
2007-04-13,17837,17837,16788,17184,11500,PTC
2007-04-16,15855,15878,15622,15715,7900,PTC
2007-04-17,15622,15622,14223,14479,25200,PTC
2007-04-18,15911,15911,14784,15817,12800,PTC
2007-04-19,16897,17389,15841,16521,27100,PTC
2007-04-20,16427,16427,15723,15981,10700,PTC
2007-04-23,14902,14902,14409,14691,16700,PTC
2007-04-24,14573,14996,14221,14667,26000,PTC
2007-04-25,15371,15841,15371,15676,14200,PTC
2007-05-02,15254,16169,15254,15676,16800,PTC
2007-05-03,15371,15489,15160,15395,6200,PTC
2007-05-04,15254,15254,14573,15090,4900,PTC
2007-05-07,15489,15981,15465,15864,11800,PTC
2007-05-08,16873,16897,16427,16709,20600,PTC
2007-05-09,17037,17037,15981,16498,11000,PTC
2007-05-10,16427,16427,15723,15911,3200,PTC
2007-05-11,15958,16193,15958,16005,4200,PTC
2007-05-14,17014,17014,15958,16122,6600,PTC
2007-05-15,16545,16545,16005,16169,12200,PTC
2007-05-16,15958,16427,15958,16052,7600,PTC
2007-05-17,15841,16052,15841,15958,5900,PTC
2007-05-18,15981,15981,15160,15301,74100,PTC
