time,open,high,low,close,volume,ticker
2010-06-03,14328,14328,14328,14328,0,PTT
2010-06-04,14328,14328,14328,14328,0,PTT
2010-06-07,14328,14328,14328,14328,0,PTT
2010-06-08,14328,14328,14328,14328,0,PTT
2010-06-09,14328,14328,14328,14328,0,PTT
2010-06-10,14328,14328,14328,14328,0,PTT
2010-06-11,14328,14328,14328,14328,0,PTT
2010-06-14,14328,14328,14328,14328,0,PTT
2010-06-15,14328,14328,14328,14328,0,PTT
2010-06-16,14328,14328,14328,14328,0,PTT
2010-06-17,14328,14328,14328,14328,0,PTT
2010-06-18,14328,14328,14328,14328,0,PTT
2010-06-21,14328,14328,14328,14328,0,PTT
2010-06-22,14328,14328,14328,14328,0,PTT
2010-06-23,14328,14328,14328,14328,0,PTT
2010-06-24,14328,14328,14328,14328,0,PTT
2010-06-25,14328,14328,14328,14328,0,PTT
2010-06-28,14328,14328,14328,14328,0,PTT
2010-06-29,14328,14328,14328,14328,0,PTT
2010-06-30,14328,14328,14328,14328,0,PTT
2010-07-01,14328,14328,14328,14328,0,PTT
2010-07-02,14328,14328,14328,14328,0,PTT
2010-07-05,14328,14328,14328,14328,0,PTT
2010-07-06,14328,14328,14328,14328,0,PTT
2010-07-07,14328,14328,14328,14328,0,PTT
2010-07-08,14328,14328,14328,14328,0,PTT
2010-07-09,14328,14328,14328,14328,0,PTT
2010-07-12,14328,14328,14328,14328,0,PTT
2010-07-13,14328,14328,14328,14328,0,PTT
2010-07-14,14328,14328,14328,14328,0,PTT
2010-07-15,14328,14328,14328,14328,0,PTT
2010-07-16,14328,14328,14328,14328,0,PTT
2010-07-19,14328,14328,14328,14328,0,PTT
2010-07-20,14328,14328,14328,14328,0,PTT
2010-07-21,14328,14328,14328,14328,0,PTT
2010-07-22,14328,14328,14328,14328,0,PTT
2010-07-23,14328,14328,14328,14328,0,PTT
2010-07-26,14328,14328,14328,14328,0,PTT
2010-07-27,14328,14328,14328,14328,0,PTT
2010-07-28,14328,14328,14328,14328,0,PTT
2010-07-29,14328,14328,14328,14328,0,PTT
2010-07-30,14328,14328,14328,14328,0,PTT
2010-08-02,14328,14328,14328,14328,0,PTT
2010-08-03,14328,14328,14328,14328,0,PTT
2010-08-04,14328,14328,14328,14328,0,PTT
2010-08-06,14328,14328,14328,14328,0,PTT
2010-08-09,14328,14328,14328,14328,0,PTT
2010-08-19,10421,10421,10421,10421,100,PTT
2010-08-23,10421,10421,10421,10421,0,PTT
2010-08-24,10421,10421,10421,10421,0,PTT
2010-08-25,10421,10421,10421,10421,0,PTT
2010-08-26,10421,10421,10421,10421,0,PTT
2010-08-27,10421,10421,10421,10421,0,PTT
2010-08-30,9378,9378,9378,9378,700,PTT
2010-08-31,9378,9378,9378,9378,0,PTT
2010-09-01,9378,9378,9378,9378,0,PTT
2010-09-06,9378,9378,9378,9378,0,PTT
2010-09-07,9378,9378,9378,9378,0,PTT
2010-09-08,9552,9552,9552,9552,100,PTT
2010-09-09,9552,9552,9552,9552,0,PTT
2010-09-10,9552,9552,9552,9552,0,PTT
2010-09-13,9552,9552,9552,9552,0,PTT
2010-09-14,9552,9552,9552,9552,0,PTT
2010-09-15,9552,9552,9552,9552,0,PTT
2010-09-16,9552,9552,9552,9552,0,PTT
2010-09-17,9552,9552,9552,9552,0,PTT
2010-09-20,9552,9552,9552,9552,0,PTT
2010-09-21,9552,9552,9552,9552,0,PTT
2010-09-22,9552,9552,9552,9552,0,PTT
2010-09-23,9552,9552,9552,9552,0,PTT
2010-09-24,9552,9552,9552,9552,0,PTT
2010-09-27,9552,9552,9552,9552,0,PTT
2010-09-28,9552,9552,9552,9552,0,PTT
2010-09-29,9552,9552,9552,9552,0,PTT
2010-09-30,10421,10421,10421,10421,2100,PTT
2010-10-01,10421,10421,10421,10421,0,PTT
2010-10-04,10421,10421,10421,10421,0,PTT
2010-10-05,10421,10768,9378,10768,1200,PTT
2010-10-06,8597,8597,8597,8597,100,PTT
2010-10-07,8597,8597,8597,8597,0,PTT
2010-10-08,9292,9292,9118,9118,6400,PTT
2010-10-11,8249,8249,8249,8249,1700,PTT
2010-10-12,8249,8249,8249,8249,0,PTT
2010-10-13,8249,8249,8249,8249,0,PTT
2010-10-14,8249,8249,8249,8249,0,PTT
2010-10-15,8249,8249,8249,8249,0,PTT
2010-10-18,8249,8249,8249,8249,0,PTT
2010-10-19,8249,8249,8249,8249,0,PTT
2010-10-20,8249,8249,8249,8249,0,PTT
2010-10-21,8249,8249,8249,8249,0,PTT
2010-10-22,8249,8249,8249,8249,0,PTT
2010-10-25,7555,7555,7555,7555,100,PTT
2010-10-26,7555,7555,7555,7555,0,PTT
2010-10-27,7555,7555,7555,7555,0,PTT
2010-10-28,7555,7555,7555,7555,0,PTT
2010-10-29,7034,7034,6860,6860,1100,PTT
2010-11-01,6252,6252,6252,6252,200,PTT
2010-11-02,6252,6252,6252,6252,0,PTT
2010-11-03,6252,6252,6252,6252,0,PTT
2010-11-04,6252,6252,6252,6252,0,PTT
2010-11-05,5644,5644,5644,5644,1000,PTT
2010-11-08,5644,5644,5644,5644,200,PTT
2010-11-09,5210,5210,5210,5210,200,PTT
2010-11-10,5210,5210,5210,5210,0,PTT
2010-11-11,5644,5644,5644,5644,2100,PTT
2010-11-12,5644,5644,5644,5644,0,PTT
2010-11-15,5644,5210,5210,5210,100,PTT
2010-11-16,5210,5210,5210,5210,0,PTT
2010-11-17,5210,4689,4689,4689,100,PTT
2010-11-18,4342,4342,4342,4342,200,PTT
2010-11-19,3994,3994,3994,3994,7600,PTT
2010-11-22,3647,3647,3647,3647,3800,PTT
2010-11-23,3907,3907,3560,3560,300,PTT
2010-11-24,3647,3647,3647,3647,0,PTT
2010-11-25,3647,3647368,3647368,3647368,0,PTT
2010-11-26,3647,3647,3647,3647,0,PTT
2010-11-29,3647,3647,3647,3647,0,PTT
2010-11-30,3994,3994,3994,3994,100,PTT
2010-12-01,4342,4342,4342,4342,100,PTT
