time,open,high,low,close,volume,ticker
2019-11-05,15300,15300,15000,15000,21400,PTV
2019-11-06,15000,15000,12800,12800,10000,PTV
2019-11-07,13900,13900,13900,13900,0,PTV
2019-11-08,11900,11900,11900,11900,400,PTV
2019-11-11,11900,11900,11900,11900,0,PTV
2019-11-12,11900,11900,11900,11900,0,PTV
2019-11-13,10500,10500,10200,10200,1300,PTV
2019-11-14,9500,10800,9000,9000,43200,PTV
2019-11-15,10000,10700,10000,10700,11500,PTV
2019-11-18,11800,11800,11800,11800,1200,PTV
2019-11-19,11900,11900,10100,10800,12900,PTV
2019-11-20,10200,10200,10100,10100,1100,PTV
2019-11-21,11400,11400,8600,8600,9500,PTV
2019-11-22,9100,9100,9100,9100,800,PTV
2019-11-25,10300,10300,7800,7800,13900,PTV
2019-11-26,8000,8000,8000,8000,4000,PTV
2019-11-27,6900,7700,6800,7400,11300,PTV
2019-11-28,8000,8000,6200,6700,11600,PTV
2019-11-29,6500,7700,6500,7700,5900,PTV
2019-12-02,8300,8400,6800,8400,23100,PTV
2019-12-03,8100,9400,8100,9100,23011,PTV
2019-12-04,8700,10200,8700,9500,36700,PTV
2019-12-05,9900,10000,9900,9900,8460,PTV
2019-12-06,9900,9900,9700,9800,17010,PTV
2019-12-09,9800,9800,9600,9600,23400,PTV
2019-12-10,9700,9800,9600,9800,22600,PTV
2019-12-11,9800,9800,9700,9700,1300,PTV
2019-12-12,9500,9500,9400,9400,16640,PTV
2019-12-13,9400,9400,9400,9400,63200,PTV
2019-12-16,9400,9400,9400,9400,3100,PTV
2019-12-17,9400,9400,9400,9100,24850,PTV
2019-12-18,10400,10400,9200,9200,7810,PTV
2019-12-19,9200,9200,9200,9200,4300,PTV
2019-12-20,9200,9400,9200,9200,4700,PTV
2019-12-23,9400,9400,9400,9400,1500,PTV
2019-12-24,9500,9500,9300,9500,28300,PTV
2019-12-25,9500,9800,9500,9800,11040,PTV
2019-12-26,9800,9800,9800,9800,12000,PTV
2019-12-27,9800,10000,9700,10000,7900,PTV
2019-12-30,10000,10000,10000,10000,6700,PTV
2019-12-31,11300,11500,11300,11500,37060,PTV
2020-01-02,12000,12000,12000,12000,1300,PTV
2020-01-03,13300,13300,13300,13300,1300,PTV
2020-01-06,14000,14000,11400,11400,2100,PTV
2020-01-07,11900,11900,11900,11900,200,PTV
2020-01-08,11800,11800,11800,10300,3400,PTV
2020-01-09,12000,12000,12000,12000,3400,PTV
2020-01-10,11900,11900,11900,11900,3100,PTV
2020-01-13,11900,11900,11900,11900,0,PTV
2020-01-14,11900,11900,11900,11900,0,PTV
2020-01-15,11900,11900,11900,11900,0,PTV
