time,open,high,low,close,volume,ticker
2006-12-05,19219,19219,19219,19219,25500,PVD
2006-12-06,18332,18332,18332,18332,17860,PVD
2006-12-07,17445,17445,17445,17445,24160,PVD
2006-12-08,16706,16706,16706,16706,20800,PVD
2006-12-11,16706,17445,16706,17445,334090,PVD
2006-12-12,18184,18184,17741,17741,536510,PVD
2006-12-13,18628,18628,18628,18628,362570,PVD
2006-12-14,19515,19515,19515,19515,164500,PVD
2006-12-15,20402,20402,20402,20402,123100,PVD
2006-12-18,21289,21289,21289,21289,194960,PVD
2006-12-19,22324,22324,22324,22324,124150,PVD
2006-12-20,23359,23359,23359,23359,140780,PVD
2006-12-21,24394,24394,22472,22472,810590,PVD
2006-12-22,21437,21437,21437,21437,495650,PVD
2006-12-25,20402,22472,20402,22472,476620,PVD
2006-12-26,23507,23507,23507,23507,308470,PVD
2006-12-27,24542,24542,24542,24542,264550,PVD
2006-12-28,24542,24542,24542,24542,456580,PVD
2006-12-29,24542,24689,24542,24689,190770,PVD
2007-01-02,24837,24837,23950,23950,319150,PVD
2007-01-03,23950,24837,23950,24837,148900,PVD
2007-01-04,26020,26020,26020,26020,147690,PVD
2007-01-05,27203,27203,27203,27203,120020,PVD
2007-01-08,28533,28533,28533,28533,462770,PVD
2007-01-09,29864,29864,29864,29864,277330,PVD
2007-01-10,31342,31342,31342,31342,107950,PVD
2007-01-11,32821,32821,32821,32821,81780,PVD
2007-01-12,34447,34447,34447,34447,40030,PVD
2007-01-15,36073,36073,36073,36073,60260,PVD
2007-01-16,37847,37847,37847,37847,86650,PVD
2007-01-17,39622,39622,39622,39622,560630,PVD
2007-01-18,41100,41544,41100,41544,680450,PVD
2007-01-19,43613,43613,43613,43613,352290,PVD
2007-01-22,43613,43613,43613,43613,403670,PVD
2007-01-23,44353,44353,43613,43613,364140,PVD
2007-01-24,42874,42874,41544,41544,187780,PVD
2007-01-25,39474,39474,39474,39474,143760,PVD
2007-01-26,37552,37552,37552,37552,269010,PVD
2007-01-29,35778,39326,35778,39326,532680,PVD
2007-01-30,41248,41248,41248,41248,222990,PVD
2007-01-31,43170,43170,43170,43170,388540,PVD
2007-02-01,43170,43170,41100,41100,222470,PVD
2007-02-02,41987,41987,41987,41987,300220,PVD
2007-02-05,44057,44057,41987,41987,421520,PVD
2007-02-06,41987,41987,41987,41987,232670,PVD
2007-02-07,41987,41987,41987,41987,210670,PVD
2007-02-08,39917,39917,39917,39917,230810,PVD
2007-02-09,37995,39917,37995,39917,347640,PVD
2007-02-12,41396,41544,41396,41544,262090,PVD
2007-02-13,41396,41396,41396,41396,176390,PVD
2007-02-14,41396,41396,41396,41396,133820,PVD
2007-02-15,41396,41691,41396,41691,84200,PVD
2007-02-26,43761,43761,43761,43761,220850,PVD
2007-02-27,45831,45831,45831,45831,363780,PVD
2007-02-28,43613,44057,43613,44057,242460,PVD
2007-03-01,43613,43613,42874,42874,201560,PVD
2007-03-02,42874,43613,42874,43613,248670,PVD
2007-03-05,45092,45092,42726,42726,253140,PVD
2007-03-06,41396,41396,40656,40656,199690,PVD
2007-03-07,41396,41396,41100,41100,107360,PVD
2007-03-08,40656,40952,40656,40952,202710,PVD
2007-03-09,40952,40952,40952,40952,274150,PVD
2007-03-12,42135,42135,41396,41396,108730,PVD
2007-03-13,41396,41396,39917,39917,155250,PVD
2007-03-14,38439,38439,38291,38291,162770,PVD
2007-03-15,36960,36960,36960,36960,113970,PVD
2007-03-16,36960,38734,36960,38734,159200,PVD
2007-03-19,39917,39917,38734,38734,197370,PVD
2007-03-20,36960,37256,36960,37256,252180,PVD
2007-03-21,37700,37700,37404,37404,201850,PVD
2007-03-22,37256,37256,36517,36517,143090,PVD
2007-03-23,35334,36665,35334,36665,178760,PVD
2007-03-26,36813,36813,36665,36665,199420,PVD
2007-03-27,36665,36665,36221,36221,223000,PVD
2007-03-28,35482,36221,35482,36221,201090,PVD
2007-03-29,36221,36221,36221,36221,233730,PVD
2007-03-30,36960,36960,36221,36221,123830,PVD
2007-04-02,36517,36517,36221,36221,125130,PVD
2007-04-03,35186,35186,34743,34743,101850,PVD
2007-04-04,35482,36369,35482,36369,149790,PVD
2007-04-05,37847,37847,36665,36665,189420,PVD
2007-04-06,36665,36813,36665,36813,108480,PVD
2007-04-09,38587,38587,38587,38587,142530,PVD
2007-04-10,38882,38882,36960,36960,166890,PVD
2007-04-11,36960,37108,36960,37108,106890,PVD
2007-04-12,37256,37256,36665,36665,80020,PVD
2007-04-13,36960,36960,36665,36665,97770,PVD
2007-04-16,34891,34891,34891,34891,317900,PVD
2007-04-17,34003,34003,33560,33560,215440,PVD
2007-04-18,33708,34891,33708,34891,161140,PVD
2007-04-19,34743,34743,33264,33264,239410,PVD
2007-04-20,32969,32969,32525,32525,107680,PVD
2007-04-23,30899,30899,30899,30899,70840,PVD
2007-04-24,29420,29420,29420,29420,131940,PVD
2007-04-25,29420,30012,29420,30012,245950,PVD
2007-05-02,29125,29568,29125,29568,194180,PVD
2007-05-03,29568,29716,29568,29716,119420,PVD
2007-05-04,30307,30455,30307,30455,105480,PVD
2007-05-07,31342,31934,31342,31934,108730,PVD
2007-05-08,33412,33412,33412,33412,78470,PVD
2007-05-09,35038,35038,34003,34003,419420,PVD
2007-05-10,34003,34595,34003,34595,230840,PVD
2007-05-11,34299,35925,34299,35925,187100,PVD
2007-05-14,37552,37700,37552,37700,206460,PVD
2007-05-15,38291,38291,36960,36960,203050,PVD
2007-05-16,37552,37552,36960,36960,141930,PVD
2007-05-17,36665,36960,36665,36960,155190,PVD
2007-05-18,37256,37256,37256,37256,141990,PVD
2007-05-21,37256,37404,37256,37404,157660,PVD
2007-05-22,37847,39178,37847,39178,240420,PVD
2007-05-23,40656,40656,38734,38734,273150,PVD
2007-05-24,38439,38439,38143,38143,204230,PVD
2007-05-25,37700,38439,37700,38439,181000,PVD
2007-05-28,39769,39769,38587,38587,162380,PVD
2007-05-29,38734,38734,38734,38734,73260,PVD
2007-05-30,39030,39030,38734,38734,149340,PVD
2007-05-31,39178,39178,39178,39178,172490,PVD
2007-06-01,38734,38734,38439,38439,207590,PVD
2007-06-04,38439,38439,37404,37404,81600,PVD
2007-06-05,38439,38439,37700,37700,145370,PVD
2007-06-06,37700,37700,37700,37700,109590,PVD
2007-06-07,37700,37700,37552,37552,199550,PVD
2007-06-08,37256,37256,36960,36960,124990,PVD
2007-06-11,36665,36665,36073,36073,123750,PVD
2007-06-12,35778,36221,35778,36221,138920,PVD
2007-06-13,36369,36369,36369,36369,175230,PVD
2007-06-14,36517,36960,36517,36960,300960,PVD
2007-06-15,38790,38790,37861,37861,316540,PVD
2007-06-18,37628,37861,37628,37861,172120,PVD
2007-06-19,38325,38325,38325,38325,196760,PVD
2007-06-20,38557,39022,38557,39022,184050,PVD
2007-06-21,39486,39486,38790,38790,219230,PVD
2007-06-22,38325,38790,38325,38790,176440,PVD
2007-06-25,39486,39486,38557,38557,183680,PVD
2007-06-26,39486,39486,39254,39254,290990,PVD
2007-06-27,39254,39254,38325,38325,190960,PVD
2007-06-28,38325,38790,38325,38790,89770,PVD
2007-06-29,38325,38325,38325,38325,70690,PVD
2007-07-02,37396,37396,36699,36699,221900,PVD
2007-07-03,36699,36931,36699,36931,210610,PVD
2007-07-04,38557,38557,38557,38557,140740,PVD
2007-07-05,38790,38790,38790,38790,374550,PVD
2007-07-06,38790,38790,38790,38790,160040,PVD
2007-07-09,38790,39486,38790,39486,270800,PVD
2007-07-10,39486,40416,39486,40416,337590,PVD
2007-07-11,41112,41112,40648,40648,217310,PVD
2007-07-12,40416,40416,39022,39022,99860,PVD
2007-07-13,38790,39486,38790,39486,112570,PVD
2007-07-16,39022,39022,38325,38325,106040,PVD
2007-07-17,38325,38325,38325,38325,80620,PVD
2007-07-18,38093,38093,37861,37861,119860,PVD
2007-07-19,37396,37628,37396,37628,84650,PVD
2007-07-20,37164,37628,37164,37628,88710,PVD
2007-07-23,37396,37396,36931,36931,109640,PVD
2007-07-24,37164,37861,37164,37861,107390,PVD
2007-07-25,37861,37861,37628,37628,98810,PVD
2007-07-26,37396,37628,37396,37628,107770,PVD
2007-07-27,37628,37628,37396,37396,97670,PVD
2007-07-30,36931,37164,36467,37164,47340,PVD
2007-07-31,36699,37628,36235,37628,163100,PVD
2007-08-01,37164,38325,37164,37628,143480,PVD
2007-08-02,37628,37861,37164,37628,109700,PVD
2007-08-03,37164,37164,36699,36931,125490,PVD
2007-08-06,36699,36699,36002,36002,68430,PVD
2007-08-07,35770,36931,35770,36931,74920,PVD
2007-08-08,36699,37164,36467,36699,91880,PVD
2007-08-09,36699,37628,36467,37628,133250,PVD
2007-08-10,36931,37628,36699,36931,171110,PVD
2007-08-13,36235,36699,36002,36235,74700,PVD
2007-08-14,36467,36699,36467,36699,59070,PVD
2007-08-15,36235,36467,36235,36235,39420,PVD
2007-08-16,36002,36002,34609,35770,52720,PVD
2007-08-17,35073,35770,35073,35305,66810,PVD
2007-08-20,34841,35073,34609,35073,110320,PVD
2007-08-21,35538,35538,35305,35305,58120,PVD
2007-08-22,35305,35305,34841,34841,57830,PVD
2007-08-23,34144,34144,33680,33680,119310,PVD
2007-08-24,33680,34144,33447,33680,161800,PVD
2007-08-27,34144,34376,33912,34376,96210,PVD
2007-08-28,33912,33912,33680,33680,179840,PVD
2007-08-29,33215,33447,33215,33447,173240,PVD
2007-08-30,33447,34144,33447,34144,177790,PVD
2007-08-31,33912,34376,33912,33912,197500,PVD
2007-09-04,34376,34841,34144,34841,185070,PVD
2007-09-05,35770,35770,34841,35305,248500,PVD
2007-09-06,35770,36235,35538,36235,287410,PVD
2007-09-07,36235,37164,36002,37164,219580,PVD
2007-09-10,36699,36699,36467,36467,101630,PVD
2007-09-11,36002,36235,35770,35770,147430,PVD
