time,open,high,low,close,volume,ticker
2017-05-19,6600,6600,6600,6600,0,PVH
2017-05-22,6600,6600,6600,6600,0,PVH
2017-05-23,4000,6600,4000,6600,18200,PVH
2017-05-24,3400,3400,3400,3400,1300,PVH
2017-05-25,2900,2900,2900,2900,6500,PVH
2017-05-26,2500,2500,2500,2500,6900,PVH
2017-05-29,2200,2600,2200,2600,39200,PVH
2017-05-30,2600,2600,2600,2600,33800,PVH
2017-05-31,2900,2900,2900,2900,11100,PVH
2017-06-01,3300,3300,3300,3300,10800,PVH
2017-06-02,3700,3700,3000,3000,44200,PVH
2017-06-05,3000,3500,3000,3000,20100,PVH
2017-06-06,2700,3000,2600,2900,16600,PVH
2017-06-07,2700,3000,2300,3000,28200,PVH
2017-06-08,2700,2700,2400,2700,2000,PVH
2017-06-09,2700,2700,2300,2600,42000,PVH
2017-06-12,2400,2400,2100,2300,19700,PVH
2017-06-13,2500,2500,2500,2500,1000,PVH
2017-06-14,2200,2400,2200,2300,33900,PVH
2017-06-15,2400,2400,2300,2300,700,PVH
2017-06-16,2200,2300,2200,2300,19200,PVH
2017-06-19,2300,2400,2200,2400,17300,PVH
2017-06-20,2200,2400,2200,2200,22200,PVH
2017-06-21,2200,2300,2200,2300,4800,PVH
2017-06-22,2200,2200,2200,2200,19100,PVH
2017-06-23,2200,2200,2200,2200,0,PVH
2017-06-26,2200,2200,1900,2200,28400,PVH
2017-06-27,2200,2200,2000,2000,900,PVH
2017-06-28,2100,2100,2100,2100,1100,PVH
2017-06-29,2000,2100,2000,2100,5100,PVH
2017-06-30,2000,2100,1900,1900,18300,PVH
2017-07-03,2000,2000,2000,2000,6300,PVH
2017-07-04,2100,2100,2100,2100,2200,PVH
2017-07-05,2100,2100,2000,2100,5500,PVH
2017-07-06,2300,2300,2100,2100,9400,PVH
2017-07-07,2100,2100,2100,2100,100,PVH
2017-07-10,2200,2200,2100,2100,5100,PVH
2017-07-11,2100,2100,2100,2100,5000,PVH
2017-07-12,2000,2000,2000,2000,2100,PVH
2017-07-13,2100,2100,1900,2000,9200,PVH
2017-07-14,2000,2000,2000,2000,6700,PVH
2017-07-17,2000,2000,1800,1900,27000,PVH
2017-07-18,1900,1900,1800,1900,4710,PVH
2017-07-19,1900,2000,1800,1800,6400,PVH
2017-07-20,1900,1900,1900,1900,3000,PVH
2017-07-21,1900,1900,1900,1900,2600,PVH
2017-07-24,2000,2000,1900,1900,3200,PVH
2017-07-25,1900,1900,1800,1800,14500,PVH
2017-07-26,1700,1900,1700,1800,13900,PVH
2017-07-27,1800,1900,1800,1800,6600,PVH
2017-07-28,1800,1900,1800,1800,7600,PVH
2017-07-31,1800,1800,1700,1800,5800,PVH
2017-08-01,1800,1800,1700,1800,12300,PVH
2017-08-02,1800,1800,1800,1800,1100,PVH
2017-08-03,1800,1800,1800,1800,2400,PVH
2017-08-04,1800,1800,1700,1800,5500,PVH
2017-08-07,1800,1900,1800,1900,34700,PVH
2017-08-08,2000,2100,2000,2100,19700,PVH
2017-08-09,2300,2400,2200,2400,75010,PVH
2017-08-10,2300,2300,2200,2300,12200,PVH
2017-08-11,2100,2300,2000,2300,3700,PVH
2017-08-14,2300,2300,2100,2100,10000,PVH
2017-08-15,2200,2200,2000,2200,1600,PVH
2017-08-16,2000,2100,1900,2100,1200,PVH
2017-08-17,1900,2200,1900,2000,25500,PVH
2017-08-18,2100,2100,2100,2100,0,PVH
2017-08-21,2100,2100,2100,2100,0,PVH
2017-08-22,2100,2300,1900,1900,5000,PVH
2017-08-23,2000,2000,2000,2000,1000,PVH
2017-08-24,2000,2000,2000,2000,1100,PVH
2017-08-25,2000,2000,2000,2000,100,PVH
2017-08-28,2000,2000,2000,2000,2200,PVH
2017-08-29,2100,2100,2100,2100,100,PVH
2017-08-30,2000,2000,2000,2000,510,PVH
2017-08-31,2100,2100,2100,2100,100,PVH
2017-09-01,2100,2100,2100,2100,0,PVH
2017-09-05,2000,2000,2000,2000,1700,PVH
