time,open,high,low,close,volume,ticker
2009-08-19,18407,18407,15449,17750,5162900,PVX
2009-08-20,17487,17487,17487,17487,147800,PVX
2009-08-21,18670,18670,18670,18670,151600,PVX
2009-08-24,19919,19919,19393,19919,3780600,PVX
2009-08-25,19722,20708,19130,19525,2284400,PVX
2009-08-26,19919,19919,19065,19459,1767800,PVX
2009-08-27,19722,19722,19065,19196,1227500,PVX
2009-08-28,19262,20577,19262,20577,2545200,PVX
2009-08-31,21497,21628,20708,21628,1516000,PVX
2009-09-01,22680,22680,21037,21300,1179700,PVX
2009-09-03,21037,21037,19985,20314,1364600,PVX
2009-09-04,20314,20905,19590,19985,1351400,PVX
2009-09-07,19656,19985,18802,19590,876500,PVX
2009-09-08,19459,20182,19459,19853,630300,PVX
2009-09-09,20051,20051,19525,19590,443200,PVX
2009-09-10,19722,19722,19327,19393,456300,PVX
2009-09-11,19065,19722,19065,19722,764500,PVX
2009-09-14,19393,20379,19327,19722,695700,PVX
2009-09-15,19788,19853,19262,19459,462200,PVX
2009-09-16,19393,19985,19262,19459,677300,PVX
2009-09-17,19656,19853,19130,19327,468600,PVX
2009-09-18,19262,19393,19065,19262,591900,PVX
2009-09-21,19459,19459,18999,19262,827600,PVX
2009-09-22,19196,19196,18802,18867,826900,PVX
2009-09-23,19065,20248,18933,19525,1851000,PVX
2009-09-24,19525,19722,19065,19262,379300,PVX
2009-09-25,19065,19262,18999,19196,495700,PVX
2009-09-28,19065,19525,18867,18933,647600,PVX
2009-09-29,19327,19327,18736,18802,573900,PVX
2009-09-30,18867,18867,18341,18473,613400,PVX
2009-10-01,18407,18473,17618,17815,620200,PVX
2009-10-02,17421,17421,16632,17289,680100,PVX
2009-10-05,16435,17947,16435,17947,895400,PVX
2009-10-06,18999,18999,18604,18999,569100,PVX
2009-10-07,20248,20248,18407,18670,524200,PVX
2009-10-08,18539,18539,17881,18341,565400,PVX
2009-10-09,18407,19065,18210,18670,822100,PVX
2009-10-12,19196,19262,18670,18802,753000,PVX
2009-10-13,18802,18867,18013,18144,519300,PVX
2009-10-14,18407,18736,17881,18670,602300,PVX
2009-10-15,19065,19327,18604,18867,815400,PVX
2009-10-16,19065,19065,18276,18407,711200,PVX
2009-10-19,18407,19853,18078,19853,2620500,PVX
2009-10-20,21102,21102,21102,21102,579100,PVX
2009-10-21,22549,22549,22549,22549,661800,PVX
2009-10-22,24127,24127,22615,24127,5248300,PVX
2009-10-23,25376,25376,24127,25376,3264000,PVX
2009-10-26,27019,27019,25310,26625,2786900,PVX
2009-10-27,25967,25967,24850,24850,307300,PVX
2009-10-28,23206,23206,23206,23206,140800,PVX
2009-10-29,21628,21628,21628,21628,49400,PVX
2009-10-30,20116,22680,20116,21037,2323500,PVX
2009-11-02,19722,20708,19393,19459,1354500,PVX
2009-11-03,19525,20840,19525,20840,1837300,PVX
2009-11-04,22023,22154,21694,22154,1294200,PVX
2009-11-05,22352,23009,20708,21694,1060700,PVX
2009-11-06,23469,23469,20708,21037,1146300,PVX
2009-11-09,21037,21037,20182,20182,314500,PVX
2009-11-10,20379,20445,18999,19065,1050000,PVX
2009-11-11,19722,20511,18407,19919,894500,PVX
2009-11-12,20577,20642,19853,20314,611200,PVX
2009-11-13,19722,20314,19525,19919,502100,PVX
2009-11-16,19919,20314,19393,19525,585500,PVX
2009-11-17,19788,20971,19788,20971,1943300,PVX
2009-11-18,22286,22286,20379,20905,961300,PVX
2009-11-19,21037,21168,20577,20708,844900,PVX
2009-11-20,20379,21694,19393,20577,1446300,PVX
2009-11-23,20379,20511,19393,19590,1008200,PVX
2009-11-24,19722,19722,18473,18736,665700,PVX
2009-11-25,18736,18933,17552,17552,691400,PVX
2009-11-26,16566,17092,16566,16566,1679400,PVX
2009-11-27,15580,17684,15449,16435,1583300,PVX
2009-11-30,17092,17552,17092,17552,445400,PVX
2009-12-01,18407,18670,17815,18670,575100,PVX
2009-12-02,18736,18736,17355,17487,792800,PVX
2009-12-03,17092,17750,16566,17289,773500,PVX
2009-12-04,17618,17750,16829,17618,757300,PVX
2009-12-07,17355,17750,17289,17684,1163800,PVX
2009-12-08,17750,17881,16764,17158,429600,PVX
2009-12-09,17092,17092,16238,16238,1127400,PVX
2009-12-10,16303,16566,15252,15449,372700,PVX
2009-12-11,15843,16106,14726,14726,424400,PVX
2009-12-14,14134,15449,14134,15317,527900,PVX
2009-12-15,15580,15712,14463,14791,474000,PVX
2009-12-16,14594,14989,14002,14002,744500,PVX
2009-12-17,13542,14463,13148,14463,738200,PVX
2009-12-18,14200,14528,14134,14528,268500,PVX
2009-12-21,15449,15449,14791,15449,482000,PVX
2009-12-22,16435,16435,15449,15580,829300,PVX
2009-12-23,15449,16435,14857,16238,1451000,PVX
2009-12-24,16040,16961,15777,16961,1399900,PVX
2009-12-25,17092,17289,16566,17027,1951200,PVX
2009-12-28,17092,17092,16303,16566,932000,PVX
2009-12-29,16764,16764,15975,16040,658700,PVX
2009-12-30,16303,16566,16040,16435,1020600,PVX
2009-12-31,16566,17224,16106,16435,1475500,PVX
2010-01-04,16764,17815,16698,17815,7875800,PVX
2010-01-05,18933,18933,18736,18933,4531900,PVX
2010-01-06,20051,20248,18473,18802,4153800,PVX
2010-01-07,18736,18867,17750,17750,3261100,PVX
2010-01-08,19459,19525,17618,18933,5492000,PVX
2010-01-11,18999,19393,18078,18210,2368000,PVX
2010-01-12,18473,18473,17224,17224,2068100,PVX
2010-01-13,16764,18407,16369,17750,2602900,PVX
2010-01-14,18078,18341,17684,18013,1975600,PVX
2010-01-15,18078,18144,16961,17092,1494600,PVX
2010-01-18,17750,17750,16172,16369,1956400,PVX
2010-01-19,16369,17092,16040,16895,1344600,PVX
2010-01-20,17092,17355,16303,16435,1079900,PVX
2010-01-21,16435,16632,15580,15909,1569300,PVX
2010-01-22,15975,16435,15120,16106,1299700,PVX
2010-01-25,15843,16106,15646,15975,813700,PVX
2010-01-26,16238,16961,16106,16961,3089200,PVX
2010-01-27,17421,17421,15909,16172,1063300,PVX
2010-01-28,16435,16435,15712,15843,798600,PVX
2010-01-29,15317,16172,15317,16040,1083700,PVX
2010-02-01,16238,16238,15843,16040,918500,PVX
2010-02-02,16238,16303,15777,15843,573200,PVX
2010-02-03,15843,16106,15777,15843,687100,PVX
2010-02-04,15975,16369,15909,16172,1073300,PVX
2010-02-05,16106,16172,15646,15777,927700,PVX
2010-02-08,15777,15777,15383,15646,618600,PVX
2010-02-09,15120,15646,15120,15186,925200,PVX
2010-02-10,15449,15712,15252,15646,359200,PVX
2010-02-11,15646,15975,15383,15975,488300,PVX
2010-02-12,15843,16040,15843,15909,409100,PVX
2010-02-22,16566,16566,15975,16040,549100,PVX
2010-02-23,15777,15909,15514,15580,657700,PVX
2010-02-24,15383,15777,15252,15712,668500,PVX
2010-02-25,15514,15909,15120,15712,536400,PVX
2010-02-26,15975,16040,15580,15712,567700,PVX
2010-03-01,15909,15975,15712,15843,798900,PVX
2010-03-02,15975,15975,15580,15712,711400,PVX
2010-03-03,15777,16829,15712,16303,3957700,PVX
2010-03-04,16764,16895,16435,16566,2211400,PVX
2010-03-05,16764,17092,16501,16698,2074500,PVX
2010-03-08,17374,17577,17036,17239,3530500,PVX
2010-03-09,17577,18185,17103,18118,4534700,PVX
2010-03-10,18253,18861,17712,17779,3295000,PVX
2010-03-11,17982,17982,17374,17509,2214800,PVX
2010-03-12,17779,17779,17374,17644,2897700,PVX
2010-03-15,17915,18118,17441,17577,2961300,PVX
2010-03-16,17712,17712,16698,16833,2424400,PVX
2010-03-17,16901,17171,16427,16630,1662800,PVX
2010-03-18,16765,17239,16630,17036,1119200,PVX
2010-03-19,17036,17239,16630,16765,1638500,PVX
2010-03-22,16901,16901,16495,16630,1128800,PVX
2010-03-23,16630,16630,16225,16427,1409000,PVX
2010-03-24,16563,16765,16292,16563,889100,PVX
2010-03-25,16765,16765,15954,16089,1322600,PVX
2010-03-26,16360,16360,15887,16157,925400,PVX
2010-03-29,16427,16427,15954,16089,937900,PVX
2010-03-30,16427,16427,15819,15887,1009100,PVX
2010-03-31,16089,16765,15887,16225,1351100,PVX
2010-04-01,16360,16495,16022,16292,871800,PVX
2010-04-02,16563,16901,16292,16901,1787800,PVX
2010-04-05,16901,17779,16901,17779,6775100,PVX
2010-04-06,18388,18591,17441,17577,3627700,PVX
2010-04-07,17577,18523,17577,18388,7089600,PVX
2010-04-08,18388,19267,18185,18929,6026300,PVX
2010-04-09,19267,19943,19064,19402,6338700,PVX
2010-04-12,19943,20822,19605,20822,12037900,PVX
2010-04-13,20957,20957,19267,19537,7026900,PVX
2010-04-14,21160,21160,19199,19672,4949700,PVX
2010-04-15,19605,20146,18996,19402,5700700,PVX
2010-04-16,19605,19943,19199,19402,4876100,PVX
2010-04-19,19470,19672,18996,19064,5738400,PVX
2010-04-20,19267,19470,18929,19267,8027100,PVX
2010-04-21,20455,20455,20455,20455,103800,PVX
2010-04-22,21801,21801,20814,21801,7962200,PVX
2010-04-26,22878,22878,21352,21532,2899200,PVX
2010-04-27,21622,21622,21083,21173,3359000,PVX
2010-04-28,21352,21532,20904,21173,2430400,PVX
2010-04-29,21173,22160,21083,22070,4617400,PVX
2010-05-04,22339,23057,22160,23057,1363400,PVX
2010-05-05,24493,24493,23326,24403,9902800,PVX
2010-05-06,24582,25838,24223,25838,3830500,PVX
2010-05-07,26915,27453,25121,27364,11232100,PVX
2010-05-10,28709,28978,27812,28978,7648100,PVX
2010-05-11,30952,30952,28978,30952,1530200,PVX
2010-05-12,33105,33105,29427,29965,10683600,PVX
2010-05-13,30324,30773,28889,28889,6202600,PVX
2010-05-14,27543,28709,27364,27364,10009800,PVX
2010-05-17,25569,29337,25569,29337,7683400,PVX
2010-05-18,30055,30414,27722,27902,4239400,PVX
2010-05-19,27902,28350,26466,26466,5392600,PVX
2010-05-20,24941,26915,24762,25838,7660900,PVX
2010-05-21,24936,24936,23667,23667,5102400,PVX
2010-05-24,23758,24392,22669,23576,4188400,PVX
2010-05-25,23576,25208,22669,24574,5125200,PVX
2010-05-26,24574,26387,24574,26387,4410100,PVX
2010-05-27,26024,26841,25027,26387,3789200,PVX
2010-05-28,27203,27929,27022,27929,4837600,PVX
2010-05-31,28110,28110,26297,26659,3413400,PVX
2010-06-01,26750,27203,25843,26387,3467000,PVX
2010-06-02,25480,26387,25299,25934,3125600,PVX
2010-06-03,26297,27475,26297,26569,2568300,PVX
2010-06-04,26206,27113,25480,25662,3171000,PVX
2010-06-07,24936,24936,24211,24392,4296900,PVX
2010-06-08,24030,25752,23758,25571,4275700,PVX
2010-06-09,25843,26206,25027,25208,2214900,PVX
2010-06-10,25390,25571,24936,25208,1366800,PVX
2010-06-11,25843,26297,25208,25299,2393400,PVX
2010-06-14,25571,26478,25208,26206,3817800,PVX
2010-06-15,26297,27566,25843,27566,6758600,PVX
2010-06-16,29108,29198,28926,29198,1955500,PVX
2010-06-17,30830,31103,28291,28654,6409300,PVX
2010-06-18,28654,29470,27747,28473,6255700,PVX
2010-06-21,28564,30196,28564,29017,4491300,PVX
2010-06-22,29289,29380,27657,27929,3243100,PVX
2010-06-23,27657,28291,27022,28110,3070700,PVX
2010-06-24,27929,29017,27747,28019,3196200,PVX
2010-06-25,27929,27929,26569,27022,5558300,PVX
2010-06-28,27022,28291,27022,28019,3508400,PVX
2010-06-29,27838,28473,27475,27838,2366700,PVX
2010-06-30,27113,27385,26387,27203,2959700,PVX
2010-07-01,26478,27113,26387,27022,2105400,PVX
2010-07-02,26841,27385,26841,27022,1772700,PVX
2010-07-05,27022,27566,26931,27203,1286500,PVX
2010-07-06,27203,27203,26297,26569,2656300,PVX
2010-07-07,26750,27113,26024,26115,2709200,PVX
2010-07-08,27113,27657,26478,26569,2574700,PVX
2010-07-09,26841,27022,26569,26569,1350900,PVX
2010-07-12,26750,27022,26387,26750,1438500,PVX
2010-07-13,27022,28382,26931,27838,3618300,PVX
2010-07-14,28291,28745,27385,27657,2368600,PVX
2010-07-15,27838,27838,26841,26931,1388600,PVX
2010-07-16,27203,27203,26569,26841,1952700,PVX
2010-07-19,26569,26750,26297,26387,2534400,PVX
2010-07-20,26297,26659,25934,26115,3411900,PVX
