time,open,high,low,close,volume,ticker
2017-12-29,3500,3500,3000,3000,35900,PVY
2018-01-02,3000,3000,3000,3000,0,PVY
2018-01-03,3000,3000,3000,3000,0,PVY
2018-01-04,3000,3000,3000,3000,0,PVY
2018-01-05,3000,3000,2600,2600,33099,PVY
2018-01-08,2600,2600,2600,2600,0,PVY
2018-01-09,2600,2600,2600,2600,0,PVY
2018-01-10,2600,2600,2600,2600,0,PVY
2018-01-11,2600,2600,2600,2600,0,PVY
2018-01-12,2300,2300,2300,2300,7300,PVY
2018-01-15,2300,2300,2300,2300,0,PVY
2018-01-16,2300,2300,2300,2300,0,PVY
2018-01-17,2300,2300,2300,2300,0,PVY
2018-01-18,2300,2300,2300,2300,0,PVY
2018-01-19,2000,2000,2000,2000,38720,PVY
2018-01-22,2000,2000,2000,2000,0,PVY
2018-01-23,2000,2000,2000,2000,0,PVY
2018-01-24,2000,2000,2000,2000,0,PVY
2018-01-25,2000,2000,2000,2000,0,PVY
2018-01-26,1700,2100,1700,2100,21180,PVY
2018-01-29,1800,1800,1800,1800,0,PVY
2018-01-30,1800,1800,1800,1800,0,PVY
2018-01-31,1800,1800,1800,1800,0,PVY
2018-02-01,1800,1800,1800,1800,0,PVY
2018-02-02,1900,2000,1900,2000,11747,PVY
2018-02-05,2000,2000,2000,2000,0,PVY
2018-02-06,2000,2000,2000,2000,0,PVY
2018-02-07,2000,2000,2000,2000,0,PVY
2018-02-08,2000,2000,2000,2000,0,PVY
2018-02-09,2100,2100,1700,1700,7681,PVY
2018-02-12,2000,2000,2000,2000,0,PVY
2018-02-13,2000,2000,2000,2000,0,PVY
2018-02-21,2000,2000,2000,2000,0,PVY
2018-02-22,2000,2000,2000,2000,0,PVY
2018-02-23,2100,2300,2100,2300,25940,PVY
2018-02-26,2200,2200,2200,2200,0,PVY
2018-02-27,2200,2200,2200,2200,0,PVY
2018-02-28,2200,2200,2200,2200,0,PVY
2018-03-01,2200,2200,2200,2200,0,PVY
2018-03-02,2300,2500,2300,2400,5102,PVY
2018-03-05,2400,2400,2400,2400,0,PVY
2018-03-06,2400,2400,2400,2400,0,PVY
2018-03-07,2400,2400,2400,2400,0,PVY
2018-03-08,2400,2400,2400,2400,0,PVY
2018-03-09,2200,2600,2200,2600,5536,PVY
2018-03-12,2400,2400,2400,2400,0,PVY
2018-03-13,2400,2400,2400,2400,0,PVY
2018-03-14,2400,2400,2400,2400,0,PVY
2018-03-15,2400,2400,2400,2400,0,PVY
2018-03-16,2400,2700,2400,2700,19750,PVY
2018-03-19,2600,2600,2600,2600,0,PVY
2018-03-20,2600,2600,2600,2600,0,PVY
2018-03-21,2600,2600,2600,2600,0,PVY
2018-03-22,2600,2600,2600,2600,0,PVY
2018-03-23,2700,2700,2600,2700,22400,PVY
