time,open,high,low,close,volume,ticker
2010-06-02,8764,8764,8764,8764,61040,PXS
2010-06-03,8353,9175,8353,9175,1312280,PXS
2010-06-04,9175,9175,8764,8901,136280,PXS
2010-06-07,8456,8524,8456,8456,108550,PXS
2010-06-08,8045,8114,8045,8079,123920,PXS
2010-06-09,8079,8079,7703,7703,268310,PXS
2010-06-10,7360,7634,7360,7360,235910,PXS
2010-06-11,7703,7703,7532,7703,294660,PXS
2010-06-14,8079,8079,8045,8045,455630,PXS
2010-06-15,7942,7977,7703,7874,203160,PXS
2010-06-16,8011,8045,7840,7840,177150,PXS
2010-06-17,7805,7840,7668,7771,187510,PXS
2010-06-18,7771,7874,7703,7703,201580,PXS
2010-06-21,7874,7874,7634,7634,104610,PXS
2010-06-22,7566,7703,7463,7463,193210,PXS
2010-06-23,7463,7805,7463,7805,515940,PXS
2010-06-24,8148,8148,7805,7874,348690,PXS
2010-06-25,7532,7771,7532,7566,123090,PXS
2010-06-28,7908,7908,7634,7805,308930,PXS
2010-06-29,7840,7840,7566,7566,237760,PXS
2010-06-30,7360,7395,7223,7292,211810,PXS
2010-07-01,7292,7395,7155,7292,97740,PXS
2010-07-02,7292,7532,7258,7532,175660,PXS
2010-07-05,7532,7566,7497,7497,117370,PXS
2010-07-06,7497,7497,7189,7326,107120,PXS
2010-07-07,7326,7463,7258,7292,130130,PXS
2010-07-08,7292,7395,6984,6984,224990,PXS
2010-07-09,6984,7189,6950,7018,261090,PXS
2010-07-12,7223,7223,7052,7121,131650,PXS
2010-07-13,7326,7463,7223,7463,247540,PXS
2010-07-14,7771,7771,7395,7497,220270,PXS
2010-07-15,7429,7463,7326,7395,134110,PXS
2010-07-16,7360,7395,7189,7189,145680,PXS
2010-07-19,7086,7189,7086,7086,87720,PXS
2010-07-20,7052,7258,7052,7258,229000,PXS
2010-07-21,7258,7326,7155,7155,223700,PXS
2010-07-22,7018,7326,7018,7121,244850,PXS
2010-07-23,7121,7292,7121,7292,513510,PXS
2010-07-26,7360,7634,7360,7497,479780,PXS
2010-07-27,7463,7566,7429,7463,260490,PXS
2010-07-28,7429,7600,7429,7532,609070,PXS
2010-07-29,7497,7566,7429,7497,255340,PXS
2010-07-30,7497,7703,7497,7668,479980,PXS
2010-08-02,7668,8045,7668,7874,693970,PXS
