time,open,high,low,close,volume,ticker
2014-07-11,6387,6387,6387,6387,0,QPH
2014-07-14,6387,6387,6387,6387,0,QPH
2014-07-15,6387,6387,6387,6387,0,QPH
2014-07-16,6387,6387,6387,6387,0,QPH
2014-07-17,6387,6387,6387,6387,0,QPH
2014-07-18,6387,6387,6387,6387,0,QPH
2014-07-21,6387,6387,6387,6387,0,QPH
2014-07-22,6387,6387,6387,6387,0,QPH
2014-07-23,6387,6387,6387,6387,0,QPH
2014-07-24,6387,6387,6387,6387,0,QPH
2014-07-25,6387,6387,6387,6387,0,QPH
2014-07-28,6387,6387,6387,6387,0,QPH
2014-07-29,6387,6387,6387,6387,0,QPH
2014-07-30,5685,5685,5685,5685,10000,QPH
2014-07-31,5685,5685,5685,5685,0,QPH
2014-08-01,6196,6196,5174,5174,10200,QPH
2014-08-04,6196,6196,6196,6196,0,QPH
2014-08-05,6196,6196,6196,6196,0,QPH
2014-08-06,6196,6196,6196,6196,0,QPH
2014-08-07,6196,6196,6196,6196,0,QPH
2014-08-08,6196,6196,6196,6196,0,QPH
2014-08-11,5621,6387,5621,6387,8212900,QPH
2014-08-12,6387,6387,6387,6387,0,QPH
2014-08-13,6387,6387,6387,6387,0,QPH
2014-08-14,6387,6387,6387,6387,0,QPH
2014-08-15,6387,6387,6387,6387,0,QPH
2014-08-18,6387,6387,6387,6387,0,QPH
2014-08-19,6387,6387,6387,6387,0,QPH
2014-08-20,6387,6387,6387,6387,0,QPH
2014-08-21,6387,6387,6387,6387,0,QPH
2014-08-22,6387,6387,6387,6387,0,QPH
2014-08-25,5748,5748,5748,5748,200,QPH
2014-08-26,5174,5174,5174,5174,100,QPH
2014-08-27,4663,4663,4663,4663,100,QPH
2014-08-28,4215,4215,4215,4215,100,QPH
2014-08-29,3960,3960,3960,3960,100,QPH
2014-09-03,3640,3640,3640,3640,600,QPH
2014-09-04,3449,3960,3449,3960,200,QPH
2014-09-05,4024,4024,4024,4024,100,QPH
2014-09-08,3704,4407,3704,4407,200,QPH
2014-09-09,4088,4088,4088,4088,0,QPH
2014-09-10,4088,4088,4088,4088,0,QPH
2014-09-11,4088,4088,4088,4088,0,QPH
2014-09-12,3704,3832,3704,3832,300,QPH
2014-09-15,4088,4088,4088,4088,100,QPH
2014-09-16,4088,4088,4088,4088,0,QPH
2014-09-17,4471,4471,4471,4471,100,QPH
2014-09-18,4918,4918,4918,4918,100,QPH
2014-09-19,4918,4918,4918,4918,0,QPH
2014-09-22,5110,5110,5110,5110,100,QPH
2014-09-23,5110,5110,5110,5110,0,QPH
2014-09-24,4599,4599,4599,4599,100,QPH
2014-09-25,4790,4790,4790,4790,100,QPH
2014-09-26,4790,4790,4790,4790,0,QPH
2014-09-29,4790,4790,4790,4790,0,QPH
2014-09-30,4790,4790,4790,4790,0,QPH
2014-10-01,4790,4790,4790,4790,0,QPH
2014-10-02,4343,4343,4343,4343,2000,QPH
2014-10-03,3960,3960,3960,3960,100,QPH
2014-10-06,3577,3960,3577,3704,3600,QPH
2014-10-07,4088,4088,4088,4088,500,QPH
2014-10-08,3704,3704,3704,3704,3000,QPH
2014-10-09,3449,4024,3449,3449,6100,QPH
2014-10-10,3513,3513,3513,3513,0,QPH
2014-10-13,3193,3193,3193,3193,100,QPH
2014-10-14,3193,3193,3193,3193,0,QPH
2014-10-15,2938,2938,2938,2938,100,QPH
2014-10-16,2938,2938,2938,2938,0,QPH
