time,open,high,low,close,volume,ticker
2016-12-02,3761,3761,2658,2658,33300,RCC
2016-12-05,3524,3623,3288,3584,42500,RCC
2016-12-06,3465,3465,3446,3446,2800,RCC
2016-12-07,3308,3347,3268,3308,19000,RCC
2016-12-08,3347,3406,3347,3347,25700,RCC
2016-12-09,3347,3524,3347,3406,45200,RCC
2016-12-12,3288,3544,3288,3446,34561,RCC
2016-12-13,2993,3347,2993,3347,4500,RCC
2016-12-14,2973,3249,2973,3249,13000,RCC
2016-12-15,3347,3347,3268,3268,5000,RCC
2016-12-16,3288,3347,3249,3347,5500,RCC
2016-12-19,3347,3584,3347,3446,42300,RCC
2016-12-20,3544,4076,3544,4076,47120,RCC
2016-12-21,3840,4194,3800,3938,25052,RCC
2016-12-22,3741,3918,3682,3800,9793,RCC
2016-12-23,3741,3938,3741,3840,46474,RCC
2016-12-26,3741,3938,3741,3938,37152,RCC
2016-12-27,3761,3840,3761,3840,3069,RCC
2016-12-28,3741,3741,3268,3524,41400,RCC
2016-12-29,3741,3741,3741,3741,5000,RCC
2016-12-30,3702,3702,3446,3544,9800,RCC
2017-01-03,3347,3347,3012,3347,15562,RCC
2017-01-04,3249,3249,3249,3249,0,RCC
2017-01-05,3702,3721,3702,3721,232,RCC
2017-01-06,3367,3367,3367,3367,10000,RCC
2017-01-09,3308,3367,3308,3367,13030,RCC
2017-01-10,3328,3328,3328,3328,0,RCC
2017-01-11,3328,3328,3328,3328,0,RCC
2017-01-12,2973,2973,2973,2973,9000,RCC
2017-01-13,3347,3347,3249,3249,1215,RCC
2017-01-16,3288,3347,3288,3347,8200,RCC
2017-01-17,3544,3544,3347,3347,2100,RCC
2017-01-18,3347,3347,3347,3347,0,RCC
2017-01-19,2973,3505,2973,3505,17500,RCC
2017-01-20,2973,3012,2934,3012,19000,RCC
2017-01-23,3347,3367,3347,3367,2900,RCC
2017-01-24,3072,3840,3072,3840,25000,RCC
2017-01-25,3544,3544,3544,3544,100,RCC
2017-02-02,3190,3190,3190,3190,20000,RCC
2017-02-03,3190,3446,3032,3032,30100,RCC
2017-02-06,3072,3091,3052,3052,11300,RCC
2017-02-07,3150,3150,2973,2973,8000,RCC
2017-02-08,3072,3426,3052,3347,7800,RCC
2017-02-09,3170,3170,3170,3170,10000,RCC
2017-02-10,3111,3111,3111,3111,10000,RCC
2017-02-13,3150,3150,3150,3150,500,RCC
2017-02-14,3150,3347,2678,3347,27000,RCC
2017-02-15,3249,3249,3091,3150,25600,RCC
2017-02-16,3170,3170,3150,3150,8200,RCC
2017-02-17,3150,3524,2973,3485,65040,RCC
2017-02-20,3426,3485,3426,3485,25030,RCC
2017-02-21,3544,3977,3544,3977,40000,RCC
2017-02-22,3741,3899,3288,3288,78300,RCC
2017-02-23,3347,3347,3347,3347,1032,RCC
2017-02-24,3249,3249,3249,3249,918,RCC
2017-02-27,2776,3150,2776,3091,31500,RCC
2017-02-28,2993,3209,2382,3209,64760,RCC
2017-03-01,2894,2894,2894,2894,100,RCC
2017-03-02,3328,3328,3072,3328,100804,RCC
2017-03-03,3111,3111,3072,3072,45900,RCC
2017-03-06,2816,3505,2658,2756,62660,RCC
2017-03-07,2697,3091,2697,3091,5750,RCC
2017-03-08,2835,2835,2835,2835,40000,RCC
2017-03-09,2855,3249,2855,2894,34500,RCC
2017-03-10,3209,3367,3012,3012,87510,RCC
2017-03-13,3485,3485,3485,3485,20000,RCC
2017-03-14,3012,3465,3012,3150,30900,RCC
2017-03-15,3170,3170,3170,3170,0,RCC
2017-03-16,3170,3170,3170,3170,20,RCC
2017-03-17,2816,2816,2816,2816,29000,RCC
2017-03-20,3229,3229,3229,3229,5000,RCC
2017-03-21,2973,2973,2973,2973,17004,RCC
2017-03-22,3347,3347,3170,3170,46000,RCC
2017-03-23,3190,3190,3150,3150,46433,RCC
2017-03-24,2894,2894,2756,2756,66784,RCC
2017-03-27,2697,2697,2697,2697,20000,RCC
2017-03-28,2658,2756,2441,2756,24500,RCC
2017-03-29,2816,2816,2816,2816,100,RCC
2017-03-30,3150,3150,3150,3150,200,RCC
2017-03-31,3150,3150,3150,3150,0,RCC
2017-04-03,3131,3150,3131,3150,1000,RCC
2017-04-04,3150,3150,3150,3150,43,RCC
2017-04-05,3131,3150,3131,3150,2631,RCC
2017-04-07,3131,3131,3111,3131,5300,RCC
2017-04-10,2953,2953,2953,2953,1900,RCC
2017-04-11,2953,2953,2953,2953,0,RCC
2017-04-12,2953,2953,2953,2953,0,RCC
2017-04-13,2619,3150,2619,3150,10300,RCC
2017-04-14,3150,3150,3150,3150,100,RCC
2017-04-17,3448,3448,2833,2833,51924,RCC
2017-04-18,3428,3428,3428,3428,0,RCC
2017-04-19,3428,3428,3428,3428,0,RCC
2017-04-20,3428,3428,3428,3428,0,RCC
2017-04-21,3428,3428,3428,3428,0,RCC
2017-04-24,3428,3428,3428,3428,24,RCC
2017-04-25,3428,3428,3428,3428,0,RCC
2017-04-26,3428,3428,3428,3428,0,RCC
2017-04-27,2972,2972,2932,2932,11132,RCC
2017-04-28,2972,2972,2972,2972,0,RCC
2017-05-03,2972,2972,2972,2972,0,RCC
2017-05-04,2972,2972,2972,2972,0,RCC
2017-05-05,2972,2972,2972,2972,4400,RCC
2017-05-08,2972,2972,2972,2972,100,RCC
2017-05-09,2972,2972,2972,2972,0,RCC
2017-05-10,2972,2972,2972,2972,0,RCC
2017-05-11,3051,3071,3051,3071,1000,RCC
2017-05-12,2972,2972,2972,2972,427,RCC
2017-05-15,2972,2972,2972,2972,0,RCC
2017-05-16,2972,2972,2972,2972,0,RCC
2017-05-17,2972,2972,2972,2972,0,RCC
2017-05-18,2695,2695,2695,2695,5000,RCC
2017-05-19,2576,2576,2576,2576,5000,RCC
2017-05-22,2932,2932,2932,2932,800,RCC
2017-05-23,2932,2932,2932,2932,0,RCC
2017-05-24,3012,3012,2536,2536,7000,RCC
2017-05-25,2576,2576,2576,2576,300,RCC
2017-05-26,2397,2397,2397,2397,500,RCC
2017-05-29,2675,2675,2675,2675,4800,RCC
2017-05-30,2675,2675,2675,2675,40,RCC
2017-05-31,2675,2675,2675,2675,0,RCC
2017-06-01,2675,2675,2675,2675,0,RCC
2017-06-02,3071,3071,3071,3071,12800,RCC
2017-06-05,3071,3071,3071,3071,0,RCC
2017-06-06,3071,3071,3071,3071,0,RCC
2017-06-07,3071,3071,3071,3071,0,RCC
2017-06-08,3071,3071,3071,3071,0,RCC
2017-06-09,3071,3071,3071,3071,40,RCC
2017-06-12,3071,3071,3071,3071,0,RCC
2017-06-13,2972,2972,2972,2972,7600,RCC
2017-06-14,2972,2992,2972,2992,2600,RCC
2017-06-15,2972,2972,2972,2972,0,RCC
2017-06-16,2972,2972,2972,2972,0,RCC
2017-06-19,2972,2972,2972,2972,127,RCC
2017-06-20,2972,2972,2972,2972,20,RCC
2017-06-21,2972,2972,2972,2972,0,RCC
2017-06-22,2972,2972,2972,2972,0,RCC
2017-06-23,2774,2774,2774,2774,300,RCC
2017-06-26,2972,2972,2972,2972,100,RCC
2017-06-27,2972,2972,2972,2972,0,RCC
2017-06-28,2972,2972,2972,2972,0,RCC
2017-06-29,2972,2972,2972,2972,0,RCC
2017-06-30,2972,2972,2972,2972,0,RCC
2017-07-03,2972,2972,2972,2972,0,RCC
2017-07-04,2972,2972,2972,2972,0,RCC
2017-07-05,2972,2972,2972,2972,0,RCC
2017-07-06,2972,2972,2972,2972,0,RCC
2017-07-07,2972,2972,2972,2972,0,RCC
2017-07-10,2972,2972,2972,2972,0,RCC
2017-07-11,2972,2972,2972,2972,0,RCC
2017-07-12,2972,2972,2972,2972,0,RCC
2017-07-13,2972,2972,2972,2972,0,RCC
2017-07-14,2972,2972,2972,2972,0,RCC
2017-07-17,2972,2972,2972,2972,0,RCC
2017-07-18,2536,2536,2536,2536,100,RCC
2017-07-19,2893,2893,2893,2893,4500,RCC
2017-07-20,2893,2893,2893,2893,0,RCC
2017-07-21,2893,2893,2893,2893,0,RCC
2017-07-24,2893,2893,2893,2893,0,RCC
2017-07-25,2675,2675,2675,2675,100,RCC
2017-07-26,2873,2873,2873,2873,1000,RCC
2017-07-27,2774,2774,2774,2774,1000,RCC
2017-07-28,2813,2813,2813,2813,1300,RCC
2017-07-31,2837,2837,2837,2837,0,RCC
2017-08-01,2837,2837,2837,2837,0,RCC
2017-08-02,2837,2837,2837,2837,0,RCC
2017-08-03,2837,2837,2837,2837,0,RCC
2017-08-04,2837,2997,2837,2997,2100,RCC
2017-08-07,2837,2837,2837,2837,0,RCC
2017-08-08,2837,2837,2837,2837,0,RCC
2017-08-09,2897,2897,2897,2897,400,RCC
2017-08-10,2897,2897,2897,2897,0,RCC
2017-08-11,2897,2897,2897,2897,0,RCC
2017-08-14,2977,2997,2977,2997,3100,RCC
2017-08-15,2977,3097,2977,3097,4500,RCC
2017-08-16,3037,3037,3037,3037,0,RCC
2017-08-17,3037,3037,3037,3037,0,RCC
2017-08-18,3037,3037,3037,3037,0,RCC
