time,open,high,low,close,volume,ticker
2010-09-16,25270,25270,17575,18240,15000,S27
2010-09-17,18240,19000,17005,18050,18900,S27
2010-09-20,17955,17955,17955,17955,1000,S27
2010-09-21,16910,17385,16720,16815,21300,S27
2010-09-22,16150,17955,15675,17955,14400,S27
2010-09-23,17575,17670,17385,17385,3400,S27
2010-09-24,16910,17100,16910,17100,2500,S27
2010-09-27,16435,17100,16150,16625,4400,S27
2010-09-28,16245,16340,16150,16150,2700,S27
2010-09-29,15295,15295,15200,15295,4700,S27
2010-09-30,14915,15200,14915,15200,3400,S27
2010-10-01,14820,16055,14630,16055,1700,S27
2010-10-04,15105,15105,15105,15105,0,S27
2010-10-05,15960,15960,15960,15960,200,S27
2010-10-06,15960,15960,15960,15960,0,S27
2010-10-07,15960,15960,15960,15960,0,S27
2010-10-08,14915,14915,14915,14915,300,S27
2010-10-11,15295,15295,15010,15010,200,S27
2010-10-12,14250,14250,14250,14250,1400,S27
2010-10-13,14915,14915,13395,14915,1200,S27
2010-10-14,15010,15010,15010,15010,100,S27
2010-10-15,15865,15865,14725,14725,1100,S27
2010-10-18,13870,13870,13870,13870,400,S27
2010-10-19,12920,12920,12920,12920,400,S27
2010-10-20,13680,13680,12065,13205,2200,S27
2010-10-21,13585,13585,13300,13300,600,S27
2010-10-22,13870,13870,13870,13870,200,S27
2010-10-25,14725,14725,14725,14725,200,S27
2010-10-26,14155,14725,13965,14725,8500,S27
2010-10-27,14630,14630,13205,13205,4700,S27
2010-10-28,13775,13775,13775,13775,0,S27
2010-10-29,12825,13680,12825,12825,3400,S27
2010-11-01,13110,13110,12160,12160,8100,S27
2010-11-02,12160,12160,12160,12160,100,S27
2010-11-03,12730,12730,11400,11400,200,S27
2010-11-04,12255,12255,11305,11305,6800,S27
2010-11-05,12160,12160,10640,11400,3200,S27
2010-11-08,10640,10640,10640,10640,6900,S27
2010-11-09,10070,10070,9975,9975,5400,S27
2010-11-10,9595,9595,9595,9595,300,S27
2010-11-11,9215,9975,9215,9500,7300,S27
2010-11-12,10355,10355,9025,9025,4000,S27
2010-11-15,8645,8645,8455,8455,2600,S27
2010-11-16,7980,7980,7980,7980,100,S27
2010-11-17,8455,8455,8455,8455,1000,S27
2010-11-18,8455,8455,8455,8455,0,S27
2010-11-19,8265,8265,7980,7980,4000,S27
2010-11-22,7695,7790,7695,7695,5100,S27
2010-11-23,8170,8170,8170,8170,1200,S27
2010-11-24,7885,7885,7600,7600,7000,S27
2010-11-25,8075,8265,8075,8265,2600,S27
2010-11-26,8360,8740,8360,8360,3700,S27
2010-11-29,8265,9025,8265,8740,4100,S27
2010-11-30,9215,9215,9215,9215,5600,S27
2010-12-01,9785,9785,9595,9785,12700,S27
2010-12-02,10450,10450,9975,10450,3500,S27
2010-12-03,11020,11020,11020,11020,200,S27
2010-12-06,11590,11780,11400,11780,24000,S27
2010-12-07,12445,12445,11020,11400,11800,S27
2010-12-08,11305,11400,11020,11020,13600,S27
2010-12-09,11400,11970,11400,11685,1800,S27
2010-12-10,11875,12540,11875,12540,7800,S27
2010-12-13,12350,12445,12160,12160,7500,S27
2010-12-14,11495,11590,11495,11590,13000,S27
2010-12-15,12065,12065,11875,11875,700,S27
2010-12-16,11115,11115,11115,11115,2700,S27
2010-12-17,10735,10735,10735,10735,600,S27
2010-12-20,11305,11305,11305,11305,800,S27
2010-12-21,10545,10640,10545,10640,5100,S27
2010-12-22,10165,10165,10070,10070,6000,S27
2010-12-23,9500,9595,9500,9595,700,S27
2010-12-24,9215,9975,9215,9975,1400,S27
2010-12-27,9690,10545,9595,10545,7200,S27
2010-12-28,10260,10355,10260,10355,300,S27
2010-12-29,10830,10830,10830,10830,500,S27
2010-12-30,11020,11020,10545,10545,900,S27
2010-12-31,10640,10640,10640,10640,0,S27
2011-01-04,10925,10925,10070,10070,1700,S27
2011-01-05,10640,10640,10640,10640,100,S27
2011-01-06,10640,10640,10640,10640,5800,S27
2011-01-07,10545,10545,10545,10545,1100,S27
2011-01-10,10545,10545,10545,10545,0,S27
2011-01-11,10545,10545,10545,10545,0,S27
2011-01-12,9880,10925,9880,10925,200,S27
2011-01-13,9880,10925,9880,10925,500,S27
2011-01-14,10925,10925,10925,10925,100,S27
2011-01-17,11305,11305,11305,11305,100,S27
2011-01-18,11495,11495,11495,11495,100,S27
2011-01-19,10735,10735,10735,10735,200,S27
2011-01-20,10735,10735,10735,10735,0,S27
2011-01-21,10260,10260,10260,10260,4200,S27
2011-01-24,10450,10450,10450,10450,100,S27
2011-01-25,10450,10450,10450,10450,0,S27
2011-01-26,10450,10450,10450,10450,0,S27
2011-01-27,9785,9785,9785,9785,600,S27
2011-01-28,9785,9785,9785,9785,800,S27
2011-02-08,9785,9785,9785,9785,0,S27
2011-02-09,10260,10260,10260,10260,1000,S27
2011-02-10,9690,9690,9595,9595,5000,S27
2011-02-11,9880,9880,9880,9880,100,S27
2011-02-14,10450,10450,10450,10450,100,S27
2011-02-15,10450,10450,10450,10450,0,S27
2011-02-16,10450,10450,10450,10450,0,S27
2011-02-17,9785,9785,9785,9785,100,S27
2011-02-18,9120,9595,9120,9595,200,S27
2011-02-21,9025,9025,8835,8835,600,S27
2011-02-22,8930,8930,8930,8930,100,S27
2011-02-23,8835,8835,8835,8835,100,S27
2011-02-24,8265,8645,8265,8645,2800,S27
2011-02-25,8645,8645,8645,8645,0,S27
2011-02-28,8645,8645,8645,8645,200,S27
2011-03-01,8645,8645,8645,8645,0,S27
2011-03-02,8550,8550,8550,8550,600,S27
2011-03-03,8360,8360,8360,8360,500,S27
2011-03-04,7790,7790,7790,7790,500,S27
2011-03-07,7790,7790,7790,7790,0,S27
2011-03-08,7790,7790,7790,7790,0,S27
2011-03-09,7410,7600,7315,7315,1100,S27
2011-03-10,7030,7695,7030,7600,400,S27
2011-03-11,7790,7790,7600,7600,8700,S27
2011-03-14,7125,7600,7125,7600,1500,S27
2011-03-15,7125,7125,7125,7125,1100,S27
2011-03-16,7410,7410,7315,7410,700,S27
2011-03-17,7505,7505,7505,7505,100,S27
2011-03-18,7695,7790,7695,7695,3100,S27
2011-03-21,8170,8170,7315,7315,5100,S27
2011-03-22,7315,7315,7315,7315,4300,S27
2011-03-23,7030,7315,7030,7315,1100,S27
2011-03-24,7410,7410,7410,7410,800,S27
2011-03-25,7410,7410,7410,7410,0,S27
2011-03-28,7790,7790,7220,7220,3900,S27
2011-03-29,7695,7695,7695,7695,100,S27
2011-03-30,7220,7695,7220,7695,400,S27
2011-03-31,7125,7125,7125,7125,6200,S27
2011-04-01,7600,7600,7600,7600,100,S27
2011-04-04,8075,8075,7600,7600,600,S27
2011-04-05,7790,7790,7790,7790,100,S27
2011-04-06,7600,7600,7600,7600,4000,S27
2011-04-07,7600,7600,7600,7600,0,S27
2011-04-08,7125,7125,7125,7125,1000,S27
2011-04-13,7600,7600,6650,6650,300,S27
2011-04-14,6935,6935,6935,6935,0,S27
2011-04-15,6460,6460,6460,6460,100,S27
2011-04-18,6650,6650,6460,6460,3400,S27
2011-04-19,6460,6460,6460,6460,0,S27
2011-04-20,6460,6460,6460,6460,500,S27
2011-04-21,6460,6460,6080,6080,2500,S27
2011-04-22,6175,6175,6175,6175,4100,S27
2011-04-25,6555,6555,6555,6555,200,S27
2011-04-26,6935,6935,6935,6935,100,S27
2011-04-27,6935,6935,6935,6935,0,S27
2011-04-28,6935,6935,6935,6935,0,S27
2011-04-29,6935,6935,6935,6935,0,S27
2011-05-04,6460,6460,6460,6460,100,S27
2011-05-05,6080,6080,6080,6080,600,S27
2011-05-06,6080,6080,6080,6080,700,S27
2011-05-09,6080,6080,6080,6080,500,S27
2011-05-10,6080,6080,6080,6080,5000,S27
2011-05-11,6080,6175,6080,6080,6400,S27
2011-05-12,6080,6080,6080,6080,10000,S27
2011-05-13,6080,6080,6080,6080,11500,S27
2011-05-16,6080,6080,6080,6080,600,S27
2011-05-17,6080,6080,6080,6080,3000,S27
2011-05-18,6080,6080,6080,6080,100,S27
2011-05-19,6175,6175,6080,6080,3000,S27
2011-05-20,6080,6080,6080,6080,0,S27
2011-05-23,6080,6080,6080,6080,0,S27
2011-05-24,6080,6080,6080,6080,0,S27
2011-05-25,6080,6080,6080,6080,0,S27
2011-05-26,6080,6080,6080,6080,0,S27
2011-05-27,6080,6080,6080,6080,0,S27
2011-05-30,6460,6460,6460,6460,100,S27
2011-05-31,6460,6460,6460,6460,0,S27
2011-06-01,6080,6080,6080,6080,1200,S27
2011-06-02,5700,5700,5700,5700,1500,S27
2011-06-03,5320,5320,5320,5320,1300,S27
2011-06-06,5035,5035,5035,5035,500,S27
2011-06-07,4750,5320,4750,5320,5100,S27
2011-06-08,5035,5035,5035,5035,100,S27
2011-06-09,5320,5320,4940,4940,1000,S27
2011-06-10,5225,5225,5225,5225,600,S27
2011-06-13,5320,5320,5320,5320,2000,S27
2011-06-14,5605,5605,5035,5035,500,S27
2011-06-15,5605,5605,5035,5035,2000,S27
2011-06-16,5225,5225,5225,5225,100,S27
2011-06-17,5415,5415,4940,4940,600,S27
2011-06-20,5225,5225,5225,5225,100,S27
2011-06-21,5510,5510,5415,5415,800,S27
2011-06-22,5130,5130,5130,5130,5500,S27
2011-06-23,5130,5130,5130,5130,0,S27
2011-06-24,4845,4845,4845,4845,1700,S27
2011-06-27,4560,4560,4560,4560,3000,S27
2011-06-28,4465,4465,4370,4370,6400,S27
2011-06-29,4750,4750,4750,4750,100,S27
2011-06-30,4560,4560,4560,4560,200,S27
2011-07-01,4560,4560,4560,4560,0,S27
2011-07-04,4560,4560,4560,4560,0,S27
2011-07-05,4845,4845,4845,4845,3200,S27
2011-07-06,5130,5130,4845,4845,800,S27
2011-07-07,4940,4940,4940,4940,0,S27
2011-07-08,4655,4655,4655,4655,1800,S27
2011-07-11,4655,4655,4655,4655,0,S27
2011-07-12,4655,4655,4655,4655,0,S27
2011-07-13,4845,4845,4845,4845,100,S27
2011-07-14,4560,4560,4560,4560,4000,S27
2011-07-15,4275,4560,4275,4560,1000,S27
2011-07-18,4560,4560,4560,4560,0,S27
2011-07-19,4465,4465,4465,4465,700,S27
2011-07-20,4750,4750,4750,4750,100,S27
2011-07-21,4750,4750,4750,4750,0,S27
2011-07-22,4750,4750,4750,4750,0,S27
2011-07-25,4750,4750,4750,4750,0,S27
2011-07-26,4750,4750,4750,4750,0,S27
2011-07-27,4560,4560,4560,4560,300,S27
2011-07-28,4465,4465,4275,4465,800,S27
2011-07-29,4085,4465,4085,4465,500,S27
2011-08-01,4370,4370,4370,4370,0,S27
2011-08-02,4370,4370,4370,4370,0,S27
2011-08-03,4370,4370,4370,4370,0,S27
2011-08-04,4370,4370,4370,4370,0,S27
2011-08-05,4465,4465,4465,4465,2000,S27
2011-08-08,4560,4560,4560,4560,2500,S27
2011-08-09,4560,4560,4560,4560,0,S27
2011-08-10,4560,4560,4560,4560,0,S27
2011-08-11,4560,4560,4560,4560,0,S27
2011-08-12,4465,4465,4465,4465,2000,S27
2011-08-15,4465,4465,4465,4465,0,S27
2011-08-16,4465,4465,4465,4465,0,S27
2011-08-17,4465,4465,4465,4465,0,S27
2011-08-18,4180,4180,4180,4180,9100,S27
2011-08-19,4180,4180,4180,4180,0,S27
2011-08-22,4180,4180,4180,4180,0,S27
2011-08-23,4180,4180,4180,4180,0,S27
2011-08-24,4085,4085,4085,4085,300,S27
2011-08-25,3800,3800,3800,3800,100,S27
2011-08-26,3800,3800,3800,3800,0,S27
2011-08-29,3990,3990,3990,3990,400,S27
2011-08-30,4180,4180,4180,4180,100,S27
2011-08-31,4370,4370,4370,4370,100,S27
2011-09-01,4560,4560,4560,4560,100,S27
2011-09-05,4275,4750,4275,4750,3600,S27
2011-09-06,4560,4560,4560,4560,1000,S27
2011-09-07,4845,4845,4845,4845,100,S27
2011-09-08,4750,4750,4750,4750,1100,S27
2011-09-09,4750,4750,4750,4750,0,S27
2011-09-12,4750,4750,4750,4750,0,S27
2011-09-13,4940,5035,4940,5035,5900,S27
2011-09-14,4750,4750,4750,4750,500,S27
2011-09-15,4465,4465,4465,4465,7000,S27
2011-09-16,4465,4465,4465,4465,0,S27
2011-09-19,4465,4465,4465,4465,0,S27
2011-09-20,4750,4750,4750,4750,200,S27
2011-09-21,4465,4465,4465,4465,500,S27
2011-09-22,4465,4465,4465,4465,0,S27
2011-09-23,4180,4180,4180,4180,100,S27
2011-09-26,3895,3895,3895,3895,500,S27
2011-09-27,3705,4085,3705,3705,12000,S27
2011-09-28,3895,3895,3895,3895,100,S27
2011-09-29,4085,4085,4085,4085,100,S27
2011-09-30,4085,4085,4085,4085,0,S27
2011-10-03,4085,4085,4085,4085,0,S27
2011-10-04,4085,4085,4085,4085,0,S27
2011-10-05,3800,3800,3800,3800,900,S27
2011-10-06,3990,3990,3800,3800,3100,S27
2011-10-07,3705,3705,3705,3705,3000,S27
2011-10-10,3895,3895,3515,3515,600,S27
2011-10-11,3800,3800,3800,3800,100,S27
2011-10-12,3800,3800,3800,3800,0,S27
2011-10-13,3800,3800,3800,3800,0,S27
2011-10-14,3610,3610,3610,3610,200,S27
2011-10-17,3800,3800,3800,3800,100,S27
2011-10-18,3800,3800,3800,3800,0,S27
2011-10-19,3800,3800,3800,3800,0,S27
2011-10-20,3800,3800,3800,3800,0,S27
2011-10-21,3990,3990,3990,3990,200,S27
2011-10-24,3990,3990,3990,3990,0,S27
2011-10-25,3800,3800,3800,3800,100,S27
2011-10-26,3610,3610,3610,3610,100,S27
2011-10-27,3420,3420,3420,3420,800,S27
2011-10-28,3230,3230,3230,3230,3200,S27
2011-10-31,3040,3040,3040,3040,900,S27
2011-11-01,2850,2850,2850,2850,3600,S27
2011-11-02,2660,2660,2660,2660,2100,S27
2011-11-03,2755,2755,2755,2755,4200,S27
2011-11-04,2945,2945,2565,2565,1300,S27
2011-11-07,3040,3040,2660,2660,500,S27
2011-11-08,2850,2850,2850,2850,0,S27
2011-11-09,2945,2945,2945,2945,600,S27
2011-11-10,2945,2945,2755,2755,300,S27
2011-11-11,3040,3040,2660,2660,1200,S27
2011-11-14,2755,3040,2755,2755,700,S27
2011-11-15,2660,2660,2660,2660,300,S27
2011-11-16,2565,2565,2565,2565,200,S27
2011-11-17,2470,2470,2470,2470,1000,S27
2011-11-18,2565,2565,2565,2565,100,S27
2011-11-21,2660,2660,2470,2470,300,S27
2011-11-22,2470,2470,2470,2470,1000,S27
2011-11-23,2375,2375,2375,2375,3700,S27
2011-11-24,2280,2280,2280,2280,1100,S27
2011-11-25,2185,2185,2185,2185,900,S27
2011-11-28,2280,2280,2280,2280,200,S27
2011-11-29,2375,2375,2375,2375,100,S27
2011-11-30,2470,2470,2470,2470,200,S27
2011-12-01,2470,2470,2470,2470,0,S27
2011-12-02,2565,2565,2565,2565,100,S27
2011-12-05,2660,2660,2660,2660,2600,S27
2011-12-06,2755,2755,2755,2755,200,S27
2011-12-07,2850,2850,2850,2850,200,S27
2011-12-08,3040,3040,3040,3040,200,S27
2011-12-09,3230,3230,3230,3230,200,S27
2011-12-12,3230,3230,3230,3230,0,S27
2011-12-13,3325,3325,3325,3325,100,S27
2011-12-14,3515,3515,3135,3135,400,S27
2011-12-15,3325,3325,3325,3325,0,S27
2011-12-16,3135,3135,3135,3135,1000,S27
2011-12-19,2945,2945,2945,2945,200,S27
2011-12-20,2945,2945,2945,2945,0,S27
2011-12-21,3135,3135,3135,3135,200,S27
2011-12-22,3135,3135,3135,3135,0,S27
2011-12-23,3325,3325,3325,3325,100,S27
