time,open,high,low,close,volume,ticker
2016-11-08,9800,9800,9800,9800,300,SAC
2016-11-09,11266,11266,11266,11266,200,SAC
2016-11-10,12933,12933,12000,12533,700,SAC
2016-11-11,12000,12000,10666,10866,600,SAC
2016-11-14,9266,9266,9266,9266,300,SAC
2016-11-15,7933,7933,7933,7933,100,SAC
2016-11-16,7933,7933,7933,7933,0,SAC
2016-11-17,6800,6800,6800,6800,100,SAC
2016-11-18,5800,5800,5800,5800,13200,SAC
2016-11-21,5800,6666,4933,5000,20700,SAC
2016-11-22,5733,5733,5733,5733,1100,SAC
2016-11-23,6533,6533,6533,6533,100,SAC
2016-11-24,5600,5600,5600,5600,2000,SAC
2016-11-25,4933,4933,4933,4933,300,SAC
2016-11-28,5666,5666,5666,5666,2700,SAC
2016-11-29,4866,4866,4866,4866,500,SAC
2016-11-30,5333,5533,4866,5266,3300,SAC
2016-12-01,5266,5266,5266,5266,0,SAC
2016-12-02,5266,5266,5266,5266,0,SAC
2016-12-05,5333,5333,5333,5333,200,SAC
2016-12-06,5333,5333,5333,5333,0,SAC
2016-12-07,5333,5333,5333,5333,0,SAC
2016-12-08,6133,6133,6133,6133,100,SAC
2016-12-09,6000,6000,6000,6000,500,SAC
2016-12-12,6333,6333,6333,6333,200,SAC
2016-12-13,5666,5666,5666,5666,900,SAC
2016-12-14,5666,5666,5666,5666,500,SAC
2016-12-15,5666,5666,5666,5666,10700,SAC
2016-12-16,5666,5666,5666,5666,0,SAC
2016-12-19,5666,5666,5666,5666,7300,SAC
2016-12-20,5933,5933,5466,5466,4500,SAC
2016-12-21,5333,5333,5266,5266,8400,SAC
2016-12-22,5333,5333,5333,5333,0,SAC
2016-12-23,5333,5333,5333,5333,0,SAC
2016-12-26,5333,5333,5000,5000,5100,SAC
2016-12-27,5733,5733,4866,5066,36900,SAC
2016-12-28,5000,5000,5000,5000,0,SAC
2016-12-29,5666,5666,5666,5666,100,SAC
2016-12-30,5666,5666,5666,5666,0,SAC
2017-01-03,5666,5666,5666,5666,200,SAC
2017-01-04,5666,5666,5666,5666,300,SAC
2017-01-05,5666,5666,5666,5666,0,SAC
2017-01-06,5666,5666,5666,5666,0,SAC
2017-01-09,5666,5666,5666,5666,0,SAC
2017-01-10,5666,5666,5666,5666,0,SAC
2017-01-11,5666,5666,5666,5666,0,SAC
2017-01-12,5666,5666,5666,5666,0,SAC
2017-01-13,5666,5666,5666,5666,0,SAC
2017-01-16,5666,5666,5666,5666,0,SAC
