time,open,high,low,close,volume,ticker
2000-08-02,1310,1310,1310,1310,200,SAM
2000-08-04,1332,1332,1332,1332,1900,SAM
2000-08-07,1355,1355,1355,1355,7300,SAM
2000-08-09,1377,1377,1377,1377,13300,SAM
2000-08-11,1399,1399,1399,1399,100,SAM
2000-08-14,1422,1422,1422,1422,2400,SAM
2000-08-16,1444,1444,1444,1444,8300,SAM
2000-08-18,1467,1467,1467,1467,5800,SAM
2000-08-21,1489,1489,1489,1489,24400,SAM
2000-08-23,1512,1512,1512,1512,67200,SAM
2000-08-25,1534,1534,1534,1534,74200,SAM
2000-08-28,1504,1504,1504,1504,59900,SAM
2000-08-30,1474,1474,1474,1474,115200,SAM
2000-09-01,1452,1452,1452,1452,70100,SAM
2000-09-06,1452,1452,1452,1452,56600,SAM
2000-09-08,1474,1474,1474,1474,12100,SAM
2000-09-11,1497,1497,1497,1497,600,SAM
2000-09-13,1527,1527,1527,1527,11000,SAM
2000-09-15,1557,1557,1557,1557,5400,SAM
2000-09-18,1587,1587,1587,1587,49000,SAM
2000-09-20,1557,1557,1557,1557,26800,SAM
2000-09-22,1557,1557,1557,1557,49900,SAM
2000-09-25,1557,1557,1557,1557,41200,SAM
2000-09-27,1572,1572,1572,1572,32800,SAM
2000-09-29,1587,1587,1587,1587,26100,SAM
2000-10-02,1587,1587,1587,1587,24100,SAM
2000-10-04,1587,1587,1587,1587,36200,SAM
2000-10-06,1617,1617,1617,1617,17400,SAM
2000-10-09,1646,1646,1646,1646,13400,SAM
2000-10-11,1676,1676,1676,1676,34600,SAM
2000-10-13,1706,1706,1706,1706,13400,SAM
2000-10-16,1736,1736,1736,1736,16100,SAM
2000-10-18,1766,1766,1766,1766,10500,SAM
2000-10-20,1796,1796,1796,1796,43900,SAM
2000-10-23,1796,1796,1796,1796,18300,SAM
2000-10-25,1766,1766,1766,1766,27100,SAM
2000-10-27,1796,1796,1796,1796,42500,SAM
2000-10-30,1826,1826,1826,1826,54000,SAM
2000-11-01,1856,1856,1856,1856,33300,SAM
2000-11-03,1886,1886,1886,1886,62300,SAM
2000-11-06,1923,1923,1923,1923,49300,SAM
2000-11-08,1961,1961,1961,1961,11000,SAM
2000-11-10,1998,1998,1998,1998,49700,SAM
2000-11-13,2036,2036,2036,2036,18800,SAM
2000-11-15,2073,2073,2073,2073,10000,SAM
2000-11-17,2111,2111,2111,2111,25800,SAM
2000-11-20,2148,2148,2148,2148,52200,SAM
2000-11-22,2111,2111,2111,2111,68600,SAM
2000-11-24,2073,2073,2073,2073,45500,SAM
2000-11-27,1998,1998,1998,1998,21600,SAM
2000-11-29,2036,2036,2036,2036,43300,SAM
2000-12-01,2073,2073,2073,2073,20700,SAM
2000-12-04,2111,2111,2111,2111,10600,SAM
2000-12-06,2148,2148,2148,2148,36100,SAM
2000-12-08,2185,2185,2185,2185,162900,SAM
2000-12-11,2148,2148,2148,2148,82400,SAM
2000-12-13,2170,2170,2170,2170,71600,SAM
2000-12-15,2223,2223,2223,2223,13200,SAM
2000-12-18,2260,2260,2260,2260,41900,SAM
2000-12-20,2305,2305,2305,2305,28200,SAM
2000-12-22,2350,2350,2350,2350,48200,SAM
2000-12-25,2395,2395,2395,2395,17500,SAM
2000-12-27,2440,2440,2440,2440,27600,SAM
2000-12-29,2485,2485,2485,2485,46600,SAM
2001-01-03,2530,2530,2530,2530,24700,SAM
2001-01-08,2620,2620,2620,2620,39500,SAM
2001-01-10,2672,2672,2672,2672,146200,SAM
2001-01-12,2724,2724,2724,2724,180600,SAM
2001-01-15,2724,2724,2724,2724,73600,SAM
2001-01-17,2777,2777,2777,2777,64300,SAM
2001-01-19,2829,2829,2829,2829,13400,SAM
2001-01-29,2882,2882,2882,2882,5800,SAM
2001-01-31,2934,2934,2934,2934,300,SAM
2001-02-02,2986,2986,2986,2986,15300,SAM
2001-02-05,3039,3039,3039,3039,300,SAM
2001-02-09,3159,3159,3159,3159,165100,SAM
2001-02-12,3099,3099,3099,3099,44900,SAM
2001-02-14,3039,3039,3039,3039,1500,SAM
2001-02-16,2979,2979,2979,2979,300,SAM
2001-02-23,2927,2927,2927,2927,91400,SAM
2001-02-26,2979,2979,2979,2979,38800,SAM
2001-02-28,2927,2927,2927,2927,80000,SAM
2001-03-02,2874,2874,2874,2874,37300,SAM
2001-03-05,2822,2822,2822,2822,66400,SAM
2001-03-07,2777,2777,2777,2777,151200,SAM
2001-03-09,2829,2829,2829,2829,68600,SAM
2001-03-12,2874,2874,2874,2874,66000,SAM
2001-03-14,2844,2844,2844,2844,84100,SAM
2001-03-16,2844,2844,2844,2844,52800,SAM
2001-03-19,2874,2874,2874,2874,56000,SAM
2001-03-21,2874,2874,2874,2874,33000,SAM
2001-03-23,2874,2874,2874,2874,110500,SAM
2001-03-26,2927,2927,2927,2927,48300,SAM
2001-03-28,2972,2972,2972,2972,72900,SAM
2001-03-30,3024,3024,3024,3024,23000,SAM
2001-04-02,3084,3084,3084,3084,119400,SAM
2001-04-04,3144,3144,3144,3144,44400,SAM
2001-04-06,3204,3204,3204,3204,7700,SAM
2001-04-09,3263,3263,3263,3263,63700,SAM
2001-04-11,3323,3323,3323,3323,56000,SAM
2001-04-13,3383,3383,3383,3383,22800,SAM
2001-04-16,3451,3451,3451,3451,7700,SAM
2001-04-18,3518,3518,3518,3518,20200,SAM
2001-04-20,3585,3585,3585,3585,71300,SAM
2001-04-23,3518,3518,3518,3518,106000,SAM
2001-04-25,3451,3451,3451,3451,280200,SAM
2001-04-27,3518,3518,3518,3518,15600,SAM
2001-05-02,3585,3585,3585,3585,7300,SAM
2001-05-04,3653,3653,3653,3653,76800,SAM
2001-05-07,3720,3720,3720,3720,25500,SAM
2001-05-09,3780,3780,3780,3780,75700,SAM
