time,open,high,low,close,volume,ticker
2015-04-16,21469,21469,21469,21469,207100,SAS
2015-04-17,23533,23602,22019,22019,513900,SAS
2015-04-20,24703,24772,20368,24634,444100,SAS
2015-04-21,22707,22707,20437,22707,68400,SAS
2015-04-22,22088,22639,20712,22639,102000,SAS
2015-04-23,22019,22019,20781,20918,56200,SAS
2015-04-24,22639,22639,20918,20918,54300,SAS
2015-04-27,20987,21951,20850,21951,53400,SAS
2015-05-04,21056,21538,20643,20643,42900,SAS
2015-05-05,20987,20987,20918,20918,300,SAS
2015-05-06,21194,21194,18923,20643,34400,SAS
2015-05-07,21400,21400,19267,20643,32500,SAS
2015-05-08,19473,20918,19267,20918,40200,SAS
2015-05-11,20712,21125,19267,19267,21300,SAS
2015-05-12,19060,19542,18992,19542,28900,SAS
2015-05-13,19267,20574,19267,19542,23700,SAS
2015-05-14,18648,19405,18648,19405,5100,SAS
2015-05-15,19542,19611,17891,18923,8200,SAS
2015-05-18,18579,18785,18579,18785,10000,SAS
2015-05-19,18579,18716,18579,18579,7600,SAS
2015-05-20,18510,18992,18166,18579,18900,SAS
2015-05-21,17959,18441,17959,18441,8100,SAS
2015-05-22,18441,18510,18372,18372,14700,SAS
2015-05-25,18372,18854,17891,17891,20600,SAS
2015-05-26,18579,19886,17271,18372,9200,SAS
2015-05-27,18028,18716,18028,18028,9400,SAS
2015-05-28,17547,18510,17547,18510,10500,SAS
2015-05-29,18579,19749,18579,19680,13000,SAS
2015-06-01,19817,19886,18579,19198,26500,SAS
2015-06-02,18579,19060,18579,18579,16600,SAS
2015-06-03,18579,19542,18579,18579,32300,SAS
2015-06-04,19473,19473,18304,18923,36400,SAS
2015-06-05,19680,19680,19267,19267,24000,SAS
2015-06-08,18923,19198,18235,18235,19000,SAS
2015-06-09,19060,19060,17891,17891,18200,SAS
2015-06-10,18854,18854,17959,18235,47100,SAS
2015-06-11,18854,18854,17891,18235,21000,SAS
2015-06-12,18648,18648,18304,18304,25500,SAS
2015-06-15,17959,18441,17891,18235,28200,SAS
2015-06-16,18441,18716,18441,18716,13000,SAS
2015-06-17,18716,18716,18716,18716,0,SAS
2015-06-18,18304,18441,18304,18304,26300,SAS
2015-06-19,18304,18510,18304,18441,42300,SAS
2015-06-22,18441,18854,17959,18510,19700,SAS
2015-06-23,18785,18785,18785,18785,0,SAS
2015-06-24,17891,18648,17891,18648,30500,SAS
2015-06-25,18648,18648,18648,18648,22000,SAS
2015-06-26,18579,18579,18579,18579,5000,SAS
2015-06-29,18372,18372,17891,17891,2200,SAS
2015-06-30,18510,18510,16446,18510,15500,SAS
2015-07-01,18510,18510,18372,18372,19600,SAS
2015-07-02,18441,19198,18235,18235,19400,SAS
2015-07-03,19060,19060,19060,19060,16000,SAS
2015-07-06,17891,18510,17891,18510,16800,SAS
2015-07-07,18992,18992,18579,18579,28500,SAS
2015-07-08,18785,18785,18785,18785,0,SAS
2015-07-09,18716,18785,18716,18785,8200,SAS
2015-07-10,18579,18579,17203,18372,19300,SAS
2015-07-13,18510,18579,17891,17891,26800,SAS
2015-07-14,18854,18854,17891,18097,18600,SAS
2015-07-15,17959,18510,17891,18235,15900,SAS
2015-07-16,18441,18579,18372,18579,43000,SAS
2015-07-17,19611,21194,18579,19611,26500,SAS
2015-07-20,20643,21194,19267,20643,14800,SAS
2015-07-21,21951,21951,19405,19955,6800,SAS
2015-07-22,20161,20161,19955,20093,21400,SAS
2015-07-23,20093,20093,17203,18923,19200,SAS
2015-07-24,20643,20643,18235,18235,20300,SAS
2015-07-27,20230,20230,19749,19749,30300,SAS
2015-07-28,19267,19886,19267,19611,67000,SAS
2015-07-29,19611,19817,19611,19817,64600,SAS
2015-07-30,21882,21882,20643,20643,21800,SAS
2015-07-31,19955,21194,19955,21194,500,SAS
2015-08-03,18923,20437,18923,20437,600,SAS
2015-08-04,19267,19955,19267,19955,1800,SAS
2015-08-05,18097,19749,18028,19749,400,SAS
2015-08-06,18923,19336,18923,19267,1500,SAS
2015-08-07,19267,19267,19267,19267,10600,SAS
2015-08-10,19267,19267,19267,19267,10000,SAS
2015-08-11,19611,20230,19267,20230,29300,SAS
2015-08-12,18304,20230,18304,20230,24000,SAS
2015-08-13,19267,19886,19267,19267,18600,SAS
2015-08-14,18992,19405,18992,19405,28300,SAS
2015-08-17,18235,19267,18235,19267,22500,SAS
2015-08-18,18441,19267,18441,19267,21000,SAS
2015-08-19,18648,19611,18648,19611,38000,SAS
2015-08-20,19886,19886,19267,19336,4000,SAS
2015-08-21,18923,19542,18923,19542,4900,SAS
2015-08-24,19060,19198,19060,19198,7800,SAS
2015-08-25,18992,18992,18992,18992,13200,SAS
2015-08-26,19955,19955,19955,19955,100,SAS
2015-08-27,19886,19886,19267,19267,1100,SAS
2015-08-28,18992,19886,18579,19886,8600,SAS
