time,open,high,low,close,volume,ticker
2017-02-16,5421,5421,5163,5421,1900,SBD
2017-02-17,5163,5421,5163,5421,3900,SBD
2017-02-20,5421,5421,5421,5421,100,SBD
2017-02-21,5421,5421,5421,5421,0,SBD
2017-02-22,5163,5421,5163,5421,1800,SBD
2017-02-23,5421,5421,5421,5421,100,SBD
2017-02-24,5421,5421,5421,5421,400,SBD
2017-02-27,5421,5421,5421,5421,0,SBD
2017-02-28,5421,5421,5421,5421,1600,SBD
2017-03-01,5421,5421,5421,5421,0,SBD
2017-03-02,5421,5421,5421,5421,0,SBD
2017-03-03,5421,5421,5421,5421,0,SBD
2017-03-06,5369,5369,5369,5369,100,SBD
2017-03-07,5369,5369,5369,5369,0,SBD
2017-03-08,5369,5369,5369,5369,0,SBD
2017-03-09,5369,5369,5369,5369,0,SBD
2017-03-10,5163,5163,5163,5163,300,SBD
2017-03-13,5163,5163,5111,5111,3100,SBD
2017-03-14,5111,5111,5111,5111,100,SBD
2017-03-15,5111,5111,5111,5111,0,SBD
2017-03-16,5008,5008,5008,5008,100,SBD
2017-03-17,5008,5008,5008,5008,0,SBD
2017-03-20,5008,5008,5008,5008,0,SBD
2017-03-21,4646,4646,4646,4646,800,SBD
2017-03-22,4646,4646,4646,4646,100,SBD
2017-03-23,5317,5317,5317,5317,100,SBD
2017-03-24,5317,5317,5317,5317,0,SBD
2017-03-27,5317,5317,5317,5317,32,SBD
2017-03-28,5317,5317,5317,5317,0,SBD
2017-03-29,5317,5317,5317,5317,0,SBD
2017-03-30,5317,5317,5317,5317,132,SBD
2017-03-31,5317,5317,5317,5317,0,SBD
2017-04-03,5214,5214,5214,5214,100,SBD
2017-04-04,5214,5214,5214,5214,100,SBD
2017-04-05,5214,5214,5214,5214,0,SBD
2017-04-07,5214,5214,5214,5214,0,SBD
2017-04-10,5214,5214,5214,5214,0,SBD
2017-04-11,5266,5266,5266,5266,100,SBD
2017-04-12,5266,5266,5266,5266,0,SBD
2017-04-13,5266,5266,5266,5266,0,SBD
2017-04-14,5266,5266,5266,5266,0,SBD
2017-04-17,5266,5266,5266,5266,0,SBD
2017-04-18,5214,5214,5163,5163,200,SBD
2017-04-19,5214,5214,5214,5214,0,SBD
2017-04-20,5214,5214,5214,5214,0,SBD
2017-04-21,5214,5214,5214,5214,0,SBD
2017-04-24,5214,5214,5214,5214,0,SBD
2017-04-25,5214,5214,5214,5214,0,SBD
2017-04-26,5214,5214,5214,5214,0,SBD
2017-04-27,5214,5214,5214,5214,0,SBD
2017-04-28,5214,5214,5214,5214,0,SBD
2017-05-03,5214,5214,5214,5214,0,SBD
2017-05-04,5214,5214,5214,5214,0,SBD
2017-05-05,5369,5421,5369,5421,10000,SBD
2017-05-08,5421,5421,5421,5421,11000,SBD
2017-05-09,5421,5421,5421,5421,8000,SBD
2017-05-10,5214,5214,5214,5214,2400,SBD
2017-05-11,5214,5214,5214,5214,0,SBD
2017-05-12,4698,4698,4698,4698,100,SBD
2017-05-15,5353,5353,4698,5353,400,SBD
2017-05-16,5790,5790,5790,5790,100,SBD
2017-05-17,5790,5790,5790,5790,0,SBD
2017-05-18,5790,5790,5790,5790,0,SBD
2017-05-19,5517,5517,5463,5463,15200,SBD
2017-05-22,5463,5463,5463,5463,0,SBD
2017-05-23,5463,5463,5463,5463,0,SBD
2017-05-24,5463,5463,5463,5463,0,SBD
2017-05-25,5463,5736,5463,5736,500,SBD
2017-05-26,5627,5627,5627,5627,0,SBD
2017-05-29,5627,5627,5627,5627,0,SBD
2017-05-30,5627,5627,5627,5627,0,SBD
2017-05-31,5627,5627,5627,5627,0,SBD
2017-06-01,5627,5627,5627,5627,0,SBD
2017-06-02,5463,5463,5463,5463,200,SBD
2017-06-05,5463,5463,5463,5463,0,SBD
2017-06-06,5736,5736,5736,5736,1000,SBD
2017-06-07,5736,5736,5736,5736,0,SBD
2017-06-08,5736,5736,5736,5736,0,SBD
2017-06-09,5736,5736,5736,5736,0,SBD
2017-06-12,5736,5736,5736,5736,0,SBD
2017-06-13,5736,5736,5736,5736,0,SBD
2017-06-14,5736,5736,5736,5736,0,SBD
2017-06-15,5736,5736,5736,5736,0,SBD
2017-06-16,5736,5736,5736,5736,0,SBD
2017-06-19,5736,5736,5736,5736,0,SBD
2017-06-20,5736,5736,5736,5736,0,SBD
2017-06-21,5736,5736,5736,5736,0,SBD
2017-06-22,5736,5736,5736,5736,0,SBD
2017-06-23,5736,5736,5736,5736,0,SBD
2017-06-26,5736,5736,5736,5736,8900,SBD
2017-06-27,5736,5736,5736,5736,0,SBD
2017-06-28,5736,5736,5736,5736,0,SBD
2017-06-29,5736,5736,5736,5736,0,SBD
2017-06-30,5736,5736,5736,5736,0,SBD
2017-07-03,5736,5736,5736,5736,0,SBD
2017-07-04,5736,5736,5736,5736,0,SBD
2017-07-05,5736,5736,5736,5736,0,SBD
2017-07-06,5736,5736,5736,5736,0,SBD
2017-07-07,5736,5736,5736,5736,0,SBD
2017-07-10,5680,5680,5511,5511,200,SBD
2017-07-11,5623,5623,5623,5623,0,SBD
2017-07-12,6467,6467,6467,6467,22500,SBD
2017-07-13,7311,7311,7311,7311,100,SBD
2017-07-14,7760,8379,7760,8379,400,SBD
2017-07-17,9279,9279,9279,9279,100,SBD
2017-07-18,9279,9279,9279,9279,0,SBD
2017-07-19,9279,9279,9279,9279,0,SBD
2017-07-20,9279,9279,9279,9279,0,SBD
2017-07-21,9279,9279,9279,9279,0,SBD
2017-07-24,9279,9279,9279,9279,0,SBD
2017-07-25,9279,9279,9279,9279,0,SBD
2017-07-26,9279,9279,9279,9279,0,SBD
2017-07-27,9279,9279,9279,9279,0,SBD
2017-07-28,9279,9279,9279,9279,0,SBD
2017-07-31,9279,9279,9279,9279,0,SBD
2017-08-01,9279,9279,9279,9279,0,SBD
2017-08-02,9279,9279,9279,9279,0,SBD
2017-08-03,9279,9279,9279,9279,0,SBD
2017-08-04,9279,9279,9279,9279,0,SBD
2017-08-07,9279,9279,9279,9279,0,SBD
2017-08-08,9279,9279,9279,9279,0,SBD
2017-08-09,9279,9279,9279,9279,0,SBD
2017-08-10,9279,9279,9279,9279,0,SBD
2017-08-11,9279,9279,9279,9279,0,SBD
2017-08-14,9448,10122,9448,10122,400,SBD
2017-08-15,9560,9560,9560,9560,100,SBD
2017-08-16,9560,9560,9560,9560,0,SBD
2017-08-17,9841,10122,9841,10122,200,SBD
2017-08-18,10010,10010,10010,10010,0,SBD
2017-08-21,10010,10010,10010,10010,0,SBD
2017-08-22,10010,10010,10010,10010,0,SBD
2017-08-23,10010,10010,10010,10010,0,SBD
2017-08-24,10010,10010,10010,10010,0,SBD
2017-08-25,10010,10010,10010,10010,0,SBD
2017-08-28,10010,10010,10010,10010,0,SBD
2017-08-29,10010,10010,10010,10010,0,SBD
2017-08-30,10010,10010,10010,10010,0,SBD
2017-08-31,10010,10010,10010,10010,0,SBD
2017-09-01,10010,10010,10010,10010,0,SBD
2017-09-05,10010,10010,10010,10010,0,SBD
2017-09-06,10010,10010,10010,10010,0,SBD
2017-09-07,10010,10010,10010,10010,0,SBD
2017-09-08,10010,10010,10010,10010,0,SBD
2017-09-11,10010,10010,10010,10010,0,SBD
2017-09-12,10010,10010,10010,10010,0,SBD
2017-09-13,10010,10010,10010,10010,0,SBD
2017-09-14,10010,10010,10010,10010,0,SBD
2017-09-15,10010,10010,10010,10010,0,SBD
2017-09-18,10010,10010,10010,10010,0,SBD
2017-09-19,10010,10010,10010,10010,0,SBD
2017-09-20,8548,8548,8548,8548,100,SBD
2017-09-21,8548,8548,8548,8548,0,SBD
2017-09-22,8548,8548,8548,8548,0,SBD
2017-09-25,8548,8548,8548,8548,0,SBD
2017-09-26,9448,9448,9448,9448,100,SBD
2017-09-27,9448,9448,9448,9448,0,SBD
2017-09-28,9448,9448,9448,9448,0,SBD
2017-09-29,10010,10010,10010,10010,100,SBD
2017-10-02,10010,10010,10010,10010,0,SBD
2017-10-03,10010,10010,10010,10010,0,SBD
2017-10-04,10010,10010,10010,10010,0,SBD
2017-10-05,10010,10010,10010,10010,0,SBD
2017-10-06,10010,10010,10010,10010,0,SBD
2017-10-09,10010,10010,10010,10010,58,SBD
2017-10-10,10010,10010,10010,10010,0,SBD
2017-10-11,10010,10404,10010,10404,400,SBD
2017-10-12,10179,10179,10179,10179,0,SBD
2017-10-13,10179,10179,10179,10179,0,SBD
2017-10-16,10179,10179,10179,10179,0,SBD
2017-10-17,10179,10179,10179,10179,0,SBD
2017-10-18,10179,10179,10179,10179,0,SBD
2017-10-19,10179,10179,10179,10179,0,SBD
2017-10-20,10179,10179,10179,10179,0,SBD
2017-10-23,10179,10179,10179,10179,0,SBD
2017-10-24,10179,10179,10179,10179,0,SBD
2017-10-25,8998,8998,8660,8660,200,SBD
2017-10-26,8829,8829,8829,8829,0,SBD
2017-10-27,8267,8267,8267,8267,100,SBD
2017-10-30,8548,8548,8548,8548,100,SBD
2017-10-31,8548,8548,8548,8548,0,SBD
2017-11-01,8548,8548,8548,8548,0,SBD
2017-11-02,8548,8548,8548,8548,0,SBD
2017-11-03,8548,8548,8548,8548,0,SBD
2017-11-06,9279,9279,9279,9279,100,SBD
2017-11-07,9279,9279,9279,9279,0,SBD
2017-11-08,9279,9279,9279,9279,0,SBD
2017-11-09,9279,9279,9279,9279,0,SBD
2017-11-10,9279,9279,9279,9279,0,SBD
2017-11-13,9279,9279,9279,9279,0,SBD
2017-11-14,9279,9279,9279,9279,0,SBD
2017-11-15,9279,9279,9279,9279,0,SBD
2017-11-16,9279,9279,9279,9279,0,SBD
2017-11-17,8154,8154,8154,8154,400,SBD
2017-11-20,8548,8548,8548,8548,100,SBD
2017-11-21,8660,8660,8660,8660,100,SBD
2017-11-22,8716,8716,8716,8716,100,SBD
2017-11-23,8716,8716,8716,8716,0,SBD
2017-11-24,8716,8716,8716,8716,0,SBD
2017-11-27,8716,8716,8716,8716,0,SBD
2017-11-28,8716,8716,8716,8716,0,SBD
2017-11-29,8716,8716,8716,8716,0,SBD
2017-11-30,8716,8716,8716,8716,0,SBD
2017-12-01,8716,8716,8716,8716,0,SBD
2017-12-04,7423,7423,7423,7423,2100,SBD
2017-12-05,8435,8435,8435,8435,100,SBD
2017-12-06,8548,8548,8548,8548,200,SBD
2017-12-07,8548,8548,8548,8548,0,SBD
2017-12-08,8548,8548,8548,8548,0,SBD
2017-12-11,8548,8548,8548,8548,0,SBD
2017-12-12,8998,8998,8998,8998,100,SBD
2017-12-13,8998,8998,8998,8998,0,SBD
2017-12-14,8998,8998,8998,8998,0,SBD
2017-12-15,7648,8660,7648,8660,200,SBD
2017-12-18,8548,8548,8548,8548,100,SBD
2017-12-19,8548,8548,8548,8548,0,SBD
2017-12-20,8998,8998,8998,8998,100,SBD
2017-12-21,8998,8998,8998,8998,0,SBD
2017-12-22,8998,8998,8998,8998,0,SBD
2017-12-25,8998,8998,8998,8998,0,SBD
2017-12-26,8998,8998,8998,8998,0,SBD
2017-12-27,8998,8998,8998,8998,0,SBD
2017-12-28,8998,8998,8998,8998,0,SBD
2017-12-29,9054,9448,9054,9448,800,SBD
2018-01-02,9279,9279,9279,9279,0,SBD
2018-01-03,9279,9279,9279,9279,0,SBD
2018-01-04,9279,9279,9279,9279,0,SBD
