time,open,high,low,close,volume,ticker
2017-01-23,11933,11933,11933,11933,100,SBL
2017-01-24,13687,13687,13687,13687,100,SBL
2017-01-25,15693,15693,15693,15693,1100,SBL
2017-02-02,17548,17548,17548,17548,2100,SBL
2017-02-03,17548,18551,17548,18551,7400,SBL
2017-02-06,17598,17598,17548,17548,3300,SBL
2017-02-07,17548,17548,17548,17548,0,SBL
2017-02-08,15041,16545,15041,16545,700,SBL
2017-02-09,17047,17047,13788,16295,900,SBL
2017-02-10,16545,16545,13687,13687,700,SBL
2017-02-13,15793,16295,15793,16295,2500,SBL
2017-02-14,15543,15543,14339,14339,200,SBL
2017-02-15,13286,15442,13286,15442,200,SBL
2017-02-16,14590,14590,14590,14590,5000,SBL
2017-02-17,14590,14590,14590,14590,1600,SBL
2017-02-20,14590,14590,14590,14590,0,SBL
2017-02-21,14289,14289,14289,14289,4000,SBL
2017-02-22,14289,14289,14289,14289,0,SBL
2017-02-23,14289,14289,14289,14289,0,SBL
2017-02-24,14289,14289,14289,14289,0,SBL
2017-02-27,14289,14289,14289,14289,0,SBL
2017-02-28,14289,14289,14289,14289,0,SBL
2017-03-01,15588,15588,15588,15588,2000,SBL
2017-03-02,17147,17147,17147,17147,500,SBL
2017-03-03,14809,17147,14809,17147,2200,SBL
2017-03-06,16887,16887,16887,16887,200,SBL
2017-03-07,16887,16887,16887,16887,200,SBL
2017-03-08,16887,16887,16887,16887,100,SBL
2017-03-09,16887,16887,16887,16887,0,SBL
2017-03-10,16887,16887,16887,16887,0,SBL
2017-03-13,16887,16887,16887,16887,0,SBL
2017-03-14,16887,16887,16887,16887,0,SBL
2017-03-15,16887,16887,16887,16887,0,SBL
2017-03-16,17355,17355,14601,14601,1300,SBL
2017-03-17,15224,15224,15224,15224,0,SBL
2017-03-20,15224,15224,14445,14445,8400,SBL
2017-03-21,14549,14549,14549,14549,0,SBL
2017-03-22,14081,14081,14081,14081,1000,SBL
2017-03-23,14081,14081,14081,14081,0,SBL
2017-03-24,14081,14081,14081,14081,0,SBL
2017-03-27,14081,14081,14081,14081,400,SBL
2017-03-28,14081,14081,14081,14081,0,SBL
2017-03-29,14081,14081,14081,14081,0,SBL
2017-03-30,14081,14081,14081,14081,0,SBL
2017-03-31,14081,14081,14081,14081,0,SBL
2017-04-03,14081,14081,14081,14081,0,SBL
2017-04-04,14081,14081,14081,14081,0,SBL
2017-04-05,14081,14081,14081,14081,0,SBL
2017-04-07,14081,14081,14081,14081,0,SBL
2017-04-10,14081,14081,14081,14081,0,SBL
2017-04-11,14081,14081,14081,14081,0,SBL
2017-04-12,14081,14081,14081,14081,0,SBL
2017-04-13,14081,14081,14081,14081,0,SBL
2017-04-14,14081,14081,14081,14081,0,SBL
2017-04-17,14081,14081,14081,14081,0,SBL
2017-04-18,14081,14081,14081,14081,0,SBL
2017-04-19,14081,14081,14081,14081,0,SBL
2017-04-20,14081,14081,14081,14081,0,SBL
2017-04-21,14081,14081,14081,14081,0,SBL
2017-04-24,14081,14081,14081,14081,0,SBL
2017-04-25,14081,14081,14081,14081,0,SBL
2017-04-26,14289,14289,14289,14289,5000,SBL
2017-04-27,14289,14289,14289,14289,2000,SBL
2017-04-28,14289,14289,14289,14289,0,SBL
2017-05-03,13250,13250,13250,13250,2000,SBL
2017-05-04,13250,13302,13250,13250,3000,SBL
2017-05-05,12990,12990,12990,12990,7500,SBL
2017-05-08,12990,12990,12990,12990,0,SBL
2017-05-09,12990,12990,12990,12990,0,SBL
2017-05-10,12990,12990,12990,12990,0,SBL
2017-05-11,12211,12990,12211,12990,3000,SBL
2017-05-12,12470,12470,12470,12470,0,SBL
2017-05-15,12211,12211,12211,12211,2000,SBL
2017-05-16,12211,12211,12211,12211,0,SBL
2017-05-17,12211,12211,12211,12211,0,SBL
2017-05-18,12211,12211,12211,12211,0,SBL
2017-05-19,11156,11267,11101,11267,11600,SBL
2017-05-22,11212,11212,11212,11212,5500,SBL
2017-05-23,11212,11212,11212,11212,0,SBL
2017-05-24,11656,11656,11656,11656,510,SBL
2017-05-25,11656,11656,11656,11656,0,SBL
2017-05-26,11656,11656,11656,11656,0,SBL
2017-05-29,11656,11656,11656,11656,10500,SBL
2017-05-30,11656,11656,11656,11656,0,SBL
2017-05-31,11656,11656,11656,11656,12100,SBL
2017-06-01,11656,11656,11656,11656,0,SBL
2017-06-02,11656,11656,11656,11656,5000,SBL
2017-06-05,11656,11656,11656,11656,2500,SBL
2017-06-06,11656,11656,11656,11656,500,SBL
2017-06-07,11656,11711,11656,11656,11000,SBL
2017-06-08,11656,11656,11656,11656,0,SBL
2017-06-09,11656,11656,11656,11656,1000,SBL
2017-06-12,13043,13043,13043,13043,100,SBL
2017-06-13,11711,11711,11656,11656,9500,SBL
2017-06-14,11656,11656,11656,11656,0,SBL
2017-06-15,11656,11656,11656,11656,0,SBL
2017-06-16,11378,11378,11378,11378,6600,SBL
2017-06-19,11378,11378,11378,11378,0,SBL
2017-06-20,11378,11378,11378,11378,0,SBL
2017-06-21,11489,11489,11489,11489,1020,SBL
2017-06-22,11489,11489,11434,11489,5500,SBL
2017-06-23,11489,11489,11489,11489,0,SBL
2017-06-26,11489,11489,11489,11489,0,SBL
2017-06-27,11489,11489,11489,11489,0,SBL
2017-06-28,11489,11489,11489,11489,0,SBL
2017-06-29,11101,11101,11101,11101,3500,SBL
2017-06-30,11101,11378,11101,11378,5700,SBL
2017-07-03,11323,11323,11323,11323,0,SBL
2017-07-04,11323,11323,11323,11323,0,SBL
2017-07-05,11323,11323,11323,11323,0,SBL
2017-07-06,11323,11323,11323,11323,0,SBL
2017-07-07,11323,11323,11323,11323,0,SBL
2017-07-10,11323,11323,11323,11323,0,SBL
2017-07-11,11323,11323,11323,11323,0,SBL
2017-07-12,11323,11323,11323,11323,0,SBL
2017-07-13,11101,11101,11101,11101,500,SBL
2017-07-14,11101,11101,11101,11101,10800,SBL
2017-07-17,11101,11378,11101,11101,11900,SBL
2017-07-18,11156,11156,11156,11156,0,SBL
2017-07-19,10823,10823,10823,10823,12500,SBL
2017-07-20,10823,10823,10656,10656,18400,SBL
2017-07-21,10712,10712,10712,10712,0,SBL
2017-07-24,10712,10712,10712,10712,0,SBL
2017-07-25,10712,10712,10712,10712,0,SBL
2017-07-26,10712,10712,10712,10712,0,SBL
2017-07-27,10712,10712,10712,10712,400,SBL
2017-07-28,10712,10712,10656,10712,14200,SBL
2017-07-31,10712,10712,10712,10712,2000,SBL
2017-08-01,11101,11101,10768,10768,1500,SBL
2017-08-02,10712,10712,10712,10712,500,SBL
2017-08-03,10656,10656,10601,10601,3100,SBL
2017-08-04,10656,10656,10656,10656,0,SBL
2017-08-07,10656,10656,10656,10656,0,SBL
2017-08-08,10656,10656,10656,10656,0,SBL
2017-08-09,10823,10823,10823,10823,100,SBL
2017-08-10,10823,10823,10823,10823,0,SBL
2017-08-11,10601,10601,10601,10601,250,SBL
2017-08-14,10712,10712,10712,10712,100,SBL
2017-08-15,10712,10712,10712,10712,0,SBL
2017-08-16,10545,10545,10545,10545,3800,SBL
2017-08-17,10545,10545,10545,10545,0,SBL
2017-08-18,10545,10545,10545,10545,0,SBL
2017-08-21,10545,10545,10545,10545,0,SBL
2017-08-22,10545,10545,10545,10545,200,SBL
2017-08-23,10545,10545,10545,10545,0,SBL
2017-08-24,10490,10490,9990,9990,19900,SBL
2017-08-25,10212,10212,10212,10212,300,SBL
2017-08-28,9990,9990,9990,9990,10700,SBL
2017-08-29,9990,9990,9990,9990,0,SBL
2017-08-30,9990,9990,9990,9990,0,SBL
2017-08-31,9990,9990,9990,9990,0,SBL
2017-09-01,9990,9990,9990,9990,0,SBL
2017-09-05,9990,9990,9990,9990,0,SBL
2017-09-06,9990,9990,9990,9990,0,SBL
2017-09-07,9990,9990,9990,9990,0,SBL
2017-09-08,10101,10101,10101,10101,1000,SBL
2017-09-11,10101,10101,10101,10101,3800,SBL
2017-09-12,10101,10101,10101,10101,0,SBL
2017-09-13,10268,10268,10268,10268,200,SBL
2017-09-14,10545,10545,10545,10545,100,SBL
2017-09-15,10268,10268,10101,10101,2100,SBL
2017-09-18,10101,10101,10101,10101,200,SBL
2017-09-19,10101,10101,10101,10101,0,SBL
2017-09-20,10157,10157,10157,10157,1000,SBL
2017-09-21,10157,10157,10157,10157,1800,SBL
2017-09-22,10157,10157,10157,10157,900,SBL
2017-09-25,10157,10157,10157,10157,100,SBL
2017-09-26,10157,10268,10157,10268,1400,SBL
2017-09-27,10157,10157,10157,10157,3800,SBL
2017-09-28,10157,10157,10157,10157,3200,SBL
2017-09-29,10101,10101,10101,10101,2300,SBL
2017-10-02,10101,10101,10101,10101,0,SBL
2017-10-03,10101,10101,10101,10101,0,SBL
2017-10-04,10434,10434,10434,10434,100,SBL
2017-10-05,10434,10434,10434,10434,0,SBL
2017-10-06,10434,10434,10434,10434,0,SBL
2017-10-09,10434,10434,10434,10434,0,SBL
2017-10-10,10434,10434,10434,10434,0,SBL
2017-10-11,10434,10434,10434,10434,0,SBL
2017-10-12,10434,10434,10434,10434,0,SBL
2017-10-13,10434,10434,10434,10434,0,SBL
2017-10-16,10434,10434,10434,10434,0,SBL
2017-10-17,10434,10434,10434,10434,0,SBL
2017-10-18,10434,10434,10434,10434,0,SBL
2017-10-19,10434,10434,10434,10434,0,SBL
2017-10-20,10434,10434,10434,10434,500,SBL
2017-10-23,10434,10434,10434,10434,300,SBL
2017-10-24,10434,10434,10434,10434,0,SBL
2017-10-25,10434,10434,10434,10434,0,SBL
2017-10-26,10434,10434,10434,10434,0,SBL
2017-10-27,10434,10434,10434,10434,0,SBL
2017-10-30,10434,10434,10434,10434,0,SBL
2017-10-31,10434,10434,10434,10434,0,SBL
2017-11-01,10434,10434,10434,10434,0,SBL
2017-11-02,10434,10434,10434,10434,0,SBL
2017-11-03,10434,10434,10434,10434,0,SBL
2017-11-06,10434,10434,10434,10434,0,SBL
2017-11-07,10434,10434,10434,10434,0,SBL
2017-11-08,10434,10434,10434,10434,0,SBL
2017-11-09,10434,10434,10434,10434,0,SBL
2017-11-10,10434,10434,10434,10434,0,SBL
2017-11-13,10434,10434,10434,10434,0,SBL
2017-11-14,10434,10434,10434,10434,0,SBL
2017-11-15,10434,10434,10434,10434,0,SBL
2017-11-16,10434,10434,10434,10434,0,SBL
2017-11-17,10434,10434,10434,10434,0,SBL
2017-11-20,10434,10434,10434,10434,0,SBL
2017-11-21,10434,10434,10434,10434,0,SBL
2017-11-22,10434,10434,10434,10434,0,SBL
2017-11-23,10434,10434,10434,10434,0,SBL
2017-11-24,10434,10434,10434,10434,0,SBL
2017-11-27,10434,10434,10434,10434,0,SBL
2017-11-28,10434,10434,10434,10434,0,SBL
