time,open,high,low,close,volume,ticker
2008-02-25,5941,6139,5941,5941,392000,SBT
2008-02-26,5644,5644,5644,5644,245000,SBT
2008-02-27,5372,5372,5372,5372,104350,SBT
2008-02-28,5124,5446,5124,5198,325810,SBT
2008-02-29,5322,5322,5074,5124,101860,SBT
2008-03-03,4876,4951,4876,4876,85780,SBT
2008-03-04,4654,4654,4654,4654,13390,SBT
2008-03-05,4431,4431,4431,4431,27480,SBT
2008-03-06,4629,4629,4629,4629,62160,SBT
2008-03-07,4852,4852,4827,4852,206280,SBT
2008-03-10,5074,5074,4703,4703,395780,SBT
2008-03-11,4480,4579,4480,4480,170610,SBT
2008-03-12,4307,4579,4307,4505,91200,SBT
2008-03-13,4579,4579,4357,4456,98900,SBT
2008-03-14,4332,4406,4332,4357,47520,SBT
2008-03-17,4208,4208,4159,4159,124610,SBT
2008-03-18,3960,3960,3960,3960,24280,SBT
2008-03-19,3837,4134,3762,3762,191760,SBT
2008-03-20,3663,3738,3589,3589,181630,SBT
2008-03-21,3416,3441,3416,3416,147620,SBT
2008-03-24,3267,3267,3267,3267,26050,SBT
2008-03-25,3119,3119,3119,3119,33900,SBT
2008-03-26,2995,3193,2995,3020,327290,SBT
2008-03-27,3044,3044,3044,3044,11600,SBT
2008-03-28,3069,3069,3069,3069,38060,SBT
2008-03-31,3094,3094,3094,3094,3200,SBT
2008-04-01,3119,3119,3119,3119,1920,SBT
2008-04-02,3144,3144,3144,3144,600,SBT
2008-04-03,3168,3168,3168,3168,200,SBT
2008-04-04,3193,3193,3193,3193,26370,SBT
2008-04-07,3243,3243,3243,3243,11030,SBT
2008-04-08,3292,3292,3193,3292,269240,SBT
2008-04-09,3342,3342,3342,3342,67550,SBT
2008-04-10,3391,3391,3292,3292,275490,SBT
2008-04-11,3243,3292,3243,3292,130430,SBT
2008-04-16,3267,3267,3243,3243,114650,SBT
2008-04-17,3193,3292,3193,3292,63310,SBT
2008-04-18,3342,3342,3292,3342,224600,SBT
2008-04-21,3391,3391,3391,3391,39620,SBT
2008-04-22,3441,3441,3441,3441,59950,SBT
