time,open,high,low,close,volume,ticker
2017-05-16,22113,22113,22113,22113,421800,SBV
2017-05-17,23634,23634,22113,23495,45330,SBV
2017-05-18,23495,23495,22113,23265,9120,SBV
2017-05-19,21653,21883,21653,21653,129870,SBV
2017-05-22,20270,20731,20155,20155,99560,SBV
2017-05-23,18934,18934,18750,18750,230970,SBV
2017-05-24,18197,20040,18197,20040,23270,SBV
2017-05-25,21376,21376,20132,20132,28490,SBV
2017-05-26,19810,20132,19119,19165,47220,SBV
2017-05-29,19165,19349,18428,19165,50040,SBV
2017-05-30,18520,19165,18474,19073,15360,SBV
2017-05-31,19119,19303,19119,19257,17350,SBV
2017-06-01,19119,19211,18934,18980,16340,SBV
2017-06-02,19764,19764,18934,18980,13830,SBV
2017-06-05,18934,19027,18428,18888,7770,SBV
2017-06-06,18520,18750,18428,18750,35700,SBV
2017-06-07,18796,18796,18474,18796,24920,SBV
2017-06-08,18474,18658,18474,18474,7550,SBV
2017-06-09,18888,18888,18428,18612,6330,SBV
2017-06-12,18612,18612,18428,18428,14610,SBV
2017-06-13,18842,18842,18428,18658,27010,SBV
2017-06-14,18428,19810,18428,19395,33130,SBV
2017-06-15,19764,19764,19257,19672,30530,SBV
2017-06-16,19579,20270,19487,19948,31930,SBV
2017-06-19,19948,20501,19948,20501,49890,SBV
2017-06-20,20731,21422,20731,21146,15370,SBV
2017-06-21,21192,21192,20639,20639,14860,SBV
2017-06-22,20962,20962,20639,20731,34930,SBV
2017-06-23,20731,21192,20386,20455,36590,SBV
2017-06-26,20409,20869,20409,20731,33950,SBV
2017-06-27,20547,20869,20501,20685,30210,SBV
2017-06-28,20455,20731,20270,20685,43400,SBV
2017-06-29,19856,20777,19856,20224,23440,SBV
2017-06-30,20317,20317,20086,20270,30990,SBV
2017-07-03,20731,21100,20363,20731,54760,SBV
2017-07-04,21454,21647,20972,21454,30310,SBV
2017-07-05,21647,21695,20779,21165,30120,SBV
2017-07-06,21165,21454,21165,21454,31140,SBV
2017-07-07,21213,21503,21213,21503,1110,SBV
2017-07-10,21406,21454,20972,21020,28590,SBV
2017-07-11,21117,21117,20779,20924,20470,SBV
2017-07-12,20924,21020,20731,20828,26490,SBV
2017-07-13,20828,20876,20008,20707,20620,SBV
2017-07-14,20972,20972,20153,20707,19180,SBV
2017-07-17,20683,20707,20490,20707,24010,SBV
2017-07-18,20707,20707,20201,20587,22010,SBV
2017-07-19,20587,20731,19285,20466,20050,SBV
2017-07-20,20466,20466,19188,20008,21140,SBV
2017-07-21,20008,20731,19574,20731,26940,SBV
2017-07-24,20635,20635,19767,19936,19990,SBV
2017-07-25,20490,20490,20104,20249,25250,SBV
2017-07-26,20249,20587,19912,20249,31030,SBV
2017-07-27,20008,20249,20008,20008,29650,SBV
2017-07-28,20008,20345,20008,20345,33950,SBV
2017-07-31,20297,20442,20032,20345,19950,SBV
2017-08-01,20442,20490,20249,20249,48950,SBV
2017-08-02,20249,20345,20153,20249,55060,SBV
2017-08-03,20249,20249,20201,20201,21600,SBV
2017-08-04,20345,20345,20056,20153,98450,SBV
2017-08-07,20128,20153,18851,18851,41840,SBV
2017-08-08,19526,20008,19526,19719,19250,SBV
2017-08-09,19695,19695,19285,19695,19920,SBV
2017-08-10,19695,19695,19285,19670,21340,SBV
2017-08-11,19670,19670,19285,19429,25560,SBV
2017-08-14,20201,20201,19429,19767,25620,SBV
2017-08-15,20201,20201,19670,20080,29540,SBV
2017-08-16,20201,20201,20080,20080,29550,SBV
2017-08-17,20080,20104,19863,19936,22580,SBV
2017-08-18,19936,19960,19887,19887,21690,SBV
2017-08-21,20201,20201,19815,20008,30570,SBV
2017-08-22,20201,20249,19984,20056,37020,SBV
2017-08-23,20201,20201,20008,20104,38880,SBV
2017-08-24,20177,20177,20104,20177,35190,SBV
2017-08-25,20225,20249,19767,20153,26190,SBV
2017-08-28,20249,20249,20056,20201,38810,SBV
2017-08-29,20056,20731,20056,20731,156560,SBV
2017-08-30,21189,21189,20731,20731,31260,SBV
2017-08-31,21045,21165,20948,20972,32370,SBV
2017-09-01,21262,21262,20587,21020,30120,SBV
2017-09-05,20249,20924,20201,20659,29750,SBV
2017-09-06,20731,20731,20249,20490,29040,SBV
2017-09-07,20297,20659,20297,20562,51000,SBV
2017-09-08,20635,20683,20587,20659,50500,SBV
2017-09-11,20659,20659,20249,20249,32690,SBV
2017-09-12,20297,20635,20249,20635,40910,SBV
2017-09-13,20635,20635,20394,20635,38850,SBV
2017-09-14,20562,21165,20562,21069,48990,SBV
2017-09-15,21117,22539,21117,22539,55840,SBV
2017-09-18,22660,22660,22370,22611,30570,SBV
2017-09-19,22611,22804,22419,22660,39740,SBV
2017-09-20,22467,22660,22178,22178,39380,SBV
2017-09-21,21840,22322,21551,22033,35980,SBV
2017-09-22,22178,22587,21936,21936,31150,SBV
2017-09-25,22057,22563,21454,22467,31520,SBV
2017-09-26,21840,22563,21840,22370,33640,SBV
2017-09-27,22636,22636,21840,22346,30170,SBV
2017-09-28,22081,22346,21985,22153,30190,SBV
2017-09-29,22033,22419,21503,22419,32460,SBV
2017-10-02,22081,22467,21936,22274,30260,SBV
2017-10-03,22274,22419,22178,22178,30810,SBV
2017-10-04,22226,22660,21695,22563,60120,SBV
2017-10-05,22515,22611,22515,22515,36980,SBV
2017-10-06,22539,23913,22515,23720,130940,SBV
2017-10-09,23720,23865,22901,23503,56540,SBV
2017-10-10,22901,23865,22901,23720,57790,SBV
2017-10-11,23720,23720,23238,23431,50290,SBV
2017-10-12,23383,23576,23190,23479,49740,SBV
2017-10-13,23286,23624,23286,23431,49770,SBV
2017-10-16,23238,23431,23094,23094,49380,SBV
2017-10-17,23142,23383,23142,23286,50740,SBV
2017-10-18,23238,23528,23142,23431,66380,SBV
2017-10-19,23286,23576,23286,23552,45090,SBV
2017-10-20,23383,23624,23383,23576,47830,SBV
2017-10-23,23431,23552,23045,23142,46890,SBV
2017-10-24,23045,23166,22901,23094,48460,SBV
2017-10-25,23142,23238,22997,23094,49370,SBV
2017-10-26,23045,23094,22901,22997,46530,SBV
2017-10-27,22997,23142,22997,23118,44990,SBV
2017-10-30,23118,23118,22515,22660,59970,SBV
2017-10-31,22853,22853,21985,22081,51210,SBV
2017-11-01,22129,22226,22081,22178,42490,SBV
2017-11-02,22178,22274,22033,22178,42130,SBV
2017-11-03,22081,22153,21695,21888,40830,SBV
2017-11-06,21888,21888,21551,21695,43730,SBV
2017-11-07,21647,21792,21551,21744,54070,SBV
2017-11-08,21647,22370,21647,22202,40030,SBV
2017-11-09,22202,22611,22202,22419,52690,SBV
2017-11-10,22274,22467,22226,22467,40360,SBV
2017-11-13,21985,22611,21985,22274,46370,SBV
2017-11-14,22226,22370,22153,22178,47950,SBV
2017-11-15,22178,22274,21985,22274,50170,SBV
2017-11-16,22178,22226,22033,22081,24750,SBV
2017-11-17,22178,22178,21912,22009,21300,SBV
2017-11-20,21888,22081,21888,21985,17610,SBV
2017-11-21,21985,22081,21936,22009,18450,SBV
2017-11-22,22009,22153,21936,22153,20140,SBV
2017-11-23,22178,22226,21599,21888,29610,SBV
2017-11-24,21840,21985,21551,21888,20090,SBV
2017-11-27,21840,22129,21551,22129,34710,SBV
2017-11-28,22428,22727,22229,22727,23360,SBV
2017-11-29,22727,23425,22628,23425,100900,SBV
2017-11-30,23375,23974,23226,23974,65750,SBV
2017-12-01,23674,23924,23425,23575,20810,SBV
2017-12-04,23625,23674,23425,23674,14750,SBV
2017-12-05,23475,23874,23425,23874,21170,SBV
2017-12-06,23924,23924,23674,23824,12850,SBV
2017-12-07,23824,23824,23774,23824,10470,SBV
2017-12-08,24023,24173,23674,24173,32570,SBV
2017-12-11,24023,24073,23924,23974,10060,SBV
2017-12-12,24073,24073,23674,23874,18490,SBV
2017-12-13,24023,24023,23176,23176,25820,SBV
2017-12-14,23824,23924,23824,23924,2170,SBV
2017-12-15,23924,24023,23924,23974,9810,SBV
2017-12-18,24023,24073,23924,23924,6830,SBV
2017-12-19,23974,23974,23924,23924,14620,SBV
2017-12-20,24389,24389,23924,23924,25730,SBV
2017-12-21,24123,24123,23924,23924,15130,SBV
2017-12-22,23326,23924,23326,23924,1910,SBV
2017-12-25,23924,23924,23857,23857,5000,SBV
2017-12-26,23924,23924,23425,23857,2430,SBV
2017-12-27,23857,23857,23458,23458,3520,SBV
2017-12-28,23425,23458,23425,23458,5980,SBV
2017-12-29,23658,23857,23458,23591,3160,SBV
2018-01-02,23591,23591,23425,23425,19900,SBV
2018-01-03,23425,23558,23259,23425,33910,SBV
