time,open,high,low,close,volume,ticker
2008-06-25,4479,4767,3359,4479,93900,SD4
2008-06-26,4255,4255,4223,4255,43000,SD4
2008-06-27,4415,4415,4383,4383,5000,SD4
2008-06-30,4543,4543,4383,4543,16300,SD4
2008-07-01,4351,4671,4351,4671,26500,SD4
2008-07-02,4831,4831,4511,4831,56000,SD4
2008-07-03,4991,4991,4991,4991,4500,SD4
2008-07-04,5183,5183,5183,5183,29300,SD4
2008-07-07,5375,5375,4991,5055,48300,SD4
2008-07-08,5023,5311,5023,5311,26700,SD4
2008-07-09,5279,5279,5183,5279,36400,SD4
2008-07-10,5471,5471,5375,5471,17200,SD4
2008-07-11,5663,5663,5663,5663,12800,SD4
2008-07-14,5887,5887,5887,5887,3000,SD4
2008-07-15,6111,6111,6111,6111,22600,SD4
2008-07-16,6335,6335,5887,6335,60000,SD4
2008-07-17,6527,6527,6527,6527,26200,SD4
2008-07-18,6783,6783,6271,6271,59400,SD4
2008-07-21,6719,6783,6399,6399,1400,SD4
2008-07-22,6495,6495,6495,6495,0,SD4
2008-07-23,6239,6239,6239,6239,400,SD4
2008-07-24,6015,6015,6015,6015,3300,SD4
2008-07-25,5791,5791,5791,5791,2000,SD4
2008-07-28,5567,5567,5567,5567,2300,SD4
2008-07-29,5375,5471,5375,5375,89600,SD4
2008-07-30,5183,5183,5183,5183,8800,SD4
2008-07-31,4991,4991,4991,4991,100,SD4
2008-08-01,4799,4799,4799,4799,1200,SD4
2008-08-04,4607,4607,4607,4607,200,SD4
2008-08-05,4447,4447,4447,4447,100,SD4
2008-08-06,4287,4447,4287,4287,32000,SD4
2008-08-07,4447,4447,4127,4127,17400,SD4
2008-08-08,3999,4287,3999,4159,24000,SD4
2008-08-11,4319,4319,4319,4319,600,SD4
2008-08-12,4479,4479,4319,4479,33700,SD4
2008-08-13,4543,4607,4543,4607,24200,SD4
2008-08-14,4639,4767,4639,4767,48000,SD4
2008-08-15,4927,4927,4927,4927,12400,SD4
2008-08-18,5247,5247,5119,5247,35200,SD4
2008-08-19,5439,5503,5023,5055,19400,SD4
2008-08-20,4863,4863,4863,4863,17500,SD4
2008-08-21,4543,5183,4543,5183,74500,SD4
2008-08-22,5311,5311,5215,5311,62300,SD4
2008-08-25,5599,5631,5599,5631,21800,SD4
2008-08-26,6015,6015,6015,6015,20700,SD4
2008-08-27,6431,6431,6399,6431,49900,SD4
2008-08-28,6399,6719,5983,5983,50700,SD4
2008-08-29,5759,6143,5759,6079,58500,SD4
2008-09-03,6175,6175,6175,6175,3500,SD4
2008-09-04,6591,6591,6399,6591,75700,SD4
2008-09-05,6719,7007,6559,7007,99500,SD4
2008-09-08,7454,7454,6495,6815,47900,SD4
2008-09-09,6719,7103,6655,7103,82900,SD4
2008-09-10,7550,7550,6591,6655,77800,SD4
2008-09-11,6719,6719,6655,6655,6600,SD4
2008-09-12,6207,6207,6207,6207,8700,SD4
2008-09-15,5791,6623,5791,6079,99800,SD4
2008-09-16,5599,5791,5567,5567,21400,SD4
2008-09-17,5183,5183,5183,5183,10600,SD4
2008-09-18,4831,4831,4831,4831,5900,SD4
2008-09-19,4511,5151,4511,5151,24600,SD4
2008-09-22,5119,5119,5119,5119,6500,SD4
2008-09-23,5439,5439,4767,5119,60400,SD4
2008-09-24,4767,5119,4735,4735,39700,SD4
2008-09-25,4895,5215,4895,5215,41800,SD4
2008-09-26,5471,5471,5119,5119,15800,SD4
2008-09-29,5695,5695,5023,5119,23400,SD4
2008-09-30,4799,4799,4799,4799,10300,SD4
2008-10-01,5087,5087,4767,4799,12400,SD4
2008-10-02,4799,5055,4799,4959,19900,SD4
2008-10-03,4863,4863,4799,4831,10800,SD4
2008-10-06,4831,4831,4511,4543,21200,SD4
2008-10-07,4223,4223,4223,4223,8300,SD4
2008-10-08,3935,4223,3935,3967,26900,SD4
2008-10-09,4127,4223,4127,4223,20100,SD4
2008-10-10,4223,4223,3935,3999,15600,SD4
2008-10-13,4415,4415,4127,4159,7200,SD4
2008-10-14,4447,4447,4447,4447,300,SD4
2008-10-15,4735,4735,4479,4671,10000,SD4
2008-10-16,4287,4479,4287,4287,17700,SD4
2008-10-17,4351,4479,4351,4383,2800,SD4
2008-10-20,4479,4479,4287,4447,5500,SD4
2008-10-21,4639,4639,4479,4511,8800,SD4
2008-10-22,4255,4383,4223,4287,4900,SD4
2008-10-23,4031,4159,4031,4031,7300,SD4
2008-10-24,3999,3999,3999,3999,2600,SD4
2008-10-27,3839,3871,3743,3743,19900,SD4
2008-10-28,3551,3583,3551,3583,22500,SD4
2008-10-29,3775,3775,3615,3775,23200,SD4
2008-10-30,4031,4031,3903,4031,10600,SD4
2008-10-31,4255,4255,4191,4255,14200,SD4
2008-11-03,4255,4287,3999,3999,7000,SD4
2008-11-04,4319,4479,4319,4479,37400,SD4
2008-11-05,4735,4735,4639,4735,24300,SD4
2008-11-06,4415,4671,4415,4415,20600,SD4
2008-11-07,4159,4319,4159,4159,12200,SD4
2008-11-10,4319,4319,3999,4031,7700,SD4
2008-11-11,3839,3935,3839,3839,22500,SD4
2008-11-12,3615,3967,3615,3871,4600,SD4
2008-11-13,3583,3999,3583,3999,9000,SD4
2008-11-14,4127,4159,3839,3999,4700,SD4
