time,open,high,low,close,volume,ticker
2010-03-10,24281,31218,24281,28885,203900,SDB
2010-03-11,30272,30272,28317,28317,47300,SDB
2010-03-12,28380,28380,26804,26804,26800,SDB
2010-03-15,25227,25858,25164,25164,71300,SDB
2010-03-16,23650,23966,23461,23461,93300,SDB
2010-03-17,22515,24281,21947,24281,72700,SDB
2010-03-18,24785,24912,24596,24912,19400,SDB
2010-03-19,26551,26551,25290,25795,73700,SDB
2010-03-22,26930,26930,24659,24659,19200,SDB
2010-03-23,23524,24029,23209,23209,46300,SDB
2010-03-24,23713,24155,23713,23966,26700,SDB
2010-03-25,23335,23398,22326,22452,14200,SDB
2010-03-26,22704,23209,22641,22641,23300,SDB
2010-03-29,22704,23272,22074,22704,15100,SDB
2010-03-30,22893,22956,22641,22641,20400,SDB
2010-03-31,22830,22830,21758,22074,4800,SDB
2010-04-01,21443,22074,21317,21317,17600,SDB
2010-04-02,22074,22074,21127,21380,28200,SDB
2010-04-05,21632,22074,21506,21695,13200,SDB
2010-04-06,22578,22704,21632,21695,21500,SDB
2010-04-07,20560,22074,20560,21443,29100,SDB
2010-04-08,21758,22704,20938,22389,37000,SDB
2010-04-09,23209,23209,22389,22641,53100,SDB
2010-04-12,22704,23650,22578,23083,72600,SDB
2010-04-13,23083,23083,22200,22389,35500,SDB
2010-04-14,21506,22704,21506,22389,29000,SDB
2010-04-15,22074,22956,22074,22200,35300,SDB
2010-04-16,22389,22704,22263,22452,54700,SDB
2010-04-19,21884,21884,21064,21569,60100,SDB
2010-04-20,22389,22389,21632,22010,42900,SDB
2010-04-21,21443,23587,21443,23587,149600,SDB
2010-04-22,23650,24533,22200,22389,46400,SDB
2010-04-26,22704,23146,22137,22452,27000,SDB
2010-04-27,22200,22452,22074,22263,24500,SDB
2010-04-28,22074,22389,21947,22200,38000,SDB
2010-04-29,22704,23650,22515,23650,78900,SDB
2010-05-04,23966,23966,23209,23398,114000,SDB
2010-05-05,22767,23461,22704,22704,38300,SDB
2010-05-06,23209,23209,22452,22767,39100,SDB
2010-05-07,22704,23020,22389,22767,75300,SDB
2010-05-10,22704,23020,22074,22704,62700,SDB
2010-05-11,23335,24281,23335,24281,159500,SDB
2010-05-12,24912,25668,24912,25668,257200,SDB
2010-05-13,27245,27245,24029,25227,53100,SDB
2010-05-14,25542,25731,23776,23776,42000,SDB
2010-05-17,24029,24281,22578,22704,38400,SDB
2010-05-18,22389,22389,21695,22074,41700,SDB
2010-05-19,21884,21884,20371,20371,49200,SDB
2010-05-20,21127,21947,19866,21443,36900,SDB
2010-05-21,21443,21443,19740,19740,50300,SDB
2010-05-24,20181,20181,18920,19551,22700,SDB
2010-05-25,18920,18920,18163,18289,54700,SDB
2010-05-26,18920,19803,18542,19803,37000,SDB
2010-05-27,19551,19551,18920,19235,14300,SDB
2010-05-28,20181,20497,19677,20497,60200,SDB
2010-05-31,19235,19425,18983,18983,11500,SDB
2010-06-01,18289,19109,18163,18352,18500,SDB
2010-06-02,18920,19614,18794,19488,21300,SDB
2010-06-03,20118,20308,19172,19298,12800,SDB
2010-06-04,20118,20118,18920,18920,20200,SDB
2010-06-07,18163,18163,17911,17974,40000,SDB
2010-06-08,18605,18605,18226,18542,7100,SDB
2010-06-09,18920,19046,18226,18226,6900,SDB
2010-06-10,19109,19109,18289,18289,8700,SDB
2010-06-11,19235,19425,18605,18920,19800,SDB
2010-06-14,18983,19551,18920,19298,23800,SDB
2010-06-15,19803,19803,19109,19298,9900,SDB
2010-06-16,19929,20497,19551,19551,34500,SDB
2010-06-17,19298,20118,19298,19740,16400,SDB
2010-06-18,19866,19866,19551,19740,20600,SDB
2010-06-21,19362,20181,19235,19929,35500,SDB
2010-06-22,19992,20181,19614,20181,73400,SDB
2010-06-23,19992,20812,19992,20812,67700,SDB
2010-06-24,20812,21821,20812,21821,82900,SDB
2010-06-25,21127,21758,20812,21064,26600,SDB
2010-06-28,21317,21317,20434,21254,26500,SDB
2010-06-29,21443,21569,21001,21443,35200,SDB
2010-06-30,19740,21127,19740,20686,27500,SDB
2010-07-01,21127,21191,20497,20497,32100,SDB
2010-07-02,21443,21443,20245,20497,12800,SDB
2010-07-05,20749,20749,19992,20623,16300,SDB
2010-07-06,20434,20434,19803,19803,5900,SDB
2010-07-07,20181,20371,19551,20055,5700,SDB
2010-07-08,20812,20812,19046,19298,7600,SDB
2010-07-09,20055,20055,19551,19551,2500,SDB
2010-07-12,20055,20055,19614,19614,14700,SDB
2010-07-13,20812,20812,19803,20812,32900,SDB
2010-07-14,21443,21443,20181,20181,8700,SDB
2010-07-15,19866,20623,19551,20497,20600,SDB
2010-07-16,20560,20560,19740,20245,25400,SDB
2010-07-19,20434,20434,19677,19677,35900,SDB
2010-07-20,19740,19992,19551,19803,36900,SDB
2010-07-21,20434,20434,19551,19551,7900,SDB
2010-07-22,18920,19992,18920,19992,7000,SDB
2010-07-23,19488,19866,19362,19551,14000,SDB
2010-07-26,19614,19614,19551,19551,13800,SDB
2010-07-27,19551,19551,19551,19551,15400,SDB
2010-07-28,20181,20181,18289,18542,26900,SDB
2010-07-29,19235,19235,17974,19235,10000,SDB
2010-07-30,18920,19425,18605,18920,13900,SDB
2010-08-02,19109,19109,19109,19109,100,SDB
2010-08-03,19235,19235,18289,18289,6900,SDB
2010-08-04,18163,18289,18163,18289,4200,SDB
2010-08-05,17974,18226,17974,17974,6600,SDB
2010-08-06,17974,18289,17848,17848,5500,SDB
