time,open,high,low,close,volume,ticker
2006-12-25,7341,7341,6540,6767,2800,SDC
2006-12-26,6767,6767,6767,6767,0,SDC
2006-12-27,6406,6740,6273,6273,4000,SDC
2006-12-28,6420,6420,6420,6420,0,SDC
2006-12-29,6420,6420,6420,6420,0,SDC
2007-01-02,6420,6420,6420,6420,0,SDC
2007-01-03,6420,6420,6420,6420,0,SDC
2007-01-04,6406,6406,6406,6406,1400,SDC
2007-01-05,6406,6406,6406,6406,0,SDC
2007-01-08,6406,6406,6406,6406,0,SDC
2007-01-09,6406,6406,6273,6273,3500,SDC
2007-01-10,6406,6406,6406,6406,3000,SDC
2007-01-11,6273,6393,6273,6393,2200,SDC
2007-01-12,6420,6420,6420,6420,2700,SDC
2007-01-15,6393,6393,6340,6393,2300,SDC
2007-01-16,6380,6473,6380,6433,4300,SDC
2007-01-17,6540,6540,6540,6540,100,SDC
2007-01-18,6607,6673,6607,6673,2000,SDC
2007-01-19,6807,6807,6807,6807,500,SDC
2007-01-22,6940,6940,6874,6940,3900,SDC
2007-01-23,6940,7074,6940,6954,6200,SDC
2007-01-24,7074,7141,7007,7074,3400,SDC
2007-01-25,7207,7274,7141,7274,1300,SDC
2007-01-26,7181,7181,7181,7181,0,SDC
2007-01-29,7341,7341,7341,7341,100,SDC
2007-01-30,8075,8075,8075,8075,400,SDC
2007-01-31,8876,8876,8876,8876,14100,SDC
2007-02-01,9757,9757,9757,9757,200,SDC
2007-02-02,10731,10731,10731,10731,1200,SDC
2007-02-05,11799,11799,11799,11799,500,SDC
2007-02-06,12974,12974,12974,12974,6200,SDC
2007-02-07,14015,14268,14015,14268,11800,SDC
2007-02-08,15616,15616,15616,15616,2200,SDC
2007-02-09,15616,15616,15616,15616,3000,SDC
2007-02-12,15616,15616,14055,14055,2000,SDC
2007-02-13,14415,14415,13614,13614,5000,SDC
2007-02-14,13935,14268,13935,14268,300,SDC
2007-02-15,15216,15216,15216,15216,200,SDC
2007-02-26,15750,16738,15750,16417,5300,SDC
2007-02-27,17872,17872,17085,17352,1300,SDC
2007-02-28,19100,19100,17352,17352,600,SDC
2007-03-01,16951,16951,16951,16951,500,SDC
2007-03-02,16951,18419,16951,18019,2000,SDC
2007-03-05,18686,18686,17752,17752,800,SDC
2007-03-06,17352,17752,17352,17752,1200,SDC
2007-03-07,17285,17285,17285,17285,500,SDC
2007-03-08,16004,16017,16004,16017,1600,SDC
2007-03-09,15750,15750,15616,15616,700,SDC
2007-03-12,15616,15616,14108,14108,1100,SDC
2007-03-13,14015,14015,13094,13094,2200,SDC
2007-03-14,13080,13521,13080,13481,4200,SDC
2007-03-15,14695,14695,12546,13481,3100,SDC
2007-03-16,14295,14295,14295,14295,1000,SDC
2007-03-19,15083,15083,15083,15083,1900,SDC
2007-03-20,13614,13614,13614,13614,400,SDC
2007-03-21,14949,14976,14015,14015,2400,SDC
2007-03-22,13881,13881,13267,13267,2200,SDC
2007-03-23,13347,14282,12453,12453,5600,SDC
2007-03-26,14535,14535,13347,13347,5000,SDC
2007-03-27,12693,12693,12693,12693,2300,SDC
2007-03-28,12013,12013,12013,12013,500,SDC
2007-03-29,13214,13214,13214,13214,200,SDC
2007-03-30,14535,14535,13347,13347,2200,SDC
2007-04-02,14055,14055,14055,14055,0,SDC
2007-04-03,14055,14055,14055,14055,0,SDC
2007-04-04,12653,12653,12653,12653,400,SDC
2007-04-05,12653,12653,12653,12653,0,SDC
2007-04-06,12013,12013,12013,12013,1000,SDC
2007-04-09,12013,12013,12013,12013,300,SDC
2007-04-10,12013,12013,12013,12013,0,SDC
2007-04-11,12013,12013,12013,12013,0,SDC
2007-04-12,12013,13214,12013,13214,2600,SDC
2007-04-13,13347,13347,12546,12546,900,SDC
2007-04-16,12680,12680,12013,12013,600,SDC
2007-04-17,11879,11879,11746,11746,700,SDC
2007-04-18,10611,10611,10611,10611,1100,SDC
2007-04-19,10811,10945,10678,10811,2900,SDC
2007-04-20,10758,10758,10758,10758,0,SDC
2007-04-23,11078,11679,11078,11679,1000,SDC
2007-04-24,10678,10678,10411,10411,1500,SDC
2007-04-25,10678,10678,10678,10678,100,SDC
2007-05-02,10678,10678,10678,10678,0,SDC
2007-05-03,10945,10945,10945,10945,600,SDC
2007-05-04,10945,10945,10945,10945,0,SDC
2007-05-07,10945,10945,10945,10945,0,SDC
2007-05-08,10678,10678,10277,10277,4000,SDC
2007-05-09,10678,10945,10678,10945,400,SDC
2007-05-10,10411,10411,10411,10411,200,SDC
2007-05-11,10277,10277,10277,10277,100,SDC
2007-05-14,10277,10277,10277,10277,0,SDC
2007-05-15,10277,10277,10277,10277,0,SDC
2007-05-16,10277,10277,10277,10277,0,SDC
