time,open,high,low,close,volume,ticker
2009-12-22,5031,5031,4193,4193,11700,SDG
2009-12-23,4193,4193,4193,4193,1000,SDG
2009-12-24,4193,4193,4025,4193,1900,SDG
2009-12-25,4193,4277,4109,4109,6400,SDG
2009-12-28,4210,4210,4193,4193,11700,SDG
2009-12-29,4210,4210,4109,4109,5400,SDG
2009-12-30,3857,4210,3857,3958,8600,SDG
2009-12-31,4193,4226,4193,4193,21400,SDG
2010-01-04,4277,4495,4277,4495,49900,SDG
2010-01-05,4713,4713,4696,4696,37700,SDG
2010-01-06,4730,4864,4444,4713,12300,SDG
2010-01-07,4780,4780,4327,4327,5100,SDG
2010-01-08,4243,4394,4226,4226,17800,SDG
2010-01-11,4008,4025,4008,4025,900,SDG
2010-01-12,3757,4210,3757,3857,14400,SDG
2010-01-13,3757,4293,3757,4193,14900,SDG
2010-01-14,3891,4277,3891,4193,26600,SDG
2010-01-15,3924,4210,3924,4210,8500,SDG
2010-01-18,3908,4293,3908,4193,38400,SDG
2010-01-19,3908,4277,3908,4226,5000,SDG
2010-01-20,4226,4512,4226,4512,59600,SDG
2010-01-21,4763,4763,4528,4763,26900,SDG
2010-01-22,5031,5082,4696,4847,13800,SDG
2010-01-25,4696,4864,4595,4612,6800,SDG
2010-01-26,4612,4696,4461,4662,26100,SDG
2010-01-27,4696,4730,4344,4394,8100,SDG
2010-01-28,4361,4361,4260,4260,4200,SDG
2010-01-29,4042,4293,4008,4293,12200,SDG
2010-02-01,4059,4277,4059,4277,2300,SDG
2010-02-02,4428,4428,4210,4226,3200,SDG
2010-02-03,4260,4260,4260,4260,1700,SDG
2010-02-04,4528,4528,4210,4495,800,SDG
2010-02-05,4662,4662,4243,4277,9300,SDG
2010-02-08,4260,4277,4109,4109,3300,SDG
2010-02-09,4210,4210,4159,4159,4000,SDG
2010-02-10,4210,4210,4025,4059,7500,SDG
2010-02-11,3958,3958,3958,3958,1300,SDG
2010-02-12,4210,4226,4210,4226,5000,SDG
2010-02-22,4512,4512,4411,4411,900,SDG
2010-02-23,4361,4361,4361,4361,100,SDG
2010-02-24,4361,4361,4109,4277,2400,SDG
2010-02-25,4277,4277,4193,4193,1400,SDG
2010-02-26,4126,4293,4109,4293,1100,SDG
2010-03-01,4394,4394,4394,4394,300,SDG
2010-03-02,4361,4361,4361,4361,2000,SDG
2010-03-03,4428,4428,4361,4428,3800,SDG
2010-03-04,4444,4444,4361,4361,7800,SDG
2010-03-05,4193,4361,4193,4361,1000,SDG
2010-03-08,4495,4629,4495,4528,15300,SDG
2010-03-09,4528,4579,4512,4562,13200,SDG
2010-03-10,4528,4562,4444,4562,14200,SDG
2010-03-11,4612,4813,4528,4730,15800,SDG
2010-03-12,4897,5048,4897,4964,8100,SDG
2010-03-15,5283,5283,4780,4998,12500,SDG
2010-03-16,4964,4964,4545,4545,11100,SDG
2010-03-17,4277,4864,4277,4696,21500,SDG
2010-03-18,4528,4830,4528,4830,13900,SDG
2010-03-19,4545,4746,4545,4696,12900,SDG
2010-03-22,5031,5031,4948,5031,37800,SDG
2010-03-23,5350,5350,5350,5350,26900,SDG
2010-03-24,5719,5719,5501,5551,37000,SDG
2010-03-25,5619,5619,5250,5283,24400,SDG
2010-03-26,5367,5702,5367,5686,50500,SDG
2010-03-29,5686,5686,5367,5501,5600,SDG
2010-03-30,5451,5451,5417,5434,7700,SDG
2010-03-31,5434,5702,5384,5384,47400,SDG
2010-04-01,5417,5518,5384,5451,5800,SDG
2010-04-02,5434,5434,5434,5434,1700,SDG
2010-04-05,5451,5451,5434,5451,5400,SDG
2010-04-06,5451,5535,5451,5535,9600,SDG
2010-04-07,5686,5702,5484,5702,8700,SDG
2010-04-08,5535,5920,5535,5920,32400,SDG
2010-04-09,6122,6206,6038,6206,19600,SDG
2010-04-12,6122,6373,6122,6373,2000,SDG
2010-04-13,6407,6524,6289,6373,9100,SDG
2010-04-14,6440,6457,5937,6357,15100,SDG
2010-04-15,6524,6524,5719,5786,14400,SDG
2010-04-16,6172,6206,5468,6038,7300,SDG
2010-04-19,6206,6206,5954,6172,2100,SDG
2010-04-20,6357,6357,5971,6172,4900,SDG
2010-04-21,6457,6457,6206,6373,12600,SDG
2010-04-22,6776,6776,6457,6709,59500,SDG
2010-04-26,7162,7162,6558,6793,6200,SDG
2010-04-27,6675,6675,6474,6474,600,SDG
2010-04-28,6709,6927,6491,6692,15600,SDG
2010-04-29,6776,6776,6357,6541,16000,SDG
2010-05-04,6776,6776,6575,6642,14900,SDG
2010-05-05,6709,6742,6709,6742,8200,SDG
2010-05-06,6726,6726,6625,6642,4100,SDG
2010-05-07,6658,6658,6289,6289,900,SDG
2010-05-10,6440,6440,6088,6088,4300,SDG
2010-05-11,6373,6373,6373,6373,900,SDG
2010-05-12,6407,6407,6289,6289,1700,SDG
2010-05-13,6407,6407,5920,5920,4300,SDG
2010-05-14,6071,6071,6071,6071,4300,SDG
2010-05-17,6172,6172,5652,5652,4600,SDG
2010-05-18,5920,6021,5870,5920,32400,SDG
2010-05-19,5870,6004,5518,5518,14200,SDG
2010-05-20,5619,5619,5619,5619,2000,SDG
2010-05-21,5250,5250,5233,5233,34300,SDG
2010-05-24,5501,5535,5451,5451,5100,SDG
2010-05-25,5551,5551,5451,5451,1400,SDG
2010-05-26,5535,5535,5535,5535,1000,SDG
2010-05-27,5870,5870,5870,5870,600,SDG
2010-05-28,6038,6038,5702,5702,3600,SDG
2010-05-31,5954,5954,5954,5954,0,SDG
2010-06-01,5954,5954,5954,5954,0,SDG
2010-06-02,5786,5786,5551,5551,200,SDG
2010-06-03,5669,5669,5669,5669,0,SDG
2010-06-04,5367,5367,5283,5283,3600,SDG
2010-06-07,5669,5669,4931,4931,3400,SDG
2010-06-08,5350,5350,5350,5350,1000,SDG
2010-06-09,5367,5669,5233,5669,5900,SDG
2010-06-10,5535,5535,5535,5535,100,SDG
2010-06-11,5166,5166,5166,5166,300,SDG
2010-06-14,5199,5451,5199,5451,5300,SDG
2010-06-15,5702,5702,5367,5367,2500,SDG
2010-06-16,5182,5182,5182,5182,600,SDG
2010-06-17,5199,5535,5199,5535,8000,SDG
2010-06-18,5367,5619,5367,5619,13600,SDG
2010-06-21,5451,5619,5451,5619,4700,SDG
2010-06-22,5702,5971,5367,5971,14500,SDG
2010-06-23,5837,6155,5803,5870,13000,SDG
2010-06-24,6241,6263,6219,6263,8100,SDG
2010-06-25,6547,6547,6438,6438,1900,SDG
2010-06-28,6699,6699,6438,6438,700,SDG
2010-06-29,6983,7027,6328,6328,2400,SDG
2010-06-30,6132,6154,6132,6132,2000,SDG
2010-07-01,5914,5914,5892,5892,5300,SDG
2010-07-02,5674,5783,5674,5761,4200,SDG
2010-07-05,5455,6110,5346,5892,2000,SDG
2010-07-06,5696,5848,5696,5826,4500,SDG
2010-07-07,6110,6110,5739,5783,3100,SDG
2010-07-08,5674,6176,5674,6176,17200,SDG
2010-07-09,5783,5783,5783,5783,1000,SDG
2010-07-12,6132,6132,6132,6132,900,SDG
2010-07-13,5717,6481,5717,6132,4800,SDG
2010-07-14,6001,6328,6001,6219,6400,SDG
2010-07-15,6154,6154,6154,6154,0,SDG
2010-07-16,6154,6154,6154,6154,0,SDG
2010-07-19,5892,5892,5892,5892,2500,SDG
2010-07-20,6110,6285,6110,6285,9600,SDG
2010-07-21,6547,6590,6110,6590,9900,SDG
2010-07-22,6721,6721,6721,6721,100,SDG
2010-07-23,6547,6547,6547,6547,100,SDG
2010-07-26,6110,6110,6110,6110,500,SDG
2010-07-27,6110,6154,6001,6154,18600,SDG
2010-07-28,6110,6154,6110,6154,5600,SDG
2010-07-29,6132,6132,6132,6132,0,SDG
2010-07-30,6132,6132,6132,6132,0,SDG
2010-08-02,5914,5914,5892,5892,200,SDG
2010-08-03,5892,5914,5892,5914,2100,SDG
2010-08-04,5848,5914,5783,5914,4900,SDG
2010-08-05,5892,6285,5892,6285,13100,SDG
2010-08-06,6656,6656,6110,6110,5800,SDG
2010-08-09,6590,6590,6001,6001,2400,SDG
2010-08-10,5826,6525,5805,6525,1300,SDG
2010-08-11,5914,6023,5892,6023,2300,SDG
2010-08-12,5957,5957,5957,5957,0,SDG
2010-08-13,5936,6372,5936,6372,5100,SDG
2010-08-16,6394,6394,6394,6394,100,SDG
2010-08-17,6438,6438,6438,6438,100,SDG
2010-08-18,6110,6110,6110,6110,100,SDG
2010-08-19,6110,6110,6110,6110,100,SDG
2010-08-20,6110,6110,6110,6110,0,SDG
2010-08-23,6110,6110,6110,6110,0,SDG
2010-08-24,5892,6088,5892,6088,400,SDG
2010-08-25,5892,5892,5892,5892,900,SDG
2010-08-26,5892,5892,5674,5674,2100,SDG
2010-08-27,5783,5783,5783,5783,100,SDG
2010-08-30,5783,5783,5783,5783,0,SDG
2010-08-31,6176,6176,6176,6176,2100,SDG
2010-09-01,6176,6176,6176,6176,0,SDG
2010-09-06,6176,6176,6176,6176,0,SDG
2010-09-07,6110,6110,5892,5892,400,SDG
2010-09-08,5826,5826,5826,5826,200,SDG
2010-09-09,6219,6219,6219,6219,400,SDG
2010-09-10,6525,6525,6525,6525,100,SDG
2010-09-13,6219,6219,6219,6219,500,SDG
2010-09-14,6241,6634,6241,6634,2400,SDG
2010-09-15,7005,7005,7005,7005,100,SDG
2010-09-16,6983,6983,6983,6983,200,SDG
2010-09-17,7201,7201,7201,7201,100,SDG
2010-09-20,7201,7201,7201,7201,0,SDG
2010-09-21,7201,7201,7201,7201,0,SDG
2010-09-22,7201,7201,7201,7201,0,SDG
2010-09-23,7638,7638,7638,7638,100,SDG
2010-09-24,7638,7638,7638,7638,0,SDG
2010-09-27,7638,7638,7638,7638,0,SDG
2010-09-28,8162,8162,8162,8162,100,SDG
2010-09-29,8162,8162,8162,8162,0,SDG
2010-09-30,8074,8074,7965,7965,300,SDG
2010-10-01,8009,8009,8009,8009,0,SDG
