time,open,high,low,close,volume,ticker
2009-04-15,9620,9620,7321,8016,50200,SDP
2009-04-16,8658,8764,8551,8764,72100,SDP
2009-04-17,9299,9299,8444,8711,40500,SDP
2009-04-20,8551,8551,8551,8551,16400,SDP
2009-04-21,7963,7963,7963,7963,1500,SDP
2009-04-22,7428,8444,7428,8016,29000,SDP
2009-04-23,7909,7909,7108,7108,11000,SDP
2009-04-24,6680,6680,6680,6680,6000,SDP
2009-04-27,6253,6894,6253,6413,14500,SDP
2009-04-28,6840,6840,6680,6680,2300,SDP
2009-04-29,7108,7108,6573,6573,8200,SDP
2009-05-04,7054,7054,7054,7054,3000,SDP
2009-05-05,7535,7535,7215,7428,42900,SDP
2009-05-06,7482,7482,7001,7001,12000,SDP
2009-05-07,7535,7535,6627,6734,14600,SDP
2009-05-08,6680,6947,6520,6520,12900,SDP
2009-05-11,6627,6627,6306,6466,13500,SDP
2009-05-12,6306,6840,6146,6840,23500,SDP
2009-05-13,7108,7108,6894,7108,47000,SDP
2009-05-14,7215,7215,7108,7108,40800,SDP
2009-05-15,7482,7589,6680,7589,50700,SDP
2009-05-18,7963,7963,7482,7856,52400,SDP
2009-05-19,8283,8283,7856,7856,18300,SDP
2009-05-20,7963,7963,7482,7642,23400,SDP
2009-05-21,7749,8177,7749,8177,78700,SDP
2009-05-22,8283,8390,7749,8070,60100,SDP
2009-05-25,8283,8604,8283,8604,76500,SDP
2009-05-26,8818,9139,8551,8551,78700,SDP
2009-05-27,8711,8818,8177,8230,53100,SDP
2009-05-28,8871,8871,7856,7909,34200,SDP
2009-05-29,7482,8337,7482,8016,42700,SDP
2009-06-01,8337,8551,8337,8551,49500,SDP
2009-06-02,9085,9085,9085,9085,77400,SDP
2009-06-03,9673,9673,9139,9673,155400,SDP
2009-06-04,10314,10314,10314,10314,26200,SDP
2009-06-05,11009,11009,11009,11009,35600,SDP
2009-06-08,11757,11757,11757,11757,15200,SDP
2009-06-09,12559,12559,12559,12559,58800,SDP
2009-06-10,13414,13414,11704,13414,460400,SDP
2009-06-11,14162,14162,14002,14162,108900,SDP
2009-06-12,15124,15124,14483,15124,180300,SDP
2009-06-15,15498,16140,14430,16140,276500,SDP
2009-06-16,14964,14964,14483,14483,95300,SDP
2009-06-17,13521,14162,13521,14162,112000,SDP
2009-06-18,14376,14430,13521,14430,103200,SDP
2009-06-19,14697,15178,13254,14269,87100,SDP
2009-06-22,14162,14162,13200,13200,33800,SDP
2009-06-23,12345,12345,12345,12345,4100,SDP
2009-06-24,11490,13147,11490,12506,64600,SDP
2009-06-25,13361,13361,11757,11757,53200,SDP
2009-06-26,11116,11223,11063,11063,78100,SDP
2009-06-29,11063,11063,10528,10528,27800,SDP
2009-06-30,10742,10742,9994,10101,37900,SDP
2009-07-01,9620,9620,9459,9459,30200,SDP
2009-07-02,9352,10154,8978,9620,41600,SDP
2009-07-03,9299,9833,9192,9780,20300,SDP
2009-07-06,10207,10261,10154,10261,3100,SDP
2009-07-07,10902,10902,10207,10261,24500,SDP
2009-07-08,10047,10421,9940,9940,7900,SDP
2009-07-09,10421,10849,10421,10849,31500,SDP
2009-07-10,11116,11490,11116,11490,65400,SDP
2009-07-13,11757,11757,10688,10688,32500,SDP
2009-07-14,11704,11704,10368,10688,33400,SDP
2009-07-15,11116,11116,10635,10635,16200,SDP
2009-07-16,11223,11544,10956,10956,18500,SDP
2009-07-17,10956,10956,10475,10475,19400,SDP
2009-07-20,9994,9994,9887,9940,20600,SDP
2009-07-21,10154,10154,9780,9887,9600,SDP
2009-07-22,9887,9887,9780,9887,7900,SDP
2009-07-23,9726,10475,9192,10154,28000,SDP
2009-07-24,10475,10475,10475,10475,9300,SDP
2009-07-27,11169,11169,10688,10849,45600,SDP
2009-07-28,11490,11490,10314,10314,38200,SDP
2009-07-29,9887,10688,9726,9940,21100,SDP
2009-07-30,9620,9994,9620,9887,6300,SDP
2009-07-31,10047,10528,10047,10154,19500,SDP
2009-08-03,9994,10421,9940,9940,4900,SDP
2009-08-04,10101,10154,9833,10047,8600,SDP
2009-08-05,10475,10475,9780,10154,13100,SDP
2009-08-06,10261,10314,9994,10207,5800,SDP
2009-08-07,10154,10314,9994,10207,20100,SDP
2009-08-10,9994,10795,9940,10261,44700,SDP
2009-08-11,10207,10902,9994,10902,61500,SDP
2009-08-12,11009,11490,10688,10742,24300,SDP
2009-08-13,10956,11223,10421,10421,10800,SDP
2009-08-14,10688,11223,10368,10421,14100,SDP
2009-08-17,10154,10902,9994,10902,36000,SDP
2009-08-18,10154,11009,10047,11009,85000,SDP
2009-08-19,11437,11437,11437,11437,24700,SDP
2009-08-20,12185,12185,12185,12185,20300,SDP
2009-08-21,12987,12987,12185,12292,324700,SDP
2009-08-24,12933,12933,12078,12078,99100,SDP
2009-08-25,12025,12025,11437,11757,41600,SDP
2009-08-26,11757,12025,11383,11757,43400,SDP
2009-08-27,12292,12506,11757,12506,101000,SDP
2009-08-28,13254,13254,12826,13254,255800,SDP
2009-08-31,14109,14109,13200,13681,109200,SDP
2009-09-01,13361,13361,12719,12880,97000,SDP
2009-09-03,12345,12559,12025,12292,100600,SDP
2009-09-04,12559,12719,11490,12025,74700,SDP
2009-09-07,11223,11918,11116,11811,52800,SDP
2009-09-08,12238,12345,12238,12345,100600,SDP
2009-09-09,13200,13200,12880,13200,230800,SDP
2009-09-10,14055,14055,13040,13735,211000,SDP
2009-09-11,13895,14323,13842,14323,602900,SDP
2009-09-14,15231,15231,14750,15071,267300,SDP
2009-09-15,15124,15124,14109,14376,238000,SDP
2009-09-16,14323,14750,13895,13895,207200,SDP
2009-09-17,14109,14269,13361,13735,163500,SDP
2009-09-18,13895,14590,13895,14590,131900,SDP
2009-09-21,15498,15498,14430,15071,308300,SDP
2009-09-22,14964,15445,14643,14911,303500,SDP
2009-09-23,14964,15231,13842,13949,239900,SDP
2009-09-24,14430,14430,13788,13788,132900,SDP
2009-09-25,13628,14430,13628,14269,123900,SDP
2009-09-28,14430,14430,13842,14002,77700,SDP
2009-09-29,14162,14162,13842,14109,116600,SDP
2009-09-30,14216,14964,14109,14964,403100,SDP
2009-10-01,15498,15766,14162,14964,202800,SDP
2009-10-02,14430,14857,14216,14857,109800,SDP
2009-10-05,14804,14804,13895,14697,50300,SDP
2009-10-06,14697,14857,14162,14430,71500,SDP
2009-10-07,14964,15392,14964,15392,314800,SDP
2009-10-08,15498,16407,15285,16407,287400,SDP
2009-10-09,17048,17048,17048,17048,50900,SDP
2009-10-12,18224,18224,18224,18224,7800,SDP
2009-10-13,19453,19453,19453,19453,21600,SDP
2009-10-14,20789,20789,20789,20789,126000,SDP
2009-10-15,22232,22232,22232,22232,29100,SDP
2009-10-16,23782,23782,22232,23515,1132000,SDP
2009-10-19,25172,25172,24691,25172,259200,SDP
2009-10-20,26829,26829,26455,26829,146600,SDP
2009-10-21,28592,28646,27256,28646,606500,SDP
2009-10-22,29875,30409,29394,30409,437900,SDP
2009-10-23,32387,32387,28218,28218,233800,SDP
2009-10-26,26615,26615,26615,26615,28100,SDP
2009-10-27,24798,24798,24798,24798,8600,SDP
2009-10-28,23088,24798,23088,23515,573800,SDP
2009-10-29,21645,22713,21645,21645,207900,SDP
2009-10-30,22553,23194,22553,23194,179800,SDP
2009-11-02,21912,21912,21538,21538,51500,SDP
2009-11-03,20308,21591,20095,20095,49700,SDP
2009-11-04,18812,19774,18812,18812,125800,SDP
2009-11-05,19026,20041,17743,19400,347900,SDP
2009-11-06,20095,20095,19240,20095,182900,SDP
2009-11-09,20095,20095,18491,18491,136600,SDP
2009-11-10,17636,19240,17262,17903,101400,SDP
2009-11-11,17743,18545,17155,18171,72500,SDP
2009-11-12,18919,19079,18224,19079,118200,SDP
2009-11-13,18865,20148,18865,20148,325900,SDP
2009-11-16,21324,21377,20736,21377,247000,SDP
2009-11-17,22874,22874,21110,21110,227400,SDP
2009-11-18,21377,21912,20576,21377,362600,SDP
2009-11-19,21645,21858,20576,21164,132000,SDP
2009-11-20,21377,21377,20308,20683,101700,SDP
2009-11-23,20576,20843,19400,19560,127000,SDP
2009-11-24,18919,20576,18652,18919,114300,SDP
2009-11-25,17903,18705,17743,17743,58300,SDP
2009-11-26,17743,17743,16567,16567,7200,SDP
2009-11-27,15498,17102,15498,15498,248500,SDP
2009-11-30,15498,16140,15231,16033,108800,SDP
2009-12-01,16567,16728,16567,16728,110100,SDP
2009-12-02,17422,17422,15605,15766,86300,SDP
2009-12-03,15231,15766,15017,15552,102400,SDP
2009-12-04,15392,15605,14964,15285,18900,SDP
2009-12-07,15498,15766,14964,15498,58700,SDP
2009-12-08,15498,15498,14483,14643,37500,SDP
2009-12-09,13895,13895,13788,13788,41500,SDP
2009-12-10,13949,13949,12826,12826,83200,SDP
2009-12-11,12292,12292,12078,12078,81400,SDP
2009-12-14,12078,12880,11544,12292,74500,SDP
2009-12-15,12452,12559,11757,12185,48600,SDP
2009-12-16,11757,11757,11330,11330,51600,SDP
2009-12-17,10742,11223,10582,10849,97500,SDP
2009-12-18,11223,11330,11223,11330,63400,SDP
2009-12-21,12078,12078,12025,12078,17000,SDP
2009-12-22,12880,12880,12078,12666,218600,SDP
2009-12-23,12292,13681,12292,13681,150900,SDP
2009-12-24,14002,14162,13628,14162,103300,SDP
2009-12-25,15017,15017,14964,15017,27900,SDP
2009-12-28,16033,16033,15017,16033,218900,SDP
2009-12-29,15552,16354,14964,15017,190200,SDP
2009-12-30,15017,16354,14430,16354,189600,SDP
2009-12-31,16995,17048,16300,17048,160200,SDP
2010-01-04,18171,18171,17636,18171,45600,SDP
2010-01-05,19400,19400,19400,19400,19600,SDP
2010-01-06,20736,20736,19827,20736,386800,SDP
2010-01-07,20308,21377,19293,19293,318600,SDP
2010-01-08,19774,21431,19240,20308,369600,SDP
2010-01-11,21270,21270,19346,19560,99900,SDP
2010-01-12,20843,20843,18331,18331,215900,SDP
2010-01-13,18865,20041,17583,19240,146100,SDP
2010-01-14,19186,19400,18705,19400,175500,SDP
2010-01-15,19774,19774,18491,18705,59300,SDP
2010-01-18,17957,18438,17743,17743,87300,SDP
2010-01-19,16835,17903,16567,17636,117200,SDP
2010-01-20,18759,18759,17975,18433,155600,SDP
2010-01-21,18955,18955,17387,17387,43000,SDP
2010-01-22,16472,17583,16341,17321,43300,SDP
2010-01-25,16341,17583,16341,17191,55100,SDP
2010-01-26,17975,18236,17975,18236,15600,SDP
2010-01-27,19413,19413,17975,18106,109900,SDP
2010-01-28,17583,18302,17452,17452,94700,SDP
2010-01-29,17321,17648,16602,17321,31600,SDP
2010-02-01,17387,18106,17387,17387,46100,SDP
2010-02-02,17975,17975,17060,17060,24500,SDP
2010-02-03,16929,17452,16668,16995,21500,SDP
2010-02-04,16995,17517,16929,17517,33700,SDP
2010-02-05,17321,17321,16472,16733,27900,SDP
2010-02-08,16341,16472,16145,16472,15700,SDP
2010-02-09,15687,16341,15491,16275,51400,SDP
2010-02-10,16995,17125,16668,17125,32000,SDP
2010-02-11,17648,18171,16995,17975,44400,SDP
2010-02-12,18302,18694,17779,18367,62500,SDP
2010-02-22,18629,18629,17975,18302,48000,SDP
2010-02-23,17648,17648,16995,17060,26500,SDP
2010-02-24,17321,17583,17191,17583,19600,SDP
2010-02-25,17648,18106,17321,17452,25800,SDP
2010-02-26,17321,17648,17191,17452,15000,SDP
2010-03-01,17779,18106,17517,17975,61300,SDP
2010-03-02,18302,19021,17910,18890,175100,SDP
2010-03-03,19152,20067,18759,20067,176600,SDP
2010-03-04,20786,20851,19609,20394,216700,SDP
2010-03-05,20001,21897,20001,21897,199000,SDP
2010-03-08,22616,22616,20916,21505,72600,SDP
2010-03-09,21505,21505,20067,20263,113300,SDP
2010-03-10,20263,21439,20132,20263,135400,SDP
2010-03-11,20524,21766,20524,21439,196500,SDP
2010-03-12,21243,21832,20590,21635,183400,SDP
2010-03-15,21570,22812,21570,22681,412000,SDP
2010-03-16,23531,23531,21570,22224,348300,SDP
2010-03-17,22224,22681,21113,21570,236700,SDP
2010-03-18,22224,23270,21047,23008,197400,SDP
2010-03-19,23270,23793,23270,23793,837500,SDP
2010-03-22,24838,25427,24838,25427,448300,SDP
2010-03-23,26146,26799,23596,24185,315300,SDP
2010-03-24,24315,24838,22877,24446,347500,SDP
2010-03-25,24250,24250,22616,22616,352700,SDP
2010-03-26,22747,22747,21243,21570,287900,SDP
2010-03-29,21570,22877,21505,22877,252400,SDP
2010-03-30,23335,23335,21309,21570,175000,SDP
2010-03-31,21897,22158,20590,20916,212300,SDP
2010-04-01,21439,21897,20459,21701,236900,SDP
2010-04-02,21897,22354,21570,21832,196300,SDP
2010-04-05,22747,23204,22093,22812,146900,SDP
2010-04-06,22943,23858,22485,22616,248700,SDP
2010-04-07,23204,23466,22224,22551,137200,SDP
2010-04-08,22812,24185,22616,24185,443600,SDP
2010-04-09,24838,24838,23139,23400,169700,SDP
2010-04-12,22943,23139,22224,22681,142600,SDP
2010-04-13,22551,23073,22028,22224,91500,SDP
2010-04-14,22289,22877,22028,22551,168000,SDP
2010-04-15,23139,23858,22943,23858,351600,SDP
2010-04-16,23858,24838,23858,23923,378100,SDP
2010-04-19,24185,24577,23531,23662,199700,SDP
2010-04-20,23727,24185,23727,23989,172400,SDP
2010-04-21,24054,25623,24054,25623,399100,SDP
2010-04-22,26734,27322,24185,24708,465300,SDP
2010-04-26,24446,24838,23923,24054,189800,SDP
2010-04-27,24185,25688,24119,24446,136000,SDP
2010-04-28,24708,24708,23989,24185,206600,SDP
2010-04-29,24185,24838,23858,24381,216200,SDP
2010-05-04,24838,25231,24185,24250,185300,SDP
2010-05-05,24446,24446,23466,23596,136200,SDP
2010-05-06,24815,25359,24135,25359,298200,SDP
2010-05-07,25291,26311,24679,25155,352400,SDP
2010-05-10,25155,25223,23727,24135,109700,SDP
2010-05-11,25155,25155,23795,23795,125900,SDP
2010-05-12,23795,23795,22503,22503,227600,SDP
2010-05-13,22639,23659,21416,22367,113700,SDP
2010-05-14,22843,22911,22231,22707,48400,SDP
2010-05-17,23251,23251,21416,22163,52300,SDP
2010-05-18,21756,21756,20532,20736,170300,SDP
2010-05-19,20396,20396,19376,19512,136000,SDP
2010-05-20,18628,20736,18288,20396,148400,SDP
2010-05-21,18084,18696,18084,18084,190300,SDP
2010-05-24,18356,19376,18356,19376,118400,SDP
2010-05-25,19036,20056,18900,19172,70400,SDP
2010-05-26,19444,20600,19444,20124,139600,SDP
2010-05-27,19444,20260,19444,20260,84500,SDP
2010-05-28,20736,21348,20736,21348,197100,SDP
2010-05-31,21756,22435,20464,21280,56200,SDP
2010-06-01,21076,21280,20056,20736,92300,SDP
2010-06-02,20396,20736,19512,20124,75800,SDP
2010-06-03,21688,21688,20396,20736,106400,SDP
2010-06-04,21416,22095,20804,22095,353400,SDP
2010-06-07,23455,23455,21416,22299,343100,SDP
2010-06-08,22435,22775,21552,22571,136100,SDP
2010-06-09,22979,22979,22231,22435,107100,SDP
2010-06-10,22095,22571,21688,22027,109600,SDP
2010-06-11,22163,23591,22095,23591,666800,SDP
2010-06-14,24475,24815,23863,24815,290400,SDP
2010-06-15,25495,25495,23931,24407,138800,SDP
2010-06-16,24815,25155,23999,24135,136800,SDP
