time,open,high,low,close,volume,ticker
2006-12-14,3982,5309,3982,4500,28200,SDT
2006-12-15,4944,4944,4944,4944,7500,SDT
2006-12-18,5376,5435,4944,5130,26900,SDT
2006-12-19,5376,5376,5044,5110,19600,SDT
2006-12-20,5110,5110,4977,4977,2800,SDT
2006-12-21,5017,5017,5017,5017,0,SDT
2006-12-22,4519,4519,4519,4519,600,SDT
2006-12-25,4247,4247,4068,4068,7700,SDT
2006-12-26,4048,4181,3663,4048,17200,SDT
2006-12-27,4247,4247,3982,4048,86000,SDT
2006-12-28,4095,4095,3982,4022,112000,SDT
2006-12-29,4002,4420,4002,4420,13000,SDT
2007-01-02,4380,4513,4294,4354,11500,SDT
2007-01-03,4420,4427,4413,4420,19800,SDT
2007-01-04,4446,4480,4420,4480,25600,SDT
2007-01-05,4612,4812,4612,4685,39000,SDT
2007-01-08,4845,5150,4845,5130,34100,SDT
2007-01-09,5641,5641,5409,5575,38300,SDT
2007-01-10,5542,5608,5442,5542,31900,SDT
2007-01-11,5442,5575,5442,5575,41500,SDT
2007-01-12,5508,5508,5309,5442,24600,SDT
2007-01-15,5840,5840,5376,5475,35800,SDT
2007-01-16,5641,5641,5376,5409,23800,SDT
2007-01-17,5475,5475,4898,5276,31600,SDT
2007-01-18,5243,5442,5177,5256,33500,SDT
2007-01-19,5243,5508,5243,5442,18900,SDT
2007-01-22,5263,5263,5177,5177,11400,SDT
2007-01-23,5050,5236,5050,5236,19300,SDT
2007-01-24,5250,5309,5250,5283,31200,SDT
2007-01-25,5309,5376,5243,5296,23000,SDT
2007-01-26,5283,5283,5256,5276,14000,SDT
2007-01-29,5316,5316,5270,5309,12000,SDT
2007-01-30,5508,5575,5442,5542,9300,SDT
2007-01-31,5907,5973,5508,5774,29500,SDT
2007-02-01,5840,6358,5840,6358,88300,SDT
2007-02-02,6637,6703,6106,6703,82800,SDT
2007-02-05,7101,7135,6969,7135,71600,SDT
2007-02-06,7831,7831,7632,7831,135000,SDT
2007-02-07,7831,8615,7831,8615,109100,SDT
2007-02-08,9464,9464,9464,9464,66800,SDT
2007-02-09,10407,10407,8628,8628,42400,SDT
2007-02-12,9292,9292,8714,8714,24600,SDT
2007-02-13,8628,9770,8628,8827,32100,SDT
2007-02-14,8893,9424,8893,9225,28100,SDT
2007-02-15,10168,10168,9524,9882,39700,SDT
2007-02-26,10659,10659,10155,10659,28700,SDT
2007-02-27,11588,11588,11588,11588,35300,SDT
2007-02-28,12743,12743,11283,11615,45800,SDT
2007-03-01,13208,13234,11150,11150,43600,SDT
2007-03-02,10885,11947,10885,11621,33800,SDT
2007-03-05,12013,12736,12013,12378,44200,SDT
2007-03-06,13407,13739,12345,12610,28500,SDT
2007-03-07,13274,13938,12146,12146,14100,SDT
2007-03-08,12278,13208,11283,11283,12500,SDT
2007-03-09,11283,11615,11150,11150,35800,SDT
2007-03-12,11615,11947,11416,11947,38000,SDT
2007-03-13,12472,12472,10729,11399,39200,SDT
2007-03-14,11869,12070,11466,11667,37400,SDT
2007-03-15,11802,11802,10863,11064,19700,SDT
2007-03-16,11265,11929,11265,11929,30700,SDT
2007-03-19,12740,12807,10735,10735,41200,SDT
2007-03-20,12070,12070,10896,11681,19800,SDT
2007-03-21,11466,11667,11272,11272,10600,SDT
2007-03-22,11681,11681,10930,10930,14400,SDT
2007-03-23,11064,11064,10662,10729,24800,SDT
2007-03-26,10776,10776,9924,9924,15500,SDT
2007-03-27,9387,9723,9320,9320,11600,SDT
2007-03-28,8717,10326,8496,10326,23600,SDT
2007-03-29,9575,9575,8382,9575,116800,SDT
2007-03-30,10092,10092,9186,9186,41300,SDT
2007-04-02,9723,10058,8851,9220,15800,SDT
2007-04-03,9387,9387,8885,8978,15700,SDT
2007-04-04,9052,9381,8382,9253,16100,SDT
2007-04-05,8583,9589,8583,9119,18600,SDT
2007-04-06,9387,9387,8985,9052,14300,SDT
2007-04-09,9267,9622,9267,9622,29800,SDT
2007-04-10,9723,9924,9522,9522,12500,SDT
2007-04-11,9522,9589,9320,9327,19600,SDT
2007-04-12,9387,9387,8985,9052,16700,SDT
2007-04-13,9119,9119,8590,8851,22900,SDT
2007-04-16,8516,8583,7952,7979,9500,SDT
2007-04-17,7711,8180,7389,8046,33300,SDT
2007-04-18,8046,8630,7711,8630,16200,SDT
2007-04-19,9052,9052,8516,8549,41700,SDT
2007-04-20,8516,8583,8315,8442,6600,SDT
2007-04-23,8449,8449,7644,7644,10500,SDT
2007-04-24,7718,7979,7651,7792,5700,SDT
2007-04-25,8382,8516,8382,8449,13700,SDT
2007-05-02,8717,8717,7711,7879,4900,SDT
2007-05-03,7745,8180,7711,8180,11200,SDT
2007-05-04,8046,8046,7946,8040,3200,SDT
2007-05-07,7912,8248,7912,8248,14400,SDT
2007-05-08,8040,8449,8040,8368,15800,SDT
2007-05-09,8516,8516,8248,8248,11600,SDT
2007-05-10,8382,8415,8113,8294,16100,SDT
2007-05-11,8180,8248,8113,8248,8300,SDT
2007-05-14,8516,8717,8248,8382,22800,SDT
2007-05-15,8449,8583,8248,8375,24000,SDT
2007-05-16,8328,8328,8234,8248,6200,SDT
2007-05-17,8248,8294,8113,8294,29100,SDT
2007-05-18,8315,8375,8248,8375,12400,SDT
2007-05-21,8516,9119,8180,9119,39900,SDT
2007-05-22,9542,9542,9381,9542,37600,SDT
2007-05-23,10434,10434,9522,9522,59600,SDT
2007-05-24,9723,9723,9153,9227,29200,SDT
2007-05-25,8851,9924,8717,9656,19300,SDT
2007-05-28,10058,10259,9387,9790,38700,SDT
2007-05-29,9924,9924,9656,9790,72700,SDT
2007-05-30,9790,9924,9723,9857,54600,SDT
2007-05-31,9790,9857,9790,9803,26000,SDT
2007-06-01,9790,10058,9723,10058,38800,SDT
2007-06-04,10058,10125,9857,10058,50000,SDT
2007-06-05,10125,10125,9857,9857,40200,SDT
2007-06-06,9790,10058,9387,10025,17900,SDT
2007-06-07,9924,10125,9924,9957,16100,SDT
2007-06-08,9991,10320,9864,10320,65500,SDT
2007-06-11,10058,10393,9991,10393,32300,SDT
2007-06-12,10427,10527,10259,10494,32100,SDT
2007-06-13,10595,10729,10527,10561,24900,SDT
2007-06-14,10527,10527,10058,10192,3500,SDT
2007-06-15,10259,10259,9984,10004,5500,SDT
2007-06-18,10058,10058,9723,9857,6900,SDT
2007-06-19,9790,10695,9776,10662,57400,SDT
2007-06-20,10460,10460,9924,10159,25100,SDT
2007-06-21,10259,10259,9924,9937,22000,SDT
2007-06-22,9991,10058,9957,9957,8600,SDT
2007-06-25,9924,9924,9850,9890,9900,SDT
2007-06-26,9857,9924,9790,9797,11700,SDT
2007-06-27,9756,9783,9656,9656,16700,SDT
2007-06-28,9662,9662,9522,9555,3100,SDT
2007-06-29,9455,9522,9119,9320,5300,SDT
2007-07-02,9119,9119,8449,8583,21900,SDT
2007-07-03,8415,8583,8127,8583,21600,SDT
2007-07-04,8650,9253,8650,9253,6400,SDT
2007-07-05,9387,9991,8717,9387,22800,SDT
2007-07-06,9153,9287,9153,9287,7300,SDT
2007-07-09,8985,9119,8985,9059,13500,SDT
2007-07-10,9066,9287,8985,9287,13400,SDT
2007-07-11,9186,9253,9173,9220,9700,SDT
2007-07-12,9320,9320,9052,9052,1700,SDT
2007-07-13,9059,9186,9032,9119,6900,SDT
2007-07-16,9059,9119,8985,9052,4100,SDT
2007-07-17,9119,9119,8985,8985,3000,SDT
2007-07-18,9052,9186,9052,9052,2100,SDT
2007-07-19,8918,8918,8717,8750,17100,SDT
2007-07-20,8851,8918,8851,8918,3100,SDT
2007-07-23,8878,8918,8784,8844,12300,SDT
2007-07-24,8717,8985,8717,8985,2200,SDT
2007-07-25,8757,8918,8750,8851,6900,SDT
2007-07-26,8650,8717,8650,8717,3700,SDT
2007-07-27,8650,8650,8650,8650,1200,SDT
2007-07-30,8516,9052,8382,8851,40900,SDT
