time,open,high,low,close,volume,ticker
2009-09-28,39343,48820,39343,47671,630600,SDU
2009-09-29,49681,49681,43708,45374,118700,SDU
2009-09-30,46522,46522,42961,42961,57100,SDU
2009-10-01,40492,41698,40492,40492,25500,SDU
2009-10-02,37735,37735,37735,37735,37700,SDU
2009-10-05,35150,36356,35150,35150,224100,SDU
2009-10-06,35150,37677,33025,37677,223500,SDU
2009-10-07,39860,39860,39802,39860,89100,SDU
2009-10-08,41927,41927,39056,39917,78400,SDU
2009-10-09,39573,41296,39056,39630,228400,SDU
2009-10-12,41238,41870,39917,41296,176700,SDU
2009-10-13,44053,44053,40492,40779,138900,SDU
2009-10-14,42502,42502,38481,40779,116400,SDU
2009-10-15,41927,43076,40549,40894,141000,SDU
2009-10-16,41640,41640,39056,39630,190800,SDU
2009-10-19,39573,42272,39573,42272,267100,SDU
2009-10-20,44397,44397,44397,44397,31000,SDU
2009-10-21,47499,47499,44397,47499,469000,SDU
2009-10-22,48820,48820,44799,47097,232400,SDU
2009-10-23,47097,47097,44225,44225,290900,SDU
2009-10-26,45316,45948,43651,43823,133500,SDU
2009-10-27,42042,42789,41813,42272,85600,SDU
2009-10-28,41353,44225,41353,42846,44800,SDU
2009-10-29,42215,42215,40204,41927,86300,SDU
2009-10-30,43938,43938,41927,43019,22900,SDU
2009-11-02,40204,40204,39056,39056,48300,SDU
2009-11-03,37390,39343,36643,37045,105600,SDU
2009-11-04,34576,39285,34576,38366,89400,SDU
2009-11-05,39056,41066,38481,41066,64700,SDU
2009-11-06,43363,43363,37964,37964,43400,SDU
2009-11-09,38481,38481,37562,38194,66200,SDU
2009-11-10,38079,39630,35380,38481,54800,SDU
2009-11-11,39860,40894,38252,40204,78400,SDU
2009-11-12,41353,41927,40664,41813,46700,SDU
2009-11-13,41353,41927,40204,41353,46200,SDU
2009-11-16,41640,41870,41066,41066,30300,SDU
2009-11-17,41640,41640,40492,41296,35400,SDU
2009-11-18,41238,41583,40492,41468,32100,SDU
2009-11-19,41066,41640,41066,41181,33500,SDU
2009-11-20,41353,41468,40836,41009,15200,SDU
2009-11-23,41181,41181,39056,39630,28400,SDU
2009-11-24,39630,40779,39056,39171,36900,SDU
2009-11-25,37390,39917,37160,37218,49900,SDU
2009-11-26,35208,38194,35150,35150,50900,SDU
2009-11-27,33312,35035,33025,33312,32900,SDU
2009-11-30,34346,36126,34346,36126,47500,SDU
2009-12-01,37333,38424,37333,38424,37100,SDU
2009-12-02,39630,40492,38424,39056,78800,SDU
2009-12-03,36816,39171,36758,39056,42800,SDU
2009-12-04,37792,39573,36241,39343,127500,SDU
2009-12-07,37505,40204,35954,38481,64400,SDU
2009-12-08,35954,38998,35897,38481,123600,SDU
2009-12-09,37333,37333,35667,35667,65600,SDU
2009-12-10,34174,38826,33887,36701,109100,SDU
2009-12-11,36241,36471,34920,36184,43500,SDU
2009-12-14,35897,37074,35014,36485,99200,SDU
2009-12-15,36309,36309,35308,35308,17100,SDU
2009-12-16,34131,34131,32896,32896,14500,SDU
2009-12-17,34661,34661,30895,32954,106900,SDU
2009-12-18,35014,35014,34426,35014,24200,SDU
2009-12-21,36956,37250,36603,37250,45000,SDU
2009-12-22,38780,38780,35308,37074,13500,SDU
2009-12-23,36662,36956,34190,34190,40300,SDU
2009-12-24,36426,37662,35426,36780,57500,SDU
2009-12-25,38898,38898,35367,37898,51600,SDU
2009-12-28,36603,37662,36485,36485,16800,SDU
2009-12-29,36780,37603,35897,37074,44400,SDU
2009-12-30,36780,37545,36485,37368,32400,SDU
2009-12-31,37780,38545,36485,37250,48200,SDU
2010-01-04,39781,40487,38251,40487,76300,SDU
2010-01-05,41193,42723,40252,40252,19500,SDU
2010-01-06,41487,42723,40016,40016,88500,SDU
2010-01-07,41134,44077,41134,41193,134600,SDU
2010-01-08,42370,42429,39840,40605,51400,SDU
2010-01-11,40075,40369,38839,39251,24400,SDU
2010-01-12,38839,39016,37662,37662,54700,SDU
2010-01-13,37133,39251,36191,38251,74200,SDU
2010-01-14,39133,39133,38545,38721,21600,SDU
2010-01-15,38721,38839,37662,37662,12800,SDU
2010-01-18,36485,36485,35308,35308,27300,SDU
2010-01-19,35603,36838,35308,35897,10800,SDU
