time,open,high,low,close,volume,ticker
2009-01-14,1386,1495,1386,1485,15400,SEB
2009-01-15,1475,1475,1475,1475,0,SEB
2009-01-16,1495,1495,1475,1475,7000,SEB
2009-01-19,1386,1386,1386,1386,10900,SEB
2009-01-20,1386,1386,1386,1386,0,SEB
2009-01-21,1386,1386,1386,1386,600,SEB
2009-01-22,1386,1396,1386,1396,10800,SEB
2009-01-23,1386,1416,1386,1406,3300,SEB
2009-02-02,1386,1386,1386,1386,500,SEB
2009-02-03,1386,1386,1386,1386,4300,SEB
2009-02-04,1386,1386,1386,1386,0,SEB
2009-02-05,1386,1386,1386,1386,0,SEB
2009-02-06,1446,1446,1307,1317,16500,SEB
2009-02-09,1337,1396,1317,1396,2800,SEB
2009-02-10,1238,1257,1238,1238,15200,SEB
2009-02-11,1317,1317,1317,1317,100,SEB
2009-02-12,1228,1287,1228,1228,8100,SEB
2009-02-13,1238,1238,1218,1238,7500,SEB
2009-02-16,1307,1307,1307,1307,100,SEB
2009-02-17,1238,1267,1238,1248,7000,SEB
2009-02-18,1257,1257,1257,1257,100,SEB
2009-02-19,1248,1248,1238,1238,6000,SEB
2009-02-20,1218,1248,1218,1238,6900,SEB
2009-02-23,1238,1238,1218,1228,6500,SEB
2009-02-24,1228,1228,1208,1218,9000,SEB
2009-02-25,1218,1218,1218,1218,3000,SEB
2009-02-26,1218,1238,1218,1238,4800,SEB
2009-02-27,1248,1248,1248,1248,4100,SEB
2009-03-02,1248,1257,1248,1248,7000,SEB
2009-03-03,1248,1248,1248,1248,1800,SEB
2009-03-04,1257,1257,1238,1238,6500,SEB
2009-03-05,1248,1248,1248,1248,3000,SEB
2009-03-06,1307,1307,1257,1257,3500,SEB
2009-03-09,1307,1307,1277,1277,1800,SEB
2009-03-10,1297,1297,1297,1297,0,SEB
2009-03-11,1386,1386,1287,1386,700,SEB
2009-03-12,1337,1337,1337,1337,500,SEB
2009-03-13,1337,1386,1287,1287,19400,SEB
2009-03-16,1337,1337,1337,1337,0,SEB
2009-03-17,1366,1366,1366,1366,100,SEB
2009-03-18,1337,1337,1287,1287,19700,SEB
2009-03-19,1277,1287,1277,1287,3500,SEB
2009-03-20,1287,1287,1287,1287,1000,SEB
2009-03-23,1366,1366,1238,1238,300,SEB
2009-03-24,1277,1327,1277,1327,3600,SEB
2009-03-25,1317,1317,1287,1297,4700,SEB
2009-03-26,1297,1297,1297,1297,100,SEB
2009-03-27,1287,1307,1287,1287,1400,SEB
2009-03-30,1287,1287,1287,1287,0,SEB
2009-03-31,1287,1287,1287,1287,0,SEB
2009-04-01,1287,1287,1257,1267,6000,SEB
2009-04-02,1267,1277,1267,1277,3000,SEB
2009-04-03,1287,1297,1287,1287,6800,SEB
2009-04-07,1287,1327,1257,1327,12200,SEB
2009-04-08,1297,1297,1287,1287,11000,SEB
2009-04-09,1287,1287,1287,1287,0,SEB
2009-04-10,1287,1297,1277,1297,18000,SEB
2009-04-13,1297,1376,1287,1376,38300,SEB
2009-04-14,1436,1436,1356,1366,18200,SEB
2009-04-15,1327,1366,1297,1297,8100,SEB
2009-04-16,1297,1297,1287,1287,10000,SEB
2009-04-17,1287,1287,1277,1287,5300,SEB
2009-04-20,1198,1366,1198,1287,5500,SEB
2009-04-21,1287,1287,1257,1257,1600,SEB
2009-04-22,1277,1277,1248,1248,3500,SEB
2009-04-23,1267,1287,1267,1287,4500,SEB
2009-04-24,1297,1297,1248,1257,6900,SEB
2009-04-27,1248,1248,1248,1248,1600,SEB
2009-04-28,1297,1297,1297,1297,100,SEB
2009-04-29,1238,1307,1238,1297,4000,SEB
2009-05-04,1317,1337,1287,1337,41200,SEB
2009-05-05,1366,1386,1317,1317,40300,SEB
2009-05-06,1287,1287,1287,1287,12000,SEB
2009-05-07,1327,1327,1327,1327,1000,SEB
2009-05-08,1267,1317,1238,1267,14800,SEB
2009-05-11,1267,1267,1228,1248,16800,SEB
2009-05-12,1267,1287,1248,1277,13000,SEB
2009-05-13,1317,1317,1267,1287,4200,SEB
2009-05-14,1287,1287,1267,1277,16200,SEB
2009-05-15,1297,1307,1287,1287,14600,SEB
2009-05-18,1277,1297,1277,1287,9800,SEB
2009-05-19,1297,1307,1287,1287,22100,SEB
2009-05-20,1287,1317,1287,1287,25700,SEB
2009-05-21,1287,1386,1277,1386,89000,SEB
2009-05-22,1426,1426,1396,1426,101800,SEB
2009-05-25,1505,1515,1446,1515,42100,SEB
2009-05-26,1594,1604,1545,1545,28100,SEB
2009-05-27,1664,1664,1465,1465,28900,SEB
2009-05-28,1376,1386,1376,1376,24100,SEB
2009-05-29,1307,1386,1297,1347,60600,SEB
2009-06-01,1386,1396,1376,1396,17400,SEB
2009-06-02,1475,1475,1475,1475,26000,SEB
2009-06-03,1525,1525,1475,1525,68600,SEB
2009-06-04,1584,1584,1515,1545,76300,SEB
2009-06-05,1604,1634,1604,1634,139600,SEB
2009-06-08,1733,1743,1733,1743,37000,SEB
2009-06-09,1862,1862,1683,1743,53100,SEB
2009-06-10,1683,1683,1683,1683,7200,SEB
2009-06-11,1574,1683,1574,1634,64000,SEB
2009-06-12,1634,1713,1634,1664,56800,SEB
2009-06-15,1664,1664,1604,1634,41900,SEB
2009-06-16,1535,1594,1535,1535,52500,SEB
2009-06-17,1456,1545,1456,1535,21400,SEB
2009-06-18,1535,1584,1535,1584,22200,SEB
2009-06-19,1584,1584,1535,1574,11300,SEB
2009-06-22,1515,1515,1465,1465,16700,SEB
2009-06-23,1436,1436,1386,1386,21700,SEB
2009-06-24,1485,1495,1485,1495,8900,SEB
2009-06-25,1495,1495,1456,1456,8800,SEB
2009-06-26,1475,1485,1475,1485,5200,SEB
2009-06-29,1535,1535,1485,1485,4800,SEB
2009-06-30,1564,1564,1436,1465,7200,SEB
2009-07-01,1416,1416,1376,1386,11600,SEB
2009-07-02,1406,1485,1406,1416,9500,SEB
2009-07-03,1396,1416,1386,1416,4300,SEB
2009-07-06,1396,1475,1396,1456,1200,SEB
2009-07-07,1446,1446,1406,1406,2900,SEB
2009-07-08,1366,1485,1366,1485,5400,SEB
2009-07-09,1446,1456,1436,1436,19200,SEB
2009-07-10,1535,1535,1485,1485,1100,SEB
2009-07-13,1485,1485,1436,1436,6700,SEB
2009-07-14,1416,1416,1406,1406,11400,SEB
2009-07-15,1446,1465,1416,1426,9100,SEB
2009-07-16,1446,1446,1426,1436,14100,SEB
2009-07-17,1416,1426,1406,1416,17400,SEB
2009-07-20,1396,1396,1386,1386,7900,SEB
2009-07-21,1386,1386,1366,1386,1400,SEB
2009-07-22,1436,1436,1416,1416,4100,SEB
2009-07-23,1366,1446,1366,1446,3700,SEB
2009-07-24,1465,1515,1465,1515,39200,SEB
2009-07-27,1535,1535,1436,1436,11200,SEB
2009-07-28,1446,1446,1446,1446,7400,SEB
2009-07-29,1485,1485,1386,1436,8200,SEB
2009-07-30,1366,1426,1366,1426,25800,SEB
2009-07-31,1386,1406,1386,1406,8300,SEB
2009-08-03,1406,1465,1406,1446,12700,SEB
2009-08-04,1436,1456,1436,1446,8700,SEB
2009-08-05,1456,1485,1446,1485,25900,SEB
2009-08-06,1456,1485,1456,1485,11500,SEB
2009-08-07,1456,1475,1456,1475,8100,SEB
2009-08-10,1446,1495,1446,1485,43600,SEB
2009-08-11,1485,1535,1485,1535,16100,SEB
2009-08-12,1535,1535,1485,1495,7700,SEB
2009-08-13,1485,1505,1485,1505,9900,SEB
2009-08-14,1495,1525,1485,1525,30300,SEB
2009-08-17,1535,1584,1525,1535,12800,SEB
2009-08-18,1604,1654,1584,1654,69500,SEB
2009-08-19,1743,1743,1713,1743,78600,SEB
2009-08-20,1822,1822,1723,1733,37800,SEB
2009-08-21,1733,1753,1634,1654,77100,SEB
2009-08-24,1683,1683,1654,1664,23700,SEB
2009-08-25,1664,1664,1594,1624,10100,SEB
2009-08-26,1634,1634,1584,1624,34700,SEB
2009-08-27,1624,1645,1582,1645,57200,SEB
2009-08-28,1687,1687,1603,1656,9300,SEB
2009-08-31,1634,1656,1613,1656,27300,SEB
2009-09-01,1624,1645,1624,1634,18300,SEB
2009-09-03,1603,1624,1603,1603,13900,SEB
2009-09-04,1592,1624,1561,1582,23400,SEB
2009-09-07,1592,1592,1571,1571,12600,SEB
2009-09-08,1613,1613,1592,1603,10300,SEB
2009-09-09,1613,1613,1508,1592,33100,SEB
2009-09-10,1613,1613,1582,1603,12800,SEB
2009-09-11,1613,1613,1592,1592,9100,SEB
2009-09-14,1603,1613,1592,1603,27100,SEB
2009-09-15,1624,1624,1592,1603,42600,SEB
2009-09-16,1603,1666,1603,1656,58200,SEB
2009-09-17,1666,1666,1613,1634,11300,SEB
2009-09-18,1613,1634,1613,1624,8900,SEB
2009-09-21,1624,1634,1613,1624,16200,SEB
2009-09-22,1624,1634,1613,1624,23200,SEB
2009-09-23,1624,1634,1603,1613,21000,SEB
2009-09-24,1582,1603,1571,1603,6300,SEB
