time,open,high,low,close,volume,ticker
2006-12-28,7387,7387,7387,7387,1300,SGD
2006-12-29,8126,8126,6649,6649,3400,SGD
2007-01-02,7949,7949,7949,7949,0,SGD
2007-01-03,7949,7949,7949,7949,0,SGD
2007-01-04,7949,7949,7949,7949,0,SGD
2007-01-05,7949,7949,7949,7949,0,SGD
2007-01-08,7949,7949,7949,7949,0,SGD
2007-01-09,7949,7949,7949,7949,0,SGD
2007-01-10,7166,7166,7166,7166,500,SGD
2007-01-11,6457,6457,6457,6457,500,SGD
2007-01-12,6353,6353,6353,6353,100,SGD
2007-01-15,5718,5718,5718,5718,1200,SGD
2007-01-16,5156,5201,5156,5171,3000,SGD
2007-01-17,5614,5614,5319,5319,12300,SGD
2007-01-18,5762,6013,5762,6013,10000,SGD
2007-01-19,6530,6530,6530,6530,600,SGD
2007-01-22,7181,7181,7181,7181,3400,SGD
2007-01-23,7890,7890,7387,7757,17800,SGD
2007-01-24,8126,8422,7387,7387,14000,SGD
2007-01-25,7048,7166,7048,7166,2200,SGD
2007-01-26,6649,6649,6397,6501,6500,SGD
2007-01-29,6545,7166,6205,7166,3200,SGD
2007-01-30,7387,7476,7387,7476,8300,SGD
2007-01-31,8215,8215,7535,8215,31300,SGD
2007-02-01,8259,8939,8259,8496,22000,SGD
2007-02-02,8643,8703,8422,8422,18900,SGD
2007-02-05,8422,8629,8422,8422,6700,SGD
2007-02-06,8274,8422,8126,8126,3100,SGD
2007-02-07,7683,7757,7683,7757,4800,SGD
2007-02-08,7831,7831,7831,7831,1600,SGD
2007-02-09,7978,7978,7683,7683,3400,SGD
2007-02-12,7831,8451,7831,7978,1600,SGD
2007-02-13,8038,8038,7831,7978,3300,SGD
2007-02-14,7993,7993,7905,7993,7800,SGD
2007-02-15,8126,8274,7993,8274,15100,SGD
2007-02-26,8954,8954,8200,8274,5500,SGD
2007-02-27,8422,9101,8274,8496,11600,SGD
2007-02-28,9456,9456,8717,8717,5300,SGD
2007-03-01,8880,9456,8570,8909,16000,SGD
2007-03-02,8126,8865,8126,8643,21100,SGD
2007-03-05,8865,9101,8717,9101,21300,SGD
2007-03-06,9929,9929,9929,9929,6300,SGD
2007-03-07,10919,10919,10919,10919,11700,SGD
2007-03-08,11998,11998,11998,11998,17400,SGD
2007-03-09,13194,13194,12559,12707,27800,SGD
2007-03-12,12559,13815,12559,12855,15200,SGD
2007-03-13,12190,12855,11968,11968,3100,SGD
2007-03-14,11008,11008,11008,11008,4300,SGD
2007-03-15,9914,9914,9914,9914,4800,SGD
2007-03-16,9988,10343,9988,10343,1500,SGD
2007-03-19,11111,11111,11111,11111,2100,SGD
2007-03-20,12219,12219,12219,12219,13400,SGD
2007-03-21,13431,13431,13372,13431,43900,SGD
2007-03-22,14761,14761,12707,13002,11400,SGD
2007-03-23,12559,13638,12116,12781,14100,SGD
2007-03-26,12707,13298,11820,12263,7300,SGD
2007-03-27,11244,11244,11037,11037,3600,SGD
2007-03-28,9958,12145,9958,12145,6100,SGD
2007-03-29,12603,12603,11525,12190,10500,SGD
2007-03-30,12559,12559,12263,12308,2500,SGD
2007-04-02,11968,12263,11185,11229,5600,SGD
2007-04-03,11362,11362,11347,11347,800,SGD
2007-04-04,11081,11081,10372,10638,5900,SGD
2007-04-05,10638,10638,10343,10638,2400,SGD
2007-04-06,10712,10786,10195,10682,2700,SGD
2007-04-09,10372,10490,10372,10490,1200,SGD
2007-04-10,10490,10490,10343,10343,4200,SGD
