time,open,high,low,close,volume,ticker
2015-04-10,7961,8580,7961,8580,30000,SHG
2015-04-13,8492,8492,8492,8492,0,SHG
2015-04-14,8492,8492,8492,8492,0,SHG
2015-04-15,8492,8492,8492,8492,0,SHG
2015-04-16,8492,8492,8492,8492,0,SHG
2015-04-17,8492,8492,8492,8492,0,SHG
2015-04-20,8492,8492,8492,8492,0,SHG
2015-04-21,8492,8492,8492,8492,0,SHG
2015-04-22,8492,8492,8492,8492,0,SHG
2015-04-23,8492,8492,8492,8492,0,SHG
2015-04-24,8492,8492,8492,8492,0,SHG
2015-04-27,8492,8492,8492,8492,0,SHG
2015-05-04,8492,8492,8492,8492,0,SHG
2015-05-05,8492,8492,8492,8492,0,SHG
2015-05-06,8492,8492,8492,8492,0,SHG
2015-05-07,8492,8492,8492,8492,0,SHG
2015-05-08,8492,8492,8492,8492,0,SHG
2015-05-11,8492,8492,8492,8492,0,SHG
2015-05-12,8492,8492,8492,8492,0,SHG
2015-05-13,8492,8492,8492,8492,0,SHG
2015-05-14,8492,8492,8492,8492,0,SHG
2015-05-15,8492,8492,8492,8492,0,SHG
2015-05-18,8492,8492,8492,8492,0,SHG
2015-05-19,8492,8492,8492,8492,0,SHG
2015-05-20,8492,8492,8492,8492,0,SHG
2015-05-21,8492,8492,8492,8492,0,SHG
2015-05-22,8492,8492,8492,8492,0,SHG
2015-05-25,8492,8492,8492,8492,0,SHG
2015-05-26,8492,8492,8492,8492,0,SHG
2015-05-27,8492,8492,8492,8492,0,SHG
2015-05-28,8492,8492,8492,8492,0,SHG
2015-05-29,8492,8492,8492,8492,0,SHG
2015-06-01,8492,8492,8492,8492,0,SHG
2015-06-02,8492,8492,8492,8492,0,SHG
2015-06-03,8492,8492,8492,8492,0,SHG
2015-06-04,8492,8492,8492,8492,0,SHG
2015-06-05,11853,11853,8492,8492,1100,SHG
2015-06-08,8757,8757,8757,8757,0,SHG
2015-06-09,8757,8757,8757,8757,0,SHG
2015-06-10,8757,8757,8757,8757,0,SHG
2015-06-11,8757,8757,8757,8757,0,SHG
2015-06-12,8757,8757,8757,8757,0,SHG
2015-06-15,8757,8757,8757,8757,0,SHG
2015-06-16,8757,8757,8757,8757,0,SHG
2015-06-17,8757,8757,8757,8757,0,SHG
2015-06-18,8757,8757,8757,8757,0,SHG
2015-06-19,8757,8757,8757,8757,0,SHG
2015-06-22,9553,9553,9553,9553,1000,SHG
2015-06-23,9553,9553,9553,9553,0,SHG
2015-06-24,9553,9553,9553,9553,0,SHG
2015-06-25,9553,9553,9553,9553,0,SHG
2015-06-26,9553,9553,9553,9553,0,SHG
2015-06-29,9553,9553,9553,9553,0,SHG
2015-06-30,9553,9553,9553,9553,0,SHG
2015-07-01,9553,9553,9553,9553,0,SHG
2015-07-02,9553,9553,9553,9553,0,SHG
2015-07-03,9553,9553,9553,9553,0,SHG
2015-07-06,9553,9553,9553,9553,0,SHG
2015-07-07,9553,9553,9553,9553,0,SHG
2015-07-08,9553,9553,9553,9553,0,SHG
2015-07-09,9553,9553,9553,9553,0,SHG
