time,open,high,low,close,volume,ticker
2012-09-12,8928,9732,8928,8928,965500,SII
2012-09-13,8482,8749,8482,8482,315860,SII
2012-09-14,8660,8839,8660,8839,135510,SII
2012-09-17,8749,8928,8482,8482,289490,SII
2012-09-18,8482,8839,8124,8214,307650,SII
2012-09-19,8482,8482,7946,8392,49290,SII
2012-09-20,8124,8749,8124,8660,369830,SII
2012-09-21,8660,8839,8571,8839,206000,SII
2012-09-24,8928,8928,8571,8571,150490,SII
2012-09-25,8660,8839,8660,8749,279030,SII
2012-09-26,8928,8928,8749,8749,116620,SII
2012-09-27,8749,9107,8749,9107,512880,SII
2012-09-28,9285,9553,9285,9553,456070,SII
2012-10-01,9553,9732,9196,9732,91070,SII
2012-10-02,9821,9821,9464,9464,67810,SII
2012-10-03,9553,9732,9553,9642,131060,SII
2012-10-04,9821,10089,9732,10089,213650,SII
2012-10-05,10267,10535,10267,10535,352650,SII
2012-10-08,10624,10803,10178,10535,714950,SII
2012-10-09,10267,10982,10089,10982,1254920,SII
2012-10-10,10714,11249,10714,11249,178300,SII
2012-10-11,11160,11160,10714,10714,459220,SII
2012-10-12,10267,10714,10267,10357,391560,SII
2012-10-15,10357,10535,9910,9910,234200,SII
2012-10-16,10178,10357,9553,10357,1601600,SII
2012-10-17,10357,10357,9999,9999,101530,SII
2012-10-18,10357,10446,10267,10446,328170,SII
2012-10-19,10267,10714,10089,10714,685580,SII
2012-10-22,10624,10624,10357,10446,128050,SII
2012-10-23,10446,10624,10357,10446,113980,SII
2012-10-24,10446,10803,10446,10803,634770,SII
2012-10-25,10803,11339,10714,11339,1213010,SII
2012-10-26,11160,11428,11160,11339,505120,SII
2012-10-29,11160,11339,10892,10892,351230,SII
2012-10-30,10892,11160,10892,11071,175670,SII
2012-10-31,10892,11071,10624,10624,654890,SII
2012-11-01,10892,10892,10535,10535,96040,SII
2012-11-02,10089,10357,10089,10178,881980,SII
2012-11-05,10178,10267,9999,9999,225660,SII
2012-11-06,10178,10357,9999,10089,150080,SII
2012-11-07,10267,10535,10267,10535,289310,SII
2012-11-08,10624,10714,10357,10357,98750,SII
2012-11-09,10535,10714,10446,10446,118770,SII
2012-11-12,10446,10535,10267,10535,168880,SII
2012-11-13,10535,10535,10446,10535,41680,SII
2012-11-14,10535,10803,10535,10714,87900,SII
2012-11-15,10892,10892,10535,10535,206870,SII
2012-11-16,10624,10624,10535,10535,64310,SII
2012-11-19,10624,10624,10446,10446,75320,SII
2012-11-20,10446,10535,10357,10446,82550,SII
2012-11-21,10357,10446,10357,10446,22270,SII
2012-11-22,10446,10535,10446,10535,30780,SII
2012-11-23,10535,10535,10357,10357,66550,SII
2012-11-26,10357,10357,10178,10267,46030,SII
2012-11-27,10267,10267,10178,10267,36690,SII
2012-11-28,10178,10267,10178,10267,25650,SII
2012-11-29,10267,10357,10267,10357,19090,SII
2012-11-30,10267,10446,10267,10446,27820,SII
2012-12-03,10357,10357,10178,10267,44970,SII
2012-12-04,10267,10267,10089,10089,96630,SII
2012-12-05,10178,10446,10178,10446,38980,SII
2012-12-06,10446,10446,10267,10267,22200,SII
2012-12-07,10267,10357,10267,10357,23200,SII
2012-12-10,10267,10357,10178,10267,21460,SII
2012-12-11,10267,10267,10089,10178,82500,SII
2012-12-12,10178,10267,10089,10267,64680,SII
2012-12-13,10178,10178,10089,10178,80920,SII
2012-12-14,10178,10624,9999,10624,571870,SII
2012-12-17,10624,10892,10535,10803,174500,SII
2012-12-18,10892,10892,10446,10446,101480,SII
2012-12-19,10446,10892,10357,10892,555050,SII
2012-12-20,11160,11160,10803,10892,162970,SII
2012-12-21,10624,11339,10624,11160,511090,SII
2012-12-24,11160,11696,11160,11696,849550,SII
2012-12-25,11874,12142,11785,11964,222190,SII
2012-12-26,11964,12053,11785,12053,286460,SII
2012-12-27,12410,12410,12053,12142,417310,SII
