time,open,high,low,close,volume,ticker
2018-02-12,10907,10907,10810,10810,12100,SJG
2018-02-13,10712,10712,10712,10712,4000,SJG
2018-02-21,9252,9252,9252,9252,1000,SJG
2018-02-22,7985,7985,7985,7985,200,SJG
2018-02-23,6914,9057,6914,9057,2000,SJG
2018-02-26,7304,7304,7012,7012,6700,SJG
2018-02-27,7012,7012,7012,7012,0,SJG
2018-02-28,7791,7791,7791,7791,100,SJG
2018-03-01,8765,8765,8765,8765,200,SJG
2018-03-02,8765,8765,8765,8765,200,SJG
2018-03-05,8278,8278,8278,8278,100,SJG
2018-03-06,8278,8278,8278,8278,0,SJG
2018-03-07,9446,9446,8278,8278,1100,SJG
2018-03-08,7693,7791,7596,7791,5500,SJG
2018-03-09,7791,7791,7791,7791,500,SJG
2018-03-12,7791,7791,7791,7791,3700,SJG
2018-03-13,7791,7791,7791,7791,2000,SJG
2018-03-14,7693,7791,7693,7791,8000,SJG
2018-03-15,7791,7791,7791,7791,900,SJG
2018-03-16,7012,7012,7012,7012,100,SJG
2018-03-19,7012,7012,7012,7012,0,SJG
2018-03-20,7012,7012,7012,7012,0,SJG
2018-03-21,7012,7012,7012,7012,0,SJG
2018-03-22,7012,7012,7012,7012,0,SJG
2018-03-23,7012,7012,7012,7012,0,SJG
2018-03-26,7012,7012,7012,7012,0,SJG
2018-03-27,7012,7012,7012,7012,0,SJG
2018-03-28,7012,7012,6817,6817,2200,SJG
2018-03-29,6914,6914,6914,6914,0,SJG
2018-03-30,6914,6914,6914,6914,0,SJG
2018-04-02,7304,7304,7304,7304,1000,SJG
2018-04-03,6817,6817,6817,6817,500,SJG
2018-04-04,6817,6817,6817,6817,0,SJG
2018-04-05,6817,6817,6817,6817,0,SJG
2018-04-06,6817,6817,6817,6817,0,SJG
2018-04-09,6817,6817,6817,6817,0,SJG
2018-04-10,6817,6817,6817,6817,0,SJG
2018-04-11,7304,7304,7304,7304,100,SJG
2018-04-12,7791,7791,7791,7791,4700,SJG
2018-04-13,7791,7791,7791,7791,0,SJG
