time,open,high,low,close,volume,ticker
2006-07-06,4058,4058,4058,4058,43790,SJS
2006-07-07,4099,4261,4099,4261,161010,SJS
2006-07-10,4464,4464,4464,4464,24380,SJS
2006-07-11,4667,4667,4667,4667,11700,SJS
2006-07-12,4870,4870,4870,4870,26180,SJS
2006-07-13,5113,5113,5113,5113,13960,SJS
2006-07-14,5357,5357,5113,5113,103080,SJS
2006-07-17,5357,5357,5154,5154,102730,SJS
2006-07-18,5154,5154,5032,5032,36450,SJS
2006-07-19,4789,4829,4789,4829,87770,SJS
2006-07-20,4870,5032,4870,5032,50890,SJS
2006-07-21,5073,5073,4992,4992,39150,SJS
2006-07-24,4992,4992,4951,4951,36670,SJS
2006-07-25,4789,4789,4748,4748,39630,SJS
2006-07-26,4667,4667,4667,4667,73210,SJS
2006-07-27,4789,4829,4789,4829,40540,SJS
2006-07-28,4911,4911,4789,4789,23270,SJS
2006-07-31,4667,4667,4667,4667,33530,SJS
2006-08-01,4667,4667,4464,4464,53820,SJS
2006-08-02,4464,4626,4464,4626,53900,SJS
2006-08-03,4748,4829,4748,4829,56770,SJS
2006-08-04,4992,4992,4911,4911,56810,SJS
2006-08-07,4789,4789,4789,4789,58840,SJS
2006-08-08,4829,4829,4829,4829,48260,SJS
2006-08-09,4870,4870,4829,4829,42050,SJS
2006-08-10,4789,4829,4789,4829,4900,SJS
2006-08-11,4911,4951,4911,4951,63830,SJS
2006-08-14,5195,5195,5195,5195,60710,SJS
2006-08-15,5195,5195,5154,5154,48460,SJS
2006-08-16,5195,5398,5195,5398,74470,SJS
2006-08-17,5438,5479,5398,5398,27050,SJS
2006-08-18,5316,5316,5316,5316,15530,SJS
2006-08-21,5316,5316,5276,5276,33360,SJS
2006-08-22,5154,5195,5154,5195,31100,SJS
2006-08-23,5195,5276,5195,5276,23750,SJS
2006-08-24,5398,5398,5316,5316,16190,SJS
2006-08-25,5316,5357,5316,5357,34410,SJS
2006-08-28,5601,5601,5601,5601,79330,SJS
2006-08-29,5844,5844,5844,5844,14180,SJS
2006-08-30,6128,6128,6088,6088,79030,SJS
2006-08-31,6006,6372,6006,6372,82080,SJS
2006-09-01,6656,6656,6656,6656,58400,SJS
2006-09-05,6980,6980,6980,6980,29180,SJS
