time,open,high,low,close,volume,ticker
2010-07-30,6031,7639,6031,7639,31100,SMT
2010-08-02,7478,7478,7438,7478,11000,SMT
2010-08-03,8001,8001,7639,7639,9800,SMT
2010-08-04,7639,7639,7318,7318,900,SMT
2010-08-05,6956,7036,6956,6956,6700,SMT
2010-08-06,6473,6473,6473,6473,6600,SMT
2010-08-09,6031,6031,6031,6031,12000,SMT
2010-08-10,5629,5830,5629,5830,17400,SMT
2010-08-11,5307,5910,5267,5629,22600,SMT
2010-08-12,5428,5991,5428,5468,4600,SMT
2010-08-13,6152,6152,5629,5629,500,SMT
2010-08-16,6232,6232,5468,5991,5100,SMT
2010-08-17,5548,5548,5508,5508,6600,SMT
2010-08-18,5187,5307,5146,5307,14200,SMT
2010-08-19,5227,5227,4825,4865,4000,SMT
2010-08-20,5146,5187,5146,5187,3300,SMT
2010-08-23,5227,5267,5227,5267,6100,SMT
2010-08-24,4945,4945,4905,4905,3200,SMT
2010-08-25,4583,4583,4583,4583,9600,SMT
2010-08-26,4784,4784,4744,4744,3700,SMT
2010-08-27,4744,4744,4744,4744,300,SMT
2010-08-30,4865,5026,4865,5026,7000,SMT
2010-08-31,4865,5066,4865,4905,1900,SMT
2010-09-01,5026,5066,4945,4945,7500,SMT
2010-09-06,5026,5307,5026,5146,31900,SMT
2010-09-07,5388,5468,5388,5468,14000,SMT
2010-09-08,5830,5830,5830,5830,60100,SMT
2010-09-09,6232,6232,6232,6232,24100,SMT
2010-09-10,6634,6634,6594,6634,104100,SMT
2010-09-13,7076,7076,6634,7076,102600,SMT
2010-09-14,7478,7519,7438,7519,98600,SMT
2010-09-15,7519,8041,7036,7559,68400,SMT
2010-09-16,7237,7237,7237,7237,1000,SMT
2010-09-17,6755,7559,6755,7519,148200,SMT
2010-09-20,7478,7478,7478,7478,64900,SMT
2010-09-21,7961,8001,7076,7076,47400,SMT
2010-09-22,7519,7519,6916,7237,26600,SMT
2010-09-23,7237,7237,6755,6875,58800,SMT
2010-09-24,7036,7036,6674,6674,16600,SMT
2010-09-27,6393,6634,6353,6433,53000,SMT
2010-09-28,6634,6795,6232,6674,17100,SMT
2010-09-29,6111,6272,6031,6031,39400,SMT
2010-09-30,6353,6353,5669,5830,50100,SMT
2010-10-01,5749,6111,5669,5669,7500,SMT
2010-10-04,5508,5548,5508,5508,27600,SMT
2010-10-05,5428,5709,5267,5267,6200,SMT
2010-10-06,5629,5790,5548,5790,35200,SMT
2010-10-07,6031,6152,6031,6152,93200,SMT
2010-10-08,6353,6353,5870,6031,5900,SMT
2010-10-11,6031,6031,6031,6031,2600,SMT
2010-10-12,6031,6031,5629,5629,26200,SMT
2010-10-13,5347,5589,5267,5548,22100,SMT
2010-10-14,5548,5548,5066,5227,26300,SMT
2010-10-15,5428,5428,5227,5428,2800,SMT
2010-10-18,5428,5428,5066,5146,10600,SMT
2010-10-19,5066,5066,4905,4945,31300,SMT
2010-10-20,4825,4825,4624,4624,26100,SMT
2010-10-21,4744,4825,4624,4704,18200,SMT
2010-10-22,4583,4583,4543,4583,13600,SMT
2010-10-25,4423,4825,4302,4744,16800,SMT
2010-10-26,4744,4744,4744,4744,13700,SMT
2010-10-27,5066,5066,4744,4825,2900,SMT
2010-10-28,4664,4664,4583,4583,2700,SMT
2010-10-29,4825,4865,4583,4744,11200,SMT
2010-11-01,4583,4624,4543,4624,1500,SMT
2010-11-02,4503,4503,4302,4342,16600,SMT
2010-11-03,4382,4382,4101,4101,17700,SMT
2010-11-04,4262,4302,4141,4221,14700,SMT
2010-11-05,4463,4543,4463,4543,19500,SMT
2010-11-08,4302,4302,4302,4302,3100,SMT
2010-11-09,4101,4101,4020,4061,12800,SMT
2010-11-10,4181,4181,4061,4101,10200,SMT
2010-11-11,4141,4141,4061,4141,10700,SMT
2010-11-12,4141,4141,3900,3980,14200,SMT
2010-11-15,3980,3980,3980,3980,1500,SMT
2010-11-16,3860,3860,3739,3739,14600,SMT
2010-11-17,3779,3779,3739,3739,5600,SMT
2010-11-18,3940,4020,3900,3980,11100,SMT
2010-11-19,3900,3900,3739,3739,22200,SMT
2010-11-22,3779,3819,3699,3739,4800,SMT
2010-11-23,3900,3940,3900,3940,5900,SMT
2010-11-24,4101,4101,3819,3940,13800,SMT
2010-11-25,4025,4194,4025,4110,14100,SMT
2010-11-26,4067,4110,3898,3898,11500,SMT
2010-11-29,3982,4194,3982,4194,5300,SMT
2010-11-30,4364,4364,4237,4364,30000,SMT
2010-12-01,4364,4660,4364,4406,23500,SMT
2010-12-02,4618,4618,4406,4533,16200,SMT
2010-12-03,4660,4787,4660,4787,53100,SMT
2010-12-06,4872,5042,4872,4915,25700,SMT
2010-12-07,5084,5084,4618,4618,29100,SMT
2010-12-08,4533,4533,4491,4491,14100,SMT
2010-12-09,4237,4491,4194,4491,18900,SMT
2010-12-10,4576,4576,4533,4576,10300,SMT
2010-12-13,4872,4872,4872,4872,14400,SMT
