time,open,high,low,close,volume,ticker
2021-08-04,20850,20850,20850,20850,1000,SSH
2021-08-05,23956,23956,23956,23956,500,SSH
2021-08-06,27546,27546,27546,27546,500,SSH
2021-08-09,31620,31620,31620,31620,500,SSH
2021-08-10,36315,36315,36315,36315,1000,SSH
2021-08-11,41700,41700,41700,41700,400,SSH
2021-08-12,47913,47913,47913,47913,500,SSH
2021-08-13,55093,55093,55093,55093,3000,SSH
2021-08-16,63309,63309,63309,63309,15000,SSH
2021-08-17,72768,72768,72768,72768,68900,SSH
2021-08-18,83676,83676,76979,77808,334400,SSH
2021-08-19,75944,79396,75253,76289,224700,SSH
2021-08-20,72492,72492,68349,69937,155400,SSH
2021-08-23,67659,69385,62136,69040,197700,SSH
2021-08-24,66623,70627,66554,69454,203000,SSH
2021-08-25,68004,70835,68004,70766,280000,SSH
2021-08-26,70075,72146,68211,69385,297800,SSH
2021-08-27,69040,69730,68280,68901,238600,SSH
2021-08-30,68349,69316,62136,69109,198500,SSH
2021-08-31,68901,69592,68349,68349,298900,SSH
2021-09-01,68349,71801,67383,71732,205900,SSH
2021-09-06,71732,73113,69109,73113,243000,SSH
2021-09-07,71801,72353,70420,71525,220600,SSH
2021-09-08,71456,71456,70420,71111,205900,SSH
2021-09-09,71111,71732,69385,71732,262500,SSH
2021-09-10,70420,72768,70420,72768,227100,SSH
2021-09-13,71111,71801,70213,71732,279900,SSH
2021-09-14,70489,71732,70282,71663,259600,SSH
2021-09-15,71525,71663,70420,70973,198000,SSH
2021-09-16,71456,71663,69454,69454,240000,SSH
2021-09-17,70351,70835,69385,70835,297400,SSH
2021-09-20,69937,72906,69868,72630,394000,SSH
2021-09-21,71456,72492,70420,70973,279900,SSH
2021-09-22,71318,73734,70904,73734,348500,SSH
2021-09-23,72422,75184,72422,74977,237700,SSH
2021-09-24,74563,75253,73941,75184,303300,SSH
2021-09-27,74977,75944,74839,75391,288600,SSH
2021-09-28,75460,75874,72561,72837,331400,SSH
2021-09-29,73182,73665,70627,71456,285200,SSH
2021-09-30,71456,74148,71042,74148,431300,SSH
2021-10-01,72699,74563,72699,74494,304202,SSH
2021-10-04,73941,74908,73527,73665,264900,SSH
2021-10-05,74287,74563,72837,73044,345100,SSH
2021-10-06,74563,74563,70420,70558,252807,SSH
2021-10-07,70766,72215,70696,70973,307802,SSH
2021-10-08,70766,71318,69868,70006,242100,SSH
2021-10-11,70766,71180,69247,69592,267400,SSH
2021-10-12,70420,70766,68832,69109,444600,SSH
2021-10-13,69385,70420,69385,69592,279300,SSH
2021-10-14,69730,70489,69178,69868,231400,SSH
2021-10-15,70075,70558,69523,70420,287700,SSH
2021-10-18,70075,70489,69730,70006,251500,SSH
2021-10-19,70006,70351,69040,70075,315000,SSH
2021-10-20,69868,70420,69385,69730,250900,SSH
2021-10-21,69937,70420,69454,69730,274100,SSH
2021-10-22,69937,80086,69937,73320,255700,SSH
2021-10-25,73320,78222,73320,78153,252700,SSH
2021-10-26,76634,78705,76634,78360,350605,SSH
2021-10-27,78360,79396,77946,77946,280300,SSH
2021-10-28,78015,79050,78015,78912,267804,SSH
2021-10-29,78153,78705,77877,78015,305207,SSH
2021-11-01,78567,78636,77393,77600,314876,SSH
2021-11-02,77462,78360,77462,78153,338400,SSH
2021-11-03,77808,78015,77393,77462,293700,SSH
2021-11-04,77531,78015,77324,77462,272601,SSH
2021-11-05,78015,78153,77462,77877,329110,SSH
2021-11-08,77670,78291,77670,78222,307300,SSH
2021-11-09,77946,78636,77946,78636,357100,SSH
2021-11-10,78084,78843,78084,78843,312100,SSH
2021-11-11,78705,79465,78705,79188,386505,SSH
2021-11-12,78981,79534,78705,79396,333200,SSH
2021-11-15,79188,79879,79188,79534,295300,SSH
2021-11-16,79465,79534,79050,79534,272000,SSH
2021-11-17,79603,81260,79603,81052,418900,SSH
2021-11-18,80431,81881,80431,81812,315000,SSH
2021-11-19,81122,82088,81122,81950,353626,SSH
2021-11-22,81812,82157,81536,81881,301000,SSH
2021-11-23,82019,82019,81812,81881,291200,SSH
2021-11-24,81812,82226,81812,82157,352900,SSH
2021-11-25,81881,82157,81743,82019,330900,SSH
2021-11-26,81881,86300,81881,85402,252500,SSH
2021-11-29,83193,90994,83193,90787,493700,SSH
2021-11-30,90442,94377,90028,93894,352000,SSH
2021-12-01,93894,99762,93480,98243,285000,SSH
2021-12-02,96656,100108,95758,95827,360501,SSH
2021-12-03,97967,98036,93204,93411,418000,SSH
2021-12-06,93549,95275,93134,94722,358900,SSH
2021-12-07,94653,94791,93618,94584,326800,SSH
2021-12-08,93894,97415,93894,95758,330000,SSH
2021-12-09,95275,100108,95068,97484,386500,SSH
2021-12-10,101600,102400,99500,100300,502800,SSH
2021-12-13,100500,100900,100000,100800,407000,SSH
2021-12-14,100600,100600,99800,100200,356000,SSH
2021-12-15,100000,101700,99700,101700,488800,SSH
2021-12-16,100600,101800,100500,101300,411700,SSH
2021-12-17,101500,101500,100400,100900,415300,SSH
2021-12-20,100800,100800,99200,100300,429200,SSH
2021-12-21,100100,101900,100000,101800,468500,SSH
2021-12-22,101800,101900,100400,101100,396900,SSH
2021-12-23,101100,101300,99100,100000,375500,SSH
2021-12-24,100200,100300,99300,100300,431000,SSH
2021-12-27,100000,101400,99700,100600,398800,SSH
2021-12-28,100600,100700,100000,100300,443000,SSH
2021-12-29,100300,100400,96000,100400,505100,SSH
2021-12-30,100000,100100,99400,100000,393300,SSH
2021-12-31,99900,102400,99000,102400,460800,SSH
2022-01-04,101800,103400,101000,103400,411600,SSH
2022-01-05,103000,103900,102600,103900,390000,SSH
2022-01-06,103500,111400,103500,111000,533400,SSH
2022-01-07,109800,121300,109700,120900,481500,SSH
2022-01-10,119200,119200,113500,115500,363900,SSH
2022-01-11,115400,119500,110900,118700,427600,SSH
2022-01-12,117900,117900,113500,113900,383400,SSH
2022-01-13,113900,114300,112000,114300,250800,SSH
2022-01-14,113600,113600,112500,113600,404100,SSH
2022-01-17,113000,113600,112000,112000,322200,SSH
2022-01-18,112500,112500,110600,110600,364300,SSH
2022-01-19,111200,111300,106500,106500,296400,SSH
2022-01-20,108100,109300,107500,109300,359600,SSH
2022-01-21,109000,109100,107100,107900,316000,SSH
2022-01-24,107600,107600,105600,106000,345100,SSH
2022-01-25,106500,107100,106200,106900,312700,SSH
2022-01-26,106300,107400,106300,107300,161300,SSH
2022-01-27,106600,107100,105600,105800,127100,SSH
2022-01-28,107000,115000,106100,115000,211300,SSH
