time,open,high,low,close,volume,ticker
2011-07-08,14909,14909,14909,14909,10,STT
2011-07-11,14909,14909,14909,14909,300,STT
2011-07-12,14909,14909,14909,14909,0,STT
2011-07-13,14163,14163,14163,14163,10,STT
2011-07-14,13511,13511,13511,13511,10,STT
2011-07-15,12859,12859,12859,12859,10,STT
2011-07-18,12299,12299,12299,12299,2,STT
2011-07-19,11740,11740,11740,11740,10,STT
2011-07-20,11181,11181,11181,11181,10,STT
2011-07-21,10622,10622,10622,10622,10,STT
2011-07-22,10156,10156,10156,10156,380,STT
2011-07-25,9690,9690,9690,9690,100,STT
2011-07-26,9224,9224,9224,9224,100,STT
2011-07-27,8852,8852,8852,8852,100,STT
2011-07-28,8479,8479,8479,8479,450,STT
2011-07-29,8106,8106,8106,8106,1000,STT
2011-08-01,7734,7734,7734,7734,2000,STT
2011-08-02,7361,7361,7361,7361,3200,STT
2011-08-03,7081,7081,7081,7081,1840,STT
2011-08-04,6802,6802,6802,6802,1410,STT
2011-08-05,6522,6522,6522,6522,2700,STT
2011-08-08,6243,6243,6243,6243,2400,STT
2011-08-09,5963,5963,5963,5963,1450,STT
2011-08-10,5684,5684,5684,5684,1310,STT
2011-08-11,5404,5404,5404,5404,2300,STT
2011-08-12,5218,5590,5218,5218,7810,STT
2011-08-15,5031,5031,5031,5031,6700,STT
2011-08-16,4845,5218,4845,4845,15800,STT
2011-08-17,5031,5031,4752,4752,540,STT
2011-08-18,4659,4938,4565,4938,56230,STT
2011-08-19,4845,5124,4752,5124,48380,STT
2011-08-22,5311,5311,5218,5311,33370,STT
2011-08-23,5311,5311,5124,5124,32580,STT
2011-08-24,5031,5031,4938,4938,33430,STT
2011-08-25,5031,5031,4752,4938,15060,STT
2011-08-26,4752,5031,4752,5031,3870,STT
2011-08-29,5031,5218,4845,5124,20330,STT
2011-08-30,5124,5124,5124,5124,7000,STT
2011-08-31,4938,5031,4938,4938,40450,STT
2011-09-01,4845,5031,4845,4845,60480,STT
2011-09-05,4938,5031,4845,5031,104070,STT
2011-09-06,5218,5218,5031,5124,46320,STT
2011-09-07,5124,5124,4938,5124,83660,STT
2011-09-08,5124,5311,5124,5311,280210,STT
2011-09-09,5497,5497,5497,5497,164070,STT
2011-09-12,5684,5684,5684,5684,111800,STT
2011-09-13,5963,5963,5963,5963,51000,STT
2011-09-14,6243,6243,6056,6056,265830,STT
2011-09-15,5870,5963,5777,5777,128810,STT
2011-09-16,5590,5963,5497,5963,149220,STT
2011-09-19,5777,6149,5777,6149,71490,STT
2011-09-20,6149,6243,5870,6149,158300,STT
2011-09-21,6149,6149,5870,5870,60050,STT
2011-09-22,5963,5963,5777,5870,31010,STT
2011-09-23,5590,5870,5590,5590,66210,STT
2011-09-26,5590,5870,5311,5777,21680,STT
2011-09-27,5870,5870,5590,5777,32250,STT
2011-09-28,5870,5870,5590,5590,13610,STT
2011-09-29,5404,5590,5311,5311,27550,STT
2011-09-30,5404,5404,5218,5404,23020,STT
2011-10-03,5311,5311,5218,5218,73800,STT
2011-10-04,5218,5404,5031,5404,47710,STT
2011-10-05,5497,5497,5311,5404,6120,STT
2011-10-06,5497,5497,5218,5218,47590,STT
2011-10-07,5311,5311,5124,5311,27010,STT
2011-10-10,5497,5497,5404,5497,88910,STT
2011-10-11,5684,5684,5590,5684,123860,STT
2011-10-12,5590,5590,5404,5404,118950,STT
2011-10-13,5311,5497,5218,5404,37750,STT
2011-10-14,5497,5590,5497,5590,21340,STT
2011-10-17,5497,5590,5311,5497,17980,STT
2011-10-18,5311,5404,5311,5311,32970,STT
2011-10-19,5404,5404,5124,5218,21060,STT
2011-10-20,5404,5404,5218,5311,17990,STT
2011-10-21,5404,5497,5311,5497,22740,STT
2011-10-24,5590,5684,5311,5404,27570,STT
2011-10-25,5404,5404,5218,5218,28310,STT
2011-10-26,5218,5404,5218,5404,2620,STT
2011-10-27,5218,5497,5218,5497,27610,STT
2011-10-28,5497,5590,5497,5497,51930,STT
2011-10-31,5497,5497,5311,5311,33260,STT
2011-11-01,5218,5218,5124,5124,42300,STT
2011-11-02,5218,5218,4938,4938,35910,STT
