time,open,high,low,close,volume,ticker
2006-12-21,63003,63003,24301,27001,15200,SVC
2006-12-22,26731,29701,26731,26731,9800,SVC
2006-12-25,25201,26101,25075,25075,9500,SVC
2006-12-26,23131,23131,22771,22771,17000,SVC
2006-12-27,20539,22807,20539,22807,44500,SVC
2006-12-28,23041,23041,22501,22681,26100,SVC
2006-12-29,22951,23041,22501,22501,35100,SVC
2007-01-02,21349,22681,20485,21583,16700,SVC
2007-01-03,19549,21241,19224,19549,51700,SVC
2007-01-04,19549,20701,18360,20701,87800,SVC
2007-01-05,20881,21655,20881,21601,29800,SVC
2007-01-08,23221,23761,23221,23725,107500,SVC
2007-01-09,23761,26083,23761,24031,34600,SVC
2007-01-10,24085,24481,23041,23041,92200,SVC
2007-01-11,23473,24301,22699,22699,17900,SVC
2007-01-12,23059,23401,22699,22699,29700,SVC
2007-01-15,21637,23149,20755,21601,34200,SVC
2007-01-16,21637,22681,21601,22501,90800,SVC
2007-01-17,21925,22681,21331,21601,55700,SVC
2007-01-18,21709,22141,21601,21601,42000,SVC
2007-01-19,21709,22501,21601,22231,81900,SVC
2007-01-22,21493,23401,19981,20161,28600,SVC
2007-01-23,21007,21601,20701,21241,46500,SVC
2007-01-24,21241,22501,21241,21601,90500,SVC
2007-01-25,21025,22519,20701,21421,55900,SVC
2007-01-26,21025,21781,20881,21781,91300,SVC
2007-01-29,22051,22861,22051,22483,115000,SVC
2007-01-30,22501,24481,22501,24301,148700,SVC
2007-01-31,25201,25633,25201,25633,61800,SVC
2007-02-01,28171,28171,28171,28171,53200,SVC
2007-02-02,28171,30979,27901,28801,137000,SVC
2007-02-05,27379,30601,26821,26821,63400,SVC
2007-02-06,25003,27361,24643,25201,85900,SVC
2007-02-07,25201,27487,25201,27487,46200,SVC
2007-02-08,26443,27901,25201,26641,40400,SVC
2007-02-09,25345,26281,23815,25381,30700,SVC
2007-02-12,25345,26281,25219,26101,30600,SVC
2007-02-13,26047,27001,25921,26083,33000,SVC
2007-02-14,26065,27001,26065,26821,53200,SVC
2007-02-15,27001,27901,27001,27109,26400,SVC
2007-02-26,28531,29881,28531,29881,121600,SVC
2007-02-27,29125,31861,28801,30241,93400,SVC
2007-02-28,29107,30241,28441,28441,74200,SVC
2007-03-01,28549,28801,28261,28441,49100,SVC
2007-03-02,28549,29701,28261,28981,34000,SVC
2007-03-05,29881,31501,29881,30601,57100,SVC
2007-03-06,30475,31861,28981,30871,60400,SVC
2007-03-07,30871,31501,30241,30241,39200,SVC
2007-03-08,30313,30943,29881,30223,23300,SVC
2007-03-09,30187,30565,29701,30061,47500,SVC
2007-03-12,29017,30061,27901,28801,61800,SVC
2007-03-13,28513,28891,28261,28441,54500,SVC
2007-03-14,26713,27001,26101,26641,31100,SVC
2007-03-15,25363,26641,24481,26101,35700,SVC
2007-03-16,25741,27883,25741,27883,25800,SVC
2007-03-19,27901,29539,27901,28261,57700,SVC
2007-03-20,27487,28801,27001,27001,22300,SVC
2007-03-21,26893,28063,26281,26641,27400,SVC
2007-03-22,26461,26911,25921,26821,18600,SVC
2007-03-23,25921,26101,25201,25921,37200,SVC
2007-03-26,24229,25219,23329,23329,12100,SVC
2007-03-27,21781,21961,21781,21781,18600,SVC
2007-03-28,21025,23959,19603,23959,15400,SVC
2007-03-29,23113,23113,23113,23113,6700,SVC
2007-03-30,23113,25381,20809,23311,76700,SVC
2007-04-02,22339,23221,21691,22501,14200,SVC
2007-04-03,21637,22501,21061,21961,24100,SVC
2007-04-04,21637,22501,19477,22321,13000,SVC
2007-04-05,21961,22357,21421,21781,22300,SVC
2007-04-06,21007,21781,20341,21241,47200,SVC
2007-04-09,21007,22321,20881,21601,30400,SVC
2007-04-10,21367,21601,21079,21511,15500,SVC
2007-04-11,21349,21421,21241,21421,11400,SVC
2007-04-12,20845,21241,20521,20611,15300,SVC
2007-04-13,19981,20701,19603,19801,27700,SVC
2007-04-16,18432,19441,18180,18180,25400,SVC
2007-04-17,17460,18360,16920,17280,26000,SVC
2007-04-18,17460,19206,17460,19206,25400,SVC
2007-04-19,18864,20701,18540,19441,46400,SVC
2007-04-20,18270,19441,17730,18000,15200,SVC
2007-04-23,17694,18000,17280,18000,11500,SVC
2007-04-24,17694,18000,17640,17910,16100,SVC
2007-04-25,18000,19693,18000,18900,30500,SVC
2007-05-02,18954,19801,18720,18900,19600,SVC
2007-05-03,18882,18954,18738,18900,9500,SVC
2007-05-04,18612,18900,18360,18540,17000,SVC
2007-05-07,18720,19675,18720,19080,13800,SVC
2007-05-08,19062,19441,18900,18900,24400,SVC
2007-05-09,19116,19441,18720,18900,10700,SVC
2007-05-10,18504,18810,18360,18504,6500,SVC
2007-05-11,18540,19080,18540,19080,14600,SVC
2007-05-14,18720,20161,18720,19441,29100,SVC
2007-05-15,19314,20143,19314,19314,22900,SVC
2007-05-16,19206,19278,19080,19278,9300,SVC
2007-05-17,19206,19621,18900,19441,15100,SVC
2007-05-18,19278,19621,19260,19441,17900,SVC
2007-05-21,19405,20143,19260,19621,31600,SVC
2007-05-22,19801,20701,19801,20521,34600,SVC
2007-05-23,20701,21601,20701,21061,42300,SVC
2007-05-24,20917,21241,20161,20917,39500,SVC
2007-05-25,20575,20881,20161,20845,11000,SVC
2007-05-28,20503,20881,20431,20521,13400,SVC
2007-05-29,20323,20521,20161,20161,11800,SVC
2007-05-30,19891,20341,19621,19801,6600,SVC
2007-05-31,19855,19981,19441,19801,11000,SVC
2007-06-01,19819,19981,19801,19801,5500,SVC
2007-06-04,19332,19441,19242,19260,5100,SVC
2007-06-05,18630,19459,18540,18540,15700,SVC
2007-06-06,18630,18900,18360,18900,19600,SVC
2007-06-07,18648,18990,18180,18720,12000,SVC
2007-06-08,18630,18900,18540,18540,9700,SVC
2007-06-11,18018,18216,17820,17856,17400,SVC
2007-06-12,18018,18450,17820,18000,27500,SVC
2007-06-13,17910,18018,17820,17820,9900,SVC
2007-06-14,17856,18000,17640,17640,8800,SVC
2007-06-15,17730,17856,17622,17640,11900,SVC
2007-06-18,17730,17820,17640,17820,7100,SVC
2007-06-19,17550,18000,17100,17460,21500,SVC
2007-06-20,17550,17676,17370,17676,6300,SVC
2007-06-21,17442,17622,17280,17622,12500,SVC
2007-06-22,17460,17640,17460,17460,5800,SVC
2007-06-25,17046,17460,16920,17280,6500,SVC
2007-06-26,16452,17100,16200,16560,11500,SVC
2007-06-27,16416,16560,16290,16326,7600,SVC
2007-06-28,15588,16380,15480,15498,3900,SVC
2007-06-29,15048,15480,14760,15300,11000,SVC
2007-07-02,14310,14850,13860,14040,10200,SVC
2007-07-03,13356,14400,13014,13680,35600,SVC
2007-07-04,13500,14688,13500,14688,9900,SVC
2007-07-05,13968,15120,13968,14220,18100,SVC
2007-07-06,14292,14760,13950,14760,18000,SVC
2007-07-09,14292,14940,14238,14670,8600,SVC
2007-07-10,15120,15480,15120,15408,12500,SVC
2007-07-11,15480,16740,15480,16434,14100,SVC
2007-07-12,15732,16020,15624,15804,26300,SVC
