time,open,high,low,close,volume,ticker
2008-12-22,4185,4185,2302,2473,6800,SVI
2008-12-23,2644,2644,2644,2644,1000,SVI
2008-12-24,2815,2815,2815,2815,200,SVI
2008-12-25,3006,3006,3006,3006,100,SVI
2008-12-26,3101,3215,3101,3196,3900,SVI
2008-12-29,3405,3405,3405,3405,1500,SVI
2008-12-30,3633,3633,3633,3633,400,SVI
2008-12-31,3881,3881,3386,3595,3700,SVI
2009-01-02,3348,3595,3348,3386,1400,SVI
2009-01-05,3405,3405,3405,3405,500,SVI
2009-01-06,3405,3405,3405,3405,0,SVI
2009-01-07,3329,3329,3177,3234,500,SVI
2009-01-08,3234,3234,3234,3234,200,SVI
2009-01-09,3025,3405,3025,3120,900,SVI
2009-01-12,3234,3234,2910,3082,200,SVI
2009-01-13,2872,3044,2872,2929,300,SVI
2009-01-14,2739,2739,2739,2739,900,SVI
2009-01-15,2929,2929,2853,2872,700,SVI
2009-01-16,2948,3063,2948,2987,700,SVI
2009-01-19,3044,3044,3044,3044,200,SVI
2009-01-20,3082,3082,3082,3082,100,SVI
2009-01-21,3044,3044,3044,3044,100,SVI
2009-01-22,2834,2853,2834,2853,400,SVI
2009-01-23,2701,2701,2663,2682,2200,SVI
2009-02-02,2568,2568,2568,2568,1000,SVI
2009-02-03,2397,2739,2397,2625,300,SVI
2009-02-04,2625,2663,2625,2644,600,SVI
2009-02-05,2663,2663,2625,2644,300,SVI
2009-02-06,2701,2701,2701,2701,100,SVI
2009-02-09,2853,2853,2853,2853,100,SVI
2009-02-10,2853,2853,2853,2853,0,SVI
2009-02-11,2948,2948,2948,2948,100,SVI
2009-02-12,2948,2948,2948,2948,0,SVI
2009-02-13,2948,2948,2948,2948,0,SVI
2009-02-16,2891,2948,2758,2872,1500,SVI
2009-02-17,2682,2682,2682,2682,400,SVI
2009-02-18,2682,2682,2682,2682,0,SVI
2009-02-19,2663,2663,2663,2663,500,SVI
2009-02-20,2758,2758,2758,2758,100,SVI
2009-02-23,2758,2758,2758,2758,5000,SVI
2009-02-24,2663,2663,2663,2663,500,SVI
2009-02-25,2663,2663,2663,2663,0,SVI
2009-02-26,2644,2644,2644,2644,500,SVI
2009-02-27,2644,2644,2644,2644,0,SVI
2009-03-02,2473,2473,2473,2473,200,SVI
2009-03-03,2378,2378,2378,2378,1000,SVI
2009-03-04,2378,2378,2378,2378,0,SVI
2009-03-05,2530,2530,2530,2530,2000,SVI
2009-03-06,2530,2530,2530,2530,0,SVI
2009-03-09,2473,2473,2473,2473,1500,SVI
2009-03-10,2473,2473,2473,2473,0,SVI
2009-03-11,2568,2568,2568,2568,1100,SVI
2009-03-12,2644,2644,2568,2568,1100,SVI
2009-03-13,2568,2568,2568,2568,0,SVI
2009-03-16,2568,2568,2568,2568,0,SVI
2009-03-17,2568,2568,2568,2568,0,SVI
2009-03-18,2720,2739,2568,2682,6500,SVI
2009-03-19,2796,2796,2796,2796,500,SVI
2009-03-20,2796,2796,2796,2796,0,SVI
2009-03-23,2606,2606,2606,2606,200,SVI
2009-03-24,2492,2492,2435,2454,8100,SVI
2009-03-25,2283,2625,2283,2397,2800,SVI
2009-03-26,2245,2245,2245,2245,5300,SVI
2009-03-27,2245,2245,2245,2245,0,SVI
2009-03-30,2397,2397,2397,2397,200,SVI
2009-03-31,2549,2549,2549,2549,3400,SVI
2009-04-01,2663,2682,2663,2682,5000,SVI
2009-04-02,2853,2853,2853,2853,1000,SVI
2009-04-03,2968,2968,2663,2720,4300,SVI
2009-04-07,2758,2853,2758,2796,5900,SVI
2009-04-08,2663,2663,2663,2663,2000,SVI
2009-04-09,2834,2834,2834,2834,2100,SVI
2009-04-10,2872,3025,2872,2987,8600,SVI
2009-04-13,3158,3177,3139,3158,8800,SVI
2009-04-14,3367,3367,3367,3367,800,SVI
2009-04-15,3405,3405,3234,3405,3100,SVI
2009-04-16,3424,3424,3424,3424,3000,SVI
2009-04-17,3196,3196,3196,3196,3000,SVI
2009-04-20,3044,3177,2987,3044,3100,SVI
2009-04-21,2834,3025,2834,3025,3100,SVI
2009-04-22,2853,2853,2834,2853,2800,SVI
2009-04-23,2853,3025,2682,2834,5000,SVI
2009-04-24,2663,2663,2663,2663,1500,SVI
2009-04-27,2682,2682,2663,2663,3100,SVI
2009-04-28,2834,2834,2834,2834,2900,SVI
2009-04-29,3025,3025,3025,3025,4000,SVI
2009-05-04,3234,3234,3234,3234,3200,SVI
2009-05-05,3443,3443,3424,3443,16500,SVI
2009-05-06,3443,3576,3367,3462,13000,SVI
2009-05-07,3424,3462,3424,3443,8500,SVI
2009-05-08,3234,3462,3234,3424,7000,SVI
2009-05-11,3633,3652,3557,3595,4500,SVI
2009-05-12,3557,3671,3557,3595,1300,SVI
2009-05-13,3671,3710,3614,3652,3400,SVI
2009-05-14,3614,3614,3614,3614,800,SVI
2009-05-15,3614,3690,3614,3614,3200,SVI
2009-05-18,3614,3633,3614,3614,9600,SVI
2009-05-19,3862,3862,3843,3862,7400,SVI
2009-05-20,4128,4128,4109,4128,8800,SVI
2009-05-21,4413,4413,4318,4337,4400,SVI
2009-05-22,4261,4261,4052,4109,4700,SVI
2009-05-25,4223,4223,3995,4071,13400,SVI
2009-05-26,3900,4071,3881,3919,7200,SVI
2009-05-27,3919,3919,3710,3843,5200,SVI
2009-05-28,3976,3976,3671,3748,3800,SVI
2009-05-29,3519,3881,3519,3710,1100,SVI
2009-06-01,3843,3862,3519,3824,14300,SVI
2009-06-02,4090,4090,4090,4090,13000,SVI
2009-06-03,4375,4375,4375,4375,19400,SVI
2009-06-04,4566,4680,4566,4680,14900,SVI
2009-06-05,4813,5003,4813,4946,25300,SVI
2009-06-08,5289,5289,5289,5289,15800,SVI
2009-06-09,5517,5517,5155,5327,1400,SVI
2009-06-10,4965,4965,4965,4965,500,SVI
2009-06-11,4756,4965,4756,4794,8300,SVI
2009-06-12,4946,4946,4585,4832,15100,SVI
2009-06-15,4566,4585,4509,4547,16200,SVI
2009-06-16,4242,4375,4242,4337,10300,SVI
2009-06-17,4052,4566,4052,4185,7800,SVI
2009-06-18,4471,4471,4471,4471,500,SVI
2009-06-19,4737,4775,4737,4775,10900,SVI
2009-06-22,4756,5098,4566,5003,8400,SVI
2009-06-23,4756,4756,4661,4737,2400,SVI
2009-06-24,4566,4832,4566,4794,3700,SVI
2009-06-25,4509,4889,4490,4623,3600,SVI
2009-06-26,4661,4794,4661,4756,900,SVI
2009-06-29,4908,4908,4756,4832,200,SVI
2009-06-30,4927,4927,4528,4566,3000,SVI
2009-07-01,4299,4661,4261,4280,3800,SVI
2009-07-02,4337,4337,4337,4337,1800,SVI
2009-07-03,4071,4071,4071,4071,1100,SVI
2009-07-06,3862,4337,3862,4299,1200,SVI
2009-07-07,4547,4547,4299,4337,800,SVI
2009-07-08,4071,4375,4071,4280,700,SVI
2009-07-09,4128,4185,4128,4166,600,SVI
2009-07-10,4280,4375,4185,4280,1700,SVI
2009-07-13,4452,4452,4452,4452,100,SVI
2009-07-14,4718,4718,4718,4718,100,SVI
2009-07-15,4718,4718,4718,4718,1000,SVI
2009-07-16,4718,4756,4566,4699,2000,SVI
2009-07-17,4528,4528,4528,4528,500,SVI
2009-07-20,4528,4528,4528,4528,0,SVI
2009-07-21,4718,4718,4337,4394,1800,SVI
2009-07-22,4613,4613,4474,4573,1800,SVI
2009-07-23,4772,4772,4772,4772,100,SVI
2009-07-24,5031,5090,4971,5051,9800,SVI
2009-07-27,5051,5051,5051,5051,0,SVI
2009-07-28,5051,5051,5051,5051,0,SVI
2009-07-29,4733,4733,4713,4713,1500,SVI
2009-07-30,4394,4852,4394,4673,300,SVI
2009-07-31,4673,4673,4673,4673,0,SVI
2009-08-03,4355,4355,4355,4355,800,SVI
2009-08-04,4573,4573,4573,4573,100,SVI
2009-08-05,4573,4573,4573,4573,0,SVI
2009-08-06,4653,4653,4593,4633,200,SVI
2009-08-07,4335,4534,4335,4355,900,SVI
2009-08-10,4554,4554,4116,4156,2200,SVI
2009-08-11,4375,4434,4375,4434,5200,SVI
2009-08-12,4573,4573,4573,4573,100,SVI
2009-08-13,4772,4772,4474,4554,3900,SVI
2009-08-14,4653,4653,4653,4653,100,SVI
2009-08-17,4713,4733,4474,4653,3500,SVI
2009-08-18,4375,4434,4375,4414,900,SVI
2009-08-19,4593,4593,4593,4593,200,SVI
2009-08-20,4375,4394,4375,4375,1700,SVI
2009-08-21,4375,4673,4375,4514,5500,SVI
2009-08-24,4713,4713,4474,4633,2400,SVI
2009-08-25,4474,4474,4474,4474,1600,SVI
2009-08-26,4573,4573,4573,4573,1000,SVI
2009-08-27,4534,4534,4375,4474,5200,SVI
2009-08-28,4414,4414,4414,4414,1800,SVI
2009-08-31,4573,4713,4573,4653,14200,SVI
2009-09-01,4772,4772,4772,4772,2000,SVI
2009-09-03,4454,4474,4454,4454,600,SVI
2009-09-04,4295,4295,4275,4275,1300,SVI
2009-09-07,4375,4375,4335,4375,3600,SVI
2009-09-08,4573,4573,4573,4573,300,SVI
2009-09-09,4733,4733,4573,4693,1300,SVI
