time,open,high,low,close,volume,ticker
2019-06-10,57500,57500,57500,57500,0,TAN
2019-06-11,57500,57500,57500,57500,0,TAN
2019-06-12,57500,57500,57500,57500,0,TAN
2019-06-13,57500,57500,57500,57500,0,TAN
2019-06-14,57500,57500,57500,57500,0,TAN
2019-06-17,57500,57500,57500,57500,0,TAN
2019-06-18,57500,57500,57500,57500,0,TAN
2019-06-19,57500,57500,57500,57500,0,TAN
2019-06-20,57500,57500,57500,57500,0,TAN
2019-06-21,57500,57500,57500,57500,0,TAN
2019-06-24,57500,57500,57500,57500,0,TAN
2019-06-25,57500,57500,57500,57500,0,TAN
2019-06-26,57500,57500,57500,57500,0,TAN
2019-06-27,57500,57500,57500,57500,0,TAN
2019-06-28,57500,57500,57500,57500,0,TAN
2019-07-01,57500,57500,57500,57500,0,TAN
2019-07-02,57500,57500,57500,57500,0,TAN
2019-07-03,57500,57500,57500,57500,0,TAN
2019-07-04,57500,57500,57500,57500,0,TAN
2019-07-05,57500,57500,57500,57500,0,TAN
2019-07-08,57500,57500,57500,57500,0,TAN
2019-07-09,57500,57500,57500,57500,0,TAN
2019-07-10,57500,57500,57500,57500,0,TAN
2019-07-11,57500,57500,57500,57500,0,TAN
2019-07-12,57500,57500,57500,57500,0,TAN
2019-07-15,57500,57500,57500,57500,0,TAN
2019-07-16,57500,57500,57500,57500,0,TAN
2019-07-17,57500,57500,57500,57500,0,TAN
2019-07-18,57500,57500,57500,57500,0,TAN
2019-07-19,57500,57500,57500,57500,0,TAN
2019-07-22,57500,57500,57500,57500,0,TAN
2019-07-23,57500,57500,57500,57500,0,TAN
2019-07-24,57500,57500,57500,57500,0,TAN
2019-07-25,57500,57500,57500,57500,0,TAN
2019-07-26,57500,57500,57500,57500,0,TAN
2019-07-29,57500,57500,57500,57500,0,TAN
2019-07-30,57500,57500,57500,57500,0,TAN
2019-07-31,57500,57500,57500,57500,0,TAN
2019-08-01,57500,57500,57500,57500,0,TAN
2019-08-02,57500,57500,57500,57500,0,TAN
2019-08-05,57500,57500,57500,57500,0,TAN
2019-08-06,57500,57500,57500,57500,0,TAN
2019-08-07,57500,57500,57500,57500,0,TAN
2019-08-08,57500,57500,57500,57500,0,TAN
2019-08-09,57500,57500,57500,57500,0,TAN
2019-08-12,57500,57500,57500,57500,0,TAN
2019-08-13,57500,57500,57500,57500,0,TAN
2019-08-14,57500,57500,57500,57500,0,TAN
2019-08-15,57500,57500,57500,57500,0,TAN
2019-08-16,57500,57500,57500,57500,0,TAN
2019-08-19,57500,57500,57500,57500,0,TAN
2019-08-20,57500,57500,57500,57500,0,TAN
2019-08-21,57500,57500,57500,57500,0,TAN
2019-08-22,57500,57500,57500,57500,0,TAN
2019-08-23,57500,57500,57500,57500,0,TAN
2019-08-26,57500,57500,57500,57500,0,TAN
2019-08-27,57500,57500,57500,57500,0,TAN
2019-08-28,57500,57500,57500,57500,0,TAN
2019-08-29,57500,57500,57500,57500,0,TAN
2019-08-30,57500,57500,57500,57500,0,TAN
2019-09-03,57500,57500,57500,57500,0,TAN
2019-09-04,57500,57500,57500,57500,0,TAN
2019-09-05,57500,57500,57500,57500,0,TAN
2019-09-06,57500,57500,57500,57500,0,TAN
2019-09-09,57500,57500,57500,57500,0,TAN
2019-09-10,57500,57500,57500,57500,0,TAN
2019-09-11,57500,57500,57500,57500,0,TAN
2019-09-12,57500,57500,57500,57500,0,TAN
2019-09-13,57500,57500,57500,57500,0,TAN
2019-09-16,57500,57500,57500,57500,0,TAN
2019-09-17,57500,57500,57500,57500,0,TAN
2019-09-18,57500,57500,57500,57500,0,TAN
2019-09-19,57500,57500,57500,57500,0,TAN
2019-09-20,57500,57500,57500,57500,0,TAN
2019-09-23,57500,57500,57500,57500,0,TAN
2019-09-24,57500,57500,57500,57500,0,TAN
2019-09-25,57500,57500,57500,57500,0,TAN
2019-09-26,57500,57500,57500,57500,0,TAN
2019-09-27,57500,57500,57500,57500,0,TAN
2019-09-30,57500,57500,57500,57500,0,TAN
2019-10-01,57500,57500,57500,57500,0,TAN
2019-10-02,57500,57500,57500,57500,0,TAN
2019-10-03,57500,57500,57500,57500,0,TAN
2019-10-04,57500,57500,57500,57500,0,TAN
2019-10-07,57500,57500,57500,57500,0,TAN
2019-10-08,57500,57500,57500,57500,0,TAN
2019-10-09,57500,57500,57500,57500,0,TAN
2019-10-10,57500,57500,57500,57500,0,TAN
2019-10-11,57500,57500,57500,57500,0,TAN
2019-10-14,57500,57500,57500,57500,0,TAN
2019-10-15,57500,57500,57500,57500,0,TAN
2019-10-16,57500,57500,57500,57500,0,TAN
2019-10-17,57500,57500,57500,57500,0,TAN
2019-10-18,57500,57500,57500,57500,0,TAN
2019-10-21,57500,57500,57500,57500,0,TAN
2019-10-22,57500,57500,57500,57500,0,TAN
2019-10-23,57500,57500,57500,57500,0,TAN
2019-10-24,57500,57500,57500,57500,0,TAN
2019-10-25,57500,57500,57500,57500,0,TAN
2019-10-28,57500,57500,57500,57500,0,TAN
2019-10-29,57500,57500,57500,57500,0,TAN
2019-10-30,57500,57500,57500,57500,0,TAN
2019-10-31,57500,57500,57500,57500,0,TAN
2019-11-01,57500,57500,57500,57500,0,TAN
2019-11-04,57500,57500,57500,57500,0,TAN
2019-11-05,57500,57500,57500,57500,0,TAN
2019-11-06,57500,57500,57500,57500,0,TAN
2019-11-07,57500,57500,57500,57500,0,TAN
2019-11-08,57500,57500,57500,57500,0,TAN
2019-11-11,57500,57500,57500,57500,0,TAN
2019-11-12,57500,57500,57500,57500,0,TAN
