time,open,high,low,close,volume,ticker
2014-10-15,3906,3906,3906,3906,0,TBD
2014-10-16,3906,3906,3906,3906,0,TBD
2014-10-17,3906,3906,3906,3906,0,TBD
2014-10-20,3906,3906,3906,3906,0,TBD
2014-10-21,5469,5469,5469,5469,100,TBD
2014-10-22,5469,5469,5469,5469,0,TBD
2014-10-23,5469,5469,5469,5469,0,TBD
2014-10-24,5469,5469,5469,5469,0,TBD
2014-10-27,6008,6008,6008,6008,100,TBD
2014-10-28,6601,6601,6601,6601,100,TBD
2014-10-29,5954,5954,5954,5954,100,TBD
2014-10-30,5361,5361,5361,5361,100,TBD
2014-10-31,4903,4903,4903,4903,100,TBD
2014-11-03,4715,4715,4715,4715,100,TBD
2014-11-04,5173,5173,5173,5173,100,TBD
2014-11-05,4688,5685,4688,5685,600,TBD
2014-11-06,5281,5281,5281,5281,200,TBD
2014-11-07,5281,5281,5281,5281,0,TBD
2014-11-10,5281,5281,5281,5281,0,TBD
2014-11-11,5388,5388,5388,5388,3000,TBD
2014-11-12,5388,5388,5388,5388,0,TBD
2014-11-13,5388,5388,5388,5388,0,TBD
2014-11-14,5119,5119,5119,5119,100,TBD
2014-11-17,4607,5146,4607,5146,400,TBD
2014-11-18,4607,4607,4607,4607,100,TBD
2014-11-19,4607,4607,4607,4607,0,TBD
2014-11-20,4607,4607,4607,4607,0,TBD
2014-11-21,4607,4607,4607,4607,0,TBD
2014-11-25,4607,4607,4607,4607,0,TBD
2014-11-26,5065,5065,5065,5065,200,TBD
2014-11-27,4580,4580,4580,4580,100,TBD
2014-11-28,4580,4580,4580,4580,0,TBD
2014-12-01,4580,4580,4580,4580,0,TBD
2014-12-02,4580,4338,4338,4338,100,TBD
2014-12-03,4338,4338,4338,4338,0,TBD
2014-12-04,4095,4095,4095,4095,200,TBD
2014-12-05,4095,4095,4095,4095,0,TBD
2014-12-08,3960,3960,3960,3960,200,TBD
2014-12-09,3960,3960,3960,3960,1200,TBD
2014-12-10,3960,3960,3960,3960,0,TBD
2014-12-11,3987,3987,3933,3987,400,TBD
2014-12-12,3960,3960,3960,3960,0,TBD
2014-12-15,3960,3960,3960,3960,0,TBD
2014-12-16,3960,3960,3960,3960,0,TBD
2014-12-17,3987,3987,3987,3987,200,TBD
2014-12-18,3987,3987,3987,3987,0,TBD
2014-12-19,3987,3987,3987,3987,100,TBD
2014-12-22,3987,3987,3987,3987,0,TBD
2014-12-23,3987,3987,3987,3987,0,TBD
2014-12-24,3987,3987,3987,3987,100,TBD
2014-12-25,3960,3960,3960,3960,100,TBD
2014-12-26,3933,3933,3933,3933,200,TBD
2014-12-29,3933,3933,3933,3933,300,TBD
2014-12-30,3906,3933,3799,3799,300,TBD
2014-12-31,3879,3879,3502,3879,400,TBD
2015-01-05,3879,3879,3879,3879,0,TBD
2015-01-06,3879,3879,3879,3879,0,TBD
2015-01-07,3853,3853,3853,3853,100,TBD
2015-01-08,3853,3853,3853,3853,200,TBD
2015-01-09,3853,3853,3853,3853,200,TBD
2015-01-12,3853,3853,3853,3853,0,TBD
2015-01-13,3853,3853,3853,3853,200,TBD
2015-01-14,3853,3879,3853,3853,6400,TBD
2015-01-15,3853,3853,3853,3853,100,TBD
2015-01-16,3853,3853,3853,3853,0,TBD
2015-01-19,3853,3853,3853,3853,0,TBD
2015-01-20,3853,3853,3853,3853,0,TBD
2015-01-21,3853,3853,3853,3853,0,TBD
2015-01-22,3853,3879,3853,3879,200,TBD
2015-01-23,4041,4041,4041,4041,2100,TBD
2015-01-26,3933,3933,3879,3879,200,TBD
2015-01-27,3879,3879,3879,3879,100,TBD
2015-01-28,3879,3879,3879,3879,400,TBD
2015-01-29,3879,3879,3879,3879,0,TBD
2015-01-30,3879,3879,3879,3879,100,TBD
2015-02-02,3879,3879,3879,3879,0,TBD
2015-02-03,4257,4257,4257,4257,1000,TBD
2015-02-04,3853,4311,3853,3879,400,TBD
2015-02-05,3879,3879,3879,3879,0,TBD
2015-02-06,3879,3879,3879,3879,100,TBD
2015-02-09,3879,3879,3879,3879,500,TBD
2015-02-10,3879,3879,3879,3879,0,TBD
2015-02-11,3906,3906,3879,3879,200,TBD
2015-02-12,3879,3879,3879,3879,300,TBD
2015-02-13,3879,3879,3879,3879,0,TBD
2015-02-24,3879,3879,3879,3879,0,TBD
2015-02-25,3879,3879,3879,3879,0,TBD
2015-02-26,3879,3879,3879,3879,0,TBD
2015-02-27,3879,3879,3879,3879,100,TBD
2015-03-02,3879,3879,3879,3879,0,TBD
2015-03-03,4257,4257,4257,4257,1000,TBD
2015-03-04,3906,3906,3906,3906,300,TBD
2015-03-05,4284,4284,4284,4284,500,TBD
2015-03-06,3960,4688,3960,4688,200,TBD
2015-03-09,3987,4769,3987,4769,900,TBD
2015-03-10,4930,4930,4930,4930,500,TBD
2015-03-11,5415,5415,5415,5415,200,TBD
2015-03-12,5954,5954,5954,5954,11100,TBD
2015-03-13,6547,6547,6547,6547,8900,TBD
2015-03-16,7194,7194,7194,7194,26800,TBD
2015-03-17,6493,7894,6493,7894,46000,TBD
2015-03-18,8676,8676,8218,8676,18800,TBD
2015-03-19,8891,9484,8891,9484,29000,TBD
2015-03-20,10400,10400,9484,10238,36900,TBD
2015-03-23,9349,9969,9349,9699,17100,TBD
2015-03-24,9969,10238,9969,10238,12300,TBD
2015-03-25,10238,10508,10238,10508,3100,TBD
2015-03-26,10777,10777,10777,10777,100,TBD
2015-03-27,10373,10373,10373,10373,11600,TBD
2015-03-30,10104,10104,10104,10104,4000,TBD
2015-03-31,9969,9969,9969,9969,3900,TBD
2015-04-01,9834,9834,9834,9834,1700,TBD
2015-04-02,9969,9969,9969,9969,30300,TBD
2015-04-03,9969,9969,9969,9969,100,TBD
2015-04-06,10104,10104,9969,9969,17000,TBD
2015-04-07,9969,9969,9969,9969,20000,TBD
2015-04-08,9834,9834,9834,9834,8600,TBD
2015-04-09,9834,9834,9834,9834,1500,TBD
2015-04-10,9969,9969,9969,9969,26700,TBD
2015-04-13,10238,10481,10238,10373,43000,TBD
2015-04-14,10454,10508,10373,10508,20300,TBD
2015-04-15,10777,10777,10373,10373,28900,TBD
2015-04-16,10373,10643,10373,10643,22000,TBD
2015-04-17,10238,10238,10238,10238,8700,TBD
2015-04-20,10104,10104,10104,10104,12000,TBD
2015-04-21,9969,9969,9969,9969,15000,TBD
2015-04-22,9834,9834,9834,9834,15500,TBD
2015-04-23,9726,9726,9430,9430,23800,TBD
2015-04-24,9295,9295,9295,9295,18000,TBD
2015-04-27,8891,8891,8891,8891,4700,TBD
2015-05-04,8891,8891,8891,8891,0,TBD
2015-05-05,8622,9295,8622,9295,20900,TBD
2015-05-06,9026,9026,9026,9026,6000,TBD
2015-05-07,9161,9161,9161,9161,6000,TBD
2015-05-08,9430,9565,9430,9565,11500,TBD
2015-05-11,9161,9161,9161,9161,6000,TBD
2015-05-12,9430,9430,9430,9430,4300,TBD
2015-05-13,9188,9188,9161,9161,13000,TBD
2015-05-14,9161,9161,9161,9161,0,TBD
2015-05-15,9188,9188,9161,9161,8000,TBD
2015-05-18,9188,9188,9161,9161,6600,TBD
2015-05-19,9161,9161,9161,9161,10000,TBD
2015-05-20,9161,9161,9161,9161,0,TBD
2015-05-21,9430,9430,9430,9430,3500,TBD
2015-05-22,9161,9161,9161,9161,11500,TBD
2015-05-25,9161,9161,9161,9161,11000,TBD
2015-05-26,9161,9161,9026,9026,10500,TBD
2015-05-27,9080,9080,9080,9080,0,TBD
2015-05-28,9161,9161,9161,9161,8300,TBD
2015-05-29,9161,9161,9161,9161,7500,TBD
2015-06-01,9295,9295,9295,9295,2000,TBD
2015-06-02,9295,9295,9295,9295,5100,TBD
2015-06-03,9295,9295,9295,9295,11000,TBD
2015-06-04,9699,9699,9161,9161,7200,TBD
2015-06-05,9188,9188,9188,9188,0,TBD
2015-06-08,9188,9188,9161,9161,11400,TBD
2015-06-09,9268,9268,9268,9268,5000,TBD
2015-06-10,9188,9188,9161,9161,7000,TBD
2015-06-11,9214,9295,9214,9295,2700,TBD
2015-06-12,9322,9430,9322,9430,11100,TBD
2015-06-15,9457,9565,9457,9565,6400,TBD
2015-06-16,9457,9565,9430,9565,8600,TBD
2015-06-17,9457,9457,9457,9457,0,TBD
2015-06-18,9322,9322,9295,9295,7000,TBD
2015-06-19,9295,9295,9295,9295,0,TBD
2015-06-22,9295,9295,9295,9295,0,TBD
2015-06-23,9295,9295,9295,9295,0,TBD
2015-06-24,9295,9295,9295,9295,0,TBD
2015-06-25,8379,8379,8379,8379,100,TBD
2015-06-26,7813,7813,7813,7813,100,TBD
2015-06-29,7274,7274,7274,7274,100,TBD
2015-06-30,6601,6601,6601,6601,100,TBD
2015-07-01,5793,5793,5793,5793,100,TBD
2015-07-02,5793,5793,5793,5793,0,TBD
2015-07-03,5793,5793,5793,5793,0,TBD
2015-07-06,5793,5793,5793,5793,0,TBD
2015-07-07,5793,5793,5793,5793,0,TBD
2015-07-08,5793,5793,5793,5793,0,TBD
2015-07-09,5793,5793,5793,5793,0,TBD
2015-07-10,5415,5415,5415,5415,100,TBD
2015-07-13,6197,6197,6197,6197,100,TBD
2015-07-14,5819,7113,5819,7113,1000,TBD
2015-07-15,5766,6843,5766,5766,1200,TBD
2015-07-16,5846,5846,5846,5846,0,TBD
2015-07-17,6367,6367,6367,6367,100,TBD
2015-07-20,5817,7323,5817,7323,2100,TBD
2015-07-21,5789,5789,5789,5789,900,TBD
2015-07-22,5789,5789,5789,5789,0,TBD
2015-07-23,5789,5789,5789,5789,0,TBD
2015-07-24,5673,6657,5673,6657,1100,TBD
2015-07-27,5673,6715,5673,6715,1200,TBD
2015-07-28,5846,5846,5846,5846,0,TBD
2015-07-29,5846,5846,5846,5846,0,TBD
2015-07-30,5846,5846,5846,5846,0,TBD
2015-07-31,5846,5846,5846,5846,0,TBD
2015-08-03,5846,5846,5846,5846,0,TBD
2015-08-04,5846,5846,5846,5846,0,TBD
2015-08-05,5846,5846,5846,5846,0,TBD
2015-08-06,5846,5846,5846,5846,0,TBD
2015-08-07,5846,5846,5846,5846,0,TBD
2015-08-10,5557,5557,5557,5557,100,TBD
2015-08-11,5557,5557,5557,5557,0,TBD
2015-08-12,5557,5557,5557,5557,0,TBD
2015-08-13,5557,5557,5557,5557,0,TBD
2015-08-14,5557,5557,5557,5557,0,TBD
2015-08-17,5557,5557,5557,5557,0,TBD
2015-08-18,5557,5557,5557,5557,0,TBD
2015-08-19,5557,5557,5557,5557,0,TBD
2015-08-20,5557,5557,5557,5557,0,TBD
2015-08-21,5557,5557,5557,5557,0,TBD
2015-08-24,5557,5557,5557,5557,500,TBD
2015-08-25,5123,5123,5123,5123,100,TBD
2015-08-26,5875,5875,5875,5875,200,TBD
2015-08-27,6744,6744,6744,6744,100,TBD
2015-08-28,7728,7728,5789,7728,2700,TBD
2015-08-31,8046,8046,5991,8046,4200,TBD
2015-09-01,8336,8336,6281,8336,7000,TBD
2015-09-03,6367,8509,6367,6975,6910,TBD
2015-09-04,6454,8683,6425,6657,2400,TBD
2015-09-07,6367,6367,6367,6367,800,TBD
2015-09-08,5644,7323,5644,7323,2500,TBD
2015-09-09,5789,5789,5789,5789,0,TBD
2015-09-10,5789,5789,5789,5789,0,TBD
2015-09-11,5789,5789,5789,5789,0,TBD
2015-09-14,5789,5789,5789,5789,1,TBD
2015-09-15,5789,5789,5789,5789,0,TBD
2015-09-16,6657,6657,5354,5354,500,TBD
2015-09-17,6454,6454,5644,5644,600,TBD
2015-09-18,6657,6657,5673,5673,600,TBD
2015-09-21,5846,5846,5846,5846,1,TBD
2015-09-22,5846,5846,5846,5846,0,TBD
2015-09-23,5846,5846,5846,5846,0,TBD
2015-09-24,5846,5846,5846,5846,0,TBD
2015-09-25,6715,6715,6715,6715,400,TBD
2015-09-28,6107,6107,6107,6107,200,TBD
2015-09-29,6107,6107,6107,6107,0,TBD
2015-09-30,6107,6107,6107,6107,0,TBD
2015-10-01,6107,6107,6107,6107,0,TBD
2015-10-02,6107,6107,6107,6107,0,TBD
2015-10-05,6107,6107,6107,6107,0,TBD
2015-10-06,6107,6107,6107,6107,0,TBD
2015-10-07,6107,6107,6107,6107,0,TBD
2015-10-08,7004,7004,7004,7004,100,TBD
2015-10-09,7004,7004,7004,7004,0,TBD
2015-10-12,7004,7004,7004,7004,0,TBD
2015-10-13,6078,6078,6078,6078,100,TBD
2015-10-14,5817,5817,5817,5817,1700,TBD
2015-10-15,5817,5817,5817,5817,0,TBD
