time,open,high,low,close,volume,ticker
2018-09-05,6651,6651,6651,6651,500,TCI
2018-09-06,5754,5754,5754,5754,10000,TCI
2018-09-07,4932,4932,4932,4932,14600,TCI
2018-09-10,4259,4558,4259,4558,36900,TCI
2018-09-11,5081,5081,5081,5081,1000,TCI
2018-09-12,5231,5231,5231,5231,10000,TCI
2018-09-13,5231,5231,5231,5231,0,TCI
2018-09-14,4857,4857,4857,4857,2000,TCI
2018-09-17,4708,4857,4708,4857,17000,TCI
2018-09-18,4857,4857,4857,4857,34000,TCI
2018-09-19,4857,4857,4857,4857,1000,TCI
2018-09-20,4857,4857,4857,4857,1500,TCI
2018-09-21,5380,5380,4857,4857,26700,TCI
2018-09-24,4857,4857,4857,4857,12400,TCI
2018-09-25,4857,4857,4857,4857,31000,TCI
2018-09-26,5007,5007,5007,5007,1000,TCI
2018-09-27,5754,5754,4932,4932,4900,TCI
2018-09-28,5081,5081,4857,4857,65700,TCI
2018-10-01,4932,5081,4857,5081,113000,TCI
2018-10-02,5754,5829,5679,5679,4200,TCI
2018-10-03,5754,6576,5754,6352,23500,TCI
2018-10-04,5530,5530,5530,5530,3000,TCI
2018-10-05,4857,4857,4857,4857,100,TCI
2018-10-08,4932,4932,4932,4932,9700,TCI
2018-10-09,4932,4932,4932,4932,7000,TCI
2018-10-10,4932,4932,4857,4857,10000,TCI
2018-10-11,4857,4857,4857,4857,1200,TCI
2018-10-12,4857,4857,4857,4857,15000,TCI
2018-10-15,4857,4857,4857,4857,31000,TCI
2018-10-16,4857,5007,4857,5007,39000,TCI
2018-10-17,4857,4932,4857,4932,16000,TCI
2018-10-18,5007,5007,4932,4932,12000,TCI
2018-10-19,4932,4932,4932,4932,0,TCI
2018-10-22,4857,4857,4857,4857,6000,TCI
2018-10-23,4857,4857,4857,4857,5000,TCI
2018-10-24,4857,4857,4857,4857,500,TCI
2018-10-25,4857,4857,4857,4857,500,TCI
2018-10-26,4857,4857,4857,4857,5000,TCI
2018-10-29,4857,4857,4857,4857,0,TCI
2018-10-30,4857,4857,4857,4857,4000,TCI
2018-10-31,4857,5007,4857,5007,3000,TCI
2018-11-01,4857,4857,4857,4857,6000,TCI
2018-11-02,4857,4857,4857,4857,0,TCI
2018-11-05,4857,4857,4857,4857,0,TCI
2018-11-06,4782,4782,4782,4782,1000,TCI
2018-11-07,4857,4857,4857,4857,2000,TCI
2018-11-08,4857,4857,4857,4857,0,TCI
2018-11-09,4857,4857,4857,4857,6000,TCI
2018-11-12,4857,4857,4857,4857,0,TCI
2018-11-13,4857,4857,4857,4857,12500,TCI
2018-11-14,4857,4857,4857,4857,5000,TCI
2018-11-15,4857,4857,4857,4857,0,TCI
2018-11-16,4857,4857,4857,4857,5200,TCI
2018-11-19,4857,4857,4857,4857,17000,TCI
2018-11-20,4857,4857,4857,4857,0,TCI
