time,open,high,low,close,volume,ticker
2017-10-27,10000,10000,10000,10000,0,TCK
2017-10-30,10000,10000,10000,10000,0,TCK
2017-10-31,10000,10000,10000,10000,0,TCK
2017-11-01,10000,10000,10000,10000,0,TCK
2017-11-02,10000,10000,10000,10000,0,TCK
2017-11-03,10000,10000,10000,10000,0,TCK
2017-11-06,10000,10000,10000,10000,0,TCK
2017-11-07,10000,10000,10000,10000,0,TCK
2017-11-08,10000,10000,10000,10000,0,TCK
2017-11-09,10000,10000,10000,10000,0,TCK
2017-11-10,10000,10000,10000,10000,0,TCK
2017-11-13,10000,10000,10000,10000,0,TCK
2017-11-14,10000,10000,10000,10000,0,TCK
2017-11-15,10000,10000,10000,10000,0,TCK
2017-11-16,10000,10000,10000,10000,0,TCK
2017-11-17,10000,10000,10000,10000,0,TCK
2017-11-20,10000,10000,10000,10000,0,TCK
2017-11-21,10000,10000,10000,10000,0,TCK
2017-11-22,10000,10000,10000,10000,0,TCK
2017-11-23,10000,10000,10000,10000,0,TCK
2017-11-24,10000,10000,10000,10000,0,TCK
2017-11-27,10000,10000,10000,10000,0,TCK
2017-11-28,10000,10000,10000,10000,0,TCK
2017-11-29,10000,10000,10000,10000,0,TCK
2017-11-30,10000,10000,10000,10000,0,TCK
2017-12-01,10000,10000,10000,10000,0,TCK
2017-12-04,10000,10000,10000,10000,0,TCK
2017-12-05,10000,10000,10000,10000,0,TCK
2017-12-06,10000,10000,10000,10000,0,TCK
2017-12-07,10000,10000,10000,10000,0,TCK
2017-12-08,10000,10000,10000,10000,0,TCK
2017-12-11,10000,10000,10000,10000,0,TCK
2017-12-12,10000,10000,10000,10000,0,TCK
2017-12-13,10000,10000,10000,10000,0,TCK
2017-12-14,10000,10000,10000,10000,0,TCK
2017-12-15,10000,10000,10000,10000,0,TCK
2017-12-18,10000,10000,10000,10000,0,TCK
2017-12-19,10000,10000,10000,10000,0,TCK
2017-12-20,10000,10000,10000,10000,0,TCK
2017-12-21,10000,10000,10000,10000,0,TCK
2017-12-22,10000,10000,10000,10000,0,TCK
2017-12-25,10000,10000,10000,10000,0,TCK
2017-12-26,10000,10000,10000,10000,0,TCK
2017-12-27,10000,10000,10000,10000,0,TCK
2017-12-28,10000,10000,10000,10000,0,TCK
2017-12-29,10000,10000,10000,10000,0,TCK
2018-01-02,10000,10000,10000,10000,0,TCK
2018-01-03,10000,10000,10000,10000,0,TCK
2018-01-04,10000,10000,10000,10000,0,TCK
2018-01-05,10000,10000,10000,10000,0,TCK
2018-01-08,10000,10000,10000,10000,0,TCK
2018-01-09,10000,10000,10000,10000,0,TCK
2018-01-10,10000,10000,10000,10000,0,TCK
2018-01-11,10000,10000,10000,10000,0,TCK
2018-01-12,10000,10000,10000,10000,0,TCK
2018-01-15,10000,10000,10000,10000,0,TCK
2018-01-16,10000,10000,10000,10000,0,TCK
2018-01-17,10000,10000,10000,10000,0,TCK
2018-01-18,10000,10000,10000,10000,0,TCK
2018-01-19,10000,10000,10000,10000,0,TCK
2018-01-22,10000,10000,10000,10000,0,TCK
2018-01-23,10000,10000,10000,10000,0,TCK
2018-01-24,10000,10000,10000,10000,0,TCK
2018-01-25,10000,10000,10000,10000,0,TCK
2018-01-26,10000,10000,10000,10000,0,TCK
