time,open,high,low,close,volume,ticker
2018-11-12,8089,8089,8089,8089,31200,TDP
2018-11-13,9283,9283,9283,9283,14800,TDP
2018-11-14,9283,9283,9283,9283,0,TDP
2018-11-15,9283,9283,9283,9283,0,TDP
2018-11-16,10641,10641,7926,7980,3300,TDP
2018-11-19,9663,9663,9663,9663,0,TDP
2018-11-20,9663,9663,9663,9663,0,TDP
2018-11-21,9663,9663,9663,9663,0,TDP
2018-11-22,9663,9663,9663,9663,0,TDP
2018-11-23,9663,9663,9663,9663,0,TDP
2018-11-26,9663,9663,9663,9663,0,TDP
2018-11-27,9446,9446,9229,9229,3600,TDP
2018-11-28,8686,8958,8686,8903,3600,TDP
2018-11-29,8686,8686,8686,8686,2000,TDP
2018-11-30,8415,8415,8415,8415,1500,TDP
2018-12-03,8415,8415,8415,8415,1500,TDP
2018-12-04,8415,8415,8415,8415,0,TDP
2018-12-05,8143,8252,8035,8198,7200,TDP
2018-12-06,8143,8143,8143,8143,0,TDP
2018-12-07,7980,8143,7980,8143,5100,TDP
2018-12-10,8143,8143,8143,8143,52000,TDP
2018-12-11,8089,8089,8089,8089,1000,TDP
2018-12-12,8089,8089,8035,8035,4000,TDP
2018-12-13,8143,8143,8143,8143,2500,TDP
2018-12-14,8143,8143,8143,8143,0,TDP
2018-12-17,8143,8143,8143,8143,0,TDP
2018-12-18,8143,8143,8143,8143,2000,TDP
2018-12-19,8143,8143,8035,8035,5000,TDP
2018-12-20,8089,8089,8089,8089,2600,TDP
2018-12-21,8143,8143,8143,8143,2500,TDP
2018-12-24,8143,8143,8143,8143,0,TDP
2018-12-25,8089,8089,8089,8089,4000,TDP
2018-12-26,8143,8143,8089,8089,7700,TDP
2018-12-27,8035,8035,8035,8035,2600,TDP
2018-12-28,7926,7926,7926,7926,2800,TDP
2019-01-02,7980,7980,7980,7980,3600,TDP
2019-01-03,8306,8306,8306,8306,400,TDP
2019-01-04,8252,8252,8252,8252,5400,TDP
2019-01-07,8252,8252,8252,8252,0,TDP
2019-01-08,8143,8143,8143,8143,4200,TDP
2019-01-09,8143,8143,8143,8143,0,TDP
2019-01-10,8089,8089,8089,8089,3900,TDP
2019-01-11,8089,8089,8089,8089,3400,TDP
2019-01-14,8089,8089,8089,8089,0,TDP
2019-01-15,6895,8143,6895,8143,11400,TDP
2019-01-16,8252,8252,8252,8252,4200,TDP
2019-01-17,9229,9229,9229,9229,3100,TDP
2019-01-18,9229,9229,9229,9229,0,TDP
2019-01-21,8849,8849,8686,8686,5500,TDP
2019-01-22,8741,8741,8741,8741,0,TDP
2019-01-23,8741,8741,8741,8741,0,TDP
2019-01-24,8198,8198,8198,8198,5000,TDP
2019-01-25,8198,8198,8198,8198,0,TDP
2019-01-28,8198,8198,8198,8198,0,TDP
2019-01-29,8035,8035,8035,8035,5000,TDP
2019-01-30,7818,7818,7818,7818,2500,TDP
2019-01-31,7818,7818,7818,7818,0,TDP
2019-02-01,8143,8632,8143,8632,27500,TDP
2019-02-11,8198,8198,8198,8198,0,TDP
2019-02-12,8198,8198,8198,8198,0,TDP
2019-02-13,8198,8198,8198,8198,0,TDP
2019-02-14,8198,8198,8198,8198,0,TDP
2019-02-15,8198,8198,8198,8198,0,TDP
2019-02-18,8198,8198,8198,8198,0,TDP
2019-02-19,8089,8089,8089,8089,5000,TDP
2019-02-20,8089,8089,8089,8089,0,TDP
2019-02-21,8089,8089,8089,8089,0,TDP
2019-02-22,8035,8035,8035,8035,7300,TDP
2019-02-25,8035,8035,8035,8035,0,TDP
2019-02-26,7926,7926,7926,7926,3000,TDP
2019-02-27,8143,8143,8089,8089,36000,TDP
2019-02-28,8143,8143,8143,8143,0,TDP
2019-03-01,8089,8089,8089,8089,6700,TDP
2019-03-04,8089,8089,8089,8089,0,TDP
2019-03-05,7980,7980,7980,7980,3000,TDP
2019-03-06,8415,8415,7980,7980,3100,TDP
2019-03-07,7980,7980,7980,7980,2800,TDP
2019-03-08,8306,8306,8306,8306,3900,TDP
2019-03-11,8306,8306,8306,8306,0,TDP
2019-03-12,8306,8306,8306,8306,0,TDP
